place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.5,11779.0,9991.2,6226.0,10775.7,551.5,8696.7,11628.5,9126.4,6587.4,4824.7,5288.2,5873.6,3710.8,7900.9,16507.5,6502.96,6831.5,2409.2,5476.2,8402.85,5584.9,13568.9,3175.5,12441.6,5537.2,12174.8,9901.2,2324.1,6850.5,7557.0,12431.98,9887.6,12246.6,7811.7,6845.1,5783.8,7495.0,5363.9,7646.1,10382.95,4832.2,10184.27,5988.2,2880.4,6694.1,10497.1,10640.9,2490.5
AR,7778.5,0.0,11807.2,17053.1,2347.7,8982.6,7931.4,1137.9,19268.7,4679.2,11913.0,9829.7,11804.5,10063.9,10240.8,12632.6,11450.2,11088.1,11131.5,7649.8,11114.4,15900.0,11147.0,18352.5,9920.6,19430.0,9413.0,7383.0,15909.5,8103.8,11442.7,11760.4,10317.1,3138.2,19987.2,15174.0,12244.2,9584.7,13476.0,12713.5,12202.4,15879.2,6966.7,17038.5,11981.9,9384.9,12818.4,8373.7,18892.666666666668,8120.6
AU,11779.0,11807.2,0.0,9087.8,14162.5,16241.8,13131.7,11343.0,8965.7,14302.2,16098.9,17040.7,14392.2,17640.2,11841.2,15203.2,3272.2,16955.0,16917.2,15805.5,15318.2,10314.3,16314.8,7973.9,11919.8,8342.0,17812.6,13373.5,6460.2,14760.4,16600.6,15930.6,2326.4,12794.3,6060.1,10569.0,15602.0,17930.5,14469.3,12687.9,15611.4,6025.2,17368.3,7297.219999999999,14410.35,11409.7,14914.4,16029.8,7741.6,10283.2
BD,9991.2,17053.1,9087.8,0.0,16360.0,12019.05,9320.02,17082.2,3025.3,16641.4,7174.35,8415.23,5677.4,8225.3,5959.4,6701.1,11597.8,7907.35,7998.75,9996.6,6229.1,1423.6,7275.35,4857.6,6903.2,3716.2,9125.5,15412.0,2631.4,8889.1,7725.45,7426.25,11695.26,17196.5,3369.6,1897.1,6835.82,8543.1,4963.0,4581.8,7171.8,2895.6,12322.119999999999,1540.0,5457.1,6922.4,6092.85,12634.8,1866.5,8385.6
BR,6226.0,2347.7,14162.5,16360.0,0.0,6832.95,6899.2,2876.4,16943.7,3660.4,9519.35,7650.9,9728.3,7319.2,9173.9,10367.2,13970.1,8725.9,8775.4,5625.7,9490.0,14193.7,8722.4,17377.4,8286.6,18302.0,7114.910000000001,6847.0,16212.5,6540.3,9223.2,9447.3,12085.2,3169.5,18748.5,13735.0,9885.9,7289.5,11179.9,10918.9,9929.0,16509.5,5035.3,16771.0,10157.1,8589.8,10204.2,6740.2,17295.7,7406.7
CA,10775.7,8982.6,16241.8,12019.05,6832.95,0.0,10630.1,8599.0,10490.3,4530.4,6140.3,6194.7,8662.7,5683.9,11482.3,6123.9,12560.0,5651.7,5386.5,8381.4,7627.0,11156.5,6749.2,10314.8,11876.0,10456.3,5689.9,3614.9,14806.0,8853.7,5643.3,5714.2,14460.7,6180.6,13213.8,10817.6,6525.5830000000005,5311.2,7133.2,10206.8,5967.5,14869.6,6312.1,13662.0,7872.85,12274.24,7295.6,732.9,12502.0,12872.1
CD,551.5,7931.4,13131.7,9320.02,6899.2,10630.1,0.0,9213.6,11421.9,9682.9,6158.32,4680.2,4254.7,5575.4,3064.65,7175.4,16434.8,6029.4,6376.5,2106.7,4860.8,8303.25,5403.3,13416.5,2415.2,12053.25,4852.9,12311.4,9981.75,1681.65,6242.6,7196.8,14448.6,10256.05,12041.9,7301.6,6173.9,5702.0,6909.2,4709.7,6912.357000000001,10276.0,4680.0,9658.07,5192.9,2125.8,6084.937,10355.8,10506.9,2776.2
CL,8696.7,1137.9,11343.0,17082.2,2876.4,8599.0,9213.6,0.0,19057.5,4251.2,12493.7,10275.3,13015.3,10710.4,12026.2,13357.2,10859.2,11640.5,11644.5,8794.9,12146.3,16549.8,11885.6,17240.0,11556.3,18382.0,10056.3,6590.0,16388.4,8871.0,11888.3,12179.2,9351.8,2464.9,17337.3,16389.2,12653.1,9875.8,14115.4,14000.1,12343.3,16333.4,8407.1,16933.2,13005.3,10800.76,13169.220000000001,8050.1,18405.55,8752.2
CN,11628.5,19268.7,8965.7,3025.3,16943.7,10490.3,11421.9,19057.5,0.0,14937.7,7354.0,9112.2,7553.1,9216.5,8317.7,6307.7,9188.7,8215.0,8140.0,11357.5,7614.0,3787.8,8130.0,2100.0,9586.4,952.5,9899.5,12437.5,4347.6,10606.8,7825.2,6916.8,10373.0,16617.0,2850.5,3858.8,6948.6,8684.0,5794.8,6191.3,6711.6,4480.5,11810.2,3292.9,7329.5,9576.55,6450.0,11159.3,2330.5,11714.9
CO,9126.4,4679.2,14302.2,16641.4,3660.4,4530.4,9682.9,4251.2,14937.7,0.0,9397.88,8462.95,11511.7,8029.1,11844.3,9702.1,13581.5,8626.5,8497.9,8216.9,10174.4,14788.6,9344.6,14308.4,11637.4,14869.1,7641.5,3161.9,19689.3,8529.1,8821.7,8887.3,12416.0,1880.5,17493.7,15076.2,9752.9,7511.0,10903.9,12464.8,9547.8,19531.6,6794.1,17569.8,10846.0,11479.9,10309.25,3578.6,17290.3,10751.8
DE,6587.4,11913.0,16098.9,7174.35,9519.35,6140.3,6158.32,12493.7,7354.0,9397.88,0.0,1914.4,2891.4,1869.9,5351.4,1101.4,16218.7,878.0,932.0,5236.3,1801.1,5780.7,1182.9,8917.0,6339.6,8129.8,2656.7,9602.8,9596.4,4868.9,577.5,839.1,18142.5,11122.1,9744.1,5210.9,517.3,2309.8,1609.0,4231.1,810.0,9911.1,5026.8,8602.6,2032.7,6895.5,1139.7,6715.0,8318.6,8726.5
DZ,4824.7,9829.7,17040.7,8415.23,7650.9,6194.7,4680.2,10275.3,9112.2,8462.95,1914.4,0.0,2714.8,714.6,4805.0,3086.3,17855.6,1355.1,1660.0,2752.3,1669.3,6771.3,986.8,10415.6,5387.1,9965.3,905.2,9506.8,10324.15,2850.1,1749.3,2847.7799999999997,19357.5,9757.5,11657.1,6333.65,2223.8,1102.2,3435.2,3972.1,2911.6,10413.380000000001,3166.6,9611.3,2635.0,5261.139999999999,2725.2,6476.96,9467.6,7459.7
EG,5288.2,11804.5,14392.2,5677.4,9728.3,8662.7,4254.7,13015.3,7553.1,11511.7,2891.4,2714.8,0.0,3451.5,2469.7,3400.3,16427.3,3210.0,3510.0,4268.5,1110.3,4400.0,2130.0,9561.3,3515.5,8465.3,3434.1,12425.9,7827.85,3433.6,3286.8,3669.7,16404.45,12442.5,8658.8,3440.0,2619.3,3800.0,2900.5,1546.8,3426.1,8279.0,5365.0,7272.4,1105.25,3705.5,2274.8,9420.9,7721.6,6277.1
ES,5873.6,10063.9,17640.2,8225.3,7319.2,5683.9,5575.4,10710.4,9216.5,8029.1,1869.9,714.6,3451.5,0.0,5430.8,2948.3,17339.0,1053.0,1263.3,3894.2,2284.9,7271.5,1362.6,10766.0,5792.0,9989.5,564.8,9064.1,11065.1,3707.2,1479.1,2593.5,19855.0,9507.7,11641.0,6501.55,2290.0,502.5,3440.0,4786.3,2590.1,11370.6,3004.6,10188.4,3027.0,6185.0,2865.0,6113.9,9912.0,7994.4
