place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.833333333234,11778.874999737238,10015.356677346,6185.837819987975,10768.274642067618,551.9950285812486,8690.40549999153,11628.499999999709,9106.940714276983,6562.374999998791,4823.927044444445,5284.598442857132,5784.706499999296,3512.82676666695,7873.355029288848,16522.000000005108,6503.081525000001,6830.1378857142845,2409.1666666665114,5490.375857141486,8390.500000005582,5562.463419997142,13570.320966666499,3172.8557666663764,12409.833333330384,5540.885471428762,12171.684754845808,9930.122516665511,2320.7564004487826,6850.798533333449,7582.774133333685,12488.816942855685,9897.73006665826,12291.000000006832,7814.841200576797,6869.684424600755,5784.027014285713,7549.1059333320745,5367.208142594849,7642.624999995156,10374.85773333268,4876.819999999945,10166.003581428151,5972.924114285717,2878.5480714218643,6671.9703202243045,10508.027671428019,10601.333333318173,2490.2857142833714
AR,7778.833333333234,0.0,11800.333333333316,17036.50043333333,2347.7,8978.333333333301,7886.1285600002975,1137.9,19270.14285714286,4681.695666666648,11913.0,9818.934749999988,11800.42857142857,10066.29350000004,10236.189533335204,12632.666666666664,11473.666666668098,11086.80433333319,11129.25870000887,7761.422633333414,11128.782666666657,15897.034800000152,11149.57142857143,18350.11111111111,9938.452971404564,19430.0,9451.314042854527,7382.482600000058,15916.724666666763,8103.481286031347,11442.0,11760.399999994888,10318.056842857126,3138.199999997605,19995.666666666668,15176.576788898286,12244.53388888889,9584.699999999999,13476.0,12510.227500034835,12225.804333333506,15880.63237777779,6966.2064999999975,17040.52237142855,11972.929299991772,9403.94583332948,12818.433542857143,8372.500000000005,19027.26860012927,8115.571428571428
AU,11778.874999737238,11800.333333333316,0.0,9117.695057143423,14147.122999997844,16243.283557142886,13157.666666711297,11340.42857142857,8965.625,14303.624999999958,16094.428571426228,17036.127888889,14392.628511111105,17638.699371428578,11841.499999995336,15200.999999999987,3267.5956285712928,16959.888888890546,16910.42857142623,15633.333333324004,15315.113028571446,10318.788250005851,16314.8,7973.116300000004,11922.292188886013,8340.99565000464,17821.879025000006,13365.114071416252,6468.3313666675695,14763.890999997031,16600.0,15925.999999999574,2326.4,12800.505299999957,6077.938833333751,10557.499999999247,15600.142857142857,18028.88050000061,14469.107244444445,12685.33763333391,15612.189757142847,6021.53735993468,17368.29999999825,7297.774999999842,14411.92033333359,11396.249999999558,14915.0,16014.14765000001,7742.375000000012,10259.97100000004
BD,10015.356677346,17036.50043333333,9117.695057143423,0.0,16352.598679959125,12011.416666662712,9331.533333321677,17082.12500000037,3025.3,16665.50000000195,7170.203685598498,8373.646540002488,5696.9930251346,8225.624999818443,5969.125000000616,6688.3965111067255,11572.685777778614,7907.344779999995,8001.320879987348,9993.624999980055,6256.978333331706,1423.6,7277.795657162361,4898.036114165377,6896.124999996426,3715.3447142856553,9101.833333331862,15464.419733336368,2630.6666666666665,8888.666666654131,7719.220616666663,7423.303771429475,11703.639916677366,17176.24999999999,3379.0,1899.0,6840.083914037012,8486.173528856725,4919.71229999939,4551.3922000408365,7161.806667157665,2895.5555555555557,12371.587113338097,1540.0,5463.84285555336,6922.399999998582,6108.4160666648895,12631.748428571347,1865.250000044493,8400.166666663863
BR,6185.837819987975,2347.7,14147.122999997844,16352.598679959125,0.0,6840.9248625022765,6874.893299995653,3011.554357144226,16896.223899999794,3660.249999997861,9517.3125000001,7650.387755567602,9766.545357137164,7262.333333333597,9165.64361111325,10407.618780172153,14006.450627328973,8726.0,8775.124999999987,5590.8333333328565,9498.491700238488,14199.166666660514,8724.166666666684,17377.399999999987,8280.096444444442,18324.20035714294,7102.459242853594,6847.365944444445,16208.723277782812,6540.30000001738,9225.039150000033,9468.52200000463,12090.348185714955,3170.375,18634.568599319082,13748.638479993515,9879.250000001568,7290.375,11179.9,10958.333333332546,9921.880250002972,16682.99550000018,5041.999999999795,16740.66666666665,10234.07846666809,8593.999999997219,10214.081200000737,6738.499999999966,17289.99999999987,7419.754714283978
CA,10768.274642067618,8978.333333333301,16243.283557142886,12011.416666662712,6840.9248625022765,0.0,10539.57660000904,8603.333333333505,10509.466185611194,4531.125785740397,6140.0,6152.682533327892,8684.373499999969,5684.000000000004,11486.000000000418,6128.183285714087,12562.124999998987,5650.833333333409,5386.523200000102,8388.986433330481,7626.874999999977,11151.608666666712,6726.33333333367,10314.005799999999,11893.333333329523,10464.000000000191,5706.970699999758,3615.764500000019,14798.275333333335,8854.145857137231,5641.459399999827,5704.045550217058,14444.283649933473,6179.499999999777,13213.0,10815.506142857523,6527.172685714175,5315.840071428621,7138.194728571414,10187.647733332766,5967.500000000004,14863.54949995704,6330.998033327176,13646.333333332364,7877.749999995549,12221.30628999828,7292.624999999842,732.4285714285714,12502.500000651084,12886.880500255476
CD,551.9950285812486,7886.1285600002975,13157.666666711297,9331.533333321677,6874.893299995653,10539.57660000904,0.0,9202.915856345031,11413.914828574267,9676.74999999993,6158.190564285721,4679.190411105935,4197.287700000649,5559.911275003004,3029.0945499998675,7191.750000002093,16404.38870086651,6028.666666666608,6376.833333333336,2106.6999999864156,4871.242285717159,8321.424894454001,5414.55522000002,13481.385866672681,2415.0,11998.948400000072,4853.62499999994,12240.773466669256,9977.375000001359,1670.442500129739,6238.014525001421,7192.333333327785,14439.427400007638,10268.468777772148,12059.750000000317,7272.233199997417,6169.8749999977745,5718.252874996402,6922.687928573214,4787.468160010639,6918.958728572823,10230.51898332422,4809.402314306506,9647.757500000993,5210.250000001418,2125.3013777677734,6090.379897886214,10347.187785715363,10512.416666664292,2775.6
CL,8690.40549999153,1137.9,11340.42857142857,17082.12500000037,3011.554357144226,8603.333333333505,9202.915856345031,0.0,19063.61335714286,4251.333333333333,12495.780449999984,10267.74542891278,12915.630648734808,10710.827533333306,12022.478842841128,13297.014000010417,10998.390275033851,11640.111111111111,11644.857142857143,8810.728071428039,12128.33333332993,16352.05646666736,11883.428571426228,17240.0,11524.018950001931,18401.313199999688,10078.722000179678,6590.333333333351,16336.80783333507,8863.50000000002,11888.300000001404,12173.006711110454,9346.33333333344,2464.9,17139.630199722815,16392.010785479437,12657.728388889635,9875.204671428488,14115.0,14104.638739999587,12326.743266669055,16322.62499988086,8411.097399999662,17081.082271974225,13034.77566666646,10783.166666672038,13059.103328685693,8046.500000000096,18643.354578580696,8738.0057554442
CN,11628.499999999709,19270.14285714286,8965.625,3025.3,16896.223899999794,10509.466185611194,11413.914828574267,19063.61335714286,0.0,14943.965857142877,7353.827533333336,9129.133399999382,7559.333333333333,9215.111111111111,8317.333333333332,6307.166666666649,9195.464028571694,8215.0,8140.0,11358.020357624364,7614.428571426229,3789.872057133104,8130.0,2100.0,9583.669542794612,952.6250000021392,9837.943428545037,12439.57142857143,4349.333333333333,10565.500000003494,7824.25,6967.664150000333,10408.251571428773,16623.8,2850.142857140514,3858.799999999303,6950.0,8684.333333333334,5795.750000002139,6192.356533333333,6712.428571428572,4480.111111111111,11794.603785711808,3292.440577777775,7463.393700006345,9560.916666671794,6450.0,11158.333333333334,2330.1428571428573,11714.9
CO,9106.940714276983,4681.695666666648,14303.624999999958,16665.50000000195,3660.249999997861,4531.125785740397,9676.74999999993,4251.333333333333,14943.965857142877,0.0,9403.433223999995,8473.90442499955,11516.9438142146,8029.888888888889,11864.607171421269,9675.268766666433,13578.270222235398,8625.428571426228,8499.777777777777,8248.166666665235,10211.695749998373,14782.089560006336,9346.982928580126,14311.57142857143,11616.676733334458,14866.913575000017,7635.775588888771,3160.0,19759.335428571347,8523.875000598067,8823.425366666668,8897.601774998091,12454.36638571426,1880.375,17494.36645555543,15095.117628571768,9716.429939997994,7496.666666667173,10903.946377777778,12457.250000214925,9543.907199999881,19737.19566666675,6794.100000024878,17614.146533333314,10807.30425000084,11482.888600495184,10281.130716666372,3501.741300000842,17323.858928580885,10771.333333329581
DE,6562.374999998791,11913.0,16094.428571426228,7170.203685598498,9517.3125000001,6140.0,6158.190564285721,12495.780449999984,7353.827533333336,9403.433223999995,0.0,1917.5539249959152,2890.35465714286,1869.9,5349.709314285727,1101.3333333333333,16219.763333087822,878.0,932.0,5234.106222222568,1801.1,5781.678266666619,1183.3333333333514,8917.625,6339.333333333281,8129.888888888889,2623.4748666689334,9550.666666666666,9595.666666666666,4869.833333332734,577.5,839.1,18142.44845714286,11131.499999999729,9741.500000000058,5225.499999999366,517.3,2311.0574888888937,1609.0,4238.46865000359,810.0,9910.2,5026.566457142861,8602.599999999997,2032.8391333333386,6909.500000000165,1123.7791199997089,6715.0,8314.423599999998,8724.478333332576
DZ,4823.927044444445,9818.934749999988,17036.127888889,8373.646540002488,7650.387755567602,6152.682533327892,4679.190411105935,10267.74542891278,9129.133399999382,8473.90442499955,1917.5539249959152,0.0,2715.629350000003,715.4195666666728,4815.767657015526,3101.616171427578,17814.782285719393,1348.25,1660.0,2745.9660429961787,1669.6250000003636,6755.624533332415,994.2587000001605,10416.4402499304,5386.917642855665,9959.999999999789,915.3546571476313,9501.81499999714,10349.183614286007,2844.4975555557216,1732.6809749998245,2850.0789426233387,19341.90859999967,9816.300833332436,11602.901900336356,6331.687499993949,2223.8000000004313,1116.1666666667293,3479.5714285714284,3964.8100750121316,2911.6000000005615,10406.09505706991,3168.0173999999975,9619.361773334218,2629.2178248384535,5259.166666670022,2736.2230571508667,6476.814853333334,9454.833333320143,7462.532314330723
EG,5284.598442857132,11800.42857142857,14392.628511111105,5696.9930251346,9766.545357137164,8684.373499999969,4197.287700000649,12915.630648734808,7559.333333333333,11516.9438142146,2890.35465714286,2715.629350000003,0.0,3350.714285714286,2470.125,3399.1329142662184,16425.925000000014,3210.0,3510.0,4268.5465713937565,1110.3,4400.0,2130.0,9560.42857142857,3515.6666666666592,8483.177657142209,3434.073914285719,12450.70453333281,7910.47871666822,3433.524528571415,3288.503479999989,3669.7000000000003,16451.095080203715,12452.499999999849,8378.55613338022,3440.666666666667,2620.0,3800.806959999998,2900.5,1610.7142857142858,3429.5,8284.695666666657,5357.256655555041,7270.614466666905,1105.8125000158657,3702.690000009791,2273.6666666666924,9420.388142857211,7812.882285696723,6276.586080000001
ES,5784.706499999296,10066.29350000004,17638.699371428578,8225.624999818443,7262.333333333597,5684.000000000004,5559.911275003004,10710.827533333306,9215.111111111111,8029.888888888889,1869.9,715.4195666666728,3350.714285714286,0.0,5428.67337777818,2948.1428571428573,17306.434666665682,1053.0,1263.3,3893.7782571574867,2228.7343400094214,7278.396979983986,1362.6,10765.111111111111,5792.27577144809,9991.477055555555,564.4946999809284,9064.1,11065.0,3720.5991111238086,1481.0,2593.5,19855.0,9507.62500000214,11640.111111111111,6527.470912495532,2290.0,502.5,3440.0,4785.684066666753,2590.1,11368.493433333777,2943.763342857208,10188.839133333333,2995.25,6181.875000012884,2865.0,6109.540088888853,10082.982742854141,7995.005499999823
ET,3512.82676666695,10236.189533335204,11841.499999995336,5969.125000000616,9165.64361111325,11486.000000000418,3029.0945499998675,12022.478842841128,8317.333333333332,11864.607171421269,5349.709314285727,4815.767657015526,2470.125,5428.67337777818,0.0,5795.481285709314,15941.000000608405,5591.365944444442,5899.75,4274.499999809227,3544.4976995050392,5205.499999999171,4482.3333333333885,9718.683299999839,1161.5804333333294,9261.052714604086,5371.66672857094,14185.238628572264,7292.96629998247,3470.650314285708,5476.3749999995935,5892.000000006298,14115.27446668085,12600.833333338713,8908.50000000791,4403.833333343995,5394.3124996423585,5749.250000002047,5141.000000034799,1949.6666666609026,5847.875000172416,7362.822342808633,6179.695666666691,7164.294999999916,3371.493857404012,1638.5701500069026,4729.699500000284,11561.0,7414.101333335171,4440.83333334018
FI,7873.355029288848,12632.666666666664,15200.999999999987,6688.3965111067255,10407.618780172153,6128.183285714087,7191.750000002093,13297.014000010417,6307.166666666649,9675.268766666433,1101.3333333333333,3101.616171427578,3399.1329142662184,2948.1428571428573,5795.481285709314,0.0,15286.021750015869,1910.0,1820.1,6229.288714282836,2464.496520006404,5229.250000000003,2201.9,7822.6,7216.648150478784,7041.666666666591,3817.9575999966905,9486.08546666643,8367.978333332883,5854.117200000038,1501.9,784.5,16845.09445695662,11669.778628569617,8297.137666666667,4813.500000001328,940.4285714285714,3364.8,893.1111111111111,4249.467250002258,396.0,9265.0,6058.1463285714335,7899.793171423696,2472.3426333360835,7409.680985989905,1144.354657142857,6931.1990428570025,7287.8333333334585,9673.64193333343
FJ,16522.000000005108,11473.666666668098,3267.5956285712928,11572.685777778614,14006.450627328973,12562.124999998987,16404.38870086651,10998.390275033851,9195.464028571694,13578.270222235398,16219.763333087822,17814.782285719393,16425.925000000014,17306.434666665682,15941.000000608405,15286.021750015869,0.0,16537.068833333327,16284.320055555536,19280.55000000188,16434.4887854027,11616.812499995904,16887.83333333325,7312.500000000345,16460.296519993663,7735.413866721963,17490.433999467383,10617.747333394114,8461.166666665227,18598.544699999886,16246.453428571394,15621.776866666667,2631.189866666569,11113.408214771296,7115.255885655231,13207.156229496835,15694.690928571412,17347.293500000153,15198.958914030387,14641.574666670276,15637.645000001517,8276.5,19010.264388890828,9172.524999979398,16002.374999995209,15973.95000071217,15857.500000007087,12499.166666667068,8215.203433336279,14402.156850003421
FR,6503.081525000001,11086.80433333319,16959.888888890546,7907.344779999995,8726.0,5650.833333333409,6028.666666666608,11640.111111111111,8215.0,8625.428571426228,878.0,1348.25,3210.0,1053.0,5591.365944444442,1910.0,16537.068833333327,0.0,343.1,4824.428571428572,2097.8,6583.110871428576,1106.375,9712.400000000001,6480.428571428572,8965.1,1814.3,9193.159928571438,10411.354000000023,4457.333333333424,430.1,1343.375,18961.0,10260.24999999786,10740.0,5904.333333333361,1367.0,1453.1,2485.4444444444443,4674.571428573771,1544.0,10740.0,4200.0,9442.888888888889,2598.0,6863.00000000003,2023.9,6166.746271428573,9190.0,8690.333333333334
GB,6830.1378857142845,11129.25870000887,16910.42857142623,8001.320879987348,8775.124999999987,5386.523200000102,6376.833333333336,11644.857142857143,8140.0,8499.777777777777,932.0,1660.0,3510.0,1263.3,5899.75,1820.1,16284.320055555536,343.1,0.0,5100.0,2391.0,6710.0,1434.0,9559.8,6819.25,8858.0,2076.684066666794,8928.8,10594.285714288057,4889.34917993987,357.4,1153.0,18819.33333333335,10150.296520000005,10740.666666666648,6049.875,1450.1,1585.2222222222222,2500.427,4945.125785723035,1432.6,10849.9,4375.333333333322,9537.37499999786,2824.9409999999793,7465.358833333693,2133.9,5900.0,9232.833333333334,9030.0
GH,2409.1666666665114,7761.422633333414,15633.333333324004,9993.624999980055,5590.8333333328565,8388.986433330481,2106.6999999864156,8810.728071428039,11358.020357624364,8248.166666665235,5234.106222222568,2745.9660429961787,4268.5465713937565,3893.7782571574867,4274.499999809227,6229.288714282836,19280.55000000188,4824.428571428572,5100.0,0.0,4079.0036571430446,8245.349533335717,4248.106742973321,13617.50000000205,4209.7621800123325,12357.336928571094,3153.833333333341,10385.69805745232,10941.2399039455,914.6169111111551,5213.0,6162.666666664965,15964.672999957347,8511.97335709739,13285.500000005199,7350.396771419269,5368.599999999785,3808.8449333333265,6217.894285714375,5214.333333328817,6151.737314285908,11371.053185716131,2105.6304285720094,11198.168557146051,4907.168185489332,4565.935766676681,5780.296971431167,8280.537471566777,11206.374999997917,4685.704342857157
GR,5490.375857141486,11128.782666666657,15315.113028571446,6256.978333331706,9498.491700238488,7626.874999999977,4871.242285717159,12128.33333332993,7614.428571426229,10211.695749998373,1801.1,1669.6250000003636,1110.3,2228.7343400094214,3544.4976995050392,2464.496520006404,16434.4887854027,2097.8,2391.0,4079.0036571430446,0.0,4803.333333333286,1051.0,9500.166666666693,3960.7382333240907,8505.660257142898,2832.5000000017,10784.48637499995,8400.923066667767,3422.7078142891946,2182.1666666666665,2615.777777777778,17682.897571208836,11259.374699998434,9590.044085676074,4562.789233334003,1598.0,2854.875,2229.4285714285716,2292.0174000000325,2437.1227111111803,9050.517465555367,4689.750000006941,7922.253728564114,813.4965199936785,4757.4999999976635,1481.5999999976052,7912.874999999975,7889.362071442553,7299.136900000282
