place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7777.5,11910.0,9960.0,6635.0,10850.0,550.0,8480.0,11665.0,9237.5,6500.0,4820.0,5290.0,6492.5,3504.5,8030.0,15735.0,6500.0,6830.0,2405.0,5775.0,9267.5,5865.0,13740.0,3170.0,12517.5,5645.0,11827.5,9875.0,2805.0,6842.0,7509.0,12732.5,10142.5,12600.0,7860.0,6782.5,5840.0,8220.0,5667.5,7925.0,10175.0,3334.5,10252.5,6137.5,2525.0,6650.0,10572.5,10650.0,2490.0
AR,7777.5,0.0,11590.0,17047.5,2340.0,8977.5,8145.0,1138.0,19270.0,4660.0,11925.0,9790.0,11800.0,10035.0,10610.0,12650.0,11460.0,11070.0,11100.0,7072.5,11500.0,15900.0,11150.0,18350.0,10400.0,19430.0,9555.0,7380.0,15870.0,8045.0,11445.0,11875.0,10320.0,3140.0,19920.0,15520.0,12320.0,9590.0,13476.0,11575.0,12095.0,15860.0,6950.0,17125.0,11940.0,9397.5,12820.0,8387.5,17465.0,8122.5
AU,11910.0,11590.0,0.0,8875.0,13872.5,15617.5,12767.5,11340.0,8960.0,14350.0,16090.0,17300.0,14420.0,17645.0,11845.0,15200.0,3335.0,16960.0,17015.0,15617.5,15310.0,10400.0,16315.0,7970.0,11650.0,8330.0,18075.0,13872.5,6360.0,15002.5,16600.0,15850.0,2328.0,12980.0,6170.0,10685.0,15600.0,18117.5,14470.0,12570.0,15600.0,6005.0,17595.0,7142.5,14422.5,11080.0,14927.5,15920.0,7737.5,10450.0
BD,9960.0,17047.5,8875.0,0.0,15755.0,12470.0,9055.0,17057.5,3027.5,16510.0,7097.5,8677.5,5292.5,8242.5,6317.5,6717.5,11650.0,7905.0,8000.0,10355.0,6162.5,1424.0,7272.5,4660.0,6772.5,3715.0,9577.5,15850.0,2630.0,9142.5,7732.5,7317.5,11462.5,18150.0,3365.0,1910.0,6775.0,9245.0,5590.0,4375.0,7025.0,2895.0,12525.0,1540.0,5375.0,6630.0,6332.5,12655.0,1885.0,8580.0
BR,6635.0,2340.0,13872.5,15755.0,0.0,7315.0,6712.5,3015.0,17300.0,3660.0,9500.0,8255.0,9512.5,7372.5,9450.0,10890.0,13525.0,8730.0,8770.0,5577.5,9517.5,14355.0,9210.0,17650.0,9150.0,18320.0,7257.5,6840.0,15675.0,6315.0,9245.0,9717.5,12090.0,3170.5,18580.0,13850.0,10157.5,7293.5,11175.0,10975.0,10362.5,16735.0,5035.0,16800.0,10565.0,9230.0,10650.0,6735.0,17382.5,7775.0
CA,10850.0,8977.5,15617.5,12470.0,7315.0,0.0,10252.5,8687.5,10555.0,4535.0,6130.0,6460.0,9015.0,5680.0,11497.5,6055.0,12707.5,5650.0,5340.0,8637.5,7635.0,11155.0,6722.5,10315.0,11850.0,10547.5,5655.0,3610.0,14800.0,9062.5,5635.0,5577.5,14442.5,6297.5,13210.0,10657.5,6638.5,5277.5,7142.0,10345.0,5910.0,14850.0,6365.0,13660.0,8160.0,12400.0,7300.0,732.0,12732.5,12950.0
CD,550.0,8145.0,12767.5,9055.0,6712.5,10252.5,0.0,9587.5,11472.5,9540.0,6027.5,4532.5,4200.0,5537.5,3027.5,6812.5,16537.5,6032.5,6375.0,1940.0,4862.5,8457.5,5415.0,13595.0,2400.0,12262.5,4865.0,12167.5,9807.5,1840.0,6402.5,6967.5,14655.0,10142.5,12272.5,7172.5,6122.5,5777.5,6457.5,4655.0,6880.0,10350.0,4197.5,9882.5,5142.5,1990.0,6042.5,10175.0,10512.5,2777.5
CL,8480.0,1138.0,11340.0,17057.5,3015.0,8687.5,9587.5,0.0,19060.0,4250.0,12375.0,10480.0,13210.0,10700.0,11920.0,13445.0,9450.0,11650.0,11645.0,8645.0,12450.0,16330.0,11890.0,17240.0,11497.5,18325.0,9892.5,6600.0,17082.5,9025.0,11905.0,12422.5,9350.0,2465.0,17300.0,15850.0,12725.0,10192.5,14115.0,14025.0,12515.0,16335.0,8482.5,17620.0,13155.0,10555.0,13060.0,8050.0,18325.0,9162.5
CN,11665.0,19270.0,8960.0,3027.5,17300.0,10555.0,11472.5,19060.0,0.0,14950.0,7350.0,9167.5,7550.0,9230.0,8320.0,6303.5,9435.0,8215.0,8140.0,11550.0,7600.0,3790.0,8130.0,2100.0,9550.0,950.0,10305.0,12450.0,4350.0,10700.0,7825.0,6970.0,10325.0,16630.0,2850.0,3850.0,6950.0,9590.0,5790.0,6190.0,6710.0,4480.0,11825.0,3291.0,6430.0,9710.0,6450.0,11150.0,2330.0,11720.0
CO,9237.5,4660.0,14350.0,16510.0,3660.0,4535.0,9540.0,4250.0,14950.0,0.0,9400.0,8545.0,11817.5,8030.0,11895.0,9737.5,13572.5,8630.0,8500.0,8030.0,10250.0,14890.0,9350.0,14300.0,11925.0,14855.0,7662.5,3160.0,19440.0,8802.5,8827.5,9160.0,12387.5,1880.0,17550.0,14995.0,9800.0,7527.5,10905.0,12600.0,9500.0,19765.0,6517.5,17465.0,11072.5,11702.5,10365.0,3815.0,18060.0,10665.0
