place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7775.833333333343,11932.405333386732,9977.829000000114,6639.912999999974,10847.500000000344,549.3333333333334,8440.500000013128,11617.775222212911,9245.833333324217,6500.38448567611,4820.74129999109,5286.322500000274,6491.666666666847,3503.166666666826,8018.141966662407,15801.194999980005,6500.111111111111,6830.0,2407.3027857141287,5765.750166662925,9265.920333334268,5862.32727777755,13735.587000000074,3170.249999997861,12529.616357142595,5636.968857139227,11836.450142847802,9857.499999999418,2794.2088002295145,6842.333333333315,7499.34537499247,12767.299500740095,10130.580000027356,12638.798428563334,7858.728071411664,6772.7717857166845,5839.666666666667,8220.0,5698.72160000758,7903.855333354032,10203.358500004897,3334.5572333340565,10256.009285714426,6143.791857407153,2559.7061666837153,6654.9999999808515,10570.833333334147,10664.3749994143,2489.8888888888887
AR,7775.833333333343,0.0,11590.666666666666,17053.447800053473,2340.4285714285716,8975.02900000004,8142.12683333325,1137.8,19270.25,4659.888888888889,11921.293499999889,9798.499999999252,11800.0,10035.666666666666,10556.25574999996,12647.931166666669,11474.021666666387,11069.195666666656,11100.24999999786,7105.477999830586,11500.0,15899.75,11150.0,18350.11111111111,10391.152333329426,19429.94200000003,9561.06150000118,7380.666666666667,15870.666666666666,8040.518166668384,11444.2587,11873.546571428662,10320.0,3140.0,19924.91299993644,15526.9937142823,12322.471000000027,9590.804333333333,13475.8,11593.93442823672,12093.625250004423,15863.7065,6950.111111111111,17138.73166666365,11915.634166667296,9407.927333331314,12817.931166666669,8386.773285714296,17455.463999998006,8125.499999999996
AU,11932.405333386732,11590.666666666666,0.0,8886.666666676343,13870.63971418302,15636.806300000002,12709.999999997115,11340.0,8960.142857142857,14356.084699830315,16090.0,17328.742142854342,14420.0,17644.396750000007,11851.666666664665,15200.0,3333.7760999733846,16959.571428571428,17014.88888888889,15635.833333341248,15309.2587,10394.090611111387,16315.666666666648,7967.776099999988,11688.155499993722,8330.666666666648,18065.624999998876,13880.00000011577,6363.648500000007,15021.332428566287,16600.0,15843.681333331393,2328.0,12992.189285286406,6168.499999999001,10683.333333332796,15599.571428573772,18112.940833333363,14469.333333333334,12574.448928563974,15599.333333333334,6005.60325,17623.319571411274,7119.999999994589,14424.166666665951,11061.666666668067,14925.369571428555,15918.916142857142,7736.2686428310535,10483.872111109144
BD,9977.829000000114,17053.447800053473,8886.666666676343,0.0,15767.316333333132,12471.875000000131,9056.666666683312,17059.912999999917,3027.5,16492.018625000022,7089.269124999437,8678.666666667299,5298.165624801095,8241.293500000078,6321.666666663497,6713.339624999809,11693.35849999852,7903.494199999997,8000.249999997861,10377.209999997911,6168.474500001248,1423.62935,7271.695666666686,4660.0,6773.499999998348,3713.0419285714347,9592.500000001011,15848.517399982276,2630.0,9135.833333340077,7732.093142926883,7303.622374803367,11406.999999982987,18144.999999999876,3365.804333333299,1911.9580714284496,6775.8333333330265,9237.214143411267,5591.379222222206,4382.501643221616,7055.624999998947,2895.222222222222,12475.953166675168,1540.0,5372.014666662933,6631.389642425043,6322.621800221577,12661.218928571408,1879.4837500000297,8591.702777471044
BR,6639.912999999974,2340.4285714285716,13870.63971418302,15767.316333333132,0.0,7317.156928569477,6712.5,3014.8888888888887,17300.25,3660.25,9500.0,8262.061722222275,9537.254099829815,7397.407929156091,9451.482600000263,10875.26100000273,13496.666666660478,8730.0,8770.0,5577.097833333495,9514.680142805148,14451.959222219808,9209.333333333334,17650.0,9146.724666666936,18320.14285714286,7254.12672222485,6840.0,15701.548750001419,6394.359799984026,9243.499999999938,9724.246786142625,12090.497375000368,3170.5,18576.72357142692,13896.760499996068,10126.652285716295,7293.169871428559,11174.75,11001.977999988077,10389.037142369421,16727.989166665957,4936.500000083177,16816.37666666531,10573.825999824012,9221.470374991293,10654.137666666817,6735.2965200000035,17406.231666665815,7775.029000000169
CA,10847.500000000344,8975.02900000004,15636.806300000002,12471.875000000131,7317.156928569477,0.0,10264.197071428627,8701.231666668498,10555.0,4535.833333333552,6128.529000000062,6456.947285403403,9010.624999998783,5681.059000000062,11479.733142852065,6060.0107857148805,12695.833333314202,5650.0,5340.1,8669.875714289623,7634.666666666649,11155.804333333735,6722.5,10315.369571428595,11821.874999997026,10547.672357142865,5659.165388887122,3605.891333334997,14800.0,9030.63221428806,5636.853250000015,5571.528000001361,14434.150642857152,6280.054499996975,13210.019333357857,10667.448642540372,6648.050371428968,5273.750000000075,7137.5696000000235,10377.344875004626,5911.249999999459,14838.880500000065,6379.506142861031,13643.68821428324,8147.500000002168,12400.838571673332,7287.956571427589,731.4000000023948,12747.793357481532,12951.55066666751
CD,549.3333333333334,8142.12683333325,12709.999999997115,9056.666666683312,6712.5,10264.197071428627,0.0,9589.965200035642,11473.607071709608,9555.625000253392,6045.899125013317,4526.948277777825,4200.111111111111,5520.5435711725,3027.5,6815.000000000321,16524.413286386145,6034.5,6375.428571428572,1934.9999999999957,4870.833333331269,8484.30728524474,5414.571428571428,13545.000000000979,2400.6666666666665,12280.597499994388,4860.124285710954,12160.013125015203,9801.875000001683,1836.2500000017092,6400.034800035609,6973.006285716884,14619.033166673196,10134.58699999828,12253.999999999483,7204.374999996458,6120.29350000091,5768.880500133141,6469.686800003645,4650.515428290711,6894.375000006795,10363.751000007058,4196.666666665819,9830.00000001165,5106.492357155101,1985.9321249977072,6041.666666667583,10258.866699547903,10530.000000000131,2777.5
CL,8440.500000013128,1137.8,11340.0,17059.912999999917,3014.8888888888887,8701.231666668498,9589.965200035642,0.0,19059.333333333332,4250.0,12381.679250208717,10491.666666670422,13238.673666664392,10700.25,11918.333333333012,13411.67433333335,9435.833333337494,11649.571428573772,11646.810388888885,8694.375000021393,12460.213857135368,16332.068833333336,11889.333333333352,17240.0,11427.494142817215,18333.04333333399,9912.945499446094,6599.333333333351,17027.934999999983,9001.249999967155,11890.852642856382,12416.407000468953,9350.428571426228,2465.0,17293.499999999975,15830.04642813778,12702.999999999995,10225.052999999958,14115.111111111111,14000.289999998024,12497.993000001048,16341.53039992883,8448.417600425973,17594.562428571513,13150.145000000517,10594.284299997455,13034.668055558044,8050.741299991104,18307.25635714382,9166.521666666282
CN,11617.775222212911,19270.25,8960.142857142857,3027.5,17300.25,10555.0,11473.607071709608,19059.333333333332,0.0,14948.04192857141,7350.25,9172.500000000435,7550.0,9230.0,8322.068833333287,6304.626066666576,9404.831749510302,8215.0,8140.0,11560.378199998606,7600.428571426229,3789.75,8130.0,2100.0,9557.462714285259,950.1111111111111,10324.308600006727,12450.25,4349.75,10708.043333332018,7825.333333333333,6965.552200001307,10318.333333335748,16630.333333333332,2850.0,3850.0,6950.0,9589.25870000029,5790.0,6187.543499999802,6709.75522,4480.0,11818.230874999997,3290.281399995625,6446.27942879533,9706.127888883944,6450.0,11150.111111111111,2330.0,11719.353250001022
CO,9245.833333324217,4659.888888888889,14356.084699830315,16492.018625000022,3660.25,4535.833333333552,9555.625000253392,4250.0,14948.04192857141,0.0,9399.195666666785,8551.22642856898,11817.5,8029.888888890545,11902.869333333458,9733.681875003173,13547.4999999963,8630.0,8499.888888888889,8061.738750810559,10250.333333333352,14929.328857576553,9349.333333333352,14300.666666666666,11901.826286271053,14856.034142857125,7661.194071429245,3160.0,19436.49999999993,8786.612499998948,8827.5,9172.049899634841,12484.142777777603,1880.111111111111,17550.1428571452,14998.499999998608,9792.833222223364,7532.473500134282,10904.333333333352,12588.055999998218,9497.155833333334,19765.99999999996,6505.682500003337,17487.718786339774,11063.45316666443,11681.84364284743,10382.665785368128,3815.4999999999745,18040.453055556733,10681.249999999096
DE,6500.38448567611,11921.293499999889,16090.0,7089.269124999437,9500.0,6128.529000000062,6045.899125013317,12381.679250208717,7350.25,9399.195666666785,0.0,1745.299999999996,2890.0,1870.0,5349.888888888889,1100.375,16151.595124999998,878.0,931.8888888888889,5214.050666665544,1800.9,5918.7931714285705,1184.6,8918.258700000004,6356.874999999976,8130.0,2601.999999998851,9724.005799999999,9599.333333333334,4792.384000001004,577.0,840.0,18143.706499999753,11139.204200006507,9919.011599999338,5292.402166666666,517.2,2314.8888888888887,1608.0,4283.017071428588,810.0,9910.111111111111,5029.571428571428,8920.111111111111,2029.75,6734.184722069668,1204.2,6715.0,8295.499999999956,8768.226714303102
