place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5701.5,13606.0,4240.5,12046.5,3645.0,5148.0,5553.0,423.0,13532.0,12110.0,6264.0,10851.0,5346.5,4748.5,6219.5,14267.5,4656.0,5952.5,13626.5,14182.5,12368.0,4464.0,4654.5,2043.0,4824.5,4928.5,14181.0,2386.0,5641.0,2399.0,4807.5,14141.0,5245.0,5473.0,5909.25,3267.0,14027.25,4017.0,5933.0,2296.5,1387.5,1280.0,6333.0,4317.0,2026.5,8124.0,3543.5,5864.0,6864.5,852.5,5885.5,2136.5,5664.0,5023.0,5415.0,6848.5,14316.0,5587.5,5966.0,6529.75,4943.5,5170.0,5239.5,3282.5,14234.5,399.5,13775.5,14654.25,11089.0,6912.0,2030.0,4143.5,6111.0,301.0,3403.25,3810.75,3740.0,3933.5,795.0,12440.5,4825.5,5891.0,7494.0,4965.0,4197.0,14790.0,2628.0,3938.0,3424.0,3695.0,11315.0,12871.5,2261.0,5402.5,14090.0,14652.5,6291.5,5307.0,5482.0
AO,5701.5,0.0,7781.0,6407.5,12170.0,9837.5,6819.5,2938.0,5895.75,8432.5,6179.0,2240.5,10889.0,514.0,6175.0,2697.75,9218.0,1433.0,11601.5,9737.5,10143.0,10703.0,6517.5,6494.0,4280.0,7216.0,4822.0,9850.5,5285.0,6489.0,3499.5,7984.0,16725.0,6500.0,6829.0,2408.5,5835.5,11175.0,6221.5,7535.5,8223.0,5860.0,6184.5,8489.5,5822.5,5397.5,13895.5,3136.5,10660.0,12465.0,5867.0,10412.5,5749.0,5713.5,3485.5,11303.0,4162.0,12332.0,10109.35,2785.0,1581.0,2119.0,6822.0,7755.0,8600.0,12864.0,6079.0,9657.5,10029.0,15129.5,12775.0,7741.5,6903.5,5775.5,5693.5,6190.0,6188.5,7629.0,2009.94,5054.5,17463.5,8040.5,10167.5,4442.5,10134.25,4854.0,17693.0,5958.7,2879.9,6840.5,2676.5,10456.5,7457.0,7946.0,10471.0,16865.0,17729.5,2490.0,1784.25,2161.0
AR,13606.0,7781.0,0.0,11818.0,11765.0,17029.0,11311.0,8146.0,13509.5,1902.95,2340.0,8158.0,8979.0,7880.0,11178.0,7574.5,853.0,8586.0,19266.0,4665.5,5675.0,6895.5,11812.5,11910.0,11604.5,11820.0,9801.25,4352.0,11815.0,10037.5,10427.0,12617.5,11382.0,11082.0,11130.0,7897.5,11155.0,6051.5,11898.5,11041.5,15973.5,12245.0,13765.0,11824.0,11150.0,12205.0,18375.0,10172.5,16750.0,19430.0,12811.5,18863.5,11623.5,9449.25,9564.75,19623.0,7709.0,7377.5,15901.0,8109.5,7885.0,8008.75,11442.0,11861.5,17049.5,10318.5,13585.5,5292.0,3140.0,14339.0,18139.5,15390.0,12289.5,9581.0,13312.0,11812.25,11818.5,13476.0,9753.5,12280.0,12602.0,12215.0,15890.0,6430.0,17250.0,10133.0,10257.5,11820.0,9621.0,12818.0,9933.5,8382.5,203.0,16078.0,17539.5,12121.5,10652.5,8120.0,8188.0,8177.5
AT,4240.5,6407.5,11818.0,0.0,16080.0,7027.0,915.3,4304.25,3943.5,10565.5,9460.0,7881.5,6489.15,5798.0,684.5,5114.95,12495.5,4910.0,7456.0,9392.8,9688.0,8652.0,252.0,524.2,4919.5,870.3299999999999,1678.25,10167.0,2385.75,1809.0,4817.0,1437.0,16297.5,1033.35,1235.0,5075.0,1281.5,9876.5,214.3,1695.75,5561.5,2861.0,3163.25,2925.0,765.2,2449.5,9120.75,5613.5,8552.5,8273.0,3440.0,8347.75,2265.0,2494.5,8143.0,6016.05,4244.5,10144.0,9680.5,8109.0,8048.5,4483.5,937.1,1385.0,6232.25,18165.5,4394.5,9490.0,11318.5,13803.5,9744.25,4893.35,556.5,2300.75,3979.0,855.8,491.5,1670.3,5857.5,3640.25,15147.0,1244.1,9711.75,4808.5,8452.5,1361.0,16819.5,1595.0,6191.65,1055.0,5411.0,7035.4,11220.0,4171.0,8337.75,15991.0,16221.75,8533.0,7385.5,7622.0
AU,12046.5,12170.0,11765.0,16080.0,0.0,8917.5,16573.0,14835.7,12260.5,12891.5,13890.0,11013.5,16249.0,12847.5,16584.0,15839.5,11345.0,13818.5,8965.0,14325.0,13875.0,16149.5,16090.5,16094.0,12205.0,16049.0,17221.0,13617.5,14405.5,17635.5,11862.5,15218.0,3432.5,16960.0,16982.5,15200.5,15312.0,13905.5,15802.5,17188.0,10198.75,12973.5,12877.5,16960.0,16314.0,13255.0,7971.0,12154.0,6905.25,8337.5,12569.0,6794.5,14130.5,17959.5,9811.0,9466.75,17434.0,13915.0,6179.5,10944.0,10824.5,15045.0,16620.0,15951.0,9695.25,2327.0,11588.0,14297.0,12780.0,3202.5,5803.5,10825.5,15597.5,18063.0,11949.5,15650.5,15935.0,14473.5,12020.0,13057.0,3137.5,15603.5,6051.0,17771.0,7420.0,16244.0,3585.0,14649.0,11203.0,14918.0,12353.5,16069.5,11666.5,11848.25,7744.5,2698.5,4462.0,10273.0,11395.0,11200.5
BD,3645.0,9837.5,17029.0,7027.0,8917.5,0.0,7683.75,9638.05,3999.25,16898.0,15905.0,8669.0,12470.0,8505.5,7592.4,10234.4,17050.5,8974.75,3026.0,16763.5,16780.0,14378.5,7365.3,7148.75,5357.5,7394.6,8524.2,16758.5,5694.5,8275.0,5985.5,6833.0,11547.5,7906.5,8004.25,10446.0,6123.5,16026.0,7004.75,8013.530000000001,1424.0,4401.75,4275.0,8576.0,7266.4,5106.0,4888.5,6704.5,2106.75,3739.5,4265.5,1601.5,5228.5,9509.5,6938.5,3056.05,10522.5,15798.5,2630.0,7929.5,9555.75,8988.0,7715.0,7374.5,663.5,11849.25,3269.0,16395.0,17894.0,7247.75,3567.0,2030.5,6839.950000000001,8802.4,3904.0,6274.0,7049.0,5584.1,7313.2,4870.5,8500.0,7173.85,2894.75,12327.0,1540.0,7655.0,12078.0,5477.5,6789.0,6234.05,7291.0,12635.0,16480.0,2908.25,1890.5,10507.0,12015.0,8530.25,8164.5,8101.5
BE,5148.0,6819.5,11311.0,915.3,16573.0,7683.75,0.0,4562.5,4684.25,10082.25,9282.5,8380.0,5651.75,6225.0,488.9,5170.75,11795.0,5078.65,7970.0,8466.25,8975.5,7705.0,711.6,651.315,5609.0,764.5,1631.0,9583.5,3211.0,1315.5,5637.5,1648.5,16320.0,264.0,320.0,5033.0,2089.0,9018.0,1129.5,774.0,6364.75,3765.0,4074.5,2131.5,1173.5,3385.0,9438.0,6541.0,9706.0,8677.0,4359.2,9030.0,3144.0,1880.7,8794.5,6988.5,3803.6,9241.0,10233.75,8820.0,8379.0,4831.75,173.0,1083.0,7220.75,18815.0,5439.0,8479.0,10214.0,14338.5,10445.5,5862.25,1160.03,1713.0,4895.85,1764.0,1372.95,2253.0,6362.5,4500.0,15394.0,1281.15,10432.25,4479.5,9267.5,1626.0,16552.5,2595.0,6935.0,2021.5,6242.5,6247.5,10917.0,4821.0,8402.0,16267.5,15846.5,8885.5,7620.0,7947.5
BF,5553.0,2938.0,8146.0,4304.25,14835.7,9638.05,4562.5,0.0,5318.0,8309.75,6137.5,4829.5,8028.75,2850.0,4052.0,720.4,9265.5,1738.0,11382.5,8185.0,8829.25,8126.0,4555.0,4748.0,4821.0,4984.0,2712.5,8796.0,3914.0,3182.5,4392.5,5972.5,19179.5,4064.0,4842.0,760.25,3577.5,9355.0,4311.5,4656.25,8368.5,5043.75,6005.5,6084.0,3450.5,4455.0,13162.5,4757.5,11675.0,11845.0,5036.0,11555.0,4435.0,2396.3,6213.25,10855.25,1612.3,10385.0,11820.0,5739.0,4815.5,889.0,4641.5,5481.5,8949.0,18761.25,6195.0,8536.0,9006.25,18045.0,12975.0,7508.5,4896.5,3177.5,5569.5,4732.5,4356.5,6051.0,3557.5,5195.5,18965.05,5481.5,11741.5,1740.75,10625.0,2849.0,19229.25,4598.5,4514.0,5206.5,3961.0,8244.0,8081.5,7462.0,11250.0,19122.85,18974.25,5465.5,4835.0,5073.0
BH,423.0,5895.75,13509.5,3943.5,12260.5,3999.25,4684.25,5318.0,0.0,13824.5,11649.5,6171.25,10257.5,4977.0,4470.75,6066.85,14383.0,4794.25,6236.75,12531.5,13894.5,11924.5,4138.05,4386.75,1970.35,4816.25,4668.0,13973.5,1932.5,4844.5,2543.25,4430.0,14648.0,4826.75,4845.0,6026.5,2925.75,13197.0,3688.25,5809.5,2896.0,1003.75,1039.0,6538.8,4018.5,1589.0,8263.55,3539.5,6349.5,7171.0,420.5,5948.2,1578.0,5302.5,5474.0,5470.0,6424.5,14171.0,6251.0,6177.0,6865.0,5127.5,4793.0,4916.0,3936.0,15017.5,836.0,13243.0,14607.0,10813.0,7389.5,2356.5,3972.6,5720.0,141.0,3137.5,3446.25,3438.5,3975.5,421.0,12952.35,4689.0,6380.75,7475.5,5375.0,3892.0,15068.0,2244.0,4156.75,3112.25,3809.0,10627.0,12406.5,2926.5,5959.0,13971.5,14788.0,6484.5,5214.5,5716.0
BO,13532.0,8432.5,1902.95,10565.5,12891.5,16898.0,10082.25,8309.75,13824.5,0.0,1923.25,9135.7,6795.0,9122.5,10052.0,7621.95,1685.25,8924.0,17588.25,2933.0,3944.0,4854.0,10543.25,10377.25,11751.5,10631.0,9226.0,2479.5,10920.0,9142.0,11054.0,11507.0,11527.25,9934.0,9929.5,8079.0,10705.0,4723.5,10935.0,9761.0,15728.5,12665.0,13892.5,9879.5,10123.75,12060.5,17034.5,10748.5,18580.0,18255.0,13381.0,18546.0,11725.25,8887.5,10508.75,16974.0,7695.0,5553.0,18407.75,9302.5,8480.9,8424.0,10135.7,10380.0,16935.0,10415.0,13986.5,3511.0,1485.75,14855.0,18842.5,15506.5,11045.0,8766.5,13599.65,11210.0,10931.75,12315.0,9999.25,12846.0,13448.0,10988.75,18772.5,7306.6,17710.5,9519.85,10917.5,11849.0,10220.0,11687.25,10192.5,6507.5,1918.25,14998.0,18952.5,12958.75,11287.0,9189.6,9333.25,9306.85
BR,12110.0,6179.0,2340.0,9460.0,13890.0,15905.0,9282.5,6137.5,11649.5,1923.25,0.0,7509.5,6842.5,6733.0,9045.5,5588.25,2581.0,7116.0,16890.0,3660.5,4846.0,4873.0,9574.6,9498.75,10134.75,9579.0,8038.5,3420.5,9477.5,7265.5,9208.5,10443.5,13750.0,8732.0,8775.0,6141.0,9574.7,5415.0,9574.5,8884.95,14279.0,11215.0,12237.0,9052.5,9168.0,10671.4,17371.0,8723.0,17272.5,18224.0,11615.0,17865.0,10451.0,7178.0,9181.0,16309.0,5160.0,6843.5,16582.0,7703.0,7152.0,6180.5,9233.0,9580.0,14972.5,12027.5,11964.5,4525.0,3171.0,15869.0,18410.0,13783.0,10103.5,7292.0,11827.5,9919.5,9537.5,11180.0,8483.0,11232.5,15394.5,10150.5,16738.0,5031.0,16740.0,8071.5,13450.0,10255.0,8905.0,10222.5,7962.5,6741.5,2280.0,13755.0,16642.0,14747.5,13448.0,7431.5,7791.0,7508.1
BW,6264.0,2240.5,8158.0,7881.5,11013.5,8669.0,8380.0,4829.5,6171.25,9135.7,7509.5,0.0,12617.0,2410.5,8046.0,4766.85,9587.65,3373.5,11601.0,10922.5,11894.0,12315.0,8095.75,8548.5,4802.5,9165.0,7278.5,11688.5,5421.5,7767.0,4020.0,9356.5,14943.5,7990.0,8764.5,4685.0,7032.5,12835.5,8055.0,9186.5,7727.0,6699.5,6923.0,10033.5,7360.0,6367.5,12912.5,2912.0,9947.5,12222.0,6340.5,9967.5,6443.5,7455.0,2588.5,11883.0,6328.5,14325.0,8756.0,633.0,898.5,3890.0,8765.5,9357.5,8782.5,12207.5,6252.5,11557.5,11007.0,12870.0,11270.0,8095.5,8355.0,7830.0,6586.0,7566.0,7841.0,8950.0,2906.0,6063.25,14648.0,9242.5,9152.5,5742.0,9616.5,7166.0,15228.5,7384.5,2420.85,8185.0,2922.5,12484.0,8358.0,8406.5,10132.5,14135.0,16154.25,258.0,962.25,916.0
CA,10851.0,10889.0,8979.0,6489.15,16249.0,12470.0,5651.75,8028.75,10257.5,6795.0,6842.5,12617.0,0.0,10261.0,6077.5,7988.0,8595.0,9149.0,10490.0,4533.5,3995.5,2620.5,6407.975,6135.8,10857.5,5646.0,6265.5,4992.5,8749.5,5714.5,11389.5,6107.0,12667.5,5649.5,5380.0,8301.0,7628.5,3647.5,6888.0,4813.0,11160.0,9245.0,9572.25,3849.5,6726.75,8878.7,10313.0,11771.0,13680.5,10472.5,9882.5,13215.0,8674.0,5682.5,13963.0,9592.75,6142.0,3606.25,14796.5,13204.5,11840.0,8705.35,5643.5,5636.0,11590.0,14370.0,10932.5,3949.25,6198.5,13920.75,13213.0,10811.5,6534.5,5293.25,10676.5,7353.3,7347.25,7142.55,11351.5,10198.25,13070.0,5962.0,14871.5,6333.0,13705.2,7065.5,11938.0,7801.5,12266.0,7282.5,11440.0,732.0,9003.5,9669.9,12517.5,12652.0,11601.0,12981.5,12307.5,12496.5
CD,5346.5,514.0,7880.0,5798.0,12847.5,8505.5,6225.0,2850.0,4977.0,9122.5,6733.0,2410.5,10261.0,0.0,5977.25,2496.5,9585.4,975.0,11466.5,10080.0,10867.25,10508.5,6125.0,6185.0,3523.5,6779.0,4773.0,9895.0,4206.5,5787.5,3017.5,7299.0,16767.5,6015.0,6378.0,1900.0,4908.25,11151.25,5921.5,6668.5,8004.0,5076.0,5780.5,8334.0,5415.0,4701.5,13560.0,2414.0,10776.0,12413.0,4985.5,10575.5,4911.0,4846.5,3851.5,10625.15,4023.0,12579.25,10170.65,2779.0,2073.0,1773.5,6247.5,7175.0,8430.0,14047.5,5417.0,9883.0,10385.0,15183.8,11833.0,7284.0,6184.0,5794.5,5027.65,5811.5,5719.75,6952.5,1666.0,4557.75,16913.75,7150.5,10286.5,4200.0,9639.5,4875.0,16755.5,5026.5,2264.0,6196.5,1950.25,10094.5,8076.75,7600.0,10454.0,16241.5,16955.0,2776.5,1689.0,2232.5
CH,4748.5,6175.0,11178.0,684.5,16584.0,7592.4,488.9,4052.0,4470.75,10052.0,9045.5,8046.0,6077.5,5977.25,0.0,4710.0,11847.5,4932.5,7968.0,8993.7,9293.5,8074.0,617.5,753.4,5165.4,973.6,1222.0,9704.5,2819.25,1149.4,5223.5,1854.5,16410.0,435.4,747.2,4696.0,1631.5,9461.5,809.0,1177.65,6546.25,3408.75,3877.25,2617.5,685.2,3091.0,9585.0,6055.5,9300.0,8745.810000000001,4124.5,8985.0,2855.1,1816.05,8391.5,6776.85,3803.0,9577.5,9949.0,8500.2,8069.0,4220.3,631.0,1439.0,6910.0,18815.0,5050.0,8903.1,10274.5,14077.5,10338.75,5587.55,1082.75,1654.75,4631.5,1359.5,959.0,2191.0,6024.0,4230.0,15004.5,1477.75,10292.0,4224.0,9058.0,1119.9,16877.5,2094.4,6500.5,1637.0,5564.0,6453.5,11120.0,4834.55,8794.0,16145.0,16340.0,8596.0,7462.5,7614.5
