id,place_a_id,place_b_id,true_distance_km
AE--AO,AE,AO,5789.562333902342
AE--AR,AE,AR,13529.214746619495
AE--AT,AE,AT,4240.533433479227
AE--AU,AE,AU,11949.361743211797
AE--BD,AE,BD,3654.894106864547
AE--BE,AE,BE,5158.218793556635
AE--BF,AE,BF,6015.546401624032
AE--BH,AE,BH,428.3040518422248
AE--BO,AE,BO,13804.61066665081
AE--BR,AE,BR,11946.46205222579
AE--BW,AE,BW,6240.139957666417
AE--CA,AE,CA,10769.92523802494
AE--CD,AE,CD,5293.834780620477
AE--CH,AE,CH,4824.29363438197
AE--CI,AE,CI,6633.529439211588
AE--CL,AE,CL,14639.057097417122
AE--CM,AE,CM,5123.937544147606
AE--CN,AE,CN,5970.945542251472
AE--CO,AE,CO,13588.353397547735
AE--CR,AE,CR,14119.144537017517
AE--CU,AE,CU,12976.823855763972
AE--CZ,AE,CZ,4453.994092626804
AE--DE,AE,DE,4637.390140635866
AE--DJ,AE,DJ,1852.7294237590422
AE--DK,AE,DK,4846.553325017207
AE--DZ,AE,DZ,5043.323060823943
AE--EC,AE,EC,14287.912014876967
AE--EG,AE,EG,2366.759275546905
AE--ES,AE,ES,5631.525649969257
AE--ET,AE,ET,2384.299141419422
AE--FI,AE,FI,4569.694904016727
AE--FJ,AE,FJ,14223.767159243713
AE--FR,AE,FR,5247.246193643851
AE--GB,AE,GB,5478.1261216819585
AE--GH,AE,GH,6185.81623346826
AE--GR,AE,GR,3259.934078702464
AE--GT,AE,GT,14251.682942181737
AE--HU,AE,HU,4023.61962227001
AE--IE,AE,IE,5923.8961123455565
AE--IN,AE,IN,2317.3974246380553
AE--IQ,AE,IQ,1381.865116430876
AE--IR,AE,IR,1274.193940957199
AE--IS,AE,IS,6923.539333178569
AE--IT,AE,IT,4302.817747838561
AE--JO,AE,JO,1987.0819620999594
AE--JP,AE,JP,8073.544801878438
AE--KE,AE,KE,3421.780492767156
AE--KH,AE,KH,5508.639725446627
AE--KR,AE,KR,6917.798948475765
AE--KW,AE,KW,835.2946650186637
AE--LA,AE,LA,5034.687814921841
AE--LB,AE,LB,2104.9694589383944
AE--MA,AE,MA,5956.886854094676
AE--MG,AE,MG,4856.413755905821
AE--MN,AE,MN,5264.383638324573
AE--MR,AE,MR,7259.418679889248
AE--MX,AE,MX,14368.22803756993
AE--MY,AE,MY,5593.706838704347
AE--MZ,AE,MZ,6051.049936842217
AE--NA,AE,NA,6581.868236949095
AE--NG,AE,NG,5245.328758553293
AE--NL,AE,NL,5166.5667810755085
AE--NO,AE,NO,5170.2750948772
AE--NP,AE,NP,3108.7945625465486
AE--NZ,AE,NZ,14263.06769834562
AE--OM,AE,OM,440.187661932778
AE--PA,AE,PA,13801.249808949733
AE--PE,AE,PE,14741.890386756126
AE--PG,AE,PG,10729.98816098116
AE--PH,AE,PH,7014.299387195103
AE--PK,AE,PK,2091.9306741687183
AE--PL,AE,PL,4175.80094245249
AE--PT,AE,PT,6108.881907285131
AE--QA,AE,QA,300.3882333660697
AE--RO,AE,RO,3382.95729193191
AE--RS,AE,RS,3796.836503980071
AE--RU,AE,RU,3733.9329972644805
AE--RW,AE,RW,3929.798346105407
AE--SA,AE,SA,769.6859679637856
AE--SB,AE,SB,12017.217442653653
AE--SE,AE,SE,4791.235402152243
AE--SG,AE,SG,5904.634458949135
AE--SN,AE,SN,7537.403993030437
AE--TH,AE,TH,4974.601270607319
AE--TN,AE,TN,4407.980195094561
AE--TO,AE,TO,14953.467095168042
AE--TR,AE,TR,2642.457862506669
AE--TZ,AE,TZ,3946.5457195169315
AE--UA,AE,UA,3538.96641658904
AE--UG,AE,UG,3556.9335449636924
AE--US,AE,US,11363.596937151551
AE--UY,AE,UY,13333.110231179631
AE--UZ,AE,UZ,2325.1862869888337
AE--VN,AE,VN,5271.604580089139
AE--VU,AE,VU,13189.369369342909
AE--WS,AE,WS,15064.831509101372
AE--ZA,AE,ZA,6223.671305419624
AE--ZM,AE,ZM,5243.709204476563
AE--ZW,AE,ZW,5318.665016610215
AO--AR,AO,AR,7779.757280725595
AO--AT,AO,AT,6325.55455796121
AO--AU,AO,AU,13288.474497523322
AO--BD,AO,BD,9121.283483960526
AO--BE,AO,BE,6666.629051804995
AO--BF,AO,BF,2857.797278781874
AO--BH,AO,BH,5600.47863545524
AO--BO,AO,BO,8496.811942964296
AO--BR,AO,BR,6675.278533941141
AO--BW,AO,BW,2207.745531644112
AO--CA,AO,CA,10620.756402433968
AO--CD,AO,CD,549.1026827702303
AO--CH,AO,CH,6201.600383747608
AO--CI,AO,CI,2685.883664430021
AO--CL,AO,CL,8913.64308220524
AO--CM,AO,CM,1417.8055883165898
AO--CN,AO,CN,11758.580047473492
AO--CO,AO,CO,9801.95415219586
AO--CR,AO,CR,10979.972960235385
AO--CU,AO,CU,10966.617189838344
AO--CZ,AO,CZ,6528.579511344841
AO--DE,AO,DE,6798.792115651933
AO--DJ,AO,DJ,4008.8572807936744
AO--DK,AO,DK,7150.412086943095
AO--DZ,AO,DZ,5158.666122203358
AO--EC,AO,EC,10205.55344277804
AO--EG,AO,EG,4715.419795274749
AO--ES,AO,ES,5722.316302190526
AO--ET,AO,ET,3446.282530254973
AO--FI,AO,FI,7720.979613051022
AO--FJ,AO,FJ,16614.26463120842
AO--FR,AO,FR,6480.8047195500585
AO--GB,AO,GB,6807.150235507682
AO--GH,AO,GH,2181.7570144061915
AO--GR,AO,GR,5296.817859625665
AO--GT,AO,GT,11734.280709609455
AO--HU,AO,HU,6266.9544162808825
AO--IE,AO,IE,7131.738721974246
AO--IN,AO,IN,8015.072192343541
AO--IQ,AO,IQ,5715.380435612689
AO--IR,AO,IR,6349.174258445464
AO--IS,AO,IS,8615.41079562491
AO--IT,AO,IT,5617.9698794223505
AO--JO,AO,JO,5119.138849786292
AO--JP,AO,JP,13857.461409152482
AO--KE,AO,KE,2743.2396541926637
AO--KH,AO,KH,10393.553164672203
AO--KR,AO,KR,12699.236686021166
AO--KW,AO,KW,5634.509033844583
AO--LA,AO,LA,10249.988783406647
AO--LB,AO,LB,5280.659490507894
AO--MA,AO,MA,5195.819618732341
AO--MG,AO,MG,3861.1712397392785
AO--MN,AO,MN,11006.666818925813
AO--MR,AO,MR,4378.466955534732
AO--MX,AO,MX,12679.078203838877
AO--MY,AO,MY,9903.39358541899
AO--MZ,AO,MZ,2788.2828410723064
AO--NA,AO,NA,1574.5135840058651
AO--NG,AO,NG,2080.1823760601865
AO--NL,AO,NL,6826.04260195697
AO--NO,AO,NO,7625.360370993152
AO--NP,AO,NP,8739.386510066946
AO--NZ,AO,NZ,14143.139009143959
AO--OM,AO,OM,6101.5062471645315
AO--PA,AO,PA,10470.26967782858
AO--PE,AO,PE,9845.778856925126
AO--PG,AO,PG,14542.889044501804
AO--PH,AO,PH,12162.128893919244
AO--PK,AO,PK,7881.321787923071
AO--PL,AO,PL,6809.113037552695
AO--PT,AO,PT,5753.282352388308
AO--QA,AO,QA,5610.658950562518
AO--RO,AO,RO,6040.007598311865
AO--RS,AO,RS,5986.483745617269
AO--RU,AO,RU,7506.107188793741
AO--RW,AO,RW,2013.1458878347667
AO--SA,AO,SA,5193.3979905841725
