place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5661.471333331526,13594.468342935139,4236.7070750000275,12048.000000000002,3611.5738666655043,5148.87500000928,5529.624999989133,423.70931429537876,13825.57999999709,12117.931714285709,6269.999999997854,10964.252299998117,5052.833333333318,4814.124999998907,6242.054214289367,14716.648999731791,4832.773471427415,5928.984899857151,13618.499999999722,14220.193366666463,12504.15430017402,4456.5,4650.791055555544,1992.7180999998227,4824.184066666677,5046.833333333381,14188.407185714133,2289.6666666665196,5640.5,2405.50966666665,4799.182388944189,14156.782666666537,5249.571428573771,5474.522371428572,5888.7376426030705,3270.499999999982,14035.156640001263,4014.6666666666665,5944.666666666685,2297.8,1383.8000000000004,1274.3333333333514,6588.625000006868,4320.60325,1978.5123666688314,8022.20649999991,3559.1279428571193,5514.751699992669,6860.709314285719,852.625,5200.852044451026,1983.143466666675,5810.0901425401735,4980.481100123114,5251.07409965409,6635.833333334341,14315.571428573772,5586.503479993669,6345.301285712389,6562.299999991614,5113.644500001597,5171.228249999999,5162.7999999978065,3315.9956857171233,14243.157771428532,420.0,13862.979788891278,14803.749999802085,10363.49999999652,6968.89257999905,2030.3621799999603,4157.333333332575,6126.603249984134,300.375,3405.2537285714384,3811.0,3740.666666666649,3764.9227801919233,789.62077777783,12079.2421666857,4811.500000000572,5889.888888888889,7484.605571428781,4966.9826,4241.061499989578,14823.666666667135,2621.3522000172525,3879.5578888898876,3462.731999996298,3719.3333333320534,11322.749999999996,12645.000000005839,2431.666666646379,5290.486100000042,13941.625000000005,14688.749999999764,6293.01707145458,4976.875000004633,5476.875000000272
AO,5661.471333331526,0.0,7789.027249999412,6117.140885712712,11996.801040004135,9712.499999999107,6500.723133332347,2918.06050000002,5958.020219977283,7762.142366654795,6361.7981999579515,2094.9049000129326,10838.624999992073,553.5034800000295,6204.370885714259,2736.059966670181,8201.065333332195,1416.6550666667604,11536.808928786937,9457.73966668875,9779.739861072867,10113.000000000318,6615.704157479332,6539.927585709458,4605.833333331159,7192.787357141088,4826.776099999867,9660.74999999944,4970.836500552995,5774.857142857143,3499.5565500412476,7757.9671666750455,15809.234500000463,6501.680975000002,6829.777777777777,2402.465659984002,5567.875000352179,10410.62499999846,6134.907700000019,7374.666666691018,8601.666666657764,5833.795033332742,6181.800833335762,9223.681333318471,5795.920333335125,5372.833333335066,13561.83781998756,3166.275333333003,10412.629771427966,12389.001499999105,5937.489071593954,10163.05544444675,5485.991388873075,5586.155124501347,3939.847500017636,11334.03929999984,4168.833333345961,12058.19651425576,9423.833333342202,2784.8888888888887,1580.5,2222.735066667878,6828.084555555508,7514.193124998447,8799.62067143327,12525.98058573075,6080.901640008751,9638.700000001942,9889.221928232873,14820.000000000007,12301.23137498508,7433.467000018753,6691.299999992717,5780.0,5827.166666668498,6180.833333333874,6241.9191428563145,7380.401579989759,2027.1666666655806,5456.192625015368,16346.000000008018,7621.867271425165,10103.829939999474,4474.858500004211,10113.999999999829,5045.27962498786,16176.666666618778,5943.333333327731,2784.949442606059,6722.854142450817,2635.036299997759,10447.59083332978,6890.750000253554,8178.283928571434,10637.13835714233,15815.124999999764,16641.71249910367,2490.4285714262282,1891.0368499939127,2163.3333333330806
AR,13594.468342935139,7789.027249999412,0.0,11813.825157142865,11795.166666666686,17068.75255694152,11324.25157144594,8091.481572007078,13467.217428571586,1821.1999999874631,2340.6666666666665,7960.6555,8976.268642883148,7857.5,11207.804250000736,7324.499999999395,850.1111111111111,8193.125000002736,19269.333333333332,4684.888888888889,5672.482600017782,6895.842999999994,11818.462714285744,11912.300000000052,11186.66570048103,11824.114466666548,9802.636133331915,4353.965200000035,11800.0,10031.608666666665,10191.621714841443,12626.864928571249,11519.999999998345,11081.852171428569,11120.948785714194,7194.054166666123,10478.333333333334,6043.375000360847,11885.533075000185,11044.874999999804,15895.862333333345,12231.166666666548,13785.218928571412,11338.98490000076,11140.999999999965,12036.869428570117,18375.0,10147.610928572121,17260.833333333612,19428.706500000128,12614.999999999607,18609.640333333642,11837.438774999073,8968.343400283378,9596.23166667939,19252.151771433426,7553.046624079696,7375.25,15913.654442857192,8118.440066666836,7592.888666679362,7976.03250000042,11445.142857142857,11699.168928569763,17200.942666660067,10337.776099999966,13645.970357145361,5290.25,3138.87935,14047.029357555693,19996.0,15105.747214274817,12229.400000000674,9580.166666666666,13314.333333333334,11812.857142857143,11807.06845,13476.0,9495.250000012627,11964.47799999971,12585.199166665243,12144.059100007453,15870.47099999986,6954.095124999967,17250.14285714286,10190.358066668752,10339.22466666693,11802.105566666636,9330.398333326222,12816.603414293028,9607.735857145477,8374.26682500001,203.0,15935.007955561883,18739.666666666766,12209.666666664827,10314.280500002136,8115.889559999987,8173.238999913242,8175.369571428588
AT,4236.7070750000275,6117.140885712712,11813.825157142865,0.0,16084.723899999984,6943.877479674558,915.0,4226.250000003588,3935.153644443923,10574.475285714278,9612.333333333187,7814.937342644057,6795.276560077676,5607.57861111138,682.4440250000182,5022.484571707921,12482.53728576622,4871.699999999793,7455.888049999994,9639.94933333402,9791.981428571415,8690.760122222144,251.88888888888889,524.0,4859.166666667848,870.0,1637.62499998411,10181.287871428656,2384.333333333336,1809.4285714262285,4822.500000044054,1437.625,16306.425111111095,1033.7,1234.9,5048.269957141771,1280.0,9835.214625000212,214.0,1696.142857142857,5561.982928571441,2837.8971333328936,3166.853249999994,2997.691066665358,765.0,2457.6503142857036,9130.0,5685.625000001818,8745.624866662476,8272.5,3418.6249999999027,8346.840071428558,2242.373677777741,2372.8882666719464,8177.098620003687,6237.666666666258,4287.006074998308,9957.736699995556,9663.817371427143,8193.656785715491,7627.443533332672,4291.415844439553,937.0,1391.5,6247.557999999985,18181.87499993036,4475.333928790245,9630.733749884368,11261.84185682786,13507.56249999829,9720.333333333081,4895.170714282934,556.0,2300.2,3954.575400000325,855.1,490.4,1670.0,5873.7693888886615,3671.5000000094637,15256.189433325535,1244.0,9702.625,4772.166666667226,8454.666666666695,1360.3749999978606,16888.83333333492,1596.5791200126762,5941.840666665461,1003.9463777777831,5254.166666666881,7040.1627428569955,11234.202100270066,4181.666666667262,8338.086540037293,15973.624999999109,16178.578900000142,8359.166666664965,7212.0225444445,7472.76100000245
AU,12048.000000000002,11996.801040004135,11795.166666666686,16084.723899999984,0.0,9071.284214492127,16572.525279923793,15612.59999997948,12310.833333333241,12840.987714281873,14070.0,10604.176880614377,16248.517399999966,12393.737928531906,16561.393011111024,15322.307414286217,11340.111111111111,14029.375000000393,8964.2587,14313.091642857062,13949.166666666668,16252.828628571531,16088.9729857143,16092.1,11976.730133343126,16044.120266666387,17183.375000001022,14332.753666666846,14400.333333333334,17629.666666666686,11671.28233332881,15220.06612857142,3285.9684000023362,16959.57142857377,16959.33333333335,15674.029642852855,15305.999999999955,14282.500000604568,15743.33333333324,17221.625000000015,10213.0,13049.59010000439,12836.456499999962,16948.10439999979,16315.0,13209.641214288426,7974.223899999988,12158.163166668543,6944.333333333816,8342.482599999974,12288.375,7134.996166664443,14123.478333333458,17926.49616666392,9768.540166675886,9562.639714285227,17699.064277769936,13823.121285712268,6358.445500004933,10422.500000001854,10761.099999992475,14743.145571944342,16597.55105000002,15926.499999999554,9696.165199999934,2325.2,11383.054499986996,14321.16666666696,12775.833333334092,2626.400000000753,6276.1819713831055,10584.158142860277,15605.058999982626,18051.84996666671,11962.807428571075,15523.295033333228,15934.166666666666,14470.44477999051,11700.962857139379,12701.646250000034,3025.325280000002,15598.913766666667,6129.07748006096,17221.87499998027,7313.124285714324,16253.067299999697,3826.833333331359,14383.786699999682,11198.223428570845,14915.666666666648,11990.790374431368,15998.753555556068,11758.436357143217,11568.774624996915,7737.150033329246,2496.8509499964184,4413.500000000078,10279.666666666668,11769.73314285542,10844.601666667255
BD,3611.5738666655043,9712.499999999107,17068.75255694152,6943.877479674558,9071.284214492127,0.0,7652.635425144925,9408.20485714498,3937.3750000001423,16829.227700010786,15845.638399996567,8383.075000307499,11843.599399995563,8995.999999984178,7548.859488890172,10679.300166669424,17118.42425714326,8498.83299999922,3026.3333333333335,16389.785857142124,16363.83333333049,15398.999999982978,7130.065285713797,7124.298359879721,5255.508300002215,7335.166666666173,8388.566866666675,16449.402499996904,5276.275114286932,8267.212500000009,6046.988255550807,6580.833333331509,11419.999999998598,7908.758700000041,7994.131866666663,10015.000000005195,6069.690575002277,15859.412055555564,6736.333333336745,8184.530157141998,1423.7,4405.412342856933,4213.477350012265,8341.257857141274,7274.18986666673,5015.2173333352075,4829.00000001129,6827.27924285706,1864.3333333333649,3725.9048750348015,4262.833333334028,1351.6304285887122,5127.500000000646,9196.249999999198,6871.688585714893,3108.26927777457,10792.839784941816,15839.324374881022,2630.222222222222,7753.499999999206,9463.72535792966,8668.752929271795,7697.608666666757,7348.441328666996,664.3333333333334,11082.476785714287,3282.5,16294.564015058735,17441.713166653295,6816.8749999999245,3324.6250000005325,2021.8080857139694,6705.006942854235,8628.322857148518,3940.2687666661504,6264.698714284877,6766.624999990367,4980.166666667331,7326.249999988536,4643.452075012026,8705.472866688558,6911.982599999999,2895.499999997861,11881.333333348959,1540.0,7556.499999996395,11610.66700000944,5224.5915003209175,6702.973300001098,5939.432699993123,7258.874999995225,12692.833333334935,16282.680088890933,2901.502625002348,1861.000000000117,10001.027485706392,11061.86138888924,8347.337055557871,8281.623742853986,7972.791199998813
BE,5148.87500000928,6500.723133332347,11324.25157144594,915.0,16572.525279923793,7652.635425144925,0.0,4437.921533324786,4772.879924999789,10076.98956666584,9184.71733333317,8154.113399998844,5641.130444444397,6231.666666666665,488.2857142833713,5131.749999867601,11753.509599998048,5268.722622220649,7970.0,8838.166666670264,8964.36914000004,7704.508957143375,717.1,651.0,5559.576166668108,764.8888888888889,1643.8333333331807,9481.51922222053,3210.8333333333335,1315.5,5634.095125000042,1647.4309750000007,16341.293500000029,264.0,320.0,5038.758371428557,2089.500000000018,9033.166666666551,1129.7,774.0,6363.500000000001,3750.645699825938,4075.3333333333153,2131.5,1173.0,3305.999999999699,9438.666666666666,6519.483749999637,9553.40000000064,8672.041928571425,4361.1249999991915,9005.322244444316,3142.8836999999976,1878.624999999937,8769.83180000046,6977.614840039282,3813.1666666683122,9224.499999999916,10251.59694290035,8761.246333333189,8253.00000000469,4755.736985828706,173.0,1027.274822222032,7191.876185585504,18814.75,5481.519588889089,8793.939266666663,10524.333333333334,14252.333333335586,10446.333333333205,5819.300833337598,1160.0,1712.4285714285713,4895.024877777778,1763.2857142880573,1373.375,2253.0,6259.423833333308,4686.242942856611,15165.825342852628,1281.0,10539.005799999974,4489.9369666667335,9264.805975,1625.6,16634.535125000562,2592.4369666667676,6748.929250002542,1853.3092571439138,6224.215271428456,6240.902166666615,10877.717500000106,4932.397075007513,8361.525525000043,16269.015571428885,15689.541111110451,8862.74692857123,7589.942314283219,7875.066388888288
BF,5529.624999989133,2918.06050000002,8091.481572007078,4226.250000003588,15612.59999997948,9408.20485714498,4437.921533324786,0.0,5352.598888521799,8265.909485719309,5885.1666666547235,4986.419711101744,8014.232157616881,2803.925428465584,3991.1249999955176,676.87973333142,8976.182611115419,1803.9880856863724,10917.874999999922,7906.431600016897,8822.307571422565,8004.507766659617,4462.58240000031,4706.733166666666,4709.499999995104,4904.402214124596,2712.3507333333673,8400.120699989906,3654.83333331846,3181.715774999928,4172.296999997939,5629.166666664216,18341.5172142853,4070.452725000002,4467.1577999963165,759.8571428571429,3592.166666669861,9111.666666676441,4227.5573571318155,4615.999999997552,8048.074460401021,4882.622642857158,5405.70362501046,5768.428757482751,3554.000000000633,4400.075228362775,12539.933333347613,4482.439828561396,11035.389944444576,11846.666666664783,5409.333333339178,10628.8933600064,4298.030485716075,2421.6308444517445,6356.87499998291,9884.649999997231,1612.2456499999948,10088.333333325028,11018.333333332968,5840.833333335941,4663.500000000007,825.1666666668693,4567.528471428421,5359.340666664932,8610.625000482789,17481.713166653673,5775.993100004674,8320.000000000993,8805.00000000007,16465.00000001185,12586.945785709582,7390.659155555559,4852.999999998007,3110.2428333359508,5417.374999759081,4490.841385937922,4202.50000000594,5830.873277777793,3574.9114666643804,4848.375000137157,18274.16666666601,5413.166666666436,11453.333333339342,1688.5984428573142,10524.338399988055,2754.8522666609865,19068.315357139752,4482.368071592659,4538.333333336102,5021.333333328269,3582.985333330448,8150.590499996842,8035.357720041319,6842.499999998451,10683.297442858526,18299.166666663878,18145.704388880866,5285.700214016405,4550.624999998512,4867.500000004438
BH,423.70931429537876,5958.020219977283,13467.217428571586,3935.153644443923,12310.833333333241,3937.3750000001423,4772.879924999789,5352.598888521799,0.0,13418.249599994953,11527.216022224084,6190.210000001129,10147.867271429408,5023.333333327999,4498.889033335871,6104.933686118468,13949.374999995065,4823.624999988818,6154.2347333338585,13156.831999987802,13724.50000000102,12155.173999997307,4196.666666668073,4339.500000001621,1952.5167428580014,4770.983366666985,4725.978499999924,13816.557927955291,1928.0210111111066,4842.6249999996935,2204.8394142877873,4309.0491333394275,14351.133756880474,4822.184785722964,5099.632960000332,5970.903200005923,2620.8333333316814,13355.095533329892,3544.3749999997913,5569.000000005876,2626.5,986.9360285715345,1027.265100015893,6302.2499995841135,3999.983749883584,1532.6250000002624,8261.275844444444,3518.07011110764,5983.333333333322,7071.705350000061,419.72415555800364,5503.249999978872,1579.4999999999889,5438.3153571321345,5311.1090666539885,5530.750000504117,6226.886785704663,14317.666666666666,6278.787542856837,6107.089857148685,6562.715128322616,4935.858499996456,4806.357024999705,4871.125000001497,3592.124999999846,14673.254000003466,832.9729857020486,13579.927666669266,14255.910125002607,10746.034700019267,7396.6666666668225,2257.180855558057,3867.015571256415,5647.499999991249,140.8,3078.1292779076753,3388.1666666720002,3440.0,4143.054871427297,420.6666666666667,12570.484099829133,4662.550724999941,6330.177199999859,7147.418111103675,5360.889559999991,3854.3414333372725,14741.64533332321,2010.6795799996469,4160.57771428731,3109.5521999988146,3749.3940333333935,10469.388449968445,11897.340333336013,2813.2593571433613,6040.596777792945,13987.500000006088,14734.630142022672,6287.659333334659,5070.225211118612,5643.092957142867
BO,13825.57999999709,7762.142366654795,1821.1999999874631,10574.475285714278,12840.987714281873,16829.227700010786,10076.98956666584,8265.909485719309,13418.249599994953,0.0,1970.3999999999994,9095.550514278311,6733.98245672946,8870.83333333321,10064.333333333418,7758.742429095801,1636.5746333332404,8335.666666666353,17799.907300032744,2874.999999999804,3814.166666666636,4933.632400288675,10784.509428675987,10253.820455555553,11944.378028589128,10447.666666670324,9124.000000002901,2421.4999999993033,10682.560400005543,9146.47068523883,11095.370611108292,11629.000000004278,11977.712400003473,9989.439171428354,9804.656350002526,7855.16666666036,10498.239511111235,4611.11512222282,11097.000000003343,9642.601914285564,16099.597722222556,12795.393585717413,13612.088277777972,9713.717811104867,10120.089671428164,12291.602571429488,16997.624999999487,10455.833333334624,18260.000000008866,17887.574533342842,12872.624999602644,18587.02935714635,11573.697966666874,8471.55670000442,10097.833333335364,16410.611572064594,7733.55569248605,5388.134885714813,18307.68981430792,9215.99999999444,7909.9050714121495,7965.430914278068,10115.92974444449,10555.833333332534,17226.32492857222,10535.833333332304,13796.820425008227,3371.984243084821,1440.83791428216,15133.301666660776,18890.762043664967,15407.549866666197,11094.170900019446,8678.249999996293,13570.505537500598,10934.246785717443,10981.997444442619,12393.623333333135,9920.124999998743,12767.656414277291,13394.38039998325,10967.666666669253,17819.153929366574,7120.950572452694,17535.702666659807,9627.546361106386,11058.723856142753,11683.13375713989,10139.559142315276,11650.877433331465,10182.499999993543,6431.583500003827,1915.3183571438399,14723.656128341005,19185.296055558087,12951.462566679387,11263.74999999074,8928.759499983173,9060.033973339914,8931.666666666591
