id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AE--AO,AE,AO,5789.562333902342,10,5651.2,5680.0,5658.75,5661.471333331526,155.76249726925784,24261.955555555556,5390.0,5852.0,5516.25,5766.0,249.75,110.0,0.027562729556423034,0,0,5555.595,5741.2074999999995,138.36233390234247,-138.36233390234247,-0.023898582642788824,-0.024188786740791373
AE--AR,AE,AR,13529.214746619495,10,13579.5,13594.5,13582.5,13594.468342935139,61.43334237655929,3774.055555555555,13470.0,13665.0,13580.75,13610.5,29.75,16.0,0.004523976757359202,3,0,13542.3975,13614.202500000001,50.28525338050531,50.28525338050531,0.0037167902440952785,0.0037099000469035695
AE--AT,AE,AT,4240.533433479227,10,4236.5,4236.5,4236.75,4236.7070750000275,5.482294734466175,30.055555555555554,4228.0,4243.0,4232.5,4241.0,8.5,4.5,0.0012940622529130593,0,0,4233.4,4239.702499999999,4.033433479226915,-4.033433479226915,-0.000951161815488295,-0.0009516144569341559
AE--AU,AE,AU,11949.361743211797,10,12044.9,12046.5,12048.0,12048.000000000002,40.913051435669985,1673.8777777777777,11960.0,12105.0,12026.25,12075.25,49.0,26.5,0.0033967115904382757,0,0,12017.0,12067.32,95.53825678820249,95.53825678820249,0.007995260235759114,0.007963467491057398
AE--BD,AE,BD,3654.894106864547,10,3699.0,3610.0,3681.75,3611.5738666655043,161.37396182642215,26041.55555555555,3575.0,3961.0,3595.5,3823.25,227.75,16.0,0.043626375189624804,0,0,3603.795,3796.4075000000003,44.10589313545279,44.10589313545279,0.012067625448467578,0.011995392198358155
AE--BE,AE,BE,5158.218793556635,10,5148.8,5150.0,5148.875,5148.87500000928,2.699794230842212,7.2888888888888905,5144.0,5153.0,5147.0,5150.0,3.0,2.0,0.0005243540690728348,0,0,5147.2,5150.4,9.418793556635137,-9.418793556635137,-0.0018259779070249169,-0.001827647036855626
AE--BF,AE,BF,6015.546401624032,10,5520.8,5555.0,5529.625,5529.624999989133,189.1247677534008,35768.17777777779,5180.0,5791.0,5385.0,5662.5,277.5,150.0,0.034256768539595854,0,0,5412.4875,5626.3125,494.74640162403193,-494.74640162403193,-0.08224463225659169,-0.08582440781444331
AE--BH,AE,BH,428.3040518422248,10,428.3,424.0,426.625,423.70931429537876,11.557104597028907,133.5666666666667,420.0,450.0,422.0,425.0,3.0,2.0,0.026983667048865064,2,0,422.5,436.0025,0.004051842224782831,-0.004051842224782831,-9.460200545278559e-06,-9.460245293243148e-06
AE--BO,AE,BO,13804.61066665081,10,13801.0,13875.0,13820.625,13825.57999999709,174.12958137867074,30321.111111111113,13460.0,13985.0,13672.5,13942.5,270.0,100.0,0.012617171319373286,0,0,13689.5,13897.0875,3.610666650809435,-3.610666650809435,-0.00026155512371906924,-0.0002615893352260246
AE--BR,AE,BR,11946.46205222579,10,12062.3,12120.0,12082.5,12117.931714285709,106.0011006232168,11236.233333333334,11833.0,12130.0,12010.0,12128.75,118.75,10.0,0.008787801714699254,0,0,11999.1,12121.5,115.83794777420917,115.83794777420917,0.00969642286292007,0.009649714249673074
AE--BW,AE,BW,6240.139957666417,10,6280.0,6275.0,6268.125,6269.999999997854,82.09073570683168,6738.88888888889,6180.0,6475.0,6245.0,6290.0,45.0,30.0,0.01307177320172479,1,0,6235.9875,6335.0,39.860042333582896,39.860042333582896,0.006387684026960364,0.006367369237091904
AE--CA,AE,CA,10769.92523802494,10,10952.9,10985.0,10958.875,10964.252299998117,93.17897950837528,8682.32222222222,10813.0,11045.0,10885.0,11030.0,145.0,58.0,0.008507242785780503,0,0,10899.0975,11005.11,182.97476197505966,182.97476197505966,0.01698941802576661,0.0168467119245478
AE--CD,AE,CD,5293.834780620477,10,5065.7,5054.5,5060.875,5052.833333333318,121.03723026867027,14650.011111111111,4910.0,5260.0,4978.5,5127.5,149.0,76.0,0.023893485652263315,0,0,4995.8975,5137.51,228.1347806204776,-228.1347806204776,-0.04309442777769096,-0.04405056301154515
AE--CH,AE,CH,4824.29363438197,10,4813.5,4815.0,4814.125,4814.124999998907,30.08229453423466,904.9444444444445,4765.0,4857.0,4791.5,4838.5,47.0,26.0,0.006249567785236243,0,0,4795.4975,4831.5025,10.79363438197015,-10.79363438197015,-0.0022373502112403862,-0.002239856818694644
