place_id,AR,AU,BR,CA,CN,DE,EG,FJ,FR,GB,IN,JP,KE,MX,NG,NZ,SA,TH,US,ZA
AR,0.0,11812.5,1542.2,9298.7,15000.0,11054.0,12361.5,12512.5,11090.0,11018.0,12150.5,12541.7,11628.4,7678.6,10085.3,11798.9,12260.0,12362.0,10380.0,11633.5
AU,11812.5,0.0,17879.5,16605.0,10519.3,16285.5,13245.0,3184.6,16946.7,17058.0,9603.7,8228.0,12679.1,13230.0,14696.4,2602.9,11205.5,7266.7,16418.3,11670.5
BR,1542.2,17879.5,0.0,7046.3,17759.3,9248.5,8843.8,16342.0,9070.0,9108.0,13225.7,17828.0,9085.9,3549.2,8074.5,16321.2,10429.8,14590.2,7148.7,8908.0
CA,9298.7,16605.0,7046.3,0.0,7617.0,6230.5,7735.6,15116.8,5656.0,5506.0,9726.0,9804.0,9635.5,3372.6,8144.8,17364.1,8301.6,9839.1,878.2,10778.5
CN,15000.0,10519.3,17759.3,7617.0,0.0,6580.0,6160.6,11056.5,7040.0,7165.0,3494.2,2100.0,6737.7,11428.1,8250.3,10520.0,5723.6,3765.1,10737.2,12543.0
DE,11054.0,16285.5,9248.5,6230.5,6580.0,0.0,1723.4,16320.7,933.8,931.0,5820.8,8750.0,6161.8,9220.0,4511.3,17335.0,4137.2,8214.0,6502.0,9695.0
EG,12361.5,13245.0,8843.8,7735.6,6160.6,1723.4,0.0,15500.0,3237.3,3269.0,3575.7,9637.0,3715.6,9790.0,3854.7,16340.0,1522.2,7436.4,9135.9,7070.1
FJ,12512.5,3184.6,16342.0,15116.8,11056.5,16320.7,15500.0,0.0,16832.2,17271.1,10610.8,7520.7,15986.6,13649.5,16480.3,2278.3,16507.3,8042.5,16506.5,16386.2
FR,11090.0,16946.7,9070.0,5656.0,7040.0,933.8,3237.3,16832.2,0.0,343.6,6334.4,9705.2,6051.0,9217.0,4274.4,18740.0,4276.5,8920.0,6106.8,9796.8
GB,11018.0,17058.0,9108.0,5506.0,7165.0,931.0,3269.0,17271.1,343.6,0.0,6157.0,9508.0,5716.3,9300.0,4958.4,18219.0,4814.0,9553.8,5559.0,9733.6
IN,12150.5,9603.7,13225.7,9726.0,3494.2,5820.8,3575.7,10610.8,6334.4,6157.0,0.0,6016.8,6179.1,14041.2,6959.1,12847.0,3701.4,2331.6,12098.0,9622.0
JP,12541.7,8228.0,17828.0,9804.0,2100.0,8750.0,9637.0,7520.7,9705.2,9508.0,6016.8,0.0,10216.0,10686.0,10150.2,8810.0,7684.3,4090.5,10833.0,13260.3
KE,11628.4,12679.1,9085.9,9635.5,6737.7,6161.8,3715.6,15986.6,6051.0,5716.3,6179.1,10216.0,0.0,12118.2,4025.6,13710.3,4107.1,7723.1,11456.0,4722.6
MX,7678.6,13230.0,3549.2,3372.6,11428.1,9220.0,9790.0,13649.5,9217.0,9300.0,14041.2,10686.0,12118.2,0.0,9425.4,13940.0,11641.5,14150.2,3592.0,13112.0
NG,10085.3,14696.4,8074.5,8144.8,8250.3,4511.3,3854.7,16480.3,4274.4,4958.4,6959.1,10150.2,4025.6,9425.4,0.0,15960.0,4270.0,8737.9,8449.7,6516.3
NZ,11798.9,2602.9,16321.2,17364.1,10520.0,17335.0,16340.0,2278.3,18740.0,18219.0,12847.0,8810.0,13710.3,13940.0,15960.0,0.0,13657.3,9639.6,19410.0,16769.1
SA,12260.0,11205.5,10429.8,8301.6,5723.6,4137.2,1522.2,16507.3,4276.5,4814.0,3701.4,7684.3,4107.1,11641.5,4270.0,13657.3,0.0,5989.0,10105.5,7951.1
TH,12362.0,7266.7,14590.2,9839.1,3765.1,8214.0,7436.4,8042.5,8920.0,9553.8,2331.6,4090.5,7723.1,14150.2,8737.9,9639.6,5989.0,0.0,13263.0,9954.2
US,10380.0,16418.3,7148.7,878.2,10737.2,6502.0,9135.9,16506.5,6106.8,5559.0,12098.0,10833.0,11456.0,3592.0,8449.7,19410.0,10105.5,13263.0,0.0,12532.0
ZA,11633.5,11670.5,8908.0,10778.5,12543.0,9695.0,7070.1,16386.2,9796.8,9733.6,9622.0,13260.3,4722.6,13112.0,6516.3,16769.1,7951.1,9954.2,12532.0,0.0
