place_id,AR,AU,BR,CA,CN,DE,EG,FJ,FR,GB,IN,JP,KE,MX,NG,NZ,SA,TH,US,ZA
AR,0.0,11820.833333326918,1552.7868334928996,9350.900774448708,12214.926666405036,11167.24666667188,12441.160000014119,12498.578600127472,11099.888888890544,11012.413000000011,12148.375000003613,11761.398666651314,11714.47200006113,7956.526429897896,10067.18599902841,11805.666666670948,12211.84750000062,12226.111881084682,10378.074285687924,11708.71307239766
AU,11820.833333326918,0.0,17648.539999952296,16681.249998504474,10591.027500010516,16314.17878571054,12791.891000030268,3118.9999999380148,16951.589999756634,17064.417600001067,9535.333333325038,7800.333333333315,12662.794760213756,13130.433333312405,14696.40000000033,2561.7918571501687,11512.160214250658,7082.433714087287,16438.833333338815,11700.624999994652
BR,1552.7868334928996,17648.539999952296,0.0,7032.874998220255,17653.833333338636,9324.166666661924,8815.797943010464,16469.999999619282,9268.932571311674,9108.000000021118,13105.167500001367,17698.649285728203,9191.573472449982,3232.58316669549,7958.600488851764,16363.999999796295,10469.645000365195,14631.877699991577,7110.290081292727,8611.108100000174
CA,9350.900774448708,16681.249998504474,7032.874998220255,0.0,7633.750000004991,6238.124999994759,7746.897857127817,15157.194444342631,5604.447799982534,5528.142555556804,9689.419999977472,9780.000000001102,9731.189000004393,3462.7396666104373,8116.499998319877,17572.4941428729,8299.626857118898,9820.058333373401,884.1666666691249,10770.077857134247
CN,12214.926666405036,10591.027500010516,17653.833333338636,7633.750000004991,0.0,6441.5699999894405,6184.499999940745,10988.447228574163,6941.4735698574095,7165.000000003515,3689.8448571104987,2100.0,6748.819333303673,11446.833333309416,8194.50000171382,10462.50000000301,5656.000001942263,3759.5571715407127,10973.797771464366,12571.677143348516
DE,11167.24666667188,16314.17878571054,9324.166666661924,6238.124999994759,6441.5699999894405,0.0,1713.910514284772,16292.236699999452,879.1582400252499,930.1111111111111,5836.934999999077,8830.66785712852,6177.9999999931515,9237.500000001393,4423.719625013585,17537.10333336716,4109.756400457657,8213.95855552099,6484.826000003217,9711.268333330361
EG,12441.160000014119,12791.891000030268,8815.797943010464,7746.897857127817,6184.499999940745,1713.910514284772,0.0,15085.035000003947,3224.451666789382,3233.75000003924,3447.6567000335135,9646.24999997701,3372.222033186711,9830.408749999286,3841.9999999024158,16433.580361881362,1419.2136714554351,7525.166666650787,9120.666666650208,7086.820571448924
FJ,12498.578600127472,3118.9999999380148,16469.999999619282,15157.194444342631,10988.447228574163,16292.236699999452,15085.035000003947,0.0,16817.114099996837,17236.083625000058,10557.374573491505,7520.699999995345,15872.324233349684,13663.249999189617,16418.105266679475,2202.5018285765073,16687.206457831046,7506.6645639636,16537.228750006092,16509.833333396968
FR,11099.888888890544,16951.589999756634,9268.932571311674,5604.447799982534,6941.4735698574095,879.1582400252499,3224.451666789382,16817.114099996837,0.0,343.85714285714283,6334.399999974286,9700.42857142857,6076.684999999297,9200.428571426228,4281.124866677632,18712.500000050313,4175.8333332946,9175.174000012494,6133.729856973218,9829.074200603669
GB,11012.413000000011,17064.417600001067,9108.000000021118,5528.142555556804,7165.000000003515,930.1111111111111,3233.75000003924,17236.083625000058,343.85714285714283,0.0,6122.452857149507,9500.25,5716.300000000104,9293.749999761187,4924.1471714288855,18198.50222222199,4878.208800203389,9558.301285714151,5569.666666666685,9567.801142594273
IN,12148.375000003613,9535.333333325038,13105.167500001367,9689.419999977472,3689.8448571104987,5836.934999999077,3447.6567000335135,10557.374573491505,6334.399999974286,6122.452857149507,0.0,5934.006471569302,6130.125000000068,14026.636428555692,6873.3821357484085,12796.589750048575,3714.0000000021296,2365.3480000076443,12059.782499997069,9535.500000000964
JP,11761.398666651314,7800.333333333315,17698.649285728203,9780.000000001102,2100.0,8830.66785712852,9646.24999997701,7520.699999995345,9700.42857142857,9500.25,5934.006471569302,0.0,9933.882666577565,10785.869999997905,10015.11533332891,9027.609999903761,7679.570300010913,4066.3821428348524,10828.016250116001,13375.500000156999
