place_id,AR,AU,BR,CA,CN,DE,EG,FJ,FR,GB,IN,JP,KE,MX,NG,NZ,SA,TH,US,ZA
AR,0.0,11758.30968994146,2333.5144810867555,9031.715831568095,19261.112952664003,11887.678205229642,11806.270501311932,11642.45746949547,11025.630755006467,11102.268069921352,15794.7526620095,18370.21725262342,10410.808770079677,7372.308131811268,8446.362395848217,10003.231625456845,12854.981363911493,16880.505738924476,8360.953336333787,8148.626185145644
AU,11758.30968994146,0.0,14075.358195321549,16104.729525959248,8980.130816239809,16060.205223180863,14263.93286552806,3459.5502950524574,16917.63537856836,16976.59127449891,10338.502325503718,7916.886601720884,11938.438068840167,13179.187255642872,15163.69563184826,2331.7654440152487,12623.318465753277,7462.848367041455,15945.723803950415,10839.833274898414
BR,2333.5144810867555,14075.358195321549,0.0,7334.346869539842,16930.472630910997,9575.611395967344,9874.469524339542,13707.79297949407,8706.397888002059,8772.672472521588,14244.967094288088,17673.237812688087,9414.754147935433,6827.142656438756,6701.782316617511,12315.070951453863,11195.014360359984,16631.97836274269,6769.014727737269,7905.896338955261
CA,9031.715831568095,16104.729525959248,7334.346869539842,0.0,10474.241950070254,6146.549872089064,8876.40462189037,12653.111746459324,5663.62568366498,5378.074759985251,11362.94782650969,10343.49118277986,11852.842570511928,3598.308798337808,8769.14706891505,14472.518850835871,10317.222965793204,13440.553542475436,731.9154882007512,13053.851270111287
CN,19261.112952664003,8980.130816239809,16930.472630910997,10474.241950070254,0.0,7374.095211881501,7555.922022804329,9087.647388686939,8235.539912036413,8159.495498560135,3786.344323933427,2104.0237532057217,9214.097058911791,12474.484204037479,10936.133047329091,10759.510305075924,6606.426919492859,3289.9112641123884,11169.116898963428,11648.376355581766
DE,11887.678205229642,16060.205223180863,9575.611395967344,6146.549872089064,7374.095211881501,0.0,2891.4189080361066,15973.080004981164,880.1220118488678,933.6780131656095,5791.273241523696,8941.116372895822,6352.944306361189,9740.126910212532,4846.239230895395,18133.546853189033,4176.916396262325,8612.78119439707,6726.290515021435,8785.190433813566
EG,11806.270501311932,14263.93286552806,9874.469524339542,8876.40462189037,7555.922022804329,2891.4189080361066,0.0,16456.426551141787,3214.633946258294,3513.224272125026,4435.964091411309,9586.616311745503,3517.610461321371,12386.314913876035,3387.4680508755546,16524.182617665698,1646.868560351307,7278.235334714449,9366.819693047106,6178.42759423283
FJ,11642.45746949547,3459.5502950524574,13707.79297949407,12653.111746459324,9087.647388686939,15973.080004981164,16456.426551141787,0.0,16576.81749979109,16299.555426240808,12028.323263938093,7219.789289468397,15310.34174379079,9915.918583166904,18616.55968810009,2591.8075392647534,14993.206576183224,9249.359232089999,12497.831524726587,14189.452435443198
FR,11025.630755006467,16917.63537856836,8706.397888002059,5663.62568366498,8235.539912036413,880.1220118488678,3214.633946258294,16576.81749979109,0.0,341.1497977927973,6600.894573294016,9737.965704971102,6470.452307387349,9207.427444723564,4437.067941067861,18980.580816307895,4695.389253154605,9456.38937182292,6177.576314828088,8652.154951764032
GB,11102.268069921352,16976.59127449891,8772.672472521588,5378.074759985251,8159.495498560135,933.6780131656095,3513.224272125026,16299.555426240808,341.1497977927973,0.0,6724.002102971842,9584.855356731166,6804.487905463708,8941.67963886513,4755.038491838242,18806.422712162086,4954.835444629185,9543.363933383182,5912.468929291367,8991.386014264714
IN,15794.7526620095,10338.502325503718,14244.967094288088,11362.94782650969,3786.344323933427,5791.273241523696,4435.964091411309,12028.323263938093,6600.894573294016,6724.002102971842,0.0,5855.550160203252,5427.9212039634995,14673.684770062055,7553.544289460008,12641.150365211413,3053.56116017884,2916.5977506210074,12068.739151501237,7970.766596356072
JP,18370.21725262342,7916.886601720884,17673.237812688087,10343.49118277986,2104.0237532057217,8941.116372895822,9586.616311745503,7219.789289468397,9737.965704971102,9584.855356731166,5855.550160203252,0.0,11264.009284773352,11318.783890147193,12973.378381681048,9244.785239978763,8708.898067343061,4607.791688159286,10926.417792606868,13501.046885089567
KE,10410.808770079677,11938.438068840167,9414.754147935433,11852.842570511928,9214.097058911791,6352.944306361189,3517.610461321371,15310.34174379079,6470.452307387349,6804.487905463708,5427.9212039634995,11264.009284773352,0.0,14829.575444959697,3444.024949628264,13676.249196022416,3062.992722793242,7217.238507509993,12147.187581604869,2855.2050138214963
MX,7372.308131811268,13179.187255642872,6827.142656438756,3598.308798337808,12474.484204037479,9740.126910212532,12386.314913876035,9915.918583166904,9207.427444723564,8941.67963886513,14673.684770062055,11318.783890147193,14829.575444959697,0.0,11398.49344176858,11096.668791733968,13896.334176917055,15755.522525889133,3030.093510534221,14607.47105898857
NG,8446.362395848217,15163.69563184826,6701.782316617511,8769.14706891505,10936.133047329091,4846.239230895395,3387.4680508755546,18616.55968810009,4437.067941067861,4755.038491838242,7553.544289460008,12973.378381681048,3444.024949628264,11398.49344176858,0.0,16223.187399540882,4500.0833361671885,10098.775445297742,8912.837189115719,4454.133473532923
NZ,10003.231625456845,2331.7654440152487,12315.070951453863,14472.518850835871,10759.510305075924,18133.546853189033,16524.182617665698,2591.8075392647534,18980.580816307895,18806.422712162086,12641.150365211413,9244.785239978763,13676.249196022416,11096.668791733968,16223.187399540882,0.0,14909.574515612963,9738.52130758697,14074.670366616207,11827.417766624114
SA,12854.981363911493,12623.318465753277,11195.014360359984,10317.222965793204,6606.426919492859,4176.916396262325,1646.868560351307,14993.206576183224,4695.389253154605,4954.835444629185,3053.56116017884,8708.898067343061,3062.992722793242,13896.334176917055,4500.0833361671885,14909.574515612963,0.0,5743.87829967849,10867.268528060538,5917.429203536842
TH,16880.505738924476,7462.848367041455,16631.97836274269,13440.553542475436,3289.9112641123884,8612.78119439707,7278.235334714449,9249.359232089999,9456.38937182292,9543.363933383182,2916.5977506210074,4607.791688159286,7217.238507509993,15755.522525889133,10098.775445297742,9738.52130758697,5743.87829967849,0.0,14169.831963403985,8961.095963147978
US,8360.953336333787,15945.723803950415,6769.014727737269,731.9154882007512,11169.116898963428,6726.290515021435,9366.819693047106,12497.831524726587,6177.576314828088,5912.468929291367,12068.739151501237,10926.417792606868,12147.187581604869,3030.093510534221,8912.837189115719,14074.670366616207,10867.268528060538,14169.831963403985,0.0,13024.504641792455
ZA,8148.626185145644,10839.833274898414,7905.896338955261,13053.851270111287,11648.376355581766,8785.190433813566,6178.42759423283,14189.452435443198,8652.154951764032,8991.386014264714,7970.766596356072,13501.046885089567,2855.2050138214963,14607.47105898857,4454.133473532923,11827.417766624114,5917.429203536842,8961.095963147978,13024.504641792455,0.0
