id,place_a_id,place_b_id,true_distance_km
AR--AU,AR,AU,11758.30968994146
AR--BR,AR,BR,2333.5144810867555
AR--CA,AR,CA,9031.715831568095
AR--CN,AR,CN,19261.112952664003
AR--DE,AR,DE,11887.678205229642
AR--EG,AR,EG,11806.270501311932
AR--FJ,AR,FJ,11642.45746949547
AR--FR,AR,FR,11025.630755006467
AR--GB,AR,GB,11102.268069921352
AR--IN,AR,IN,15794.7526620095
AR--JP,AR,JP,18370.21725262342
AR--KE,AR,KE,10410.808770079677
AR--MX,AR,MX,7372.308131811268
AR--NG,AR,NG,8446.362395848217
AR--NZ,AR,NZ,10003.231625456845
AR--SA,AR,SA,12854.981363911493
AR--TH,AR,TH,16880.505738924476
AR--US,AR,US,8360.953336333787
AR--ZA,AR,ZA,8148.626185145644
AU--BR,AU,BR,14075.358195321549
AU--CA,AU,CA,16104.729525959248
AU--CN,AU,CN,8980.130816239809
AU--DE,AU,DE,16060.205223180863
AU--EG,AU,EG,14263.93286552806
AU--FJ,AU,FJ,3459.5502950524574
AU--FR,AU,FR,16917.63537856836
AU--GB,AU,GB,16976.59127449891
AU--IN,AU,IN,10338.502325503718
AU--JP,AU,JP,7916.886601720884
AU--KE,AU,KE,11938.438068840167
AU--MX,AU,MX,13179.187255642872
AU--NG,AU,NG,15163.69563184826
AU--NZ,AU,NZ,2331.7654440152487
AU--SA,AU,SA,12623.318465753277
AU--TH,AU,TH,7462.848367041455
AU--US,AU,US,15945.723803950415
AU--ZA,AU,ZA,10839.833274898414
BR--CA,BR,CA,7334.346869539842
BR--CN,BR,CN,16930.472630910997
BR--DE,BR,DE,9575.611395967344
BR--EG,BR,EG,9874.469524339542
BR--FJ,BR,FJ,13707.79297949407
BR--FR,BR,FR,8706.397888002059
BR--GB,BR,GB,8772.672472521588
BR--IN,BR,IN,14244.967094288088
BR--JP,BR,JP,17673.237812688087
BR--KE,BR,KE,9414.754147935433
BR--MX,BR,MX,6827.142656438756
BR--NG,BR,NG,6701.782316617511
BR--NZ,BR,NZ,12315.070951453863
BR--SA,BR,SA,11195.014360359984
BR--TH,BR,TH,16631.97836274269
BR--US,BR,US,6769.014727737269
BR--ZA,BR,ZA,7905.896338955261
CA--CN,CA,CN,10474.241950070254
CA--DE,CA,DE,6146.549872089064
CA--EG,CA,EG,8876.40462189037
CA--FJ,CA,FJ,12653.111746459324
CA--FR,CA,FR,5663.62568366498
CA--GB,CA,GB,5378.074759985251
CA--IN,CA,IN,11362.94782650969
CA--JP,CA,JP,10343.49118277986
CA--KE,CA,KE,11852.842570511928
CA--MX,CA,MX,3598.308798337808
CA--NG,CA,NG,8769.14706891505
CA--NZ,CA,NZ,14472.518850835871
CA--SA,CA,SA,10317.222965793204
CA--TH,CA,TH,13440.553542475436
CA--US,CA,US,731.9154882007512
CA--ZA,CA,ZA,13053.851270111287
CN--DE,CN,DE,7374.095211881501
CN--EG,CN,EG,7555.922022804329
CN--FJ,CN,FJ,9087.647388686939
CN--FR,CN,FR,8235.539912036413
CN--GB,CN,GB,8159.495498560135
CN--IN,CN,IN,3786.344323933427
CN--JP,CN,JP,2104.0237532057217
CN--KE,CN,KE,9214.097058911791
CN--MX,CN,MX,12474.484204037479
CN--NG,CN,NG,10936.133047329091
CN--NZ,CN,NZ,10759.510305075924
CN--SA,CN,SA,6606.426919492859
CN--TH,CN,TH,3289.9112641123884
CN--US,CN,US,11169.116898963428
CN--ZA,CN,ZA,11648.376355581766
DE--EG,DE,EG,2891.4189080361066
DE--FJ,DE,FJ,15973.080004981164
DE--FR,DE,FR,880.1220118488678
DE--GB,DE,GB,933.6780131656095
DE--IN,DE,IN,5791.273241523696
DE--JP,DE,JP,8941.116372895822
DE--KE,DE,KE,6352.944306361189
DE--MX,DE,MX,9740.126910212532
DE--NG,DE,NG,4846.239230895395
DE--NZ,DE,NZ,18133.546853189033
DE--SA,DE,SA,4176.916396262325
DE--TH,DE,TH,8612.78119439707
DE--US,DE,US,6726.290515021435
DE--ZA,DE,ZA,8785.190433813566
EG--FJ,EG,FJ,16456.426551141787
EG--FR,EG,FR,3214.633946258294
EG--GB,EG,GB,3513.224272125026
EG--IN,EG,IN,4435.964091411309
EG--JP,EG,JP,9586.616311745503
EG--KE,EG,KE,3517.610461321371
EG--MX,EG,MX,12386.314913876035
EG--NG,EG,NG,3387.4680508755546
EG--NZ,EG,NZ,16524.182617665698
EG--SA,EG,SA,1646.868560351307
EG--TH,EG,TH,7278.235334714449
EG--US,EG,US,9366.819693047106
EG--ZA,EG,ZA,6178.42759423283
FJ--FR,FJ,FR,16576.81749979109
FJ--GB,FJ,GB,16299.555426240808
FJ--IN,FJ,IN,12028.323263938093
FJ--JP,FJ,JP,7219.789289468397
FJ--KE,FJ,KE,15310.34174379079
FJ--MX,FJ,MX,9915.918583166904
FJ--NG,FJ,NG,18616.55968810009
FJ--NZ,FJ,NZ,2591.8075392647534
FJ--SA,FJ,SA,14993.206576183224
FJ--TH,FJ,TH,9249.359232089999
FJ--US,FJ,US,12497.831524726587
FJ--ZA,FJ,ZA,14189.452435443198
FR--GB,FR,GB,341.1497977927973
