place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7788.0,12060.35,9681.35,6184.6,10886.0,517.1,8873.36,11617.5,9846.210000000001,6510.25,4821.0,5285.7300000000005,6217.4,3495.6,7952.0,16859.15,6500.65,6828.0,2407.0,5799.45,8277.2,5685.8,13843.8,3136.8,12464.4,5639.5,12047.4,10065.55,2074.7,6847.2,7713.5,13052.84,9857.7,12941.9,7732.63,6912.6,5775.0,7297.3,5162.9,8060.3,10213.6,4513.1,10147.17,5918.68,2736.5,6783.9,10497.2,10655.1,2489.7
AR,7788.0,0.0,11804.3,17026.4,2340.6,8980.2,7875.4,966.4,19263.4,4661.5,11916.0,9827.9,11803.75,10042.0,10608.1,12630.8,11270.9,11073.7,11127.4,8063.0,11146.9,15970.1,11148.2,18360.0,9895.5,19431.7,9436.8,7385.5,15904.4,8138.8,11440.6,11887.6,10321.1,3139.6,18044.5,15402.9,12295.5,9584.9,13476.0,12314.2,12495.2,15909.3,6552.8,17194.6,11980.4,9776.41,12818.7,8381.6,17453.1,8122.1
AU,12060.35,11804.3,0.0,8930.1,13969.9,16252.1,12698.4,11343.6,8966.0,14220.6,16095.6,17331.7,14403.7,17613.7,12143.85,15194.3,3410.9,16939.6,16953.7,15809.7,15332.8,10095.6,16314.9,7971.7,12101.2,8339.0,17885.4,13870.5,6261.2,14988.6,16603.9,16044.3,2326.7,12786.1,5722.8,10947.85,15614.4,18020.5,14471.7,13089.2,15600.0,5955.83,17466.8,7356.2,14616.8,11205.0,14918.8,16153.2,7737.3,10267.8
BD,9681.35,17026.4,8930.1,0.0,16216.95,12476.5,8543.91,17163.3,3026.4,16807.8,7210.4169999999995,8387.11,5746.15,8252.36,6115.91,6738.9800000000005,11370.3,7907.0199999999995,7998.960000000001,10617.95,6147.55,1423.6,7275.3550000000005,4891.5,6681.7,3727.6,9593.85,15916.0,2630.2,8926.7,7706.139999999999,7388.49,11751.65,17868.0,3531.41,2024.8,6863.425,8767.232999999998,5581.6900000000005,4845.3,7220.4800000000005,2895.2,12383.2,1540.1,5437.1,6790.160000000001,6223.15,12640.3,1879.0,8677.23
BR,6184.6,2340.6,13969.9,16216.95,0.0,7112.7,6747.4,2584.5,16896.9,3660.2,9507.0,8120.82,9511.65,7269.0,9275.5,10495.5,13779.0,8728.8,8773.2,5962.1,9568.119999999999,14315.6,9092.0,17372.0,8776.7,18243.2,7169.3,6842.9,16577.1,6169.5,9221.3,9565.6,12045.4,3170.8,18442.8,13823.5,10095.55,7291.1,11177.6,11074.1,10206.4,16729.0,5013.3,16710.2,10470.4,8865.3,10329.5,6742.1,16598.9,7506.2
CA,10886.0,8980.2,16252.1,12476.5,7112.7,0.0,10499.4,8601.7,10405.7,4533.3,6133.6,6341.5,8765.060000000001,5690.45,11332.1,6028.9,12363.6,5648.3099999999995,5380.2,8282.939999999999,7621.95,11161.0,6725.611,10317.8,11804.560000000001,10467.2,5688.7,3618.05,14794.5,8671.24,5648.6,5606.3,14387.3,6202.3,13215.7,10832.8,6564.7,5309.5,7194.7,10132.34,5951.5,14863.7,6347.2,13687.95,7818.5,12187.25,7284.85,731.95,12629.5,12901.2
CD,517.1,7875.4,12698.4,8543.91,6747.4,10499.4,0.0,9590.960000000001,11444.4,10218.3,6198.35,4820.7,4114.0,5786.7,3016.1,7356.4,16567.2,6012.0,6375.6,1928.85,4892.0,8058.45,5415.8,13474.4,2414.9,12332.380000000001,4845.9,12513.6,10488.6,1710.7,6282.8,7127.1,14057.0,10271.2,11835.6,7572.5,6186.5,5761.6,7015.25,4640.45,7071.9,10345.8,4202.6,9771.46,5220.3,2236.8,6194.3,10081.3,10481.83,2776.4
CL,8873.36,966.4,11343.6,17163.3,2584.5,8601.7,9590.960000000001,0.0,19029.7,4251.3,12489.64,10246.8,13344.4,10706.4,12063.4,13169.3,9720.15,11646.1,11643.9,9043.5,12346.55,16323.7,11884.4,17240.0,12651.0,18374.8,9884.23,6294.2,16412.5,8999.66,12034.9,12298.3,9353.6,2463.5,17278.1,16408.9,12503.7,10038.3,14112.6,13893.6,12359.2,16344.5,8666.5,17264.0,13355.3,10916.460000000001,13105.2,8055.8,18061.1,9511.2
CN,11617.5,19263.4,8966.0,3026.4,16896.9,10405.7,11444.4,19029.7,0.0,14992.6,7353.8,9134.2,8265.1,9219.0,8316.539999999999,6307.0,8824.3,8215.4,8140.0,11251.3,7611.8,3784.0,8129.6,2099.9,9584.6,953.4,10299.8,12442.2,4347.2,10778.25,7824.15,6981.55,10196.8,17008.3,2852.0,3925.7,7059.43,9673.25,5794.8,6191.0,6710.4,4478.2,12005.7,3293.5,6054.05,9441.1,6450.1,11170.6,2321.3,11715.0
CO,9846.210000000001,4661.5,14220.6,16807.8,3660.2,4533.3,10218.3,4251.3,14992.6,0.0,9385.4,8504.7,11368.5,8011.3,12087.65,9877.2,13079.7,8628.3,8489.9,8190.7,10218.1,15735.4,9350.9,14313.0,11720.9,14875.1,7709.9,3168.8,19640.2,8741.0,8830.0,9131.77,12442.7,1881.0,17555.4,15236.13,9727.0,7471.2,10903.65,13453.0,9541.05,19324.5,7179.0,17346.7,10847.7,11540.4,10294.1,3493.2,17518.0,11147.1
DE,6510.25,11916.0,16095.6,7210.4169999999995,9507.0,6133.6,6198.35,12489.64,7353.8,9385.4,0.0,1979.19,2892.2,1869.94,5346.4,1101.5,16181.3,878.1210000000001,931.6899999999999,5224.7,1801.4399999999998,5781.2,1183.333,8918.0,6328.95,8126.6,2621.2200000000003,9723.7,9595.4,4901.6,577.6850000000001,839.04,18166.3,11119.09,9712.95,5286.08,517.64,2312.0,1609.3799999999999,4203.2,810.0,9911.175,5027.91,8602.557,2029.9,6893.7,1188.0,6716.4800000000005,8334.630000000001,8709.4
DZ,4821.0,9827.9,17331.7,8387.11,8120.82,6341.5,4820.7,10246.8,9134.2,8504.7,1979.19,0.0,2714.0,714.9,4956.9,3130.13,17823.05,1348.0,1660.7599999999998,2769.0,1704.0,7088.160000000001,973.93,10394.5,5335.9,9998.0,914.5,9543.3,10741.9,2712.9,1777.8200000000002,2937.73,19456.8,9816.85,11524.5,6465.25,2282.6,1102.84,3466.65,3832.6,3052.8,10580.1,3167.4,9824.6,2606.4,5459.55,2822.19,6147.1,9761.7,7470.7
EG,5285.7300000000005,11803.75,14403.7,5746.15,9511.65,8765.060000000001,4114.0,13344.4,8265.1,11368.5,2892.2,2714.0,0.0,3270.8,2518.0,3440.6,16536.815,3210.0,3510.2,4253.0,1112.5,4401.51,2132.4,9561.85,3518.6,8425.8,3433.7,12476.6,7944.0,3440.65,3283.84,3667.5,16398.68,12367.6,8553.55,3555.2,2827.2,3796.6800000000003,2900.6,1348.0,3430.0,8272.15,5214.8,7260.9,1104.5,4130.7,2273.5,9156.3,8187.7,6284.85
