place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7782.5,12004.25,9715.5,6181.5,10970.5,515.0,8848.5,11644.0,9865.0,6508.5,4821.0,5286.0,6493.0,3497.5,7927.5,16771.0,6500.0,6829.5,2410.5,5817.5,8255.5,5807.5,13924.0,3137.5,12440.0,5592.5,11989.0,10085.5,1987.5,6849.5,7723.0,12964.5,9810.0,13099.5,7661.5,6905.0,5775.5,7112.0,5144.5,8015.0,10156.0,4493.5,10120.5,5886.0,2727.5,6778.5,10520.5,10607.5,2490.0
AR,7782.5,0.0,11842.5,17030.0,2340.0,8974.5,7872.5,853.0,19269.0,4660.0,11925.0,9830.5,11801.0,10045.0,10573.0,12630.0,11333.5,11082.0,11130.0,7822.5,11141.5,15965.0,11150.0,18375.0,10026.0,19430.0,9439.5,7382.5,15908.5,8131.5,11441.0,11949.5,10321.0,3140.0,17620.0,15425.0,12313.0,9583.5,13476.0,12191.0,12477.5,15888.0,6560.5,17249.5,11920.5,9788.25,12818.0,8380.0,17535.0,8115.5
AU,12004.25,11842.5,0.0,8927.5,13974.0,16255.0,12669.0,11340.0,8966.0,14316.0,16094.0,17335.5,14406.5,17629.0,12160.25,15192.0,3428.0,16960.0,16960.0,15992.5,15311.0,10193.0,16315.0,7973.0,12154.0,8339.5,17886.0,13970.0,6150.5,14991.5,16592.0,16078.5,2326.0,12787.5,5645.5,11035.0,15618.5,18030.0,14470.0,13094.5,15595.0,6008.15,17597.5,7387.5,14632.0,11404.5,14916.0,16082.5,7726.0,10257.5
BD,9715.5,17030.0,8927.5,0.0,16191.0,12472.5,8522.0,17085.0,3026.0,16805.0,7146.1,8420.0,5741.0,8254.95,6061.25,6737.5,11288.5,7906.5,8002.3,10611.0,6158.25,1424.0,7277.25,4893.0,6714.5,3727.5,9567.0,15863.5,2630.0,8898.5,7705.0,7392.5,11709.25,18145.0,3549.5,2026.0,6837.325,8781.0,5585.5,4895.5,7191.075,2895.5,12393.0,1540.0,5465.5,6796.8,6191.2,12635.0,1880.0,8655.4
BR,6181.5,2340.0,13974.0,16191.0,0.0,7123.5,6765.0,2584.5,16890.0,3660.0,9501.85,8135.2,9472.5,7269.5,9212.5,10567.0,13838.5,8728.0,8773.0,6132.5,9583.0,14288.0,9178.0,17371.0,8852.5,18279.5,7134.5,6843.5,16590.0,6170.5,9230.0,9580.0,12035.0,3171.0,18416.5,13857.5,10120.0,7291.5,11180.0,11028.5,10190.0,16739.0,5027.5,16739.0,10431.0,8904.5,10368.5,6747.5,16598.0,7440.0
CA,10970.5,8974.5,16255.0,12472.5,7123.5,0.0,10504.0,8609.0,10487.0,4535.5,6132.5,6347.5,8755.5,5688.5,11298.5,6012.5,12445.0,5650.0,5378.0,8286.0,7625.0,11161.0,6726.75,10315.0,11818.5,10465.0,5689.0,3615.0,14798.0,8713.7,5649.0,5598.0,14391.0,6160.5,13213.0,10820.0,6546.0,5317.5,7216.5,10167.2,5944.5,14865.0,6341.75,13708.25,7807.0,12212.0,7283.25,732.0,12628.5,12922.5
CD,515.0,7872.5,12669.0,8522.0,6765.0,10504.0,0.0,9585.0,11438.0,10170.5,6189.75,4820.0,4191.5,5786.5,2962.5,7367.0,16495.0,6014.0,6376.0,1931.5,4896.5,8033.0,5415.0,13565.0,2415.0,12383.0,4841.5,12568.5,10398.0,1684.5,6279.0,7121.0,14127.5,10277.0,11862.0,7535.25,6166.5,5794.0,7021.5,4612.5,7055.5,10314.0,4201.5,9770.25,5209.0,2227.5,6189.0,10078.0,10443.65,2775.0
CL,8848.5,853.0,11340.0,17085.0,2584.5,8609.0,9585.0,0.0,19045.0,4252.0,12494.0,10243.0,13347.0,10712.0,11989.0,13127.5,9513.5,11646.0,11645.0,8958.75,12299.25,16325.0,11885.0,17240.0,12666.0,18370.0,9923.0,6294.0,16376.5,9037.15,12039.0,12295.0,9341.5,2463.5,17307.5,16352.5,12458.5,9998.5,14112.0,14118.0,12323.0,16314.5,8732.5,17251.0,13275.0,10903.5,13058.5,8047.0,17265.0,9675.0
CN,11644.0,19269.0,8966.0,3026.0,16890.0,10487.0,11438.0,19045.0,0.0,14961.0,7355.0,9132.0,8343.5,9215.5,8317.0,6307.0,8820.0,8215.0,8140.0,11203.5,7611.5,3785.0,8130.0,2100.0,9582.5,953.0,10301.0,12444.0,4347.0,10718.0,7824.0,6980.25,10165.0,17002.5,2850.5,3938.0,6950.65,9680.5,5796.0,6193.0,6712.0,4477.5,11895.0,3293.0,5991.5,9382.5,6450.0,11172.0,2321.0,11715.0
CO,9865.0,4660.0,14316.0,16805.0,3660.0,4535.5,10170.5,4252.0,14961.0,0.0,9401.0,8511.0,11496.0,8013.0,12139.5,9735.0,12970.0,8630.0,8492.5,8174.5,10249.0,15780.0,9351.5,14313.0,11740.5,14874.0,7731.25,3160.0,19767.5,8789.0,8829.0,9149.75,12435.0,1880.0,17535.0,15301.15,9690.0,7470.5,10902.25,13517.0,9529.0,19049.0,7230.5,17286.0,10781.5,11515.0,10287.0,3493.0,17532.5,11225.0
