place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7787.5,12026.6875,9685.375,6182.0,10896.375,514.875,8879.9375,11626.125,9840.8875,6512.1875,4821.375,5286.0375,6232.625,3495.0,7929.375,16798.9375,6500.5625,6828.5,2409.375,5814.9375,8274.375,5759.75,13853.375,3137.375,12452.0,5630.5,12043.75,10076.0625,2016.875,6846.75,7712.0,13047.125,9849.0,12963.75,7735.575,6903.125,5775.75,7275.875,5148.5,8057.875,10196.125,4503.75,10138.3375,5896.0,2728.75,6785.5,10516.75,10633.375,2489.625
AR,7787.5,0.0,11822.875,17027.375,2340.125,8978.625,7874.625,959.375,19264.25,4660.875,11916.875,9834.625,11802.8125,10041.25,10576.375,12630.625,11291.75,11079.625,11128.625,7984.5,11145.5,15969.375,11148.75,18365.625,9924.0,19430.0,9440.875,7385.0,15904.0,8142.875,11441.375,11907.625,10321.75,3139.625,17882.75,15425.25,12301.375,9584.5,13476.0,12192.875,12494.0,15906.625,6569.875,17203.25,11976.5,9770.1375,12818.5,8381.875,17468.875,8118.75
AU,12026.6875,11822.875,0.0,8942.75,13960.5,16254.0,12706.75,11343.0,8966.125,14309.375,16094.0,17333.25,14403.875,17617.375,12161.3125,15195.25,3418.5,16941.25,16954.25,15863.25,15326.875,10097.75,16315.0,7970.875,12131.875,8339.375,17876.5,13954.125,6259.375,14996.375,16602.125,16050.5,2326.625,12786.75,5700.75,10986.625,15612.75,18023.75,14471.25,13092.25,15598.5,5962.0375,17509.75,7375.0,14619.375,11232.5,14916.625,16156.75,7735.125,10265.0
BD,9685.375,17027.375,8942.75,0.0,16200.1875,12475.25,8539.099999999999,17145.0,3026.5,16802.0,7209.5375,8394.575,5750.8125,8255.5375,6120.1375,6735.6625,11355.375,7906.675,7999.325,10603.9375,6153.5,1423.75,7277.56875,4892.25,6700.5,3726.625,9588.0,15907.25,2630.125,8909.625,7705.9125,7390.1875,11732.6875,17929.625,3536.375,2024.625,6863.25625,8778.29125,5583.8625,4869.125,7222.0,2895.375,12389.25,1540.0,5444.5,6792.2,6212.35,12638.75,1880.25,8662.7375
BR,6182.0,2340.125,13960.5,16200.1875,0.0,7123.25,6752.625,2584.75,16898.375,3660.125,9505.625,8124.3375,9494.75,7269.5,9261.875,10511.75,13816.25,8728.875,8773.125,5997.875,9571.65,14281.125,9121.75,17371.125,8797.25,18249.75,7161.875,6843.625,16587.625,6170.5,9224.5,9563.375,12041.125,3171.0,18430.375,13850.125,10107.1875,7291.125,11179.5,11048.5,10214.5,16729.75,5023.25,16725.5,10475.625,8858.5625,10324.625,6743.25,16596.125,7481.0
CA,10896.375,8978.625,16254.0,12475.25,7123.25,0.0,10503.25,8604.0,10427.75,4534.125,6133.375,6336.125,8751.575,5690.1875,11325.75,6024.5,12355.125,5648.8125,5380.125,8289.8,7621.5,11159.375,6727.375,10317.0,11797.625,10469.0,5686.875,3616.4375,14796.25,8670.675,5647.875,5611.5,14390.875,6193.0,13214.25,10837.75,6560.25,5313.125,7194.75,10146.675,5942.125,14862.125,6353.625,13693.3125,7816.9375,12193.9375,7284.1875,732.0,12636.625,12903.125
CD,514.875,7874.625,12706.75,8539.099999999999,6752.625,10503.25,0.0,9589.0125,11439.25,10198.75,6196.6875,4831.25,4188.75,5787.375,2975.625,7360.5,16579.375,6013.875,6375.625,1927.5,4893.0,8069.1875,5415.875,13527.0,2414.5,12343.75,4845.5,12512.625,10482.0,1709.75,6281.625,7128.5,14085.625,10269.5,11828.875,7561.0625,6186.875,5778.375,7023.0625,4644.3125,7073.25,10323.875,4201.75,9771.825,5223.875,2236.75,6194.0,10078.875,10456.1625,2776.0
CL,8879.9375,959.375,11343.0,17145.0,2584.75,8604.0,9589.0125,0.0,19031.0,4251.375,12489.5,10237.375,13338.125,10706.875,12053.25,13151.75,9658.0,11646.0,11644.375,9011.75,12334.3125,16324.0,11884.25,17240.0,12660.0,18374.75,9889.6625,6294.375,16408.125,9005.0125,12029.875,12300.625,9349.125,2463.5,17280.75,16396.625,12512.25,10027.0,14112.375,13959.125,12352.75,16322.5,8685.625,17258.75,13346.25,10890.325,13095.375,8051.875,17935.75,9538.125
CN,11626.125,19264.25,8966.125,3026.5,16898.375,10427.75,11439.25,19031.0,0.0,14964.0,7353.75,9134.375,8342.625,9218.125,8316.55,6307.0,8817.875,8215.25,8140.0,11246.25,7611.75,3783.75,8129.75,2100.0,9586.875,953.125,10301.25,12442.125,4347.375,10759.875,7824.0625,6979.5,10186.625,17006.375,2850.625,3932.875,7031.1625,9680.25,5795.625,6190.5,6711.375,4477.875,11956.5,3293.5,5966.3125,9445.125,6450.0,11172.0,2320.875,11715.0
CO,9840.8875,4660.875,14309.375,16802.0,3660.125,4534.125,10198.75,4251.375,14964.0,0.0,9401.5,8505.5,11420.25,8011.875,12094.8125,9859.5,13036.5,8628.375,8490.5625,8175.0625,10239.75,15794.5,9350.75,14313.0,11729.75,14875.125,7723.75,3168.75,19695.875,8762.8125,8828.75,9138.9625,12431.5,1880.375,17539.0,15254.6625,9717.75,7467.5,10902.8125,13500.125,9534.5625,19307.5,7196.25,17342.125,10819.125,11530.5,10292.625,3493.25,17525.25,11177.375
DE,6512.1875,11916.875,16094.0,7209.5375,9505.625,6133.375,6196.6875,12489.5,7353.75,9401.5,0.0,1980.6125,2891.9375,1870.0,5350.0,1101.25,16186.25,878.08875,931.7875,5215.125,1801.4125,5781.75,1183.4537500000001,8918.0,6329.0,8126.75,2624.025,9724.875,9594.875,4898.8125,577.65,839.0,18165.125,11121.4875,9756.625,5287.1,517.5875,2312.0,1609.4125,4202.3125,810.0,9911.38125,5026.8125,8602.57125,2029.75,6901.5,1194.0,6716.6,8337.6625,8706.75
DZ,4821.375,9834.625,17333.25,8394.575,8124.3375,6336.125,4831.25,10237.375,9134.375,8505.5,1980.6125,0.0,2714.375,714.75,4921.5,3129.4625,17765.0625,1348.0,1660.5125,2759.25,1690.125,7093.075000000001,972.7875,10394.75,5330.75,9989.5625,914.625,9540.0,10726.625,2713.875,1777.7125,2939.75,19470.125,9825.1875,11529.625,6462.5625,2284.875,1111.125,3480.9375,3831.875,3052.5,10539.25,3167.25,9838.75,2605.375,5468.8125,2820.7375,6144.625,9787.25,7471.375
EG,5286.0375,11802.8125,14403.875,5750.8125,9494.75,8751.575,4188.75,13338.125,8342.625,11420.25,2891.9375,2714.375,0.0,3270.75,2518.0,3438.875,16554.39375,3210.0,3510.125,4252.25,1112.125,4400.475,2132.625,9561.9375,3518.375,8430.0,3433.625,12479.5,7945.25,3440.4375,3283.55,3667.375,16396.6625,12363.5,8533.125,3520.875,2847.25,3796.825,2900.625,1323.0,3429.875,8272.625,5215.0,7261.875,1105.0,4130.875,2273.0,9142.125,8208.25,6284.9375
ES,6232.625,10041.25,17617.375,8255.5375,7269.5,5690.1875,5787.375,10706.875,9218.125,8011.875,1870.0,714.75,3270.75,0.0,5490.625,2949.125,17356.875,1053.0,1263.0,3895.65,2373.5,7271.475,1362.125,10764.875,5800.25,9970.375,569.75,9064.625,11057.375,3788.375,1476.0,2593.0,19855.0,9506.5625,11640.0,6791.8125,2290.0,502.5,3440.0,4753.5,2590.625,11400.3125,3046.5,10191.125,3078.25,6411.725,2863.3125,6107.625,10094.5,8040.5
