id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7788.0,7782.5,7787.5,7783.786933333131,23.026554718894058,530.2222222222222,7750.0,7830.0,7776.25,7800.75,24.5,8.0,0.00295667112466539,0,0,7774.79,7802.305,8.242719274405317,8.242719274405317,0.001059508539530753,0.0010589476564967987
AO--AU,AO,AU,13288.474497523322,10,12060.35,12004.25,12026.6875,12022.632587493319,222.69237002346233,49591.89166666666,11835.0,12555.0,11888.0,12144.25,256.25,134.75,0.018464834770422277,1,0,11943.39625,12207.2175,1228.1244975233221,-1228.1244975233221,-0.09242027726750858,-0.09697386796056849
AO--BD,AO,BD,9121.283483960526,10,9681.35,9715.5,9685.375,9690.027485086708,160.39881718876717,25727.78055555555,9435.5,9895.0,9572.25,9815.25,243.0,126.0,0.016567815148586424,0,0,9588.043749999999,9772.025,560.0665160394747,560.0665160394747,0.06140216089373091,0.05959082729966517
AO--BR,AO,BR,6675.278533941141,10,6184.6,6181.5,6182.0,6182.47873333336,16.290419815884974,265.37777777777785,6170.0,6220.0,6171.5,6193.0,21.5,11.0,0.002634029656871095,0,0,6175.5,6194.702499999999,490.6785339411408,-490.6785339411408,-0.07350682543750575,-0.07634860018888345
AO--CA,AO,CA,10620.756402433968,10,10886.0,10970.5,10896.375,10919.954700004924,203.45351639461367,41393.333333333336,10557.0,11132.0,10703.5,11025.0,321.5,121.5,0.01868946503716826,0,0,10773.5875,10990.702500000001,265.2435975660319,265.2435975660319,0.024974077882555124,0.0246673223998994
AO--CD,AO,CD,549.1026827702303,10,517.1,515.0,514.875,514.8888888888889,7.355270219373317,54.1,514.0,538.0,515.0,515.0,0.0,0.0,0.014224077005169825,3,0,514.6,521.9,32.00268277023031,-32.00268277023031,-0.05828178184957383,-0.06004918062964916
AO--CL,AO,CL,8913.64308220524,10,8873.36,8848.5,8879.9375,8873.360000054006,544.4582387821658,296434.7737777779,8116.0,9578.1,8396.5,9363.25,966.75,542.0,0.06135874559154208,0,0,8559.141249999999,9194.58625,40.283082205240134,-40.283082205240134,-0.004519261297960124,-0.004529504030673433
AO--CN,AO,CN,11758.580047473492,10,11617.5,11644.0,11626.125,11631.389774999874,77.04147512144928,5935.388888888889,11470.0,11696.0,11585.0,11675.0,90.0,46.5,0.00663150205478367,0,0,11572.2775,11658.702500000001,141.0800474734915,-141.0800474734915,-0.011998051372181174,-0.012070608940850979
AO--CO,AO,CO,9801.95415219586,10,9846.210000000001,9865.0,9840.8875,9845.496260353393,154.14076142712324,23759.374333333322,9632.0,10103.0,9714.25,9913.0,198.75,99.5,0.015654831800979586,0,0,9752.995,9936.5025,44.25584780414101,44.25584780414101,0.0045150025308195,0.004504840483192424
AO--DE,AO,DE,6798.792115651933,10,6510.25,6508.5,6512.1875,6509.750000000078,23.53395891519789,553.8472222222222,6460.0,6545.0,6505.125,6517.75,12.625,7.0,0.0036149086310353503,3,0,6496.74875,6523.1,288.5421156519333,-288.5421156519333,-0.04244020272184261,-0.04336710841190901
AO--DZ,AO,DZ,5158.666122203358,10,4821.0,4821.0,4821.375,4821.3749999999745,7.874007874011811,62.0,4808.0,4831.0,4815.25,4826.75,11.5,6.0,0.0016332727388533108,0,0,4816.4,4825.2,337.6661222033581,-337.6661222033581,-0.06545609159507591,-0.06769666720324878
AO--EG,AO,EG,4715.419795274749,10,5285.7300000000005,5286.0,5286.0375,5286.216666666568,8.019150689304821,64.30677777777798,5272.0,5297.0,5282.75,5289.725,6.975000000000364,4.150000000000091,0.0015171321065027574,1,0,5280.6,5290.2300000000005,570.3102047252514,570.3102047252514,0.12094579687194566,0.11417279044281108
AO--ES,AO,ES,5722.316302190526,10,6217.4,6493.0,6232.625,6467.2534500039,380.438694141382,144733.59999999998,5773.0,6540.0,5776.5,6510.5,734.0,43.5,0.06118935473692894,0,0,5991.6975,6437.715,495.08369780947396,495.08369780947396,0.08651805871338394,0.08297814157335213
AO--ET,AO,ET,3446.282530254973,10,3495.6,3497.5,3495.0,3496.865660000076,11.157458890306918,124.48888888888888,3480.0,3516.0,3486.25,3500.0,13.75,4.5,0.003191858018739821,0,0,3489.0,3502.0025,49.317469745026756,49.317469745026756,0.014310338549456653,0.01420891214039044
AO--FI,AO,FI,7720.979613051022,10,7952.0,7927.5,7929.375,7920.824600005536,254.59335768589443,64817.77777777778,7674.0,8411.0,7732.25,8066.25,334.0,184.0,0.03201626731462455,0,0,7809.705,8100.25,231.02038694897783,231.02038694897783,0.029921123811605017,0.029482220485552168
AO--FJ,AO,FJ,16614.26463120842,10,16859.15,16771.0,16798.9375,16776.166666665507,587.3625631205615,344994.7805555556,16155.0,18045.0,16478.25,17079.0,600.75,333.5,0.03483939363019852,1,0,16535.37875,17236.8175,244.88536879157982,244.88536879157982,0.014739464804935416,0.014631894623291933
AO--FR,AO,FR,6480.8047195500585,10,6500.65,6500.0,6500.5625,6500.5625,0.8834905520465715,0.7805555555555556,6500.0,6502.0,6500.0,6501.375,1.375,0.0,0.0001359080325885214,0,0,6500.15,6501.2,19.84528044994113,19.84528044994113,0.0030621630042447757,0.003057484132324629
AO--GB,AO,GB,6807.150235507682,10,6828.0,6829.5,6828.5,6829.166666666685,2.8674417556808756,8.222222222222221,6822.0,6830.0,6827.25,6830.0,2.75,0.5,0.0004199533912830808,1,0,6826.2,6829.5,20.849764492318172,20.849764492318172,0.0030629211595126758,0.0030582399727992677
AO--GH,AO,GH,2181.7570144061915,10,2407.0,2410.5,2409.375,2409.707075000044,10.83205120618128,117.33333333333331,2380.0,2415.0,2405.0,2414.5,9.5,4.5,0.0045002290013216786,1,0,2399.9,2412.4,225.2429855938085,225.2429855938085,0.10323926271648214,0.09825063670817853
AO--GR,AO,GR,5296.817859625665,10,5799.45,5817.5,5814.9375,5817.176907143188,82.23018167180332,6761.802777777779,5595.0,5880.0,5787.0,5853.375,66.375,35.25,0.014178962086370832,1,0,5743.275000000001,5838.8025,502.632140374335,502.632140374335,0.0948932271591942,0.09065684907045105
AO--IN,AO,IN,8015.072192343541,10,8277.2,8255.5,8274.375,8273.465057133171,167.6496346551343,28106.400000000005,8031.0,8546.0,8170.0,8398.75,228.75,129.0,0.020254389727822727,0,0,8179.1575,8373.914999999999,262.1278076564595,262.1278076564595,0.03270436015621407,0.03218095378005669
AO--IT,AO,IT,5617.9698794223505,10,5685.8,5807.5,5759.75,5795.597899724768,322.4630211357575,103982.4,4850.0,5930.0,5745.0,5819.0,74.0,42.5,0.056713746726187605,2,0,5486.9975,5837.71,67.83012057764972,67.83012057764972,0.012073777900821378,0.01200147127202726
AO--JP,AO,JP,13857.461409152482,10,13843.8,13924.0,13853.375,13880.134066662351,219.38033944119363,48127.73333333334,13560.0,14051.0,13637.25,14041.0,403.75,126.5,0.01584682958733828,0,0,13712.99,13961.8125,13.66140915248252,-13.66140915248252,-0.0009858522242363616,-0.0009863384961615418
AO--KE,AO,KE,2743.2396541926637,10,3136.8,3137.5,3137.375,3138.1666666665824,11.331372379372237,128.40000000000003,3114.0,3155.0,3136.0,3142.5,6.5,4.0,0.003612398743742743,3,0,3129.8,3143.3,393.5603458073365,393.5603458073365,0.14346553543210624,0.13406359448307967
AO--KR,AO,KR,12699.236686021166,10,12464.4,12440.0,12452.0,12443.828814286377,102.4350200533652,10492.933333333332,12350.0,12678.0,12400.0,12500.0,100.0,54.5,0.008218207057970316,1,0,12408.787499999999,12528.0,234.83668602116632,-234.83668602116632,-0.018492189084062475,-0.018665307155730816
AO--MA,AO,MA,5195.819618732341,10,5639.5,5592.5,5630.5,5606.227400000894,110.24543326394775,12154.055555555557,5528.0,5823.0,5561.75,5711.25,149.5,47.0,0.019548795684714557,0,0,5576.6925,5708.715,443.68038126765896,443.68038126765896,0.08539179837345982,0.08194102630155525
AO--MX,AO,MX,12679.078203838877,10,12047.4,11989.0,12043.75,12002.410699998549,187.74225831057737,35247.15555555556,11756.0,12368.0,11943.25,12165.25,222.0,58.5,0.01558363284281898,0,0,11942.797499999999,12162.3575,631.6782038388774,-631.6782038388774,-0.049820514842129654,-0.05110438048777837
AO--MY,AO,MY,9903.39358541899,10,10065.55,10085.5,10076.0625,10081.128300026587,42.979614030633435,1847.2472222222225,9952.0,10095.0,10055.625,10089.75,34.125,7.5,0.004269971738318665,1,0,10037.845000000001,10085.55625,162.1564145810098,162.1564145810098,0.01637382309229401,0.016241217598859433
AO--NG,AO,NG,2080.1823760601865,10,2074.7,1987.5,2016.875,2021.28605517768,328.6085310314793,107983.56666666668,1786.0,2826.0,1820.25,2220.75,400.5,182.5,0.15838845665950707,1,0,1894.2925,2273.1425,5.4823760601866525,-5.4823760601866525,-0.0026355266361645347,-0.0026390057506999365
AO--NL,AO,NL,6826.04260195697,10,6847.2,6849.5,6846.75,6846.500000000038,29.050913162163347,843.9555555555556,6803.0,6895.0,6831.75,6854.75,23.0,14.0,0.00424274348086274,1,0,6829.7,6864.1,21.15739804302939,21.15739804302939,0.003099511573069253,0.003094717989697286
AO--NO,AO,NO,7625.360370993152,10,7713.5,7723.0,7712.0,7706.000000004427,147.67926959010418,21809.16666666667,7465.0,7974.0,7618.75,7754.25,135.5,81.5,0.019145559031581535,1,0,7623.995,7799.805,88.13962900684783,88.13962900684783,0.011558749320508275,0.011492457323590327
AO--NZ,AO,NZ,14143.139009143959,10,13052.84,12964.5,13047.125,13037.052428571567,364.14653704854095,132602.7004444444,12555.0,13596.4,12825.25,13309.5,484.25,295.0,0.027897877936796968,0,0,12837.166000000001,13268.195000000002,1090.2990091439588,-1090.2990091439588,-0.07709031272612453,-0.0802238962071557
AO--PE,AO,PE,9845.778856925126,10,9857.7,9810.0,9849.0,9827.857733333594,163.995291260315,26894.455555555553,9648.0,10137.0,9754.5,9930.25,175.75,82.0,0.01663626315066547,0,0,9771.0,9955.324999999999,11.921143074874635,11.921143074874635,0.0012107872061832652,0.0012100547944908138
AO--PH,AO,PH,12162.128893919244,10,12941.9,13099.5,12963.75,13002.350357116975,425.6494253882335,181177.43333333338,12335.0,13374.0,12532.5,13304.5,772.0,262.5,0.03288925315357355,0,0,12705.779999999999,13176.9875,779.771106080756,779.771106080756,0.0641146885452449,0.06214317509666187
AO--PK,AO,PK,7881.321787923071,10,7732.63,7661.5,7735.575,7715.821570959616,233.41167280151183,54481.00900000001,7354.2,8087.5,7597.5,7870.450000000001,272.9500000000007,135.0,0.03018528919675606,0,0,7604.886,7868.038750000001,148.69178792307048,-148.69178792307048,-0.01886635159992047,-0.01904659179497541
AO--PL,AO,PL,6809.113037552695,10,6912.6,6905.0,6903.125,6903.11021428494,56.54143023777638,3196.9333333333334,6851.0,7050.0,6876.25,6927.0,50.75,27.5,0.008179473749063504,1,0,6885.2925000000005,6948.405,103.48696244730581,103.48696244730581,0.01519830290326634,0.015083965729553641
AO--PT,AO,PT,5753.282352388308,10,5775.0,5775.5,5775.75,5775.66666666673,5.92546294487706,35.111111111111114,5762.0,5782.0,5773.25,5778.0,4.75,2.5,0.0010260541895891013,1,0,5771.1975,5778.3,21.717647611691973,21.717647611691973,0.003774827356191987,0.0037677205743757254
AO--RU,AO,RU,7506.107188793741,10,7297.3,7112.0,7275.875,7216.401456075626,566.9277927763131,321407.1222222223,6550.0,8216.0,6912.5,7547.5,635.0,327.0,0.077690076161911,0,0,6999.585,7623.275,208.80718879374126,-208.80718879374126,-0.027818306286044037,-0.028212564301246416
AO--SA,AO,SA,5193.3979905841725,10,5162.9,5144.5,5148.5,5137.242775002268,120.85661844608354,14606.322222222221,5055.0,5386.0,5067.5,5172.25,104.75,73.5,0.02340866924520784,2,0,5099.075000000001,5238.9275,30.49799058417284,-30.49799058417284,-0.005872453957787725,-0.0058897646195094425
AO--SE,AO,SE,7571.629355004058,10,8060.3,8015.0,8057.875,8037.294699997852,213.04410080752973,45387.78888888889,7685.0,8455.0,7960.5,8143.0,182.5,78.5,0.02643128677686063,2,0,7938.08,8185.1075,488.670644995942,488.670644995942,0.06453969444145884,0.06254249393889234
AO--SG,AO,SG,10108.617908587756,10,10213.6,10156.0,10196.125,10167.470779817018,157.7178916081918,24874.933333333334,10037.0,10530.0,10127.25,10259.75,132.5,51.5,0.015441949127456703,1,0,10132.9875,10312.9075,104.9820914122447,104.9820914122447,0.0103854050436566,0.010331847218678721
AO--SN,AO,SN,4274.775841417532,10,4513.1,4493.5,4503.75,4503.749999967466,242.8147213183107,58958.98888888888,4130.0,4971.0,4350.25,4667.0,316.75,188.5,0.053802202769340515,0,0,4379.587500000001,4658.62,238.32415858246804,238.32415858246804,0.05575126449283919,0.05425261255115061
AO--TH,AO,TH,9957.692589929997,10,10147.17,10120.5,10138.3375,10125.616403333332,75.81711987847251,5748.235666666672,10052.0,10313.0,10112.25,10151.1,38.850000000000364,15.850000000000364,0.007471750239571477,3,0,10107.90825,10191.462,189.47741007000332,189.47741007000332,0.019028244581643122,0.01884947179722134
AO--TR,AO,TR,5765.533175593958,10,5918.68,5886.0,5896.0,5883.144357145587,121.49861270355683,14761.9128888889,5813.0,6205.8,5843.75,5922.25,78.5,42.5,0.020527991495326123,2,0,5855.6849999999995,5999.945,153.14682440604247,153.14682440604247,0.02656247388434557,0.02621581669098569
AO--TZ,AO,TZ,2502.0333905971356,10,2736.5,2727.5,2728.75,2731.471655551927,97.48532653117026,9503.388888888889,2625.0,2910.0,2657.25,2800.0,142.75,86.5,0.03562409155167925,0,0,2685.5924999999997,2790.6124999999997,234.46660940286438,234.46660940286438,0.09371042380329966,0.08957597408376337
AO--UA,AO,UA,6776.4600893004845,10,6783.9,6778.5,6785.5,6785.500000000034,88.80997191256796,7887.21111111111,6611.0,6944.0,6740.25,6831.0,90.75,46.5,0.013091285530825626,0,0,6727.8,6833.6025,7.439910699515167,7.439910699515167,0.0010979051896523703,0.0010973029325235817
AO--US,AO,US,10643.935912153609,10,10497.2,10520.5,10516.75,10516.317042857145,89.37536324712507,7987.9555555555535,10260.0,10578.0,10489.0,10536.5,47.5,30.5,0.008514209812819138,1,0,10439.89,10538.710000000001,146.7359121536083,-146.7359121536083,-0.013785869565980779,-0.013881777132094519
AO--VN,AO,VN,10634.256207680037,10,10655.1,10607.5,10633.375,10600.824685727996,250.0481953544156,62524.09999999999,10368.0,11116.0,10473.75,10698.25,224.5,128.0,0.023467465847755123,2,0,10522.1875,10819.565,20.84379231996354,20.84379231996354,0.001960061137600785,0.0019581427241652056
AO--ZA,AO,ZA,2450.091998989052,10,2489.7,2490.0,2489.625,2489.6666666666665,0.6749485577105528,0.4555555555555555,2489.0,2491.0,2489.0,2490.0,1.0,0.5,0.00027109634000504194,0,0,2489.3,2490.1,39.608001010947646,39.608001010947646,0.0161659239846057,0.016036646830969267
AR--AU,AR,AU,11758.30968994146,10,11804.3,11842.5,11822.875,11830.23123333205,88.33025151856715,7802.2333333333345,11585.0,11875.0,11790.75,11859.5,68.75,25.5,0.007482887720455017,1,0,11748.8725,11848.9025,45.99031005853976,45.99031005853976,0.003911302837845967,0.00390367357998919
AR--BD,AR,BD,16776.827494420908,10,17026.4,17030.0,17027.375,17029.35653333339,7.560129334578579,57.155555555555544,17013.0,17032.0,17025.0,17032.0,7.0,2.0,0.00044402394719838476,2,0,17021.6,17030.4,249.57250557909356,249.57250557909356,0.014876025020945604,0.014766462197200183
AR--BR,AR,BR,2333.5144810867555,10,2340.6,2340.0,2340.125,2340.222222222222,1.5776212754932308,2.4888888888888885,2340.0,2345.0,2340.0,2340.0,0.0,0.0,0.0006740242995356878,2,0,2340.0,2341.6,7.085518913244414,7.085518913244414,0.003036415231477189,0.0030318146332798876
AR--CA,AR,CA,9031.715831568095,10,8980.2,8974.5,8978.625,8975.522433333468,19.78663971247041,391.5111111111111,8958.0,9015.0,8967.0,8995.25,28.25,10.5,0.002203362922036303,0,0,8968.9,8992.0025,51.515831568094654,-51.515831568094654,-0.005703880915742942,-0.005720210167502963
AR--CD,AR,CD,8250.16360355336,10,7875.4,7872.5,7874.625,7872.83333333394,41.85477538133758,1751.8222222222225,7817.0,7940.0,7848.75,7897.75,49.0,28.5,0.0053146221628536435,0,0,7853.195,7900.407499999999,374.76360355335964,-374.76360355335964,-0.045424990528908825,-0.04648905381116715
AR--CL,AR,CL,1139.660312749686,10,966.4,853.0,959.375,853.9343399907473,147.2610682503092,21685.82222222222,851.0,1138.0,852.25,1137.0,284.75,1.5,0.15238107227887954,0,0,880.7,1052.2,173.26031274968602,-173.26031274968602,-0.1520280304678301,-0.16490769853352527
AR--CN,AR,CN,19261.112952664003,10,19263.4,19269.0,19264.25,19268.678266666666,9.335713982098829,87.15555555555558,19250.0,19270.0,19254.0,19270.0,16.0,1.0,0.0004846347987426326,0,0,19257.6,19269.0,2.287047335998068,2.287047335998068,0.00011873910617827234,0.00011873205724863827
AR--CO,AR,CO,4640.374060415398,10,4661.5,4660.0,4660.875,4660.428571426229,2.798809270624444,7.833333333333332,4660.0,4668.0,4660.0,4661.5,1.5,0.0,0.0006004095828862907,2,0,4660.2,4663.3,21.125939584601838,21.125939584601838,0.004552637203284142,0.004542305296944569
