place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5446.9,13589.7,4237.5,12076.8,3599.2,5149.3,5602.7,441.7,14178.2,12113.7,6289.9,10940.0,5059.4,4777.7,6425.6,14810.5,4569.9,5964.4,13620.7,14602.7,12630.8,4456.6,4653.2,2002.3,4826.5,5110.7,14495.7,2384.5,5644.3,2401.8,4760.6,14187.6,5247.0,5461.1,5793.3,3269.7,14406.4,4013.2,5941.7,2297.1,1385.8,1275.9,6707.9,4320.7,1714.4,8014.0,3412.2,5246.6,6864.4,851.8,4919.6,1992.5,5804.0,4967.2,5301.1,6830.8,14314.5,5587.3,5997.4,6492.1,4883.8,5176.1,5055.8,3274.4,14228.2,396.9,14151.0,14793.2,10884.6,6511.6,2033.0,4146.3,6092.5,300.6,3406.1,3813.1,3739.8,3931.6,787.2,12065.5,4776.9,5886.1,7477.1,4968.3,4246.0,14968.0,2629.5,3972.6,3482.0,3683.2,11357.3,13133.0,2438.5,5298.3,13778.9,14554.5,6290.8,5341.6,5470.2
AO,5446.9,0.0,7781.0,5937.9,11860.5,9355.5,6418.6,3028.4,5462.8,7731.1,6234.8,2062.3,10303.6,538.2,6234.3,2792.9,8121.7,1017.7,11611.3,9412.8,9953.1,10394.2,6150.3,6555.9,4140.7,7102.7,4810.4,9595.1,5281.9,5764.4,3502.1,7995.1,15658.0,6500.0,6835.2,2402.4,5026.4,10827.1,6111.3,6776.7,8193.4,5818.7,6177.8,9356.4,5095.0,5235.9,13588.0,3162.5,10230.3,12432.4,5905.5,10369.7,5428.0,5578.2,3690.8,11715.4,4208.9,12233.8,9268.9,2784.7,1581.3,1821.9,6796.3,7209.1,8461.7,12912.8,5677.0,9704.4,9704.0,14517.4,11769.0,7249.9,6671.1,5778.3,5797.3,6095.9,6104.6,7279.0,2140.2,5357.2,15874.5,7267.9,9561.4,4830.3,9935.4,4774.0,16900.3,5868.5,2854.3,6298.8,2248.4,10483.1,6663.5,8379.1,10518.6,16289.9,17513.1,2490.0,1913.9,2167.4
AR,13589.7,7781.0,0.0,11806.0,11825.3,17002.9,11322.6,8192.5,13524.8,2094.0,2340.0,8153.9,8983.6,7913.8,11127.9,7486.9,1137.6,8332.3,19265.6,4673.0,5683.3,6892.4,11842.3,11901.0,11293.2,11838.2,9843.0,4356.3,11800.1,10036.0,9829.3,12627.2,10773.5,11072.3,11131.8,7867.7,10697.8,6068.3,11885.2,11058.1,15992.5,12430.1,13820.9,11262.9,11149.8,12142.7,18372.5,9562.1,17055.8,19512.0,12580.8,18944.0,11734.6,9433.7,9713.8,19255.0,7455.6,7385.9,15873.7,8132.5,8119.9,8093.9,11447.2,11808.6,18149.3,10317.7,13743.9,5296.0,3139.0,13584.8,19537.6,15333.8,12234.9,9582.5,13310.3,11857.2,11823.0,13476.0,9757.3,12133.6,12578.5,11911.8,15886.6,6955.6,17102.0,10117.5,10295.1,11895.7,9351.3,12820.5,9609.9,8383.2,221.9,16190.6,18479.222222222223,11752.7,10469.8,8120.6,8139.7,8167.5
AT,4237.5,5937.9,11806.0,0.0,16095.5,7036.4,915.0,4363.8,3882.1,10624.2,9572.7,7776.0,6551.8,5487.1,684.3,5126.5,12486.8,4858.7,7453.7,9255.8,9724.1,8613.2,251.8,524.0,4767.4,870.0,1666.9,10107.1,2387.3,1810.6,4905.6,1442.4,16317.0,1033.8,1235.4,4890.6,1281.6,9825.5,216.9,1691.8,5563.5,2852.6,3171.0,3027.9,765.0,2455.0,9131.9,5701.7,8786.5,8273.8,3385.5,8299.2,2224.3,2487.8,8096.8,6430.7,4183.2,9901.6,9700.2,8088.5,7578.8,4313.9,963.1,1389.4,6203.1,18161.2,4384.1,9462.4,11149.9,14046.9,9725.0,4819.0,556.0,2300.0,3951.5,854.9,490.0,1670.0,5709.7,3800.1,15417.7,1244.0,9703.4,4769.6,8452.3,1361.3,16847.4,1594.8,6183.3,1028.7,5285.9,7044.5,11236.3,4247.4,8329.7,15987.3,16231.3,8526.4,7174.9,7238.4
AU,12076.8,11860.5,11825.3,16095.5,0.0,8934.6,16575.7,16378.1,12028.6,13329.3,14009.7,10332.7,16217.6,13014.7,16575.7,16073.3,11342.0,13854.5,8966.8,14322.4,14174.3,15807.6,16087.9,16096.2,12329.3,16052.6,17232.3,14183.9,14402.0,17570.0,11615.8,15188.5,3317.0,16960.0,16912.0,15975.1,15304.8,14247.7,15725.1,17221.2,10390.2,12913.1,12891.1,16947.6,16313.9,13143.8,7970.7,11909.9,7069.4,8338.0,12164.6,7186.8,14144.5,18126.8,9557.9,9582.7,18542.5,13203.0,6565.6,10484.4,10415.9,14951.8,16630.4,16026.8,9682.3,2326.0,11221.5,14270.6,12467.5,2798.8,6260.2,10350.4,15606.0,18038.8,12024.6,15256.2,15947.6,14466.2,12082.5,12128.9,3150.2,15598.2,6150.0,17403.3,7361.1,16235.6,3586.3,14407.4,10986.6,14920.3,12243.4,15965.7,11578.8,11616.9,7476.1,2705.4,4387.1,10356.3,11064.0,10420.9
BD,3599.2,9355.5,17002.9,7036.4,8934.6,0.0,7636.2,9829.8,3958.0,18350.1,16829.2,8568.8,12481.7,8725.2,7588.7,10364.3,17257.5,8811.4,3026.0,16649.5,16759.6,15553.2,7342.2,7189.6,5295.2,7291.94,8380.2,16843.6,5638.7,8276.1,5961.7,6609.7,11208.4,7905.4,7999.6,10013.8,6153.2,16013.0,7036.2,8186.1,1423.6,4504.3,4271.4,8268.2,7275.0,5030.3,4720.9,6828.5,1936.2,3720.2,4276.3,1346.5,5112.6,9106.0,6853.6,3066.0,10725.9,15845.0,2629.9,7792.4,9835.4,8634.8,7704.1,7309.2,665.0,11065.2,3266.7,16705.7,17654.0,6344.1,3116.0,2028.3,6828.5,8743.5,3927.1,6355.6,7097.5,4950.1,7429.7,4885.6,7854.0,6958.5,2896.6,12334.5,1540.5,7586.4,11392.0,5420.8,6783.039999999999,6204.9,7169.4,12637.2,17261.5,2984.9,1706.3,10012.5,10960.3,8427.7,8023.4,8069.1
BE,5149.3,6418.6,11322.6,915.0,16575.7,7636.2,0.0,4516.6,4763.1,10136.2,9263.2,8191.7,5655.3,6230.5,489.2,5241.4,11646.5,5248.4,7970.0,8461.2,9077.6,7723.9,714.0,651.0,5308.4,764.9,1631.8,9445.2,3195.1,1316.0,5635.7,1647.7,16339.0,264.0,320.0,5109.1,2088.1,9004.4,1129.7,774.0,6364.7,3756.2,4077.1,2131.1,1173.0,3262.5,9450.0,6442.2,9655.7,8680.2,4338.5,9005.9,3142.5,2058.6,8737.9,6972.9,3969.5,9233.2,10234.4,8744.0,8295.6,4848.3,173.0,939.1,7068.7,18816.1,5376.8,8764.8,10399.6,14453.6,10452.8,5446.2,1160.0,1712.5,4895.5,1765.5,1373.1,2251.6,6302.5,4721.8,15653.7,1281.8,10525.8,4478.6,9263.7,1625.9,16527.0,2589.6,6859.2,1805.6,6227.6,6238.9,11027.2,5058.5,8442.8,16263.0,15765.3,8881.6,7443.8,7811.6
BF,5602.7,3028.4,8192.5,4363.8,16378.1,9829.8,4516.6,0.0,5227.8,8166.0,6121.0,4928.2,7976.5,2793.3,3942.3,765.4,8867.8,1754.8,11312.2,8246.9,8567.8,8121.9,4626.8,4794.3,4832.1,4974.0,2733.7,8331.5,3824.0,3190.0,4171.5,5640.8,19133.9,4065.5,4489.7,799.0,3579.9,9448.3,4361.5,4605.1,8197.3,4879.0,5576.2,5715.7,3473.1,4321.8,13030.3,4424.0,11267.6,11956.0,5225.8,10761.0,4427.5,2652.4,6268.6,10404.9,1612.3,10087.6,11299.5,5533.9,4343.5,844.5,4566.3,5194.1,8515.4,18456.9,6091.5,8238.0,9100.7,17343.1,13018.2,7350.6,4824.1,3160.3,5312.3,4601.2,4281.5,5707.0,3534.7,5089.1,18770.4,5409.3,11443.1,1742.9,10660.5,2861.3,19448.9,4479.7,4373.5,5128.2,3620.3,8318.7,8131.3,7338.0,10970.8,19016.9,18486.9,5105.4,4269.2,4865.3
BH,441.7,5462.8,13524.8,3882.1,12028.6,3958.0,4763.1,5227.8,0.0,13551.4,11726.5,6146.5,10426.7,4894.6,4467.1,6051.4,14259.2,4604.4,6225.8,13430.9,14224.8,12292.7,4182.5,4269.9,1956.1,4793.9,4574.2,14088.1,1921.2,4860.9,2187.9,4315.1,14238.1,4824.4,5161.6,5844.2,2622.2,14074.3,3752.8,5487.5,2625.3,972.5,1107.3,6152.3,3994.3,1523.6,8258.7,3451.9,6043.1,7206.3,420.0,5238.1,1588.8,5184.1,5117.8,5435.8,6396.7,14312.0,6234.8,6051.7,6590.8,4889.3,4787.3,4833.6,3574.8,14808.5,835.5,13850.4,14482.5,10795.3,7379.4,2313.2,3915.1,5456.9,140.7,2994.3,3454.7,3446.6,3766.8,424.8,12056.2,4642.0,6352.8,7119.2,5360.6,3873.2,15466.2,2067.1,4146.1,3134.4,3576.0,11417.2,12539.8,2992.9,5857.6,13707.3,14865.3,6273.0,5137.5,5804.4
BO,14178.2,7731.1,2094.0,10624.2,13329.3,18350.1,10136.2,8166.0,13551.4,0.0,1731.9,9009.8,6517.9,9025.5,10093.1,7825.7,1726.5,8580.6,19148.3,2879.0,3885.4,4739.7,10719.0,10412.4,11631.0,10345.7,9045.3,2404.1,10797.5,9318.7,11175.1,11377.8,12182.3,10047.8,9915.2,7873.2,10267.9,4552.8,10699.5,9566.7,15988.0,12794.9,13246.5,9493.6,10120.1,11953.7,16997.4,10684.3,19279.7,18851.7,13078.2,19030.4,10879.1,8693.6,10523.6,16501.3,7608.2,5386.5,18933.8,9179.4,8485.0,8081.5,10075.4,10296.2,17778.5,11008.7,14206.1,3304.7,1521.4,14776.5,19134.5,15897.4,11072.7,8516.0,13736.0,10999.7,10658.3,11971.2,10264.7,12881.5,13553.8,10656.9,18612.4,7223.3,18405.2,9325.3,11111.3,11440.3,9972.2,11534.0,9798.3,6505.2,1926.1,14933.4,19360.2,13110.5,11744.7,9230.2,8810.1,9050.0
