place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5425.0,13590.0,4237.0,12079.0,3594.0,5150.0,5571.5,450.0,14176.0,12129.0,6327.5,10989.0,5011.0,4775.0,6367.5,14805.0,4555.0,5964.0,13620.5,14490.0,12655.0,4455.5,4656.5,2004.0,4828.0,5127.5,14440.0,2385.5,5644.5,2405.0,4775.0,14176.5,5245.5,5470.0,5809.0,3270.0,14426.5,4013.5,5941.0,2298.0,1385.0,1275.0,6732.0,4320.5,1612.5,8014.0,3407.5,5228.5,6864.5,852.0,4890.0,1990.5,5810.0,4934.0,5317.5,6777.5,14316.0,5587.5,5992.5,6504.0,4905.0,5174.0,5046.5,3295.5,14230.0,383.0,14186.0,14790.0,10930.5,6356.0,2031.0,4148.5,6122.5,300.0,3406.0,3812.0,3740.0,3940.5,791.0,11960.5,4777.5,5888.0,7482.5,4970.0,4240.0,15024.5,2630.0,3943.0,3520.0,3667.0,11360.5,13185.0,2395.0,5313.5,13690.0,14555.0,6285.0,5385.0,5461.0
AO,5425.0,0.0,7780.0,5885.5,11888.5,9301.5,6245.5,3060.0,5470.5,7711.5,6191.5,2052.5,10296.0,538.0,6257.5,2820.0,8130.0,1018.0,11642.5,9399.0,9963.0,10397.0,6122.5,6569.0,4140.0,7062.0,4810.0,9694.0,5281.5,5773.0,3500.5,8038.5,15730.0,6500.0,6831.0,2400.5,4944.0,10790.0,6105.0,6844.0,8151.5,5860.0,6190.0,9439.0,4871.5,5262.5,13580.0,3165.0,10250.0,12432.5,5906.5,10376.5,5428.5,5672.5,3727.5,11667.5,4247.0,12242.5,9237.5,2785.0,1579.0,1804.5,6813.5,7207.5,8475.0,12904.5,5661.0,9694.5,9812.5,14452.5,11843.0,7223.0,6648.5,5780.0,5800.5,6180.0,6105.0,7408.0,2191.0,5364.0,15962.5,7287.5,9577.5,4805.0,10052.0,4792.5,16570.0,5822.5,2885.0,6287.5,2089.0,10477.0,6747.5,8440.0,10548.5,16297.5,17491.0,2490.0,1931.0,2164.0
AR,13590.0,7780.0,0.0,11806.0,11847.5,17007.5,11325.0,8180.0,13535.0,2115.0,2340.0,8155.0,8982.5,7857.5,11125.0,7482.5,1138.0,8310.0,19270.0,4675.0,5684.5,6894.5,11814.0,11900.0,11302.5,11840.0,9819.5,4351.5,11800.0,10030.0,9907.5,12630.0,10850.0,11075.0,11130.0,7922.5,10493.5,6062.5,11870.0,11050.5,15950.0,12250.0,13735.0,11387.5,11150.0,12150.0,18375.0,9562.5,17057.5,19515.0,12495.0,18916.0,11796.5,9446.5,9560.0,19247.5,7453.5,7385.0,15867.5,8130.0,8136.5,8060.0,11447.5,11900.0,18140.0,10317.0,13580.0,5292.5,3140.0,13905.0,19850.0,15358.0,12232.5,9580.0,13310.0,11812.0,11822.0,13476.0,9779.5,12112.5,12521.5,11912.5,15893.0,6955.0,17102.5,10080.0,10330.0,11868.5,9379.5,12822.0,9608.0,8385.0,230.0,16253.0,19000.0,11742.5,10472.5,8115.5,8135.0,8175.0
AT,4237.0,5885.5,11806.0,0.0,16080.0,7031.5,915.0,4352.5,3887.5,10587.0,9587.5,7820.0,6527.5,5457.5,684.0,5127.5,12492.5,4883.5,7453.0,9202.0,9726.0,8645.5,252.0,524.0,4833.5,870.0,1680.5,10130.0,2386.5,1811.0,4894.0,1438.0,16317.5,1034.0,1235.0,4877.5,1280.0,9841.5,214.0,1695.0,5565.0,2853.0,3171.5,3047.0,765.0,2457.0,9130.0,5655.0,8792.5,8273.5,3401.5,8315.0,2235.0,2481.0,8095.5,6427.5,4156.0,9887.5,9703.0,8120.0,7478.5,4333.5,966.0,1391.5,6201.0,18162.5,4382.5,9446.0,11170.0,14062.5,9724.0,4820.5,556.0,2300.0,3968.5,855.0,490.0,1670.0,5710.5,3812.5,15471.0,1244.0,9702.0,4780.0,8452.5,1361.0,16857.5,1593.5,6162.5,1029.5,5325.0,7045.5,11234.0,4231.5,8328.5,15990.5,16229.0,8518.0,7172.5,7270.5
AU,12079.0,11888.5,11847.5,16080.0,0.0,9016.5,16582.0,16251.5,12085.0,13304.0,13932.5,10206.5,16250.0,12888.5,16584.0,16115.0,11340.0,13900.0,8970.0,14330.0,14169.0,15917.5,16089.5,16094.0,12335.0,16060.0,17204.0,14326.0,14402.0,17640.0,11606.0,15190.0,3282.5,16960.0,16910.0,15917.0,15309.0,14300.5,15734.0,17230.0,10435.0,12912.5,12875.0,16960.0,16315.0,13119.0,7971.0,11922.5,7113.5,8336.5,12181.5,7179.5,14148.0,18140.0,9552.5,9607.5,18485.0,12883.5,6570.0,10424.0,10408.0,14999.5,16635.0,16034.5,9683.0,2326.0,11160.0,14286.0,12740.0,2820.0,6251.0,10332.0,15605.0,18037.0,11985.0,15217.5,15947.5,14465.0,11960.0,12112.5,3152.5,15597.0,6150.0,17267.5,7373.5,16235.0,3585.0,14390.0,10980.0,14915.0,12340.0,15923.0,11662.5,11565.0,7477.5,2846.5,4412.5,10288.5,11033.5,10423.0
BD,3594.0,9301.5,17007.5,7031.5,9016.5,0.0,7690.0,9875.0,3949.0,18380.0,16844.0,8548.5,12484.0,8687.5,7575.0,10367.5,17090.0,8771.0,3026.0,16765.0,16839.0,15547.5,7404.5,7168.0,5323.0,7307.0,8404.0,16822.5,5690.0,8264.5,5937.5,6653.0,11245.0,7905.5,8002.5,9997.5,6170.0,16082.5,7023.0,8183.5,1424.0,4463.5,4275.0,8274.0,7275.0,5052.5,4721.0,6832.5,1912.5,3720.0,4274.0,1355.0,5062.5,9112.0,6755.5,3070.0,10610.0,15810.0,2630.0,7825.5,9862.5,8606.5,7705.5,7316.0,665.0,10985.0,3266.5,16752.5,17845.0,6297.5,3004.0,2029.0,6827.5,8732.5,3904.0,6332.5,7121.0,4943.5,7417.5,4880.0,7926.0,6996.0,2896.5,12340.0,1540.0,7571.5,11375.0,5463.0,6785.0,6251.5,7146.5,12635.0,17120.0,2940.0,1598.5,9925.5,11028.0,8450.0,8048.5,8122.5
BE,5150.0,6245.5,11325.0,915.0,16582.0,7690.0,0.0,4497.5,4785.0,10134.0,9266.5,8153.0,5655.0,6230.0,489.5,5202.5,11645.0,5224.0,7970.0,8456.5,9117.0,7722.5,712.0,651.0,5308.0,765.0,1634.5,9434.0,3190.0,1316.0,5637.0,1648.0,16347.5,264.0,320.0,5091.0,2088.0,9005.0,1130.0,774.0,6365.0,3757.5,4075.0,2131.0,1173.0,3249.0,9450.0,6455.0,9676.0,8680.0,4342.5,9018.5,3142.0,2077.5,8750.5,6980.0,3973.5,9230.0,10237.0,8725.0,8306.5,4851.5,173.0,966.0,7189.5,18815.0,5462.0,8791.0,10489.5,14502.0,10446.5,5448.0,1160.0,1713.0,4895.0,1764.0,1373.0,2252.0,6263.0,4733.5,15610.0,1282.0,10538.0,4482.5,9263.0,1626.0,16516.5,2590.0,6845.0,1832.0,6239.0,6236.5,11040.0,5129.5,8407.5,16265.0,15766.5,8892.5,7462.5,7844.5
BF,5571.5,3060.0,8180.0,4352.5,16251.5,9875.0,4497.5,0.0,5226.5,8138.5,6142.5,4917.0,7902.5,2788.5,3975.0,746.5,8870.0,1757.0,11320.0,8260.0,8550.0,8095.0,4567.5,4817.0,4798.0,4997.0,2727.5,8290.5,3852.5,3183.0,4162.5,5641.0,19115.0,4065.0,4482.0,760.0,3584.5,9465.0,4363.5,4561.5,8170.5,4870.5,5600.0,5731.5,3442.5,4324.0,12970.0,4402.5,11329.5,11936.0,5227.5,10740.0,4411.0,2673.0,6270.5,10417.5,1611.5,10101.5,11330.0,5521.0,4371.5,834.0,4545.5,5222.5,8530.0,18627.0,6107.5,8199.0,9209.0,17402.5,13097.5,7351.5,4835.0,3149.5,5304.0,4615.0,4312.5,5791.5,3525.5,5151.5,18862.0,5411.5,11335.0,1744.0,10647.5,2885.0,19442.5,4504.0,4377.5,5152.5,3600.0,8308.0,8112.5,7325.0,10934.0,18963.0,18572.5,5102.5,4268.0,4855.0
BH,450.0,5470.5,13535.0,3887.5,12085.0,3949.0,4785.0,5226.5,0.0,13645.0,11690.0,6131.5,10480.5,4885.5,4440.0,6015.0,14245.0,4554.5,6209.5,13443.0,14234.5,12296.0,4173.5,4275.0,1955.5,4813.5,4562.5,14125.0,1922.5,4864.5,2177.5,4371.0,14208.5,4825.0,5164.0,5793.0,2621.0,14096.5,3749.0,5467.5,2628.0,977.5,1111.5,6097.5,4009.0,1523.5,8260.0,3443.5,6021.5,7168.0,420.0,5169.5,1585.5,5235.0,5102.5,5435.5,6402.5,14316.0,6256.0,6113.0,6540.0,4905.0,4773.0,4834.5,3593.5,14789.0,835.5,13760.5,14512.5,10585.0,7386.0,2318.5,3920.5,5455.0,141.0,3019.0,3419.5,3444.0,3789.5,428.0,11947.5,4611.0,6351.5,7105.0,5362.5,3860.0,15414.0,2052.5,4125.0,3135.0,3578.0,11406.5,12687.5,3011.5,5875.0,13751.5,14850.0,6280.0,5114.0,5825.0
BO,14176.0,7711.5,2115.0,10587.0,13304.0,18380.0,10134.0,8138.5,13645.0,0.0,1679.0,9053.0,6550.0,9025.5,10085.5,7808.0,1675.5,8553.5,19355.0,2889.0,3834.5,4755.0,10729.0,10372.5,11659.0,10331.5,9045.5,2404.5,10817.5,9317.5,11220.0,11370.0,12199.5,10061.5,9899.0,7854.0,10252.5,4536.0,10689.0,9544.5,16001.5,12800.0,13264.0,9455.5,10131.5,11879.5,17034.5,10675.0,19382.5,18932.5,12961.5,18940.5,10916.0,8730.0,10388.0,16471.5,7640.5,5368.0,18879.5,9220.5,8461.0,8060.0,10094.0,10320.0,17516.0,11036.5,14171.0,3318.0,1624.0,14757.5,19153.0,15972.5,11091.0,8449.5,13741.5,10977.0,10706.5,11956.0,10305.0,12885.5,13520.0,10664.0,18610.0,7210.0,18310.0,9296.0,11139.0,11507.5,9957.0,11525.0,9765.0,6517.5,1915.0,14905.0,19365.0,12996.5,11667.0,9255.0,8738.0,9058.5
