place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5431.183025272125,13589.31057146327,4236.995028561689,12077.333333333116,3596.0108333333155,5149.75,5586.851228277513,449.6666666666667,14178.199999998576,12126.164149999986,6290.08054444345,10980.845700171167,5033.0328285702,4777.7919666661355,6395.683143192288,14802.994500000277,4541.176950006373,5964.833333333256,13619.633242893635,14582.500866676683,12629.125000006488,4455.66666666667,4655.373933333427,2002.9999999997813,4827.086425000027,5126.69566666668,14477.795874999849,2384.500000000013,5643.963522222215,2401.651200000069,4767.351499998823,14174.494966667242,5246.089560006331,5470.936028571495,5802.905357363291,3269.7142857166286,14409.833333333336,4013.34968571429,5941.999999999894,2297.777777777778,1385.8333333334044,1275.0,6716.051299996651,4320.948375000006,1613.0108333301453,8013.749999999998,3407.2792429946703,5229.999999998165,6864.538411111119,851.8571428571429,4906.666666668365,1991.4738999999586,5800.833333333809,4939.952443022635,5304.700155947305,6793.239899517814,14314.43354284739,5587.82515714286,5972.333333330426,6496.769628574242,4895.284214079118,5174.393040012664,5055.800000000418,3292.73417142839,14228.56913998045,384.2985333312911,14186.361600305368,14792.749999999245,10916.332242874985,6398.987733353506,2032.1378857240477,4146.881999999883,6123.500000000454,300.42857142857144,3406.2500000000146,3812.833333333249,3739.850733333333,3942.2494144236703,789.5692714287425,12049.576114285761,4776.899999999995,5887.443485714276,7480.328300000044,4969.571428571428,4239.120999669266,15008.581750004403,2629.5,3948.640557143483,3514.6740000041614,3680.625000002871,11357.292477778088,13136.26833332632,2395.3333333343053,5302.915299999019,13705.597499997637,14563.833333338742,6287.229699999871,5382.012366666969,5461.32173333335
AO,5431.183025272125,0.0,7780.142857142857,5887.666666666569,11867.630242858122,9316.41881377631,6247.275333333457,3052.7664995824894,5472.707324999871,7687.55388571964,6190.499999999779,2081.19989997398,10307.99999999268,538.1111111111111,6247.021857136886,2805.779166669233,8130.982928571611,1017.7142857142857,11625.183099761574,9440.348511110684,9975.499999993905,10392.33333334305,6125.5514333332385,6561.3190142872645,4142.62500001611,7090.248285719877,4811.166666666652,9712.575928587075,5282.125000000007,5772.517400000078,3501.666666666527,8000.166666717584,15658.000000055557,6500.0,6836.500000000034,2401.6378200124273,4954.916500013606,10817.125000008642,6110.838756967723,6827.963514289635,8179.912014554634,5845.166666665786,6187.833333336134,9415.048099999789,4879.612080062111,5252.7501666665785,13586.07244444439,3162.4463000007368,10236.529220182867,12431.749999918811,5890.591500316099,10396.833333328203,5421.125000002258,5630.804999153296,3694.1250000195455,11682.35116665682,4235.666666670121,12225.333333327088,9253.18149999526,2784.777777777778,1579.5714285714287,1808.1086666661467,6810.9453143618375,7196.995149985924,8461.699999994371,12889.666666671139,5674.415999998026,9690.999999992931,9820.375000089893,14445.833333333318,11778.973249995022,7233.122233322374,6673.562999996205,5778.184785714271,5802.666666665348,6160.513200004536,6117.994185955632,7280.9999999833135,2187.546399999812,5342.624999989841,15913.029666684863,7266.200844136406,9556.214428573032,4803.759871428964,10027.177940000234,4786.699500007165,16593.849071419812,5860.899125004655,2882.2555000018456,6291.412999999988,2097.7397666799643,10476.833333333874,6743.333333331507,8396.936725000092,10560.980585728435,16294.833333322891,17462.833333328148,2490.0,1925.2465999985634,2164.206500000065
AR,13589.31057146327,7780.142857142857,0.0,11806.0,11838.876149999402,17005.374700000608,11323.798142857177,8175.833333331406,13522.999999999765,2095.936822221281,2340.0,8155.0,8982.766825000002,7859.700699999995,11127.33584999996,7483.68895714135,1137.6,8319.289411138969,19269.333333333332,4673.000000000126,5683.858700000024,6894.303479999996,11815.23259999999,11900.111111111111,11317.91379946975,11838.333333333267,9831.492666667054,4351.982599999957,11800.1,10030.666666666666,9902.742833335391,12627.374999999998,10758.068500002402,11073.665659999999,11129.4739,7874.827866673378,10494.577899951575,6064.124999999901,11879.433600000553,11051.586080000037,15949.166666667403,12250.666666666648,13730.500000083894,11350.873499995352,11149.888888888889,12153.333333332548,18374.88888888889,9569.99999984902,17056.743271432217,19511.99999999998,12537.318333341167,18930.999999999967,11765.532425007597,9449.499999999169,9564.925428568125,19247.672357142856,7460.166666666521,7385.90000000003,15869.625000000062,8131.403714250977,8133.353814285688,8078.203357143398,11447.365944444446,11873.333819998816,18149.29999992977,10317.52848888885,13583.233880000786,5293.304333333343,3139.4285714285716,13831.398960865272,19804.606985694092,15326.131042882665,12235.328811112413,9580.42857142857,13310.333333333316,11812.599999997605,11822.018822222279,13476.0,9749.027384993173,12126.62499999517,12529.093699987276,11908.639200001711,15892.356533333328,6955.379222222222,17088.165624999958,10091.424899999834,10320.47833333468,11871.540624800591,9368.103966670908,12821.57142857143,9613.624999999845,8385.0,229.57142857142858,16232.313856601357,18468.314285541892,11711.153928561893,10477.320933336623,8117.100928571433,8134.374999849647,8171.315250000083
AT,4236.995028561689,5887.666666666569,11806.0,0.0,16080.142857142857,7031.023200000081,915.0,4346.666666661489,3890.166666668978,10622.87499999997,9587.5,7796.645157141381,6543.609885715543,5460.942500004768,684.3,5117.666666670101,12488.766157142842,4873.142014283259,7453.4942,9213.823371732855,9714.499999998894,8648.541600000779,251.79999999999987,524.0,4788.045200004287,870.0,1679.4656599998818,10107.403444443202,2386.135988888893,1810.6503142808401,4901.942499869718,1437.8706500000312,16317.5,1033.8,1235.25,4889.583277778562,1280.6666666666667,9836.429228570476,214.11111111111111,1694.7931714285755,5564.571428573771,2853.2500000001837,3170.6250000000227,3053.639966678557,765.0,2455.5384111111143,9130.42857142857,5693.852357150263,8787.884524999326,8273.5,3394.7547142877497,8309.658757315012,2240.181971428692,2482.386642848468,8091.833333330815,6430.6999999997,4178.07427499331,9879.499999998436,9702.608174999947,8118.882657142858,7504.478766659816,4311.499999997823,965.8888888888889,1390.6380499999536,6203.456555556206,18168.61355555556,4382.166666665474,9444.999999998568,11166.76728628082,14059.61185714253,9724.333333333294,4820.773285714249,556.0,2300.0,3964.550011111727,854.9,490.0,1670.0,5721.0672666713335,3812.0978333333774,15446.756500002075,1244.0,9702.44057777778,4777.174000000431,8452.3,1361.0536222222208,16838.66666666811,1594.6301888888972,6181.855299996913,1028.700000000098,5309.047933334219,7044.499999999984,11231.472619976976,4236.928099999282,8328.890566666638,15990.5,16224.367111110665,8515.3333333337,7173.107214565854,7262.255966666672
AU,12077.333333333116,11867.630242858122,11838.876149999402,16080.142857142857,0.0,8971.423699996873,16579.230466666664,16313.908833334508,12081.703499999923,13329.30000001183,13969.624999998261,10222.782943229835,16249.571428573772,13001.098366657416,16583.110440000008,16094.66666663483,11340.25,13871.994533326108,8969.793171428597,14325.43154999995,14166.135914281424,15848.367050015344,16090.5,16094.42857142857,12343.833333353266,16055.338280039154,17214.26143333426,14327.333333332233,14403.727380023036,17639.75,11577.955071433218,15189.680142857178,3298.9056666618626,16960.0,16910.0,15930.295049991717,15308.344933333341,14285.186366667545,15732.9659666669,17229.66666666665,10436.405449999884,12913.099999990332,12880.355766666868,16958.892399999997,16314.62500000214,13117.974485525181,7971.166666666685,11909.900000000001,7077.920271431761,8337.500000000004,12186.833333336137,7191.500000003341,14145.499999999738,18138.49999999976,9576.125000005868,9601.33409999966,18512.62475000117,12887.780366671828,6570.6666666666315,10444.499999993752,10394.00000000398,14963.719199998937,16630.399999999954,16026.800000000254,9684.124999999976,2326.0,11173.399099999995,14272.895228572215,12740.833333333145,2810.116000001931,6252.669542886335,10327.473499998463,15605.603249999987,18044.500000000855,12009.000000010901,15253.803456403875,15947.724228571446,14465.42857142857,11992.343659996211,12111.923928510538,3156.6249999995885,15597.666666666648,6150.0,17334.094374967965,7366.230185542257,16234.5,3584.875,14393.682957143676,10995.714471434881,14915.428571426228,12275.41984002439,15927.337360000256,11655.01970000207,11566.999999997875,7476.100000019445,2801.1217394714035,4408.899728571421,10284.666666667334,11057.53796666246,10402.710999998966
BD,3596.0108333333155,9316.41881377631,17005.374700000608,7031.023200000081,8971.423699996873,0.0,7681.9964999987,9849.666666644962,3950.5582400764283,18354.166666684905,16846.999999999472,8563.544885714284,12485.333333333518,8708.199025019196,7578.607899999865,10363.333333333072,17090.0,8798.589528571596,3026.0,16696.23769908809,16783.73277080976,15553.200000008093,7398.731171430694,7180.331033333276,5302.514666661853,7293.203808888817,8380.199999995986,16820.33333333477,5687.747866667012,8266.135750000425,5942.270142858807,6636.5463750042245,11230.367785706516,7905.5,8001.931166666742,10000.333333333327,6153.200000001118,16014.374999999682,7028.591266666412,8186.708657143416,1423.888888888889,4473.039919994111,4273.33333333327,8269.333333336202,7275.166666666685,5043.842200000281,4721.077724999996,6834.788249999337,1930.7038714286937,3720.905449999938,4273.833333333237,1353.7691400193369,5102.922042814536,9104.16666666508,6819.565328570414,3065.7883555571993,10641.80016664513,15820.833333329701,2630.0,7808.441075003803,9835.999999992277,8613.306300002903,7703.618588888887,7312.684833332773,665.2500000021392,11041.84033332932,3266.833333333264,16703.95724443634,17696.340801121456,6344.100000006333,3005.0810428573795,2028.0838571428546,6836.533419997443,8743.080857141811,3906.6925799805085,6353.593999997747,7105.277633334309,4949.999999999996,7419.749928572459,4880.435700055765,7893.733866671514,6988.059533333931,2896.5555555555557,12369.30783333334,1540.111111111111,7586.277155552069,11384.99999999675,5437.0624712376475,6777.066666665501,6245.800066666188,7157.742500000013,12634.166666666564,17143.958257154583,2967.2389997465107,1606.7225200079813,9994.021575013692,10984.828257148405,8436.278400002477,8032.092319996844,8100.5081000029995
BE,5149.75,6247.275333333457,11323.798142857177,915.0,16579.230466666664,7681.9964999987,0.0,4505.484757143198,4778.086999999284,10136.43437797661,9263.000000000113,8159.205733333186,5655.137885724042,6230.833333333342,489.2857142880573,5225.655000002049,11645.428571426228,5245.951785709069,7970.0,8458.45360000012,9080.3771709991,7721.6666666672145,712.6666666666666,651.0,5308.743344441983,764.9,1633.1038249557191,9438.535128571437,3194.3839999996458,1316.0,5636.125000000015,1647.7462714285634,16346.982928571424,264.0,320.0,5102.555857142108,2088.250000000002,9004.875000090376,1129.75,774.0,6364.5,3757.5,4075.499999999982,2131.1748428571505,1173.0,3250.94780000041,9450.0,6451.695714287964,9666.077699998523,8679.703480000004,4340.124999999367,9015.000000003254,3142.5000000000005,2077.8391333333198,8743.069785715952,6984.278660071982,3969.4999999905563,9230.813057142994,10234.000000063412,8738.518299738795,8298.499999998638,4847.1526222226885,173.0,966.0043500003476,7162.52200017404,18815.333333333314,5459.104400004108,8789.164724999,10476.458199997951,14468.610639581026,10447.063971443205,5447.6133571428545,1160.0,1712.5555555572112,4895.206828576306,1764.5714285690856,1373.125,2251.580433333333,6280.222366666032,4723.736985714554,15636.499999998654,1281.6666666666667,10538.253728571424,4481.936966666626,9263.051624999998,1625.875,16512.833333333325,2589.842999999987,6865.959571425849,1806.8750000025045,6237.526099999977,6237.386080025334,11039.166666665267,5116.823266669014,8407.87500000014,16267.666666666666,15765.299999997507,8888.64500000018,7453.515299998015,7836.119128570759
BF,5586.851228277513,3052.7664995824894,8175.833333331406,4346.666666661489,16313.908833334508,9849.666666644962,4505.484757143198,0.0,5224.930871428576,8166.307942873196,6125.941399999375,4916.153457145862,7969.703214312219,2788.6666666674064,3943.8333333187447,753.8956000029499,8848.56814355552,1749.7585567366195,11329.499999997719,8260.984242855617,8573.861928077627,8096.859649808236,4591.633833324682,4810.6666666697565,4813.253914283649,4970.52644444256,2725.999999999763,8324.366942866356,3864.4824139503385,3183.4776285714615,4161.666666668397,5646.66666667267,19109.83333333183,4064.97825,4507.125000001184,760.1666666666847,3584.096614285323,9450.999999999869,4357.124999997668,4576.027000003517,8179.500000004402,4876.396771436214,5574.999999987168,5715.699999999107,3467.0549333264894,4326.802511109237,13052.405999995244,4427.263444455554,11328.333333319053,11951.042771427166,5226.865544442029,10718.923643902725,4406.540943001523,2665.0333252483715,6279.499999994382,10419.249999448584,1611.5,10077.875000014548,11321.812944437963,5543.726571433713,4360.7013800121385,833.08104285962,4547.57508551687,5209.468999999767,8510.66666667398,18618.385429504637,6090.0389285801,8212.877214289212,9177.256340880547,17389.54798563395,13067.34825061608,7353.666666651675,4828.489249999182,3155.488639796558,5311.741955556765,4614.31268889013,4291.383375009359,5761.431224997048,3531.117528799698,5128.353800001315,18783.223466658776,5406.333333323341,11384.95297967127,1743.1666666666113,10662.793357149674,2883.3913333338646,19425.340119755554,4488.5734002946,4371.874999980922,5133.180055551366,3594.1117146279344,8314.978110730808,8111.452833330569,7327.20033332026,10946.333333333185,18994.966833347124,18559.62499998891,5105.399999999996,4270.91032888405,4862.883499999396
BH,449.6666666666667,5472.707324999871,13522.999999999765,3890.166666668978,12081.703499999923,3950.5582400764283,4778.086999999284,5224.930871428576,0.0,13634.711943402433,11700.634085712234,6135.5705859586,10429.874999995543,4882.833333333693,4449.912539999904,6019.78214,14255.896499995142,4584.56551429674,6225.799999998613,13432.02467142802,14221.546385277581,12291.863428571449,4176.4636666682845,4276.0000000000255,1958.0000000015848,4812.909014285727,4582.595755560021,14126.028975003583,1922.1847857143387,4863.406528571414,2179.375000000645,4362.904466670926,14236.874999999993,4825.046900015629,5161.371071427645,5825.877400016209,2622.2338222222215,14076.624999999767,3748.107214290612,5468.533814287393,2628.3836999999944,974.49187499976,1110.8761499989282,6111.412342858926,4004.7969800482297,1522.7009555554807,8259.650314285715,3449.5757428571897,6042.829942858812,7177.601333330857,420.0,5184.238999996087,1586.4895599999256,5209.760999999963,5120.833333341841,5439.053185713519,6395.6666666677365,14312.500000000047,6254.524360000308,6083.269100012634,6565.680328571644,4900.591971556468,4783.354999997406,4830.833333332826,3590.667433334659,14783.83333333286,836.0319857142946,13762.826766668648,14486.999999999913,10621.653214273747,7383.093800031261,2304.8333333317446,3907.627599999691,5454.003942857131,140.7,3009.839299641825,3428.347666669176,3444.4965200000047,3772.8221571418817,427.3333333333514,11974.945166650841,4637.12300000805,6355.361785714244,7124.666666694755,5363.333333333158,3873.621985714232,15428.66666667653,2060.115185840118,4139.602100000022,3136.0177286463795,3570.0570281170885,11417.05416666928,12635.088742857137,2997.451633333221,5875.645999998755,13718.608856512474,14796.375975000261,6275.049714285715,5131.15626666109,5813.8377289978835
BO,14178.199999998576,7687.55388571964,2095.936822221281,10622.87499999997,13329.30000001183,18354.166666684905,10136.43437797661,8166.307942873196,13634.711943402433,0.0,1686.199080113909,9035.587471427014,6507.970642841788,9018.29933333469,10093.750000183303,7803.166666648146,1678.423066655069,8576.625000386623,19277.928000000044,2881.94082499868,3867.617200001293,4751.000000006827,10722.624999999982,10398.88344999947,11635.2926571441,10341.750000292128,9053.339557469646,2404.000000000003,10807.833333329398,9319.874999999854,11238.258623991216,11369.750000462995,12182.300000009123,10063.795985713889,9898.500000001231,7873.199999991174,10262.80905999891,4539.85734998706,10678.548914891733,9559.822133330505,16006.646966663584,12798.333333336377,13279.219485681631,9481.572457138225,10121.768877588558,11932.927771428947,17012.11105000222,10669.66666666594,19282.124999995605,18848.506712338698,12973.420766656065,18956.424266659636,10901.224371424985,8730.676485713177,10415.721266662757,16501.299999986077,7612.749999411524,5374.475266666675,18932.647111106144,9200.833333334283,8465.333333337725,8082.000000010188,10090.7370333315,10295.553511114624,17788.125000048298,11028.249999999694,14196.11837069324,3308.10669999374,1621.3340999954864,14764.375000001777,19162.166666663885,15963.83213332975,11075.000000004515,8468.30049999562,13728.796171427424,10988.12518888709,10684.166666663345,11950.83333333146,10279.151133329811,12879.186756703508,13577.179111069061,10644.250000000004,18598.01485000013,7215.666666642622,18340.023071435873,9293.090524658463,11120.781355562203,11501.279166667138,9957.857514269024,11532.015757143721,9778.666666662364,6507.038633328194,1917.9721599995764,14937.618811112316,19369.947285712988,13127.455611133639,11703.428286831284,9230.924055550337,8809.114714836453,9074.375000002556
