place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5436.625,13588.75,4237.375,12076.875,3597.125,5149.75,5590.25,443.25,14179.0,12119.375,6290.875,10951.875,5049.125,4779.5,6412.0,14805.625,4554.875,5964.25,13619.25,14599.25,12629.125,4456.125,4654.0,2002.875,4827.0,5114.625,14485.875,2384.625,5643.625,2401.625,4769.25,14172.0,5247.0,5466.625,5802.875,3269.625,14403.625,4013.375,5941.5,2297.875,1385.625,1275.0,6715.5,4321.0,1694.125,8013.75,3403.25,5230.0,6864.625,851.875,4917.25,1991.375,5801.25,4946.5,5305.125,6804.125,14314.25,5587.625,5984.875,6489.25,4892.875,5175.375,5056.25,3281.625,14227.75,396.0,14162.5,14792.75,10904.25,6489.625,2032.75,4146.875,6105.25,300.5,3406.25,3812.375,3739.75,3936.75,787.625,12059.5,4777.125,5886.375,7472.25,4969.125,4247.25,14988.125,2629.375,3961.25,3490.625,3680.625,11357.0,13138.75,2425.75,5296.75,13763.625,14568.125,6290.375,5365.125,5462.75
AO,5436.625,0.0,7780.625,5908.25,11850.0,9349.25,6383.0,3043.0,5472.0,7695.0,6217.875,2087.625,10305.375,538.0,6237.875,2794.5,8126.5,1017.625,11616.625,9446.625,9971.5,10389.875,6131.125,6561.0,4142.625,7094.625,4811.5,9718.625,5282.125,5767.0,3502.0,7995.75,15654.0,6500.0,6836.5,2402.375,5012.375,10817.125,6111.375,6803.25,8189.25,5828.25,6186.5,9408.625,5079.125,5238.625,13585.625,3160.5,10227.0,12431.75,5892.125,10377.125,5421.125,5629.625,3694.125,11694.375,4219.25,12233.5,9256.75,2784.875,1579.875,1817.5,6812.75,7200.625,8464.0,12888.875,5675.875,9703.25,9820.375,14465.5,11775.5,7240.5,6678.875,5778.125,5805.5,6116.75,6108.25,7281.0,2149.25,5342.625,15879.375,7264.875,9553.0,4807.75,9961.375,4778.125,16777.25,5862.5,2876.125,6292.25,2223.875,10478.25,6693.75,8396.125,10526.25,16261.375,17508.875,2490.0,1919.75,2165.5
AR,13588.75,7780.625,0.0,11806.0,11830.625,17001.25,11322.5,8178.125,13523.0,2099.125,2340.0,8153.125,8982.625,7894.125,11127.25,7489.25,1137.625,8311.375,19267.0,4673.125,5684.125,6893.0,11838.25,11900.0,11300.25,11838.25,9840.875,4354.75,11800.0,10035.625,9897.875,12627.375,10745.625,11071.625,11130.5,7859.0,10656.375,6064.125,11881.5,11055.0,15971.875,12367.125,13730.5,11291.5,11150.0,12149.25,18375.0,9570.0,17049.5,19515.0,12559.0,18933.125,11757.625,9449.5,9654.375,19252.5,7446.875,7386.125,15869.625,8131.875,8129.125,8087.75,11447.5,11817.125,18136.625,10317.125,13699.125,5294.375,3139.375,13666.625,19706.375,15299.75,12236.375,9581.875,13310.625,11847.0,11821.125,13476.0,9750.0,12126.625,12547.75,11894.125,15888.25,6955.125,17096.25,10098.875,10302.625,11873.375,9354.75,12821.0,9613.625,8384.625,223.25,16223.25,18479.222222222223,11708.625,10480.875,8119.5,8134.375,8169.375
AT,4237.375,5908.25,11806.0,0.0,16090.0,7030.125,915.0,4357.25,3887.125,10622.875,9578.125,7787.125,6549.125,5480.125,684.25,5118.875,12487.625,4863.875,7453.375,9218.125,9719.25,8650.25,251.75,524.0,4774.25,870.0,1671.25,10107.875,2386.125,1810.625,4905.375,1440.625,16316.875,1033.875,1235.25,4887.625,1281.5,9829.125,214.0,1692.75,5563.75,2853.25,3170.625,3053.875,765.0,2455.625,9131.125,5697.125,8790.875,8273.5,3392.5,8302.0,2241.75,2482.875,8094.125,6430.875,4179.625,9879.5,9702.5,8100.0,7549.75,4311.5,966.0,1389.625,6204.125,18170.25,4383.5,9457.125,11156.75,14049.875,9724.625,4821.625,556.0,2300.0,3964.75,855.0,490.0,1670.0,5725.75,3802.25,15435.25,1244.0,9702.375,4773.875,8452.25,1361.0,16838.0,1594.625,6182.125,1028.875,5293.0,7044.5,11227.0,4235.875,8328.5,15990.5,16224.0,8522.25,7170.875,7248.875
AU,12076.875,11850.0,11830.625,16090.0,0.0,8958.5,16578.5,16350.375,12071.125,13331.375,13969.625,10274.625,16226.25,13009.625,16578.5,16094.125,11341.25,13875.625,8967.875,14323.875,14168.875,15846.125,16090.5,16095.5,12325.25,16054.75,17227.875,14264.25,14403.875,17596.25,11577.25,15189.0,3314.375,16960.0,16910.0,15922.625,15305.75,14274.875,15725.875,17224.75,10408.5,12913.25,12887.375,16958.625,16314.25,13137.25,7971.25,11919.25,7073.625,8337.5,12169.25,7191.5,14145.5,18143.0,9576.125,9589.0,18528.125,13134.5,6569.25,10446.125,10394.0,14954.375,16630.5,16026.25,9684.125,2326.0,11220.0,14271.375,12574.375,2802.25,6258.375,10337.5,15605.625,18042.125,12019.75,15250.25,15947.625,14465.875,12056.875,12111.375,3156.625,15598.125,6150.0,17362.125,7363.875,16234.5,3584.875,14393.0,10997.625,14915.875,12245.5,15961.25,11612.875,11585.875,7476.375,2712.375,4398.75,10283.5,11073.0,10414.0
BD,3597.125,9349.25,17001.25,7030.125,8958.5,0.0,7665.625,9846.625,3957.125,18348.125,16844.625,8560.875,12483.375,8709.625,7584.25,10360.0,17090.625,8806.0,3026.0,16665.625,16768.625,15551.5,7356.25,7190.75,5294.75,7293.5,8375.75,16819.0,5652.75,8270.75,5947.375,6628.125,11232.75,7905.0,8000.0,10003.375,6153.375,16014.375,7044.875,8191.375,1424.0,4504.625,4271.875,8270.5,7275.125,5033.5,4721.0,6836.875,1934.5,3720.875,4275.125,1351.75,5104.875,9095.25,6846.625,3065.0,10676.75,15813.125,2630.0,7804.375,9841.625,8628.5,7703.375,7307.25,665.25,11057.375,3267.125,16702.125,17663.75,6340.5,3075.0,2028.0,6838.875,8740.0,3922.5,6357.125,7097.125,4950.0,7421.0,4882.0,7876.5,6966.625,2896.5,12378.125,1540.0,7585.625,11386.875,5431.625,6782.55,6215.75,7174.0,12635.625,17161.875,2975.875,1696.125,9993.5,10971.875,8426.25,8013.125,8089.125
BE,5149.75,6383.0,11322.5,915.0,16578.5,7665.625,0.0,4507.625,4768.375,10136.625,9263.0,8175.25,5655.375,6230.625,489.25,5230.625,11646.25,5247.125,7970.0,8460.25,9080.125,7720.5,713.875,651.0,5309.25,765.0,1632.75,9435.25,3194.75,1316.0,5636.125,1647.75,16342.5,264.0,320.0,5103.5,2088.25,9004.875,1129.75,774.0,6364.625,3757.375,4076.5,2131.25,1173.0,3259.875,9450.0,6445.75,9657.375,8679.625,4340.125,9024.125,3142.5,2077.875,8744.25,6987.625,3971.75,9230.75,10234.0,8736.875,8295.125,4845.625,173.0,949.25,7078.625,18816.375,5388.75,8789.375,10411.0,14447.875,10451.625,5447.5,1160.0,1712.625,4895.375,1765.125,1373.125,2251.5,6293.375,4723.25,15639.375,1281.625,10536.5,4481.5,9263.375,1625.875,16515.0,2589.875,6866.25,1806.875,6232.25,6238.375,11032.125,5072.625,8407.875,16267.5,15766.625,8887.0,7447.25,7822.875
BF,5590.25,3043.0,8178.125,4357.25,16350.375,9846.625,4507.625,0.0,5224.375,8172.75,6125.0,4915.875,7974.375,2788.5,3937.0,761.25,8851.25,1751.0,11329.5,8251.125,8573.625,8103.625,4608.375,4799.875,4825.75,4966.5,2726.5,8329.5,3841.0,3187.0,4162.5,5637.625,19102.375,4065.0,4507.125,784.375,3574.0,9451.0,4357.125,4590.5,8179.0,4877.875,5575.0,5720.25,3473.75,4327.875,13052.875,4433.75,11300.0,11960.625,5228.5,10744.375,4414.375,2663.875,6279.5,10419.25,1611.75,10077.875,11322.5,5544.25,4352.375,839.5,4554.375,5199.75,8512.25,18568.625,6090.0,8228.5,9150.875,17379.125,13051.5,7351.0,4827.625,3159.25,5310.375,4617.0,4290.375,5733.125,3532.375,5104.5,18790.75,5407.25,11427.625,1743.0,10666.875,2876.5,19419.875,4478.25,4371.875,5135.375,3610.375,8311.25,8111.0,7324.375,10952.875,19023.625,18559.625,5105.5,4270.875,4863.5
BH,443.25,5472.0,13523.0,3887.125,12071.125,3957.125,4768.375,5224.375,0.0,13611.5,11719.875,6133.875,10429.875,4883.5,4460.75,6050.125,14252.75,4588.0,6225.5,13431.5,14216.875,12288.375,4180.625,4276.0,1958.0,4810.625,4583.0,14114.75,1921.5,4862.25,2179.375,4323.375,14236.875,4824.625,5161.75,5837.625,2622.375,14076.625,3746.0,5480.75,2627.25,973.875,1110.0,6129.375,3998.625,1522.125,8259.5,3453.0,6042.125,7180.875,420.0,5207.75,1588.125,5199.5,5115.875,5431.75,6393.0,14312.375,6242.25,6058.375,6576.0,4898.0,4790.375,4830.125,3585.625,14802.0,836.25,13837.0,14487.0,10746.625,7381.125,2314.5,3907.125,5453.5,140.75,3001.5,3441.125,3446.0,3771.125,425.0,12042.125,4638.0,6355.5,7129.625,5361.875,3874.875,15451.5,2064.125,4140.5,3136.0,3574.25,11426.5,12580.375,2992.0,5869.875,13711.625,14817.625,6273.125,5145.375,5806.375
BO,14179.0,7695.0,2099.125,10622.875,13331.375,18348.125,10136.625,8172.75,13611.5,0.0,1720.25,9035.375,6505.0,9017.875,10093.75,7818.0,1718.25,8576.625,19219.875,2882.25,3871.5,4748.0,10722.625,10406.75,11633.375,10341.75,9048.375,2404.0,10796.75,9319.875,11232.0,11369.75,12185.375,10053.0,9902.0,7870.875,10265.75,4541.375,10690.75,9557.75,16023.375,12794.5,13279.25,9492.625,10122.375,11938.375,17007.0,10680.375,19282.125,18846.875,13075.5,19019.875,10890.75,8713.0,10490.75,16494.75,7612.75,5384.625,18932.25,9196.5,8474.0,8080.875,10083.75,10290.25,17788.125,11028.25,14202.5,3301.375,1552.75,14764.375,19156.0,15919.125,11075.0,8501.125,13730.125,10983.875,10668.5,11963.5,10268.75,12872.75,13583.75,10644.25,18590.0,7213.875,18370.875,9307.75,11127.25,11447.25,9958.375,11537.625,9789.0,6501.25,1919.25,14938.0,19357.125,13131.125,11721.875,9233.125,8817.375,9074.375
