place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7775.5,12111.0,10227.5,6491.0,10745.0,555.5,8213.0,11646.0,8983.5,6628.5,4826.0,5281.0,6145.5,3502.5,7820.5,15751.0,6500.0,6829.5,2371.5,5372.5,8493.0,5660.5,13582.0,3160.5,12438.0,5736.5,11924.0,9566.0,2182.0,6841.3,7504.0,12852.0,9880.5,12504.0,7671.5,6783.5,5782.5,7531.0,5680.0,7445.5,10160.0,4620.0,10115.0,5978.0,2821.0,6861.0,10496.5,10849.0,2490.0
AR,7775.5,0.0,11759.0,17118.0,2340.0,8982.0,7995.0,850.0,19259.8,4678.5,11900.0,9775.0,11800.0,10029.5,10327.5,12626.0,11560.0,11076.5,11106.0,7456.0,11295.0,15910.0,11150.0,18372.5,9878.0,19422.0,9414.0,7398.0,15883.0,8057.0,11445.0,11790.0,10315.0,3140.0,19946.3,15694.0,12252.0,9581.0,13475.0,12125.0,12067.0,15858.0,6954.0,17220.5,11803.5,9481.0,12817.8,8380.0,17331.5,8125.0
AU,12111.0,11759.0,0.0,9044.5,14095.0,16237.0,12535.0,11338.0,8963.0,14264.0,16098.0,17148.0,14400.0,17615.0,11743.0,15212.0,3311.5,16924.0,16921.0,15855.0,15321.0,10052.0,16317.0,7970.0,12151.0,8340.0,17866.5,13670.5,6337.0,14950.5,16610.0,15932.5,2328.5,13016.5,6266.0,10349.5,15600.0,18026.0,14456.0,12750.0,15600.0,6140.0,17585.0,7392.5,14474.0,11281.0,14912.0,16008.0,7747.0,10314.0
BD,10227.5,17118.0,9044.5,0.0,16051.0,11670.0,8916.0,17154.0,3027.5,16609.0,7145.0,8368.5,5266.0,8253.5,6178.5,6674.0,11650.0,7915.0,8001.5,10370.0,6129.0,1422.7,7289.0,4767.0,6925.0,3723.5,9547.0,15205.0,2630.0,8860.0,7703.0,7342.0,11275.0,17615.0,3206.0,2023.5,6773.5,8710.5,5531.0,4627.0,6936.0,2896.9,11514.0,1540.0,5240.0,6841.5,6083.0,12690.5,1867.5,8429.0
BR,6491.0,2340.0,14095.0,16051.0,0.0,7104.5,6804.5,2945.5,16909.0,3660.0,9510.0,7661.0,9548.0,7269.0,9533.0,10378.5,14290.0,8730.2,8780.0,5920.5,9526.0,14286.0,8771.0,17536.0,8510.0,18124.0,7034.5,6848.0,16143.0,6155.0,9238.5,9557.0,12103.0,3170.0,18410.0,13994.0,10038.0,7288.0,11171.5,10876.0,9868.0,16501.0,5007.0,16743.0,10286.0,8627.0,10116.5,6745.0,17154.5,7528.5
CA,10745.0,8982.0,16237.0,11670.0,7104.5,0.0,10259.0,8638.5,10344.0,4542.0,6137.0,6180.5,8598.0,5682.0,11320.0,6086.0,12788.5,5650.0,5381.5,8254.0,7612.0,11152.5,6727.0,10237.5,11682.5,10492.0,5708.5,3596.5,14804.0,8777.0,5648.5,5570.0,14436.0,6228.5,13150.5,10635.0,6531.0,5287.0,7152.5,9822.5,5940.5,14821.0,6270.5,13637.0,8059.0,12170.0,7196.5,734.5,12289.5,12906.5
CD,555.5,7995.0,12535.0,8916.0,6804.5,10259.0,0.0,9577.0,11311.0,9826.0,6124.0,4859.0,4254.0,5708.0,3032.5,7037.0,16437.0,6028.5,6378.0,2027.5,4853.5,8137.5,5421.0,13093.0,2412.5,11976.5,4849.0,12889.5,9673.5,1705.0,6389.0,7090.5,14098.5,10137.5,11725.0,7243.0,6186.0,5765.5,6871.0,4848.0,6932.5,10165.0,4283.0,9667.5,5077.0,2075.5,6079.0,10084.0,10435.0,2777.5
CL,8213.0,850.0,11338.0,17154.0,2945.5,8638.5,9577.0,0.0,19026.0,4250.0,12500.0,10465.0,13082.0,10700.0,12085.0,13107.0,10537.5,11640.0,11641.0,8631.0,12237.0,16377.0,11885.0,17241.0,11322.0,18375.0,9859.0,6584.0,16432.0,8775.0,11968.5,12143.5,9352.0,2465.0,17248.0,16408.0,12588.0,10077.5,14110.0,13596.0,12280.0,16305.0,8100.0,17133.0,13090.0,10381.5,12980.0,8053.5,17871.0,8739.0
CN,11646.0,19259.8,8963.0,3027.5,16909.0,10344.0,11311.0,19026.0,0.0,15245.0,7350.0,9131.0,7549.0,9219.5,8310.5,6301.0,9384.0,8215.0,8140.0,11725.0,7610.0,3786.5,8130.0,2100.0,9589.0,950.0,10293.0,12445.0,4348.0,10690.0,7824.2,6942.0,10355.0,16680.0,2850.0,3820.5,7070.0,9594.5,5792.0,6183.5,6708.6,4480.0,11843.0,3295.0,6862.0,9600.0,6450.0,11155.0,2330.0,11711.5
CO,8983.5,4678.5,14264.0,16609.0,3660.0,4542.0,9826.0,4250.0,15245.0,0.0,9400.0,8334.5,10971.0,8024.0,11707.0,9653.5,13754.0,8630.0,8500.0,8018.5,9995.0,15573.0,9345.0,14300.0,11631.0,14850.0,7507.0,3198.1,19756.0,8235.0,8827.5,8976.0,12433.5,1880.0,17932.5,15188.0,9648.5,7497.0,10900.0,12448.0,9542.0,19604.0,6345.0,17471.0,10776.0,11180.5,10301.5,3722.5,17450.0,10556.5
