id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7775.5,7780.0,7776.25,7778.333333333331,16.574746520602424,274.7222222222222,7745.0,7800.0,7775.0,7780.0,5.0,5.0,0.002131663111131429,4,0,7765.0,7784.5,4.257280725594683,-4.257280725594683,-0.0005472253917409644,-0.0005473751742013657
AO--AU,AO,AU,13288.474497523322,10,12111.0,12150.0,12131.25,12123.720000005791,229.07786158131182,52476.66666666666,11700.0,12360.0,11960.0,12320.0,360.0,200.0,0.018914859349460144,0,0,11974.95,12241.025,1177.4744975233225,-1177.4744975233225,-0.08860870356057632,-0.09278294985844952
AO--BD,AO,BD,9121.283483960526,10,10227.5,10200.0,10230.625,10230.624999991034,177.68964829474763,31573.61111111111,9950.0,10480.0,10128.75,10355.0,226.25,150.0,0.017373712861867282,0,0,10126.0,10321.0375,1106.2165160394743,1106.2165160394743,0.1212786027300565,0.11446964374671227
AO--BR,AO,BR,6675.278533941141,10,6491.0,6502.5,6500.0,6497.713944459014,198.3655436029375,39348.8888888889,6160.0,6750.0,6340.0,6643.75,303.75,182.5,0.030560089909557463,0,0,6372.5,6602.55,184.27853394114118,-184.27853394114118,-0.027606119056179903,-0.027994329295652938
AO--CA,AO,CA,10620.756402433968,10,10745.0,10700.0,10746.25,10744.627142852929,236.7488120350343,56050.0,10330.0,11150.0,10632.5,10902.5,270.0,150.0,0.022033393395535998,0,0,10600.975,10886.0,124.2435975660319,124.2435975660319,0.011698187290837297,0.011630292482364874
AO--CD,AO,CD,549.1026827702303,10,555.5,557.5,555.625,556.6956666666374,4.972144630058766,24.722222222222225,550.0,560.0,550.0,560.0,10.0,2.5,0.008950755409646743,0,0,552.5,558.5,6.397317229769669,6.397317229769669,0.01165049348783932,0.011583149047859726
AO--CL,AO,CL,8913.64308220524,10,8213.0,8165.0,8203.75,8180.00000000167,139.04835290086842,19334.444444444445,8040.0,8460.0,8150.0,8237.5,87.5,50.0,0.016930275526709903,2,0,8142.0,8302.0,700.6430822052407,-700.6430822052407,-0.07860344819100623,-0.08186476882616192
AO--CN,AO,CN,11758.580047473492,10,11646.0,11650.0,11645.0,11646.133571306662,52.323778320929556,2737.777777777778,11550.0,11750.0,11625.0,11665.0,40.0,25.0,0.004492854054690843,2,0,11614.975,11677.0,112.5800474734915,-112.5800474734915,-0.009574289329065802,-0.009620417502919141
AO--CO,AO,CO,9801.95415219586,10,8983.5,9010.0,8996.875,8996.874999985997,273.4151300373359,74755.83333333331,8510.0,9350.0,8775.0,9196.25,421.25,220.0,0.030435256863954575,0,0,8820.975,9138.5,818.4541521958599,-818.4541521958599,-0.08349907982506811,-0.08719220769313571
AO--DE,AO,DE,6798.792115651933,10,6628.5,6585.0,6607.5,6586.666666666514,134.99074042318605,18222.499999999996,6510.0,6915.0,6562.5,6615.0,52.5,30.0,0.020365201844035008,2,0,6558.975,6718.5,170.29211565193327,-170.29211565193327,-0.025047407356358627,-0.025366432096021376
AO--DZ,AO,DZ,5158.666122203358,10,4826.0,4830.0,4826.25,4829.666666666667,9.66091783079296,93.33333333333334,4810.0,4840.0,4822.5,4830.0,7.5,0.0,0.0020018478721079485,2,0,4820.0,4831.0,332.6661222033581,-332.6661222033581,-0.06448684879440705,-0.06666007542389399
AO--EG,AO,EG,4715.419795274749,10,5281.0,5280.0,5281.25,5280.333333333333,3.1622776601683795,10.000000000000002,5275.0,5285.0,5280.0,5283.75,3.75,0.0,0.0005988028138928952,0,0,5279.0,5283.0,565.580204725251,565.580204725251,0.1199427048450724,0.11327752761014222
AO--ES,AO,ES,5722.316302190526,10,6145.5,6125.0,6154.375,6141.666666672546,182.5506018128185,33324.72222222222,5780.0,6440.0,6100.0,6210.0,110.0,75.0,0.0297047598751637,2,0,6033.9875,6252.55,423.1836978094743,423.1836978094743,0.0739532167502656,0.07134643531507243
AO--ET,AO,ET,3446.282530254973,10,3502.5,3500.0,3504.375,3503.916142857222,11.606990230986767,134.72222222222226,3475.0,3515.0,3500.0,3510.0,10.0,5.0,0.003313915840395936,1,0,3495.5,3509.0,56.21746974502685,56.21746974502685,0.016312495929017054,0.016180876598163235
AO--FI,AO,FI,7720.979613051022,10,7820.5,7765.0,7777.5,7770.8333333333085,186.09212175096982,34630.277777777774,7675.0,8310.0,7731.25,7817.5,86.25,50.0,0.02379542506885363,1,0,7734.0,7942.15,99.52038694897783,99.52038694897783,0.012889606233483028,0.012807242263438486
AO--FJ,AO,FJ,16614.26463120842,10,15751.0,15680.0,15713.75,15709.99999999411,380.7653112118044,144982.22222222225,15250.0,16550.0,15550.0,15925.0,375.0,220.0,0.024174040455323748,1,0,15542.9875,15986.125,863.2646312084216,-863.2646312084216,-0.05195924408155,-0.053357786176063945
AO--FR,AO,FR,6480.8047195500585,10,6500.0,6500.0,6500.0,6500.0,0.0,0.0,6500.0,6500.0,6500.0,6500.0,0.0,0.0,0.0,0,0,6500.0,6500.0,19.195280449941492,19.195280449941492,0.0029618668175630755,0.0029574891319914627
AO--GB,AO,GB,6807.150235507682,10,6829.5,6830.0,6830.0,6829.888888888889,1.5811388300841898,2.5000000000000004,6825.0,6830.0,6830.0,6830.0,0.0,0.0,0.00023151604511079723,1,0,6828.5,6830.0,22.349764492318172,22.349764492318172,0.003283277688765644,0.0032778995014146528
AO--GH,AO,GH,2181.7570144061915,10,2371.5,2400.0,2379.375,2393.7935000002667,50.61016586506004,2561.3888888888882,2265.0,2415.0,2358.75,2400.0,41.25,7.5,0.02134099340715161,1,0,2338.0,2397.025,189.7429855938085,189.7429855938085,0.08696797321650909,0.083392144242743
AO--GR,AO,GR,5296.817859625665,10,5372.5,5415.0,5383.75,5394.974833328717,128.13296045731386,16418.055555555555,5125.0,5530.0,5272.5,5468.75,196.25,67.5,0.023849783240077034,0,0,5295.5,5442.5,75.68214037433518,75.68214037433518,0.014288227834151686,0.014187113135232503
AO--IN,AO,IN,8015.072192343541,10,8493.0,8500.0,8496.25,8493.333333337152,196.99407774516132,38806.666666666664,8190.0,8770.0,8360.0,8602.5,242.5,142.5,0.02319487551456038,0,0,8379.0,8600.0375,477.92780765645875,477.92780765645875,0.05962863417662076,0.057918501622392246
AO--IT,AO,IT,5617.9698794223505,10,5660.5,5655.0,5650.625,5658.521555084902,202.62787457690897,41058.05555555555,5440.0,5960.0,5456.25,5837.5,381.25,190.0,0.03579681557758307,0,0,5545.475,5789.0375,42.53012057764954,42.53012057764954,0.007570371769601328,0.007541860309723639
AO--JP,AO,JP,13857.461409152482,10,13582.0,13585.0,13582.5,13582.0,18.135294011647257,328.88888888888886,13560.0,13600.0,13562.5,13600.0,37.5,15.0,0.0013352447365371268,0,0,13571.0,13593.0,275.4614091524818,-275.4614091524818,-0.019878201426600902,-0.020078430781597545
AO--KE,AO,KE,2743.2396541926637,10,3160.5,3160.0,3160.625,3159.9751428569207,13.426756040748554,180.27777777777777,3140.0,3180.0,3150.0,3168.75,18.75,10.0,0.0042483012310547555,0,0,3152.5,3168.0,417.2603458073363,417.2603458073363,0.15210495560226078,0.14159066541731113
AO--KR,AO,KR,12699.236686021166,10,12438.0,12440.0,12427.5,12437.55219994673,72.54117604658903,5262.222222222222,12350.0,12610.0,12407.5,12450.0,42.5,15.0,0.005832221904372811,1,0,12401.0,12485.0,261.23668602116595,-261.23668602116595,-0.020571054188534443,-0.020785585513662233
AO--MA,AO,MA,5195.819618732341,10,5736.5,5710.0,5733.75,5733.445500000001,98.37710890016821,9678.055555555555,5630.0,5865.0,5650.0,5830.0,180.0,70.0,0.01714932605250034,0,0,5682.9625,5795.5,540.680381267659,540.680381267659,0.10406065278293329,0.09899488546078149
AO--MX,AO,MX,12679.078203838877,10,11924.0,11915.0,11923.125,11910.83333333208,197.70629170003107,39087.777777777774,11585.0,12270.0,11835.0,11981.25,146.25,77.5,0.016580534359278018,2,0,11813.475,12040.0,755.078203838877,-755.078203838877,-0.05955308356803573,-0.06140007369257741
AO--MY,AO,MY,9903.39358541899,10,9566.0,9560.0,9561.25,9556.474999994045,170.63280914160546,29115.55555555556,9320.0,9850.0,9427.5,9657.5,230.0,125.0,0.017837425166381503,0,0,9471.0,9661.025,337.39358541898946,-337.39358541898946,-0.03406848193085473,-0.03466233955056025
AO--NG,AO,NG,2080.1823760601865,10,2182.0,2192.5,2191.25,2203.2583745116713,149.33556545950836,22301.111111111106,1940.0,2350.0,2123.75,2305.0,181.25,102.5,0.06843976418859228,0,0,2087.4875,2264.0125,101.81762393981353,101.81762393981353,0.04894648907306559,0.047786316743222354
