place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,10393.9,11318.7,7670.7,8064.8,8506.7,1135.0,9690.5,10865.0,8374.4,6310.1,4273.1,4514.7,5683.0,3857.2,6963.5,12438.4,6121.2,6176.2,2670.2,6163.5,7270.6,5782.0,12278.7,3619.7,11863.4,4044.3,10688.7,9889.4,2544.4,7709.0,7223.6,11858.9,9742.5,11404.8,6868.6,6815.7,6448.0,7098.1,5246.4,7226.5,10873.7,4049.8,9647.7,5491.1,3253.1,6457.2,9433.0,10206.8,4233.9
AR,10393.9,0.0,11877.3,19216.0,1412.2,9104.5,10369.9,1149.3,15603.7,3296.4,11059.0,10476.6,12618.5,9900.5,12046.8,11079.1,12312.8,11075.0,11035.0,9990.8,12157.0,11994.1,11056.0,11765.0,11350.3,12260.0,9725.9,7876.7,18118.4,10354.9,10537.0,11608.0,12049.0,2562.2,19755.3,12401.9,12084.5,9658.3,12551.1,12558.3,11656.0,19549.0,9372.0,12357.0,12310.2,11575.9,11262.6,10328.9,13170.7,12010.1
AU,11318.7,11877.3,0.0,7627.0,18411.6,16473.0,12460.0,12155.0,10642.0,16819.2,16476.0,15966.7,13198.5,16724.6,12528.3,12223.0,3062.7,16833.0,17050.0,14006.7,15455.0,9995.5,16657.0,8484.5,12325.5,8516.0,16963.7,13107.5,6069.1,15312.9,11745.0,14151.5,2778.2,15279.666666666666,5252.4,10416.7,15714.0,15933.4,14612.0,11249.6,14111.3,5330.8,15415.7,8119.1,14679.6,12349.2,15014.6,16533.0,5953.5,10927.0
BD,7670.7,19216.0,7627.0,0.0,15800.0,9342.1,7777.6,18068.5,3383.0,16490.0,6286.2,5131.9,3603.4,5469.1,4580.7,6477.8,15970.2,7088.8,7756.0,7802.6,5551.0,1431.4,5356.7,5132.3,6359.2,3767.2,7534.5,13267.0,2890.6,7478.1,7787.2,6641.5,14537.5,18808.2,2538.7,1798.1,6111.3,8025.7,4996.3,3580.1,6045.3,2934.2,8402.0,1587.0,3500.6,5562.3,5226.8,12669.5,1557.3,9589.7
BR,8064.8,1412.2,18411.6,15800.0,0.0,7093.9,8117.5,2591.7,17653.3,2386.9,9270.1,8452.7,9411.0,8630.2,8124.9,9413.2,16703.3,9100.6,9066.0,7723.6,9665.8,13093.4,9225.3,17670.0,8867.3,17776.0,7706.7,3237.5,16107.9,8211.7,8473.6,8523.0,15013.6,2531.0,16364.5,12770.4,9527.0,7564.0,9636.7,10108.5,9652.9,16599.8,7723.5,14950.3,9112.2,8944.2,9656.0,7361.7,17152.6,8924.5
CA,8506.7,9104.5,16473.0,9342.1,7093.9,0.0,9745.0,8237.8,7536.3,6493.5,6137.4,7098.5,7731.0,5779.8,9497.1,5836.0,15086.0,5600.0,5505.0,7813.0,6562.0,9559.9,6525.0,9754.0,9788.0,9980.5,6190.6,3452.6,11509.9,8546.2,5871.0,5886.0,17400.5,4924.6,11598.5,7908.3,6116.7,5812.0,5546.0,8364.6,5852.0,10366.5,7335.1,9846.8,6786.8,10238.7,6747.0,862.7,10580.0,10913.9
CD,1135.0,10369.9,12460.0,7777.6,8117.5,9745.0,0.0,10449.1,10923.3,9409.3,6121.9,4351.4,3939.4,5996.8,3471.7,6608.5,15472.5,6176.8,6310.6,3026.2,6024.1,7676.8,5124.6,11754.6,2509.6,11075.0,4326.8,10443.0,10494.8,1737.5,6784.7,7262.9,14126.5,10199.0,11787.6,6593.8,6712.1,5958.3,7122.9,5149.2,7497.6,10406.9,4079.6,9540.0,5645.7,2437.2,5742.7,9336.5,10029.2,2950.6
CL,9690.5,1149.3,12155.0,18068.5,2591.7,8237.8,10449.1,0.0,17850.1,3123.5,10463.0,9294.3,10232.0,9213.2,11176.3,9985.7,11302.8,10740.3,9873.0,10581.0,10368.4,15888.1,10218.5,17471.4,11157.6,15435.5,9048.4,4163.7,18086.666666666668,10591.3,10127.1,9811.0,10676.9,2519.0,17559.5,16255.5,9979.5,9042.5,10468.2,10029.0,10472.5,17720.2,8255.7,18008.8,10776.4,11503.666666666666,10231.7,8313.3,18325.1,10822.4
CN,10865.0,15603.7,10642.0,3383.0,17653.3,7536.3,10923.3,17850.1,0.0,12810.0,6520.0,6943.3,6055.3,6233.0,6784.9,5765.0,11566.0,6772.0,7010.0,8751.7,6505.0,3648.0,6633.5,2098.5,6996.4,1137.0,8266.5,11440.0,3796.8,8643.4,6275.0,5422.3,10310.0,19752.4,2460.6,3706.8,6525.0,8300.0,5826.0,5603.5,5750.0,3732.2,9525.0,3747.3,4423.1,8964.8,6508.0,10936.5,1691.0,12540.6
CO,8374.4,3296.4,16819.2,16490.0,2386.9,6493.5,9409.3,3123.5,12810.0,0.0,9513.0,9050.7,9117.3,7787.0,9150.9,8955.0,16815.4,9270.0,8421.9,9232.4,9497.0,10200.2,9426.0,14418.5,9380.6,10400.5,8687.2,3627.5,13412.5,8752.8,9491.0,9426.5,19086.666666666668,2210.3,14867.4,10847.5,9449.0,8242.5,8996.8,9279.4,9195.2,15015.1,8382.9,12587.5,9187.3,9112.5,9439.2,3662.2,13475.0,9915.0
DE,6310.1,11059.0,16476.0,6286.2,9270.1,6137.4,6121.9,10463.0,6520.0,9513.0,0.0,1779.9,1733.5,1735.0,4320.7,1525.3,16274.1,875.4,932.0,5066.0,1753.7,5619.5,1310.0,8835.0,6585.6,7908.9,2781.1,9248.0,8886.0,4397.0,746.7,892.0,17319.0,9800.5,10098.7,5023.3,695.0,1896.3,1603.0,4146.5,1004.8,9404.0,4891.0,8050.0,1746.3,7773.1,1508.1,6504.0,7727.9,9644.8
DZ,4273.1,10476.6,15966.7,5131.9,8452.7,7098.5,4351.4,9294.3,6943.3,9050.7,1779.9,0.0,2011.7,1291.5,3821.3,3069.0,16600.0,1413.0,1766.0,3563.4,1510.5,5345.3,1332.0,9803.0,4528.3,8935.2,1465.7,8670.1,9343.1,3358.5,1847.0,2740.5,17574.6,9461.9,11060.9,4089.5,1803.1,1504.0,2919.5,3544.5,3006.0,7828.4,3814.3,7170.6,1931.5,4342.9,1958.5,6832.1,8605.7,6307.3
EG,4514.7,12618.5,13198.5,3603.4,9411.0,7731.0,3939.4,10232.0,6055.3,9117.3,1733.5,2011.7,0.0,2108.4,2837.9,2881.4,15352.1,3241.5,3379.5,4088.6,1210.5,3816.0,1371.7,9561.0,3653.9,8824.8,3131.4,10102.2,8684.8,4170.9,1927.2,3475.1,15866.2,10310.7,10283.0,3314.8,1757.7,2849.5,2492.8,1684.9,3160.0,9106.0,4274.6,7498.6,1253.0,3830.5,1831.0,9291.0,7956.6,7415.8
ES,5683.0,9900.5,16724.6,5469.1,8630.2,5779.8,5996.8,9213.2,6233.0,7787.0,1735.0,1291.5,2108.4,0.0,3121.7,2730.1,17408.0,1050.0,1251.5,4202.6,1769.0,5106.6,1474.0,9572.5,5109.5,9986.0,1027.0,8712.5,9992.7,3834.4,1257.0,1819.1,19828.8,9226.0,10588.0,4902.2,1717.3,622.2,2807.0,3647.9,1762.4,9729.6,3594.0,8523.7,1925.1,6053.6,1879.0,6107.0,9317.6,8950.5
ET,3857.2,12046.8,12528.3,4580.7,8124.9,9497.1,3471.7,11176.3,6784.9,9150.9,4320.7,3821.3,2837.9,3121.7,0.0,5316.5,12266.1,5965.5,6067.0,3322.5,3292.5,4408.4,4747.8,9335.9,1348.5,8863.4,4154.9,10900.2,8023.1,3319.8,6078.2,5907.6,11884.5,11280.0,9713.0,4123.7,4247.8,5289.6,4595.7,2464.0,5934.3,6322.9,4581.6,6833.1,3637.6,2179.7,4019.4,10035.0,6777.3,6564.3
FI,6963.5,11079.1,12223.0,6477.8,9413.2,5836.0,6608.5,9985.7,5765.0,8955.0,1525.3,3069.0,2881.4,2730.1,5316.5,0.0,14290.0,1599.5,1630.0,6476.3,1901.5,5149.0,1808.0,7497.0,7593.5,7124.9,3382.2,8813.4,7980.0,5696.0,1030.0,859.1,15507.0,9620.0,9124.2,4378.2,1097.7,2896.6,1397.3,4079.3,546.0,7744.6,5964.7,7552.7,1890.0,7359.6,1551.2,7081.0,7130.4,9505.5
FJ,12438.4,12312.8,3062.7,15970.2,16703.3,15086.0,15472.5,11302.8,11566.0,16815.4,16274.1,16600.0,15352.1,17408.0,12266.1,14290.0,0.0,16809.5,17255.1,16790.1,16855.6,10639.4,16781.5,7315.6,15891.6,8193.1,16874.3,14097.5,9105.8,16459.7,16750.7,16897.7,2183.1,12029.4,3527.0,13079.0,16772.5,17106.7,16180.3,16408.5,16743.4,6113.2,16603.6,8234.9,16282.9,16237.4,16618.1,16438.0,9063.7,16248.0
