place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,10369.0,11350.0,7664.0,7962.5,8375.0,1101.0,10150.0,11685.0,8175.0,6165.0,4060.0,4351.5,5635.0,3773.0,6902.5,11725.0,5980.5,6085.0,2697.5,5820.0,7414.5,5900.0,13000.0,3725.0,11950.0,4022.0,10415.5,10345.0,2607.5,7700.0,7298.0,11783.5,10109.0,11174.0,6684.0,6217.0,6250.0,7490.5,5233.0,7150.0,10750.0,3975.0,9883.5,5377.5,3213.5,6255.0,9365.0,10023.5,4136.5
AR,10369.0,0.0,11825.0,19415.0,1192.0,9150.0,10350.0,1150.0,15685.0,3320.5,11200.0,10535.0,12550.0,10015.5,12296.5,11250.0,12308.0,11100.0,11000.0,10050.0,12500.0,12035.5,11100.0,11755.0,11737.0,12175.0,9769.5,8008.5,19585.0,10365.5,10575.0,11550.0,11900.0,2572.5,19751.5,12356.0,12330.0,9666.5,13024.0,12550.0,11500.0,19600.0,9500.0,12150.0,12300.0,11495.0,11838.0,10350.0,12865.0,11862.5
AU,11350.0,11825.0,0.0,7582.5,18700.0,16600.0,12450.0,12075.0,10760.0,16983.0,16450.0,16085.0,13385.0,16750.0,12575.0,13215.0,3207.0,16900.0,17000.0,14100.0,15450.0,10030.0,16600.0,7800.0,12465.0,8425.0,16743.5,13122.5,5975.0,15350.0,9925.0,15200.0,2549.0,12800.0,5275.0,10400.0,15900.0,16550.0,14755.0,11593.0,15066.5,5295.0,15650.0,7709.0,14873.5,12633.5,14800.0,16500.0,5761.5,10850.0
BD,7664.0,19415.0,7582.5,0.0,16000.0,9037.5,7725.0,17995.0,3389.5,16450.0,6009.0,5114.0,3776.0,5420.0,4337.5,6290.0,16200.0,7210.5,8050.0,7738.5,5396.5,1443.0,5395.0,5139.0,6330.5,3765.0,7646.0,13900.0,2900.0,7424.0,7647.5,6950.0,14800.0,18989.0,2465.0,1724.0,6061.5,7900.0,4725.0,3591.5,6125.0,2933.5,8282.5,1508.0,3649.0,5527.0,5010.0,12765.0,1592.0,9530.0
BR,7962.5,1192.0,18700.0,16000.0,0.0,6940.0,8194.0,2574.0,17690.0,2425.0,9327.5,8450.0,9505.0,8575.0,7992.0,9400.0,16562.5,9200.0,9025.0,7849.0,9740.0,13163.5,9350.0,17700.0,8821.5,17762.5,7715.0,3237.5,16300.0,8150.0,8641.5,8700.0,15000.0,2470.0,16282.5,12808.5,9575.0,7575.0,9490.0,9863.5,9685.0,16370.0,7694.0,14600.0,9097.5,8914.5,9689.0,7415.0,16997.5,8600.0
CA,8375.0,9150.0,16600.0,9037.5,6940.0,0.0,9700.0,8212.5,7550.0,6300.0,6200.0,7181.0,7625.0,5725.0,9415.0,5880.0,15385.0,5600.0,5495.0,7775.0,6420.0,9640.0,6425.0,9800.0,9800.0,10035.0,6035.0,3487.5,11400.0,8300.0,5800.0,5900.0,17375.0,4739.5,11639.0,7930.0,6165.5,5740.0,5700.0,8390.0,5900.0,10491.0,7197.5,9625.0,6665.0,10435.5,6580.0,840.0,9900.0,10700.0
CD,1101.0,10350.0,12450.0,7725.0,8194.0,9700.0,0.0,10408.5,10750.0,9474.0,6137.5,4157.0,3890.0,5494.5,3434.5,6367.5,15700.0,6183.5,6200.0,3216.5,6093.5,7681.5,5200.0,11875.0,2392.5,11767.5,4305.0,10350.0,10300.0,1699.5,7085.0,7370.0,13625.0,9775.0,11785.5,6475.0,6545.0,6010.0,7100.0,4925.0,7505.5,10425.0,3995.0,9540.0,5700.0,2388.0,5832.5,9268.5,9635.0,3058.5
CL,10150.0,1150.0,12075.0,17995.0,2574.0,8212.5,10408.5,0.0,17800.0,3172.0,9725.0,9495.0,9900.0,9215.0,11650.0,9880.0,10900.0,11100.0,9415.0,10650.0,9842.5,15852.0,9650.0,17457.0,11750.0,17250.0,9100.0,4185.5,17767.0,10098.5,9775.0,9775.0,10700.0,2478.0,17650.0,17110.0,9600.0,9190.0,9768.5,9900.0,10150.0,17723.5,8222.5,17900.0,10750.0,11600.0,9930.0,8377.5,18150.0,10938.0
CN,11685.0,15685.0,10760.0,3389.5,17690.0,7550.0,10750.0,17800.0,0.0,12750.0,6450.0,6750.0,6075.0,6000.0,6725.0,5750.0,11380.0,6600.0,6575.0,8689.5,6450.0,3650.0,6637.5,2100.0,6542.0,1130.0,7995.0,11504.5,3750.0,8661.5,6225.0,5500.0,10350.0,19725.0,2461.5,3690.0,6450.0,8375.0,5800.0,5650.0,5700.0,3725.0,9700.0,3772.0,4363.0,9135.0,6450.0,11022.5,1692.5,12615.0
CO,8175.0,3320.5,16983.0,16450.0,2425.0,6300.0,9474.0,3172.0,12750.0,0.0,9525.0,9185.0,9211.5,7800.0,9239.5,9000.0,16874.0,9375.0,8455.0,8922.0,9500.0,9845.0,9450.0,13877.5,9578.0,9885.0,8700.0,3659.0,13620.0,8815.0,9500.0,9427.5,19500.0,2140.0,14600.0,11016.0,9450.0,8090.0,8800.0,9042.5,9250.0,14250.0,8325.0,13100.0,9139.0,9350.0,9492.5,3654.0,13425.0,9885.0
