id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,10393.9,10369.0,10358.625,10354.833333355491,510.70027086997584,260814.7666666667,9570.0,11500.0,10163.25,10500.0,336.75,184.5,0.04913461461722509,2,0,10101.970000000001,10735.7625,2614.142719274405,2614.142719274405,0.3360185446596082,0.2896939557513572
AO--AU,AO,AU,13288.474497523322,10,11318.7,11350.0,11354.625,11354.624999872889,736.6193122034686,542608.011111111,10100.0,12250.0,10825.0,11940.25,1115.25,593.5,0.06507985123763935,0,0,10865.0,11742.65,1969.7744975233218,-1969.7744975233218,-0.14823180026348728,-0.16044085520645657
AO--BD,AO,BD,9121.283483960526,10,7670.7,7664.0,7519.625,7643.955466627164,849.3006338550953,721311.5666666667,6750.0,9800.0,7137.0,7790.25,653.25,136.0,0.11072009514843434,1,0,7230.4825,8268.05,1450.5834839605259,-1450.5834839605259,-0.1590328254254271,-0.17320265119237002
AO--BR,AO,BR,6675.278533941141,10,8064.8,7962.5,8008.125,8007.751142853945,525.0104337587545,275635.9555555556,7400.0,9183.0,7732.5,8330.0,597.5,330.0,0.06509900230120455,0,0,7781.975,8374.494999999999,1389.521466058859,1389.521466058859,0.2081593238385026,0.18909798141061035
AO--CA,AO,CA,10620.756402433968,10,8506.7,8375.0,8461.875,8441.801133377345,860.6798411075333,740769.7888888888,7372.0,10000.0,7878.25,9162.5,1284.25,609.0,0.10117670084845277,0,0,8012.735000000001,8990.01,2114.0564024339674,-2114.0564024339674,-0.1990495142087514,-0.22195614931600885
AO--CD,AO,CD,549.1026827702303,10,1135.0,1101.0,1133.0,1129.7699999752906,193.6130160913775,37486.0,886.0,1400.0,974.5,1307.25,332.75,150.0,0.1705841551465881,0,0,1028.5974999999999,1247.1074999999998,585.8973172297697,585.8973172297697,1.067008659061562,0.7261024698836779
AO--CL,AO,CL,8913.64308220524,10,9690.5,10150.0,9701.875,9804.926166382764,1407.8242669689519,1981969.1666666667,7340.0,11950.0,8786.25,10297.5,1511.25,777.5,0.14527880573437407,0,0,8789.975,10518.05,776.8569177947593,776.8569177947593,0.08715369357178304,0.08356299057444813
AO--CN,AO,CN,11758.580047473492,10,10865.0,11685.0,10856.25,10947.736998503353,2334.715067078731,5450894.444444443,7900.0,13900.0,8337.5,12600.0,4262.5,1765.0,0.21488403746697937,0,0,9432.95,12166.724999999999,893.5800474734915,-893.5800474734915,-0.07599387373864845,-0.07903657720945435
AO--CO,AO,CO,9801.95415219586,10,8374.4,8175.0,8314.25,8243.618785482337,954.3288741309257,910743.6000000002,7300.0,9930.0,7621.25,8857.5,1236.25,627.5,0.11395788046080026,0,0,7876.9375,8945.935,1427.5541521958603,-1427.5541521958603,-0.14563974999577567,-0.1574023357299358
AO--DE,AO,DE,6798.792115651933,10,6310.1,6165.0,6162.625,6136.912857098796,590.8266243154585,349076.0999999999,5900.0,7900.0,5983.0,6233.5,250.5,150.0,0.09363189558255154,1,0,6046.985,6687.585,488.6921156519329,-488.6921156519329,-0.07187925551170826,-0.07459344206470406
AO--DZ,AO,DZ,5158.666122203358,10,4273.1,4060.0,4176.375,4115.628025295797,697.8056797323068,486932.76666666666,3650.0,5670.0,3727.0,4520.0,793.0,358.5,0.16330197742442412,0,0,3912.8925,4709.7525,885.5661222033577,-885.5661222033577,-0.17166571769237057,-0.18833848347716053
AO--EG,AO,EG,4715.419795274749,10,4514.7,4351.5,4453.375,4397.707033136081,657.4212331357862,432202.6777777778,3670.0,5850.0,4096.5,4787.5,691.0,323.5,0.14561792215114763,1,0,4146.8575,4922.4725,200.71979527474923,-200.71979527474923,-0.04256668631621887,-0.04349920663600828
AO--ES,AO,ES,5722.316302190526,10,5683.0,5635.0,5559.875,5598.464666608525,744.8662818102171,554825.7777777778,4886.0,7465.0,5143.0,5917.5,774.5,310.0,0.1310692032043317,1,0,5287.95,6132.610000000001,39.316302190525676,-39.316302190525676,-0.006870697129320733,-0.006894409042841623
AO--ET,AO,ET,3446.282530254973,10,3857.2,3773.0,3825.75,3789.772157145353,320.40453596456257,102659.06666666667,3500.0,4466.0,3648.75,3954.0,305.25,163.5,0.0830666120410045,1,0,3686.0975,4056.925,410.91746974502666,410.91746974502666,0.11923499194786706,0.11264540902323042
AO--FI,AO,FI,7720.979613051022,10,6963.5,6902.5,6981.875,6979.37912497031,718.4553260680552,516178.05555555556,5880.0,7900.0,6550.0,7575.0,1025.0,647.5,0.10317445624586132,0,0,6518.4875,7389.275,757.4796130510222,-757.4796130510222,-0.0981066718231751,-0.1032590273577112
AO--FJ,AO,FJ,16614.26463120842,10,12438.4,11725.0,12100.625,12114.359799836466,1929.0248659188749,3721136.933333333,10583.0,16996.0,11257.5,13219.0,1961.5,1107.0,0.15508625433487225,1,0,11516.887499999999,13698.804999999998,4175.864631208422,-4175.864631208422,-0.2513421282194116,-0.28947317981989545
AO--FR,AO,FR,6480.8047195500585,10,6121.2,5980.5,6004.25,5997.118842870566,469.82521572743764,220735.7333333333,5760.0,7418.0,5912.5,6079.5,167.0,81.5,0.076753776339188,1,0,5927.297500000001,6447.424999999999,359.6047195500587,-359.6047195500587,-0.05548766474405124,-0.0570865320348558
AO--GB,AO,GB,6807.150235507682,10,6176.2,6085.0,6084.0,6064.124750028086,385.66243155266125,148735.51111111112,5900.0,7190.0,5955.0,6135.5,180.5,115.0,0.06244331976824929,1,0,6000.93,6429.03,630.950235507682,-630.950235507682,-0.09268933601854394,-0.09727036934156225
