place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7779.9,11565.9,9400.6,6204.7,10339.0,538.0,8085.2,11610.3,9480.0,6564.5,4820.8,5286.4,5764.1,3503.3,8081.3,15644.3,6500.0,6831.2,2402.2,5051.5,8156.7,5158.4,13569.6,3161.1,12460.6,5406.6,12342.8,9257.1,1821.3,6787.8,7188.2,12900.1,9797.0,11745.9,7370.0,6765.0,5784.0,7299.2,5361.6,7327.6,9510.0,4633.3,9904.7,5779.3,2771.3,6303.0,10487.2,10677.5,2490.0
AR,7779.9,0.0,11721.7,17234.9,2340.5,8980.6,7931.7,1137.6,19269.4,4682.0,11901.0,9843.0,11800.0,10034.3,9883.4,12631.3,10925.3,11064.0,11134.1,7780.5,10812.1,15927.0,11150.0,18368.5,9580.4,19545.0,9470.7,7382.0,15868.6,8053.0,11444.4,11718.8,10316.5,3138.8,19621.8,15293.7,12249.0,9584.7,13476.0,12159.8,11958.7,15884.6,6952.8,17113.5,11906.2,9337.6,12821.4,8389.0,19630.444444444445,8119.6
AU,11565.9,11721.7,0.0,9020.1,13961.5,16249.8,12641.5,11346.0,8965.6,14304.1,16094.6,17212.6,14404.9,17566.4,11651.8,15197.3,3296.5,16960.0,16918.4,15832.0,15308.3,10358.1,16314.3,7970.8,12009.0,8343.8,18040.2,13577.7,6564.2,14876.9,16611.7,16016.4,2326.3,12490.5,6265.2,10243.5,15608.7,18058.5,14468.4,12232.3,15598.5,6150.0,17250.4,7320.0,14525.0,11089.2,14929.5,16005.3,7583.9,10582.6
BD,9400.6,17234.9,9020.1,0.0,16841.4,12485.1,8807.8,17359.0,3025.9,16567.2,7157.5,8431.4,5617.8,8315.8,5965.0,6698.6,11082.7,7902.9,8001.160000000001,9992.3,6099.5,1423.8,7271.9,4738.9,6778.0,3713.8,9268.6,15788.7,2630.1,8664.6,7705.4,7326.7,11120.0,17731.4,3222.1,2027.9,6787.4,8783.1,4939.6,4893.3,6882.4,2896.2,12232.5,1540.2,5479.8,6666.7,6202.2,12641.4,1675.4,8472.3
BR,6204.7,2340.5,13961.5,16841.4,0.0,6949.8,6715.4,2897.9,17912.2,3660.0,9496.7,7427.5,9461.8,7263.0,9370.6,10469.2,14068.9,8727.4,8772.5,5491.5,9392.4,14449.6,9037.2,17370.0,8329.2,18195.4,7279.1,6848.5,16434.6,6564.8,9233.3,9541.8,12084.5,3170.8,19221.2,13929.6,9880.1,7290.0,11180.0,10751.2,10024.7,16060.1,4897.5,16740.0,10093.9,8393.6,10143.8,6727.8,17366.2,7510.7
CA,10339.0,8980.6,16249.8,12485.1,6949.8,0.0,10050.2,8580.0,10533.6,4529.5,6139.6,6084.7,8552.7,5696.2,11364.5,6112.6,12084.6,5651.2,5357.0,8381.4,7625.4,11150.2,6670.7,10305.3,11621.3,10489.4,5682.2,3567.6,14792.5,8612.3,5648.3,5687.9,14404.2,6190.1,13137.5,10665.9,6527.5,5285.5,7201.5,10131.6,5850.4,14899.2,6243.7,13639.5,7725.7,12262.2,7166.6,732.1,12742.0,12816.5
CD,538.0,7931.7,12641.5,8807.8,6715.4,10050.2,0.0,9522.9,11462.0,10040.7,6067.2,4805.4,4192.8,5753.7,3141.4,6779.9,17174.6,6037.2,6177.2,1872.0,4879.5,8158.6,5422.1,13560.0,2413.9,12367.6,4833.9,13568.9,9630.4,1761.7,6394.8,6969.1,14324.0,10262.3,11687.8,7269.5,6039.7,5712.7,6902.3,4860.5,6930.2,10002.3,4460.4,9618.2,5043.7,2068.4,6100.9,10106.0,10293.0,2806.1
CL,8085.2,1137.6,11346.0,17359.0,2897.9,8580.0,9522.9,0.0,19011.6,4250.6,12485.5,10363.8,13245.0,10708.7,11961.0,13429.1,10773.4,11643.6,11644.9,8617.4,12417.8,16337.5,11884.6,17243.0,12092.5,18350.0,9816.9,6585.5,16545.0,8490.4,11840.6,12116.8,9335.0,2464.4,17372.4,16418.6,12465.8,9845.5,14110.0,13972.1,12317.5,16363.1,8299.4,17108.7,13303.6,10394.0,13095.6,8049.6,18836.1,8121.0
CN,11610.3,19269.4,8965.6,3025.9,17912.2,10533.6,11462.0,19011.6,0.0,14979.2,7354.3,9135.9,7542.1,9212.2,8314.3,6300.0,8688.9,8215.0,8140.1,12097.0,7610.5,3789.0,8130.0,2100.0,9593.7,950.0,10309.5,12436.0,4349.0,10896.8,7824.7,6700.0,10177.4,16634.6,2856.0,3778.7,6950.0,9642.4,5790.0,6181.1,6706.2,4479.1,12250.8,3299.0,7512.5,9610.0,6450.6,11160.4,2330.2,11716.0
CO,9480.0,4682.0,14304.1,16567.2,3660.0,4529.5,10040.7,4250.6,14979.2,0.0,9307.4,8353.8,11512.0,8030.0,11890.8,9724.9,13050.4,8630.0,8500.0,7233.7,10100.2,15927.2,9336.6,14302.4,11742.4,14858.5,7619.3,3176.6,19749.0,8227.7,8823.7,8870.8,12606.1,1880.0,17744.0,15419.3,9647.3,7376.0,10905.0,12522.1,9574.2,19663.5,5482.1,17266.6,10752.2,11497.2,10253.1,3524.3,17659.5,10743.7
