place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7777.5,11496.0,9394.5,6193.0,10336.0,538.0,8083.0,11634.0,9578.0,6532.5,4820.0,5288.0,5767.5,3500.0,8161.5,15487.5,6500.0,6830.0,2402.5,4960.0,8170.5,5151.5,13561.0,3162.5,12465.0,5443.5,12365.0,9157.5,1812.5,6801.0,7156.0,12925.5,9942.0,11612.5,7354.0,6784.0,5781.5,7361.5,5312.5,7312.5,9538.0,4663.0,9939.5,5809.0,2798.0,6301.5,10507.5,10695.0,2490.0
AR,7777.5,0.0,11758.0,17002.0,2340.0,8982.5,7857.5,1138.0,19270.0,4685.0,11900.0,9827.5,11800.0,10030.0,9889.0,12630.0,11055.0,11075.0,11130.0,7731.5,10796.0,15927.5,11150.0,18375.0,9570.0,19600.0,9475.5,7380.0,15875.0,8042.5,11443.0,11722.5,10306.5,3139.0,19887.5,15421.5,12235.0,9582.5,13476.0,12197.5,11912.5,15888.0,6952.5,17125.0,11848.5,9365.0,12822.0,8390.0,19973.0,8115.0
AU,11496.0,11758.0,0.0,9057.5,13918.0,16250.0,12547.5,11347.5,8968.0,14322.5,16094.0,17257.5,14400.0,17640.0,11609.5,15196.0,3292.5,16960.0,16910.0,15707.5,15310.0,10434.0,16315.0,7971.5,12080.0,8340.0,18037.5,13877.5,6575.0,14917.5,16600.0,16020.0,2326.0,12742.5,6261.0,10244.0,15611.0,18050.0,14466.5,12145.0,15598.5,6150.0,17007.0,7280.0,14440.0,11090.0,14917.5,16005.0,7725.0,10305.0
BD,9394.5,17002.0,9057.5,0.0,16866.0,12482.0,8770.0,17055.0,3025.0,16657.0,7140.0,8475.0,5675.0,8310.0,5940.0,6657.5,11165.0,7905.0,8002.5,9942.5,6072.0,1424.0,7275.0,4724.0,6765.0,3715.0,9297.5,15830.0,2630.0,8689.5,7701.5,7350.5,11154.0,17977.5,3117.0,2028.5,6786.5,8766.5,4941.5,4885.5,6910.5,2896.5,12320.0,1540.0,5504.0,6635.5,6231.5,12630.0,1589.5,8442.5
BR,6193.0,2340.0,13918.0,16866.0,0.0,6927.5,6719.5,2928.0,17401.0,3660.0,9494.5,7414.0,9445.5,7263.0,9355.0,10457.0,14068.5,8727.5,8771.0,5522.0,9426.0,14350.5,9140.0,17370.0,8310.0,18130.0,7291.5,6850.0,16340.0,6507.5,9224.0,9555.0,12127.5,3171.0,19196.5,13945.5,9882.0,7290.0,11180.0,10761.0,10120.0,16000.0,5026.0,16740.0,10144.5,8448.0,10129.5,6736.5,17267.0,7442.5
CA,10336.0,8982.5,16250.0,12482.0,6927.5,0.0,9956.0,8590.0,10543.0,4530.5,6140.0,6091.5,8525.5,5689.5,11383.5,6123.5,12045.0,5650.0,5341.0,8370.5,7623.0,11150.0,6729.5,10300.0,11605.0,10480.0,5682.0,3615.0,14800.0,8602.5,5650.0,5692.5,14416.0,6207.5,13200.0,10660.0,6522.5,5301.0,7175.5,10151.0,5871.5,14887.5,6236.5,13650.0,7730.0,12202.5,7154.0,732.0,12660.0,12827.5
CD,538.0,7857.5,12547.5,8770.0,6719.5,9956.0,0.0,9578.0,11467.5,10084.0,6144.0,4812.5,4191.5,5752.5,3043.5,6761.0,17242.5,6042.5,6375.5,1923.5,4908.0,8124.0,5424.0,13560.0,2415.0,12400.5,4840.0,13536.5,9642.5,1785.0,6400.5,6959.0,14365.0,10217.5,11610.0,7265.0,6043.0,5726.5,6930.0,4908.5,6942.0,10064.0,4201.0,9509.5,5048.0,2120.0,6104.5,10109.0,10284.0,2779.0
CL,8083.0,1138.0,11347.5,17055.0,2928.0,8590.0,9578.0,0.0,19000.0,4250.0,12480.0,10380.0,13351.5,10711.0,11906.0,13345.0,10805.0,11643.0,11645.0,8576.5,12365.0,16340.0,11883.0,17240.0,12032.5,18405.0,9831.0,6587.5,16530.5,8464.0,11778.0,12140.0,9350.0,2465.0,17356.5,16410.0,12455.5,9850.0,14110.0,13987.0,12320.0,16353.0,8197.5,17126.0,13255.0,10312.5,13045.0,8050.0,18841.5,8120.5
CN,11634.0,19270.0,8968.0,3025.0,17401.0,10543.0,11467.5,19000.0,0.0,14917.5,7355.0,9133.0,7540.0,9212.5,8315.0,6300.0,8727.0,8215.0,8140.0,12215.0,7610.0,3790.0,8130.0,2100.0,9598.5,950.0,10313.5,12435.0,4350.0,11002.0,7825.0,6700.0,10165.0,16635.0,2850.0,3792.5,6950.0,9646.0,5790.0,6180.0,6705.5,4480.0,12065.0,3300.0,7500.0,9618.5,6450.0,11158.0,2330.0,11715.0
CO,9578.0,4685.0,14322.5,16657.0,3660.0,4530.5,10084.0,4250.0,14917.5,0.0,9284.0,8347.5,11516.0,8030.0,11878.0,9703.5,12935.0,8630.0,8500.0,7730.0,10178.5,15920.0,9347.5,14300.0,11725.0,14860.0,7644.5,3170.0,19755.0,8224.5,8825.0,8945.0,12610.0,1880.0,17600.0,15452.5,9636.5,7405.0,10905.0,12505.0,9589.0,19740.0,5578.5,17225.0,10765.0,11519.0,10257.5,3490.0,17533.0,10733.5
