place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.2238999999845,11528.631457141499,9406.666666677042,6193.0,10361.819813584083,538.0,8083.558911111229,11628.346850000871,9585.833333322224,6541.579666665825,4820.762311111119,5287.655285714286,5765.833333333432,3501.0895599999976,8138.354133318294,15644.300000027033,6500.0,6830.833333333601,2402.904355555537,4966.934242851775,8148.646310943106,5158.400000000366,13563.958240000007,3159.9999999995935,12458.833333332264,5429.500000012855,12387.379142857135,9194.43128572552,1817.2405333334634,6807.579666667394,7175.749999999996,12929.47444199648,9949.728388905121,11666.188699713164,7364.375000000066,6777.091024991341,5782.15506666666,7349.512242859824,5353.742499992804,7329.749999988453,9530.80855715692,4635.999999993489,9904.999999976517,5797.119785712607,2787.4558714463797,6303.4946999434915,10490.181799991538,10700.833333321161,2490.0
AR,7778.2238999999845,0.0,11749.69055731286,17035.91882500983,2340.1111111111113,8979.500000000022,7862.3260000036835,1137.6,19269.571428571428,4684.75,11900.111111111111,9829.993433333328,11800.0,10030.333333333334,9892.905728552083,12630.869555555557,10925.299999993375,11070.80311428566,11134.302199944332,7746.411685716824,10812.099999977041,15927.000000000004,11150.0,18374.571428571428,9566.909857144592,19599.571428571428,9473.999999999272,7381.379222222235,15873.517400000022,8051.6666666628325,11443.321733333307,11719.923457150902,10308.591266666563,3138.946377777779,19861.334214297218,15313.569372639422,12242.159333332935,9583.304333333332,13476.0,12148.987666656016,11916.692579999642,15885.980771452902,6954.124999999995,17113.499999999327,11867.371257141762,9356.029642859436,12821.857142859486,8388.659225000007,19962.575840094036,8120.125000000029
AU,11528.631457141499,11749.69055731286,0.0,9043.417599999959,13921.83333333236,16249.888888888889,12612.500000003916,11346.982928580115,8967.103633333325,14323.000000000353,16094.111111111111,17212.600000005103,14403.9062,17639.333333333332,11615.74495714284,15196.127942857167,3291.833333331313,16960.0,16910.0,15716.874999957607,15309.110440000002,10430.11600000126,16314.666666666666,7971.39658570697,12051.235066673602,8340.889560000038,18040.20000000028,13822.482740002422,6573.391333333508,14896.8107142862,16600.25,16015.617566667148,2326.25,12749.076250012267,6264.731357168956,10227.012285712184,15608.457722222221,18050.00712857138,14467.14926666667,12178.542566667695,15598.5,6150.0,17111.356519999492,7283.068285714478,14465.624999496025,11079.595166656256,14918.017071419885,16012.461214285715,7721.652285717536,10328.074850011199
BD,9406.666666677042,17035.91882500983,9043.417599999959,0.0,16860.8515,12482.321733333278,8775.000000015842,17061.479785823554,3025.6666666666665,16568.81328069879,7159.375000003267,8460.335633333329,5646.646533329308,8312.63857777778,5934.371071425721,6678.175199998032,11088.561833336727,7903.461424999996,8002.023375000007,9970.670571426743,6082.784633335715,1423.8,7275.576400000002,4724.875000015975,6778.000000000726,3714.666666666709,9283.054750000421,15828.391333333779,2630.0,8672.681271444053,7703.218928571487,7339.333333334473,11149.00000000068,17935.45239921383,3151.9132285745545,2028.6183285713544,6786.124999768503,8785.883780483671,4941.117166666577,4888.666666666399,6908.718866666504,2896.375,12312.49999998988,1540.111111111111,5488.999999996549,6658.221271434467,6218.619642855656,12633.45650000008,1591.623899997916,8457.096143363258
BR,6193.0,2340.1111111111113,13921.83333333236,16860.8515,0.0,6956.283371426709,6713.750000004111,2929.499999999602,17572.575160828987,3660.0,9495.238814285709,7420.891471027296,9454.80356666667,7262.666666666643,9356.018100024174,10466.743928175014,14094.159557144752,8727.4,8771.120649999999,5519.671514285289,9410.878533333136,14370.448999996363,9133.257671628413,17370.0,8298.260500783012,18130.42857142623,7277.874999999914,6849.857142857143,16407.18859922831,6564.800000014253,9227.02389999992,9553.395085714612,12083.374357139664,3170.8,19211.05745,13928.526971420222,9904.875000006143,7290.0,11180.0,10779.342371431812,10077.542642874367,16003.422285714929,4991.674766660483,16740.0,10133.058813950975,8419.924166661895,10130.666666666171,6731.052199999944,17258.99999999558,7485.030014284736
CA,10361.819813584083,8979.500000000022,16249.888888888889,12482.321733333278,6956.283371426709,0.0,9967.646880156602,8596.99277777751,10538.45342857145,4530.687271440721,6140.396585714291,6089.630499999983,8535.333333332857,5690.646174999913,11362.068774999992,6121.106557143574,12054.601734345672,5650.0,5341.599999997606,8370.624999998734,7624.457722222212,11150.0,6728.910439993685,10300.42857142857,11619.36338889208,10480.29273333309,5681.767855555386,3611.617860023831,14799.333333333334,8613.83333333358,5648.517400000118,5704.833333335582,14409.4029333333,6199.859619999832,13204.499999999456,10646.333333339262,6523.000000000362,5291.219633333731,7185.631928572801,10128.360366669176,5868.833333334513,14885.464625000142,6243.699999999975,13637.663071428486,7720.250000001597,12225.553400003579,7167.584155551103,732.0,12685.122700272874,12824.729857142325
CD,538.0,7862.3260000036835,12612.500000003916,8775.000000015842,6713.750000004111,9967.646880156602,0.0,9575.460166666986,11471.347425001417,10049.164955566388,6126.295033338369,4812.625000000007,4192.166666666751,5752.70650000018,3050.185159959529,6774.156357152438,17211.38160000048,6040.5243599752,6375.573375000317,1921.88630000317,4902.833333335093,8138.167300334526,5423.425366666671,13560.833333333323,2414.625,12381.605385714587,4840.522371459903,13532.99999998259,9639.264199851545,1784.0000000001803,6401.625000000263,6964.4999999999545,14367.750214298345,10252.79617142865,11617.728166668317,7273.333333338052,6039.777633336353,5722.375000000042,6928.449333332194,4898.32326666217,6941.333333334945,9999.678555564806,4201.206828570763,9529.06762499991,5048.3749999972415,2102.0713249854048,6103.484571421105,10107.194071428174,10304.779822220444,2779.6524714281895
CL,8083.558911111229,1137.6,11346.982928580115,17061.479785823554,2929.499999999602,8596.99277777751,9575.460166666986,0.0,19000.24999999786,4250.428571428572,12485.668500000036,10373.644700000268,13317.681666664643,10710.522371428555,11929.476971614069,13382.40552499937,10761.520166641145,11643.11195,11645.142857140514,8586.40211430978,12404.666666665205,16340.142857142857,11883.5,17240.428571428572,12102.530713328842,18388.54985714298,9825.26714285841,6586.982928571434,16525.501357147878,8473.128128575157,11788.539066668262,12119.534657140826,9349.57142857143,2464.777777777778,17379.125000000437,16414.621985714097,12464.166666668641,9850.0,14110.0,13984.249228572036,12310.544975000625,16353.87500023243,8236.48500000018,17174.304444444675,13279.017833331154,10345.429499999515,13051.582214285936,8048.758700000003,18817.999999994063,8122.499999918843
CN,11628.346850000871,19269.571428571428,8967.103633333325,3025.6666666666665,17572.575160828987,10538.45342857145,11471.347425001417,19000.24999999786,0.0,14922.833785799401,7354.806960000008,9132.958071428573,7540.222222222223,9212.097833333393,8315.16086666664,6300.0,8713.361599995556,8215.28571428337,8140.1,12153.749999532625,7610.111111111111,3789.8888888888887,8130.0,2100.0,9598.0174,950.0,10313.09203333329,12436.0,4349.75,10926.873066684271,7824.7,6700.0,10163.433542847339,16634.499999965206,2852.068833333254,3801.1659000020727,6950.0,9642.400000000269,5790.0,6180.521175000053,6706.128255555555,4480.0,12099.702333296007,3299.8888888888887,7510.119499955558,9608.499999989821,6450.111111111111,11160.400000000034,2330.2,11715.0
CO,9585.833333322224,4684.75,14323.000000000353,16568.81328069879,3660.0,4530.687271440721,10049.164955566388,4250.428571428572,14922.833785799401,0.0,9284.670166352607,8345.993714286722,11516.593040012653,8030.0,11875.223075004471,9709.084700000609,12972.5046999921,8630.0,8500.0,7540.81499990338,10174.98916666675,15951.499999999975,9346.69566666666,14300.25,11715.83333333162,14856.37922222222,7631.666666670454,3171.4999999999673,19749.440249930365,8227.700000000299,8825.07888569966,8934.184900000217,12584.750000020018,1880.0,17649.179899990257,15431.833619998584,9634.000000000353,7379.042025001015,10905.0,12507.14435734966,9584.29426666678,19741.482600017567,5540.324759512048,17236.996242539753,10766.33333333349,11505.333333336379,10251.094333335002,3490.5714285714284,17533.0,10754.49999998973
