place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7779.5,11548.5,9405.25,6196.125,10350.875,538.0,8083.375,11622.875,9567.5,6548.125,4820.5,5287.0,5765.125,3502.875,8097.0,15640.375,6500.0,6830.625,2403.0,5026.875,8146.5,5157.25,13565.25,3159.375,12459.125,5423.625,12366.625,9231.375,1819.5,6807.875,7175.75,12901.625,9951.25,11719.25,7364.375,6773.125,5783.875,7319.75,5362.25,7329.75,9523.875,4636.0,9905.0,5789.75,2777.25,6305.25,10493.75,10682.625,2490.0
AR,7779.5,0.0,11727.0,17038.625,2340.0,8979.5,7919.0,1137.625,19269.5,4684.375,11900.0,9844.625,11800.0,10033.75,9901.875,12630.375,10928.125,11069.5,11134.5,7761.25,10810.25,15927.5,11150.0,18370.0,9574.5,19556.25,9474.0,7381.25,15869.5,8060.625,11444.0,11722.0,10314.375,3139.0,19717.875,15304.625,12249.25,9584.375,13476.0,12145.25,11942.75,15885.75,6954.125,17110.625,11885.125,9349.25,12821.5,8388.75,19630.444444444445,8120.125
AU,11548.5,11727.0,0.0,9035.125,13942.625,16250.0,12612.5,11346.25,8966.625,14321.375,16094.0,17209.875,14404.25,17591.75,11619.75,15197.25,3290.625,16960.0,16913.0,15716.875,15308.875,10371.125,16314.75,7971.0,12023.75,8343.25,18041.0,13615.625,6568.125,14892.875,16607.25,16015.5,2326.25,12589.375,6265.25,10232.875,15608.125,18056.625,14467.375,12219.0,15598.5,6150.0,17225.5,7311.875,14465.625,11071.875,14927.5,16006.625,7609.375,10565.125
BD,9405.25,17038.625,9035.125,0.0,16858.0,12483.5,8777.5,17230.875,3025.75,16567.125,7159.375,8449.875,5627.5,8310.75,5951.0,6698.25,11089.25,7903.5,8001.625,9986.0,6089.5,1423.875,7273.25,4724.875,6777.5,3714.75,9279.125,15811.25,2630.0,8668.75,7703.25,7335.875,11145.0,17769.375,3207.25,2027.75,6786.125,8786.375,4941.125,4891.375,6896.875,2896.375,12283.125,1540.0,5489.0,6659.125,6209.125,12636.5,1658.625,8464.875
BR,6196.125,2340.0,13942.625,16858.0,0.0,6944.75,6713.75,2929.5,17907.75,3660.0,9496.25,7425.0,9457.0,7262.5,9357.0,10465.75,14090.5,8727.375,8771.875,5518.75,9402.375,14442.625,9054.875,17370.0,8312.75,18182.625,7277.875,6848.75,16418.0,6560.375,9227.625,9550.25,12081.625,3170.875,19210.5,13926.25,9904.875,7290.0,11180.0,10766.5,10036.5,16040.75,4905.625,16740.0,10110.375,8405.375,10137.25,6728.5,17304.0,7497.375
CA,10350.875,8979.5,16250.0,12483.5,6944.75,0.0,10029.5,8598.125,10535.5,4530.0,6139.875,6088.0,8532.375,5692.375,11362.5,6116.25,12053.75,5650.75,5354.5,8370.625,7624.25,11150.0,6675.75,10304.0,11616.625,10487.625,5681.5,3601.125,14795.625,8610.375,5647.5,5703.75,14406.5,6192.0,13206.375,10656.0,6523.75,5285.75,7201.25,10125.125,5861.75,14892.625,6244.625,13636.25,7720.25,12254.875,7172.0,732.0,12713.625,12823.125
CD,538.0,7919.0,12612.5,8777.5,6713.75,10029.5,0.0,9548.125,11468.125,10052.75,6079.0,4812.625,4192.25,5753.375,3116.25,6776.75,17100.125,6039.375,6251.625,1892.0,4900.25,8149.125,5422.875,13560.625,2414.25,12371.0,4839.625,13544.5,9635.125,1770.5,6401.625,6964.5,14348.125,10254.75,11650.375,7266.25,6043.375,5722.375,6906.625,4892.0,6936.0,9999.625,4406.75,9577.0,5048.375,2101.875,6101.75,10109.125,10305.5,2796.5
CL,8083.375,1137.625,11346.25,17230.875,2929.5,8598.125,9548.125,0.0,19007.0,4250.5,12485.625,10368.375,13231.875,10709.125,11955.625,13383.5,10745.5,11643.25,11645.625,8596.625,12414.75,16340.625,11884.25,17242.5,12108.75,18365.0,9820.625,6586.25,16536.875,8483.0,11820.125,12119.625,9342.5,2464.875,17379.125,16420.75,12465.375,9846.375,14110.0,13980.125,12310.0,16353.875,8289.625,17174.625,13299.625,10374.375,13078.25,8047.75,18836.375,8122.5
CN,11622.875,19269.5,8966.625,3025.75,17907.75,10535.5,11468.125,19007.0,0.0,14949.0,7354.375,9134.0,7540.125,9211.5,8315.25,6300.0,8712.375,8215.375,8140.0,12153.75,7610.0,3790.0,8130.0,2100.0,9594.625,950.0,10310.375,12436.25,4349.375,10924.125,7824.75,6700.0,10162.125,16634.5,2855.125,3808.0,6950.0,9643.0,5790.0,6180.125,6705.875,4479.5,12223.5,3300.0,7512.875,9608.5,6450.0,11160.25,2330.125,11715.625
CO,9567.5,4684.375,14321.375,16567.125,3660.0,4530.0,10052.75,4250.5,14949.0,0.0,9282.25,8351.75,11513.5,8030.0,11876.0,9721.125,13034.875,8630.0,8500.0,7257.125,10113.375,15951.5,9340.75,14301.5,11733.75,14856.25,7624.625,3171.5,19749.375,8228.375,8824.375,8905.375,12584.75,1880.0,17676.25,15413.5,9634.0,7378.75,10905.0,12512.5,9579.625,19728.75,5496.75,17258.25,10758.875,11506.125,10246.375,3491.625,17603.75,10758.375
DE,6548.125,11900.0,16094.0,7159.375,9496.25,6139.875,6079.0,12485.625,7354.375,9282.25,0.0,1797.75,2894.75,1870.0,5350.125,1103.75,16182.0,878.0,932.0,5146.375,1801.125,5780.5,1181.875,8918.125,6344.375,8130.0,2625.25,9615.625,9598.75,4857.375,577.0,839.0,18145.0,11030.625,9745.875,5245.375,517.0,2310.0,1609.0,4274.875,810.0,9912.5,5018.375,8601.75,2031.25,6896.5,1192.5,6717.0,8305.25,8718.125
DZ,4820.5,9844.625,17209.875,8449.875,7425.0,6088.0,4812.625,10368.375,9134.0,8351.75,1797.75,0.0,2714.875,716.875,4855.375,3130.25,17443.75,1367.75,1660.0,2904.125,1779.0,6907.75,978.0,10422.0,5460.625,10017.75,916.125,9372.75,10478.25,2866.375,1732.625,2775.625,19527.0,9657.375,11575.375,6065.375,2283.75,978.0,3480.125,3835.375,3021.75,10406.75,3166.75,9775.875,2699.0,5378.125,2836.5,6183.0,9991.625,7452.25
