aggregation,algorithm,place_id,aligned_x,aligned_y,inferred_lat,inferred_lon,displacement_km
mean,spherical,AO,13.148931465036952,10.194924128602146,-10.194924128602146,13.14893146503695,151.34545996936333
mean,spherical,AR,-58.551677804560995,32.9389690653172,-32.9389690653172,-58.55167780456101,185.2950532521483
mean,spherical,AU,146.53852992172972,37.043601260175976,-37.043601260175976,146.53852992172975,303.9602756900269
mean,spherical,BD,91.13354637806754,-23.890383604254456,23.890383604254456,91.1335463780675,76.20294850024956
mean,spherical,BR,-46.03268888089133,15.928571596870963,-15.928571596870963,-46.03268888089135,202.32393511515284
mean,spherical,CA,-75.32829068628912,-45.27455854128545,45.27455854128545,-75.32829068628914,33.30847979919731
mean,spherical,CD,15.048787360452252,4.602227222459278,-4.602227222459278,15.048787360452245,42.301088964163256
mean,spherical,CL,-68.06288833576347,34.70713239283307,-34.70713239283307,-68.06288833576349,277.854342364809
mean,spherical,CN,116.06399175413043,-40.3714134756399,40.3714134756399,116.06399175413041,56.1300230149002
mean,spherical,CO,-70.9717557878631,-3.22030440610382,3.22030440610382,-70.9717557878631,377.86068437794404
mean,spherical,DE,13.734963537275178,-52.02670796875974,52.02670796875974,13.734963537275153,59.79460154976331
mean,spherical,DZ,2.619262694563389,-36.11546317545257,36.11546317545257,2.6192626945633712,81.80272871379204
mean,spherical,EG,31.750459804932916,-30.07121328645046,30.07121328645046,31.750459804932927,48.40119356602609
mean,spherical,ES,-3.0536533126503684,-40.43291394542033,40.43291394542033,-3.0536533126503786,53.583835055728876
mean,spherical,ET,38.443901662725295,-8.806187158248056,8.806187158248056,38.44390166272528,37.792445023546215
mean,spherical,FI,25.114833782847427,-60.34256441438424,60.34256441438424,25.11483378284742,20.936871412241416
mean,spherical,FJ,177.39334585891675,18.397598817760127,-18.397598817760127,177.39334585891675,114.54165922297253
mean,spherical,FR,2.5600888054152335,-48.89247930443218,48.89247930443218,2.560088805415235,16.932466532213446
mean,spherical,GB,-0.027072040298008915,-51.69773518020636,51.69773518020636,-0.027072040297992588,22.67190084106049
mean,spherical,GH,-0.12190954005751564,-7.585899797015607,7.585899797015607,-0.12190954005752289,226.41413234206055
mean,spherical,GR,23.57222830506265,-37.2088653167953,37.2088653167953,23.572228305062676,87.46372530810181
mean,spherical,IN,77.3390605555665,-28.043269766659996,28.043269766659996,77.33906055556649,63.38740120816227
mean,spherical,IT,13.031891220589557,-41.697716810521406,41.697716810521406,13.031891220589545,50.77949541053238
mean,spherical,JP,139.2164641164801,-36.0642779229886,36.0642779229886,139.2164641164801,63.76896316868697
mean,spherical,KE,35.20019124550089,1.4137986741635484,-1.4137986741635484,35.20019124550091,180.07974403071157
mean,spherical,KR,126.15122037267156,-37.38206187831917,37.38206187831917,126.15122037267153,77.52286792112187
mean,spherical,MA,-6.893864721521169,-35.15495389103214,35.15495389103214,-6.89386472152116,125.72123350315002
mean,spherical,MX,-97.29189387248758,-18.743677308604518,18.743677308604518,-97.29189387248759,208.55086964794484
mean,spherical,MY,101.5427449628059,-3.2945792341661515,3.2945792341661515,101.54274496280588,22.21306915628242
mean,spherical,NG,7.6482132789837465,-9.45981079361561,9.45981079361561,7.648213278983734,43.57502035380523
mean,spherical,NL,5.189021657871848,-52.53533093285687,52.53533093285687,5.1890216578718436,27.5982969754045
mean,spherical,NO,11.197532239153304,-59.140743172214805,59.140743172214805,11.197532239153306,90.13421283720281
mean,spherical,NZ,173.61521775408886,41.87934602036342,-41.87934602036342,173.61521775408886,116.5590889762665
mean,spherical,PE,-75.89625091645865,11.495272905006077,-11.495272905006077,-75.89625091645864,139.92692722130047
mean,spherical,PH,120.24817323908275,-16.3865042786334,16.3865042786334,120.24817323908273,212.9459801036714
