place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7779.589133333363,11931.012500001196,9799.746639289197,6282.053902867627,10900.985800000546,550.2915875164525,8182.285621428376,11549.355675003995,9074.63666670837,6545.316666666658,4819.562500000115,5295.0,5775.689559999996,3510.127782499978,7800.899999996951,15517.331053985212,6500.5,6830.083333333333,2401.755373333432,5034.1811624502,8292.050000000248,5413.007542858163,13584.81844999976,3171.187499955881,12419.14671142833,5619.258989632111,12246.343376395433,9730.425000000389,2216.8017057014376,6827.951466666832,7526.000000002125,12422.71250001237,9790.676999999841,12465.362584287679,7559.2500000025575,6755.697071944533,5782.771076666571,7396.290649984728,5312.4312504762365,7522.677549992481,9998.749999993173,5131.888192863819,10097.32570871585,5977.872584998224,2856.1374995076944,6430.680928566331,10453.353733335183,10676.833085061186,2491.0714285690856
AR,7779.589133333363,0.0,11802.223900000106,17015.696782906958,2340.25,8977.87421428572,7886.575999874081,1138.0,19269.85714285714,4684.333333333351,11907.542678601922,9760.937499999665,11800.728571428572,10044.57142857143,10638.733333321614,12644.020514334414,10360.328560000655,11075.0,11132.801625000004,7856.1980166584235,11351.37372427349,15915.730268096844,11149.75000000214,18374.888888890546,9649.720142529868,19430.214285714286,9409.254149994515,7379.666666666667,15890.634894444434,8158.335955719851,11445.442857142858,11903.305238888039,10327.174737500007,3139.6666666666665,19990.45737222222,15346.481460013607,12281.430542857142,9582.634055555553,13476.35,13373.258983419511,12233.437857142837,15881.666666666528,6954.64675,17246.390021535393,11906.544589995392,9817.944290000452,12818.243785714281,8386.100000000006,19077.638998588573,8118.5793249999915
AU,11931.012500001196,11802.223900000106,0.0,9038.76253332805,14150.833333335337,16253.750000000004,12917.907734320537,11349.75,8970.37500000214,14332.83436862944,16094.444444444445,17075.608050000003,14408.137083333328,17659.66666666665,11642.648271428727,15203.334288888887,3304.550000005682,16960.0,16925.750000000015,15355.250000018415,15311.734255714287,9826.354642855305,16314.822222222223,7970.94251111111,11704.829686672952,8340.0,17855.169717500507,12726.642617807656,6310.672586666979,14518.907733338216,16644.491874999952,15938.222492857,2326.34115,12744.517071428574,6290.079920000073,10277.444266673181,15604.333333333338,17989.79809967432,14470.0625,12407.725989999972,15597.666666666666,5910.3125,17100.63761334044,7418.4566100001575,14466.522674778089,11329.425480691005,14912.683059999987,15945.092710000126,7739.949999999994,10263.410099999763
BD,9799.746639289197,17015.696782906958,9038.76253332805,0.0,16821.649999996545,12463.694799964338,9027.767337164276,17102.74669285717,3026.6000000000017,16688.145162500095,7095.424999999488,8374.59908577778,5676.416666666959,8254.753335000005,5904.511546663479,6620.100000001183,11261.76132799494,7905.0,8002.589691428575,10223.889585250117,6249.537407143197,1423.75,7276.137316666646,4726.761185714417,6883.1103285713625,3729.4201285704967,9415.097089426445,15771.870432222218,2630.0,8433.198906997926,7698.058750000137,7338.465772933686,11679.113187502033,17807.465162506916,3017.8666000023986,2025.3777000370492,6813.550000159197,8393.357380540769,5386.63087843341,4600.012499963377,6925.735185414101,2896.5,12368.250000000064,1540.495,5358.277048564321,6920.108333332434,6118.193914444441,12625.250000000005,1588.3630333339777,8511.23750000287
BR,6282.053902867627,2340.25,14150.833333335337,16821.649999996545,0.0,6829.249999999852,6613.656250437184,3014.2499999999895,16877.000000000124,3660.1111111094556,9510.824997187232,7609.212011109424,9479.047234999793,7273.875338020046,9265.866666662543,10483.083333332053,14035.75434286776,8731.0,8777.017399999992,5733.597233623588,9535.466666666667,14167.29822500027,8727.307233333071,17370.4375,8178.562880005656,18176.260666666476,6936.750000004236,6845.166666666667,16279.54196111516,6182.113894088567,9265.452599999613,9639.42524285875,11929.687499668877,3170.6,18528.86899998969,13858.48749999585,9901.400966880574,7290.125,11179.857142857143,10562.040616650049,9768.250000004644,16016.301755000102,5023.497354284657,16749.942,10113.856694289709,8167.983749547644,10162.034755555958,6746.166666666436,17502.83396285379,7436.892871428737
CA,10900.985800000546,8977.87421428572,16253.750000000004,12463.694799964338,6829.249999999852,0.0,10316.423257498585,8591.717400000041,10490.941999999997,4534.333333333351,6137.2778175,6171.170000002398,8584.838757145102,5673.261035714239,11474.439882724842,6042.318057018579,12156.900000000012,5650.374999999998,5362.469999999982,8398.99999961255,7625.45925,11152.464965714287,6683.390505102649,10313.005799999994,11768.535130000882,10465.088049999982,5712.945000000144,3617.4828555555855,14797.392162499877,8717.246710005693,5651.31569285714,5528.67021714417,14320.879223333704,6202.499999999352,12712.847424752628,10715.686950636273,6542.678224947667,5305.941600058518,7139.7319836666675,10021.888803221173,5847.599999999479,14884.233922500234,6212.416666665835,13650.47275016275,7737.083333335795,12199.288113335171,7214.919999999992,732.1111111111111,12422.27703532557,12950.663027777555
CD,550.2915875164525,7886.575999874081,12917.907734320537,9027.767337164276,6613.656250437184,10316.423257498585,0.0,9584.833333333352,11353.466867000026,9906.86691427309,5994.677074584756,4805.821549897179,4187.762461428529,5734.766800001223,3013.5201133326796,6932.560733333238,16282.625126666882,6007.749999999989,6376.2025,1913.2301199965138,4889.050000001268,8221.84061462513,5415.883333333333,13027.021942860016,2412.6651675,12115.251070446307,4822.347866666246,12359.561430015588,9692.433333333558,1661.812607144396,6393.738750000062,6926.875438714287,13889.789999978837,10257.282714286577,11752.062500001597,7180.07452214527,6079.999999997927,5780.133870000289,6973.816666666993,4803.974059994291,6919.531250001225,9742.604110497206,4202.89014849946,9721.146580535593,4909.7833333380995,2069.0933205225856,5920.50117999763,10332.862499997895,10324.199999991277,2776.166666666649
CL,8182.285621428376,1138.0,11349.75,17102.74669285717,3014.2499999999895,8591.717400000041,9584.833333333352,0.0,19000.0,4250.249999997861,12500.035714285714,10502.800179997628,13109.359805384911,10713.57142857143,11662.495628547778,13347.662921430727,10820.228499998973,11640.24999999786,11640.599999997605,8520.196421425606,12196.039394445996,16341.833333333618,11884.400000002395,17240.0,11073.672994774635,18351.83378571417,9858.24048332807,6561.257857142596,16217.953455743826,9106.854571428114,11901.806550000181,12518.968907143366,9347.166666666762,2464.8888888888887,17260.602100268297,16378.937499998981,12667.450000019122,10072.426727783433,14114.25480714288,13986.187500000215,12297.499999999081,16315.289523333246,8111.36105583831,16325.71114285711,13866.470295706858,10515.833333324914,13052.281400031294,8077.426599899349,18473.283000011652,9161.162500000104
CN,11549.355675003995,19269.85714285714,8970.37500000214,3026.6000000000017,16877.000000000124,10490.941999999997,11353.466867000026,19000.0,0.0,15239.423833334646,7353.271977777786,9130.466666666644,7542.697880000007,9215.0,8315.428571426228,6300.25,9107.822833327922,8214.75,8140.5,11562.471816666352,7614.530509999999,3791.05,8130.0,2100.0,9583.499999999936,952.2611857069729,9601.45243000139,12435.333333333334,4349.333333333351,10649.040285715959,7824.35,6700.75,10413.12499999989,16624.555555555555,2850.4285714285716,3790.5,6949.888888888889,8684.444444444445,5790.428571428572,6199.062500000002,6710.825157142859,4479.7034800000065,11851.841866666286,3294.7500000000077,7492.009275052426,9867.455298261493,6450.09,11158.0,2330.3333333333335,11716.101299999984
CO,9074.63666670837,4684.333333333351,14332.83436862944,16688.145162500095,3660.1111111094556,4534.333333333351,9906.86691427309,4250.249999997861,15239.423833334646,0.0,9408.183059999015,8490.35340803402,11200.900000000458,8020.462714285716,11719.470561112717,9874.31249997961,13378.850413468179,8625.0,8499.8428571452,8178.018712221711,10179.566184287274,14841.832787883479,9349.333333333334,14311.57142857143,11667.062499998552,14854.73188888888,7605.766666665611,3160.4285714285716,19751.82951499982,8503.323672368624,8824.966666666667,9063.216902031401,12182.039151092262,1879.8888888905446,18260.26456749841,14970.202201990827,9775.807076664325,7493.283333333333,10904.333692857143,12463.89999999904,9518.666666666659,19153.595493335593,6460.000000013453,17227.40478571696,10768.672914999994,11245.049999998175,10314.5,3654.453428570603,17663.860874982307,10796.133536673027
