place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7774.1,12044.4,9902.1,6462.5,10677.2,546.3,8180.0,11611.9,9278.3,6607.1,4816.0,5171.3,5770.4,3498.8,7996.2,15758.0,6502.2,6830.0,2399.8,5461.2,8586.9,5657.4,13584.0,3161.0,12440.0,5550.8,12019.9,9384.25,2192.2,6823.8,7625.2,12552.8,9831.3,12330.6,7486.9,6682.0,5780.3,7291.6,5505.0,7566.1,10191.4,4518.5,10048.7,5945.0,2860.0,6717.4,10429.1,10836.2,2491.6
AR,7774.1,0.0,11797.9,17199.4,2341.4,8981.5,7865.0,851.0,19267.4,4682.5,11904.8,9828.7,11800.0,10034.5,10254.7,12626.8,11541.0,11082.1,11118.0,7455.3,10843.4,15905.0,11142.0,18375.0,9879.0,19457.0,9094.5,7378.5,15900.3,8035.5,11443.8,11719.8,10336.0,3138.7,19996.0,15004.8,12227.0,9578.5,13476.0,11990.3,12116.2,15871.6,6961.5,17137.1,11801.7,9371.0,12817.1,8368.6,18065.25,8119.1
AU,12044.4,11797.9,0.0,9023.7,13993.2,16250.0,12562.0,11343.0,8964.7,14292.5,16093.8,17309.4,14403.5,17628.6,11769.5,15189.3,3266.6,16955.0,16933.0,15789.0,15314.5,10093.0,16314.7,7974.0,12001.4,8342.5,17959.1,13827.8,6442.0,14639.2,16607.5,15929.5,2325.6,13198.5,6270.3,10650.0,15606.1,18060.2,14470.9,12704.3,15608.2,6049.0,17233.0,7360.8,14359.7,11233.5,14913.1,15992.2,7693.1,10279.8
BD,9902.1,17199.4,9023.7,0.0,15945.6,11828.8,8975.3,17144.8,3026.6,16533.9,7134.4,8381.4,5280.1,8252.9,6065.2,6607.6,11394.4,7907.9,7997.5,10052.6,5999.2,1423.6,7274.7,4839.4,6865.5,3726.8,9031.0,15418.6,2630.3,8626.0,7695.8,7326.4,11178.3,17482.3,3288.7,1998.6,6667.5,8612.1,5142.6,4469.1,6919.0,2895.4,11710.0,1540.0,5216.4,6810.2,5998.6,12699.3,1818.8,8423.3
BR,6462.5,2341.4,13993.2,15945.6,0.0,7025.0,6906.0,3019.1,16835.7,3660.0,9504.6,7664.9,9555.1,7268.7,9144.7,10398.0,14025.5,8726.3,8775.7,5595.5,9525.0,14122.0,8725.4,17434.7,8370.0,18151.0,7058.0,6844.5,16377.0,6165.0,9204.2,9537.9,11884.0,3170.9,18719.5,13980.5,9921.5,7290.2,11174.8,10652.0,10022.4,16622.8,4944.1,16740.0,10121.8,8505.3,10140.8,6735.9,16987.5,7515.5
CA,10677.2,8981.5,16250.0,11828.8,7025.0,0.0,10280.0,8591.5,10467.7,4531.3,6138.6,6117.2,8537.1,5687.5,11365.4,6039.4,12125.5,5648.8,5379.9,8131.4,7627.4,11157.7,6735.4,10314.6,11717.3,10465.8,5662.8,3619.4,14799.0,8567.3,5638.5,5459.1,14389.4,6183.0,13065.9,10768.6,6541.4,5280.4,7149.9,9910.7,5916.3,14840.8,6278.3,13654.8,7874.0,12121.0,7264.8,732.3,12580.3,12820.5
CD,546.3,7865.0,12562.0,8975.3,6906.0,10280.0,0.0,9303.0,11294.5,9634.0,6174.5,4821.2,4320.9,5736.6,3021.0,6993.1,16622.5,6030.7,6375.2,1965.7,4875.0,8117.0,5420.8,12856.3,2415.5,12107.5,4839.0,12509.0,9670.5,1709.2,6247.5,6923.5,14160.0,10086.6,11655.9,7179.0,6169.7,5727.9,6915.8,4710.3,6986.5,10282.6,4202.1,9666.2,5103.1,2037.7,6113.0,10158.1,10423.8,2777.5
CL,8180.0,851.0,11343.0,17144.8,3019.1,8591.5,9303.0,0.0,19063.5,4251.0,12499.2,10268.7,13188.8,10708.0,11733.7,13031.5,10398.5,11640.0,11641.5,8594.5,12300.0,16334.0,11883.6,17240.0,11553.3,18412.0,9907.2,6540.5,16378.5,8686.4,11909.9,12281.7,9356.3,2464.1,17281.5,16360.0,12445.2,9989.0,14112.0,14037.9,12286.3,16308.5,8110.6,17098.1,13130.3,10107.0,13017.9,8044.2,18130.4,8462.9
CN,11611.9,19267.4,8964.7,3026.6,16835.7,10467.7,11294.5,19063.5,0.0,15237.9,7356.0,9133.8,7551.9,9215.0,8313.3,6310.7,9290.5,8215.0,8140.2,11511.5,7613.2,3783.7,8130.0,2099.8,9584.6,952.9,10309.2,12436.8,4347.5,10540.0,7824.0,6916.8,10399.0,16625.7,2851.5,3815.0,7155.0,9613.2,5796.0,6188.3,6710.8,4480.0,11968.5,3291.3,6428.5,9205.0,6450.0,11158.4,2330.1,11709.0
CO,9278.3,4682.5,14292.5,16533.9,3660.0,4531.3,9634.0,4251.0,15237.9,0.0,9399.3,8432.4,11148.5,8020.9,11687.3,9790.9,13306.0,8629.5,8497.7,8048.6,10149.1,15923.0,9350.9,14303.2,11569.0,14875.8,7592.9,3195.4,19700.6,8337.0,8825.1,9021.1,12600.9,1880.7,17942.5,15205.8,9642.3,7489.7,10906.0,12548.0,9535.0,19672.0,6099.3,17258.2,10769.0,10962.0,10270.9,3548.6,17604.1,10447.0
