place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7777.5,12051.5,9923.5,6440.0,10698.5,544.5,8179.0,11617.0,9195.0,6552.0,4815.0,5290.0,5775.0,3498.5,8032.5,15665.0,6502.5,6830.0,2397.5,5465.0,8545.0,5787.5,13585.0,3165.0,12432.5,5543.5,11965.0,9369.25,2196.5,6829.5,7602.0,12632.5,9840.0,12342.5,7497.5,6680.0,5780.0,7300.0,5447.5,7525.0,10204.0,4571.0,10052.5,5980.0,2875.5,6740.0,10457.0,10880.0,2492.5
AR,7777.5,0.0,11802.5,17075.0,2340.0,8982.5,7847.5,850.0,19266.0,4685.0,11900.0,9824.0,11800.0,10030.0,10255.0,12627.5,11600.0,11082.0,11112.5,7445.0,10477.5,15900.0,11145.0,18375.0,9720.0,19420.0,9015.0,7375.0,15903.5,8002.5,11444.5,11710.0,10340.0,3138.5,19996.0,14965.0,12225.0,9580.0,13476.0,11952.0,12230.0,15873.0,6960.0,17115.0,11800.0,9380.0,12818.0,8364.5,17494.0,8115.0
AU,12051.5,11802.5,0.0,9066.5,13955.0,16250.0,12545.0,11340.0,8965.0,14315.0,16090.0,17275.0,14407.5,17630.0,11690.0,15194.5,3257.5,16960.0,16915.0,15872.5,15312.0,10160.0,16315.0,7975.0,12042.5,8340.0,17950.0,13945.0,6437.5,14640.0,16598.5,15917.5,2325.0,12820.0,6270.0,10610.0,15606.0,18067.5,14470.0,12680.0,15598.5,6080.5,17290.0,7355.0,14387.5,11172.5,14915.0,15977.5,7745.0,10280.0
BD,9923.5,17075.0,9066.5,0.0,15947.5,11864.5,8875.0,17140.0,3026.5,16514.5,7128.5,8432.0,5261.5,8259.5,6003.0,6635.0,11390.0,7906.0,7998.5,10092.5,5996.5,1424.0,7275.0,4899.0,6868.5,3726.5,8962.5,15519.0,2630.0,8580.0,7691.5,7349.0,11165.0,17355.0,3316.0,2024.5,6644.5,8650.0,4985.0,4300.0,6912.5,2895.0,11590.0,1540.0,5185.0,6850.0,6016.0,12647.5,1860.0,8451.5
BR,6440.0,2340.0,13955.0,15947.5,0.0,6930.0,6830.0,3015.0,16980.0,3660.0,9505.0,7718.5,9475.5,7268.0,9167.5,10407.5,14085.0,8725.0,8776.0,5595.0,9525.0,14215.0,8725.0,17375.0,8367.5,18130.0,7085.0,6845.0,16402.5,6160.0,9191.0,9554.5,11875.0,3171.0,18415.0,14017.5,9920.0,7290.0,11180.0,10645.0,10120.0,16680.0,5005.0,16740.0,10162.5,8504.0,10134.0,6739.0,17023.5,7449.0
CA,10698.5,8982.5,16250.0,11864.5,6930.0,0.0,10260.0,8602.5,10488.5,4535.0,6140.0,6116.5,8530.5,5686.0,11365.0,6027.5,12047.5,5647.0,5380.0,8122.5,7630.0,11150.0,6725.0,10315.0,11770.0,10465.0,5671.0,3632.5,14800.0,8595.0,5637.0,5483.5,14392.5,6175.0,13148.0,10757.5,6529.5,5280.0,7144.0,9889.0,5903.0,14835.0,6297.5,13642.5,7809.5,12117.5,7272.5,732.0,12561.5,12817.5
CD,544.5,7847.5,12545.0,8875.0,6830.0,10260.0,0.0,9387.5,11312.5,9615.0,6175.0,4825.0,4192.5,5765.0,3024.0,6952.5,16542.5,6029.0,6375.0,1923.5,4870.0,8092.5,5420.0,12707.5,2415.0,11987.5,4845.0,12400.0,9662.5,1676.5,6202.5,6899.0,14115.0,10078.0,11597.0,7183.0,6210.0,5777.0,6925.0,4737.5,6987.5,10287.5,4200.0,9620.0,5145.0,2010.0,6122.5,10137.5,10441.0,2777.0
CL,8179.0,850.0,11340.0,17140.0,3015.0,8602.5,9387.5,0.0,19065.5,4251.0,12500.5,10250.5,13280.5,10710.0,11827.5,13110.0,10282.5,11640.0,11640.0,8595.0,12335.0,16335.0,11883.0,17240.0,11699.0,18430.0,9897.5,6570.0,16325.0,8615.0,11910.0,12293.5,9350.0,2465.0,17255.0,16370.0,12468.5,9920.0,14112.0,14097.5,12242.5,16312.5,8121.0,17140.0,13142.5,9970.0,13049.5,8045.0,18332.5,8182.5
CN,11617.0,19266.0,8965.0,3026.5,16980.0,10488.5,11312.5,19065.5,0.0,15302.0,7356.0,9130.0,7552.0,9215.0,8315.0,6314.0,9280.0,8215.0,8140.0,11445.0,7615.0,3780.0,8130.0,2100.0,9575.0,953.0,10311.0,12437.0,4350.0,10557.5,7824.0,6970.0,10430.0,16625.0,2850.0,3805.0,7175.0,9605.0,5796.0,6190.0,6712.0,4480.0,11935.0,3290.5,6440.0,9152.0,6450.0,11158.0,2330.0,11715.0
CO,9195.0,4685.0,14315.0,16514.5,3660.0,4535.0,9615.0,4251.0,15302.0,0.0,9391.0,8443.5,11100.0,8015.0,11652.5,9693.0,13067.5,8630.0,8500.0,8050.0,10257.5,15915.0,9350.0,14305.0,11606.0,14875.0,7582.5,3190.0,19773.0,8350.0,8825.0,8990.0,12557.0,1880.0,18115.0,15170.0,9632.0,7498.0,10905.0,12513.0,9527.5,19744.0,6125.0,17215.0,10777.5,10927.5,10253.5,3495.0,17562.5,10482.5
DE,6552.0,11900.0,16090.0,7128.5,9505.0,6140.0,6175.0,12500.5,7356.0,9391.0,0.0,1895.0,2891.5,1870.0,5350.0,1101.5,16180.0,878.0,932.0,5177.5,1801.0,5784.5,1184.0,8918.0,6330.0,8128.0,2621.0,9724.5,9600.0,4851.0,577.0,839.0,18142.0,11140.0,9742.0,5201.5,517.0,2310.0,1608.0,4151.0,810.0,9910.0,5025.0,8603.0,2030.0,6737.5,1120.0,6715.0,8291.0,8682.5
DZ,4815.0,9824.0,17275.0,8432.0,7718.5,6116.5,4825.0,10250.5,9130.0,8443.5,1895.0,0.0,2715.0,714.5,4879.0,3120.0,17932.5,1349.0,1660.0,2797.5,1704.0,6845.0,995.0,10415.0,5417.5,9970.0,917.0,9425.0,10497.5,2715.0,1732.0,2913.0,19567.5,9857.5,11418.5,6187.5,2270.0,1108.0,3480.0,4122.5,2991.5,10412.5,3170.0,9582.5,2727.5,5334.5,2829.0,6465.5,9666.0,7445.0
EG,5290.0,11800.0,14407.5,5261.5,9475.5,8530.5,4192.5,13280.5,7552.0,11100.0,2891.5,2715.0,0.0,3350.0,2471.0,3400.0,16515.0,3210.0,3510.0,4267.5,1110.0,4400.0,2130.0,9560.0,3515.0,8464.5,3435.0,12480.0,7916.5,3427.5,3288.0,3665.0,16152.5,12432.5,9087.5,3507.5,2620.0,3800.0,2900.0,1450.5,3429.5,8272.5,5180.0,7260.0,1101.5,3625.0,2273.0,9400.0,7860.0,6262.5
ES,5775.0,10030.0,17630.0,8259.5,7268.0,5686.0,5765.0,10710.0,9215.0,8015.0,1870.0,714.5,3350.0,0.0,5440.0,2948.0,17280.0,1053.0,1263.0,3893.5,2370.0,7271.5,1362.0,10765.0,5800.0,9990.0,557.0,9065.0,11064.0,3684.0,1481.0,2595.0,19855.0,9506.5,11640.0,6402.0,2290.0,503.0,3440.0,4797.5,2590.0,11387.0,3150.0,10188.0,3124.5,6257.5,2865.0,6111.5,10073.0,8029.0
ET,3498.5,10255.0,11690.0,6003.0,9167.5,11365.0,3024.0,11827.5,8315.0,11652.5,5350.0,4879.0,2471.0,5440.0,0.0,5945.0,15840.0,5595.0,5896.0,4235.0,3372.5,5029.0,4481.0,9709.0,1160.0,9292.0,5455.0,13970.0,7145.0,3465.0,5472.5,6097.5,14040.0,12890.0,9010.0,4244.5,5300.0,5570.0,5140.0,1957.0,5817.5,7371.5,6180.0,6997.5,3339.5,1453.0,4837.5,11560.0,7598.0,4357.5
FI,8032.5,12627.5,15194.5,6635.0,10407.5,6027.5,6952.5,13110.0,6314.0,9693.0,1101.5,3120.0,3400.0,2948.0,5945.0,0.0,15210.0,1910.0,1820.0,6362.5,2464.0,5228.0,2201.0,7822.0,7372.5,7047.5,3804.0,9538.5,8377.0,6037.5,1502.0,785.0,16765.0,11645.0,8293.5,4776.5,945.0,3364.0,895.0,4197.5,396.0,9261.0,6030.5,7899.0,2464.0,7412.5,1143.0,6940.0,7290.0,9613.5
FJ,15665.0,11600.0,3257.5,11390.0,14085.0,12047.5,16542.5,10282.5,9280.0,13067.5,16180.0,17932.5,16515.0,17280.0,15840.0,15210.0,0.0,16540.0,16290.0,18950.0,16501.5,11682.5,16887.5,7295.0,16427.5,8135.0,17400.0,9443.5,8477.5,18832.5,16260.0,15615.0,2617.5,10955.0,7177.5,12752.5,15662.5,17365.0,14542.5,14692.0,15602.5,8272.5,18962.5,8850.0,16099.0,15682.5,15495.0,12229.0,8182.5,14192.5
FR,6502.5,11082.0,16960.0,7906.0,8725.0,5647.0,6029.0,11640.0,8215.0,8630.0,878.0,1349.0,3210.0,1053.0,5595.0,1910.0,16540.0,0.0,343.0,4822.5,2098.0,6580.0,1107.0,9715.0,6480.0,8965.0,1814.0,9200.0,10408.0,4472.5,430.0,1343.0,18977.0,10260.0,10740.0,5908.0,1367.0,1453.0,2485.0,4675.0,1544.0,10740.0,4200.0,9443.0,2598.0,6714.0,2024.0,6164.0,9190.0,8690.0
