place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7773.411500000042,12048.124999999369,9926.383950004945,6458.3310000002475,10674.283928572988,546.3000000002793,8171.015757146964,11607.57274285813,9255.104499956951,6559.883499994887,4815.804333333524,5285.893499995657,5774.666666666667,3498.779875000066,8035.333333343554,15714.342929252924,6502.2,6830.0,2399.8000000001716,5468.166666650829,8581.13385715685,5777.208800075668,13582.184749999979,3165.833333333261,12438.397428571267,5559.724413935409,12021.091855538754,9362.00727178125,2199.120999667001,6827.236266666706,7605.75237499101,12594.350814290225,9844.999999998745,12334.166666669307,7505.604257141313,6687.500000000016,5779.9635222222105,7277.247533335353,5477.37590000018,7548.846728118685,10204.499999999705,4523.702344455805,10049.623957019488,5955.624999997949,2869.937342645395,6738.333333337489,10451.532066666854,10840.486356203617,2491.98292857144
AR,7773.411500000042,0.0,11814.874999999442,17134.98892936645,2340.25,8982.097833333344,7851.14850000021,850.6666666666666,19266.66666666665,4684.888888888889,11900.42857142857,9822.00000000098,11800.0,10030.142857142857,10266.450143326785,12626.250000000007,11585.813714288395,11083.484788888867,11113.333333333516,7445.255000932699,10489.663600002632,15904.965200035605,11143.965857160225,18375.0,9800.709666695513,19423.916142857262,9036.97799999553,7375.666666666667,15902.221055555026,8006.513928572683,11443.592033333334,11713.279625568632,10339.333333333352,3138.666666666649,19996.0,14967.346349986447,12231.511,9578.226714268334,13476.0,11969.990899735403,12190.402500217711,15871.375,6961.482599999963,17137.09999999756,11801.41647138224,9369.99999999803,12817.559422222223,8365.716442841498,17494.0,8115.666666666667
AU,12048.124999999369,11814.874999999442,0.0,9061.697966668087,13980.333333331922,16250.0,12562.853856443593,11340.428571426228,8964.35325,14311.811666666767,16090.666666666666,17292.23900051627,14405.948785740342,17630.333333333314,11752.813427905085,15189.125,3262.8178750006896,16959.88888888889,16916.60866666673,15821.647249978545,15315.53231433088,10149.572666669232,16314.7,7974.52175,12029.190499999773,8340.44478,17941.500000001175,13915.889366678844,6442.000000002552,14639.199999999271,16602.874424999896,15918.635399999976,2325.4444444427886,12817.388142862064,6268.749999930646,10626.474999568449,15605.125000000005,18065.833333333336,14470.107600018564,12691.548111111335,15598.982600000012,6074.518422225514,17253.74999999714,7360.800000000587,14383.655679999436,11215.71099999595,14915.142857142857,15983.303674999048,7745.125000000172,10281.30433333332
BD,9926.383950004945,17134.98892936645,9061.697966668087,0.0,15956.49999999859,11849.54213333341,8934.541785321007,17137.499999999654,3026.358211118477,16546.013228060423,7130.499233333498,8401.210957486637,5278.5154285680455,8254.399399999938,6026.916499998758,6628.326142637677,11389.785857140143,7907.100928571428,7997.500000000002,10050.750000004822,5993.499999999865,1423.6666666666667,7275.333333333351,4880.510179877507,6866.078228571453,3726.83012857142,9011.501055556286,15418.600000000164,2630.222222222222,8619.434500603105,7692.56883333327,7347.833333333878,11189.875899996941,17403.952166646122,3312.7499999950933,2024.6133571435155,6651.215800002399,8641.644499994205,5009.6719598544005,4332.01553333144,6912.902166666739,2895.285714285714,11696.875000008564,1540.0,5201.336749989234,6841.731999999917,6011.004025003273,12655.37499999948,1860.6666666667202,8433.767960484054
BR,6458.3310000002475,2340.25,13980.333333331922,15956.49999999859,0.0,6966.9779999882885,6856.461749997269,3017.403019984072,16979.110440000004,3660.0,9505.0,7670.124999995928,9484.240150000416,7267.635400000004,9153.32633333573,10404.166666671646,14045.657333322268,8725.5,8775.7,5596.250000000028,9526.666666666546,14200.895166671127,8725.0,17376.603249999924,8370.00000000189,18130.125,7065.833333348187,6844.258699991111,16387.281214288367,6162.068285714477,9198.145014285768,9537.780111112328,11894.811928572346,3170.8888888888887,18423.619500000295,13985.198625371359,9915.220428839342,7290.0,11179.57142857143,10667.720375004046,10076.999071427594,16680.999999999127,4995.895340001814,16740.0,10143.25335714642,8497.033555558419,10137.501171521235,6738.011599999993,16995.628124992018,7461.561499998018
CA,10674.283928572988,8982.097833333344,16250.0,11849.54213333341,6966.9779999882885,0.0,10266.666666641859,8599.704999999685,10483.596756914816,4534.333333333333,6139.006959999998,6112.749999997811,8539.499999999638,5685.166666666558,11368.250257143613,6035.666666666575,12066.430833324806,5647.551624999987,5379.810242857117,8120.446485714098,7628.438514285713,11150.975142857287,6722.954366666456,10314.6,11740.300071427033,10465.889560000003,5669.833333333303,3628.232342856769,14800.0,8587.55848599873,5637.249999977818,5471.487460249696,14392.201722222293,6182.576055555563,13132.366385404723,10762.302600001405,6533.462900000143,5281.491874999878,7142.470499999955,9899.464214003789,5907.733966666208,14840.177499999962,6282.748888888232,13638.555856972882,7853.235166667654,12114.16666666571,7262.166666665443,732.1111111111111,12588.460775651016,12821.31866666579
CD,546.3000000002793,7851.14850000021,12562.853856443593,8934.541785321007,6856.461749997269,10266.666666641859,0.0,9351.576785704296,11293.125000000337,9608.333333319972,6170.2111428575,4817.500000001128,4193.117999966231,5761.782666668152,3020.559328571338,6982.105855546187,16595.313287204208,6028.275771428572,6375.25,1933.96735713749,4881.875000001347,8115.578085730782,5420.103249999975,12831.965928574007,2415.1111111111113,12119.158142857179,4842.19257142871,12422.637333333596,9669.051214395451,1696.0665333357715,6206.49266666459,6910.799642858109,14161.9205555819,10081.833333333187,11602.246333332738,7167.801266680828,6189.036333333294,5772.075399999139,6921.897571428569,4718.586157143706,6983.333333334624,10254.49999998433,4200.5,9648.806625000294,5113.065400003438,2015.55036001391,6122.481124996535,10151.067555555195,10445.769628572052,2777.5000000000014
CL,8171.015757146964,850.6666666666666,11340.428571426228,17137.499999999654,3017.403019984072,8599.704999999685,9351.576785704296,0.0,19065.375,4251.0,12500.264499999937,10251.166666673813,13249.489300000876,10709.510439981,11758.03742920792,13101.104400109605,10396.553944430709,11640.0,11641.87499999207,8596.5064285631,12324.829833335054,16333.333333333316,11883.42857142857,17240.0,11671.596966664758,18429.33333333335,9918.021857143794,6570.833333333585,16340.456333333288,8625.007314281836,11914.665499999996,12281.700000000643,9348.525525000005,2464.5714285714284,17263.119500044562,16368.116500000453,12442.249999997995,9928.876666669412,14112.0,14091.687928412517,12264.463666669099,16311.874999999995,8107.375000002932,17164.521122216567,13141.1136666638,9995.448125004927,13047.41324999686,8045.401557142852,18276.10328571482,8198.370866663083
CN,11607.57274285813,19266.66666666665,8964.35325,3026.358211118477,16979.110440000004,10483.596756914816,11293.125000000337,19065.375,0.0,15298.907420000156,7356.0,9132.17699999998,7551.909800000033,9215.0,8314.5552200095,6313.017400000005,9270.83333333279,8215.0,8140.2,11443.333333333336,7614.333333333351,3780.6666666666665,8130.0,2099.8888888888887,9576.965199964563,953.1111111111111,10311.267399999986,12436.741300000003,4349.571428571428,10552.84635738132,7824.0,6966.8820000009355,10419.069600000095,16624.87065,2850.1428571428573,3813.217333333324,7154.999999999722,9605.666666666833,5796.0,6189.555220009495,6711.714285714285,4480.0,11933.621142855716,3290.8333333333335,6385.696000007638,9173.246128564233,6450.0,11156.8139199747,2330.1,11715.333333333334
CO,9255.104499956951,4684.888888888889,14311.811666666767,16546.013228060423,3660.0,4534.333333333333,9608.333333319972,4251.0,15298.907420000156,0.0,9391.574633333294,8436.85780010043,11101.586500032527,8015.6,11668.495400000356,9713.307833335533,13105.477666631768,8629.888888888889,8499.888888888889,8044.862299649843,10256.813919999731,15924.365833333564,9350.0,14304.396750000007,11584.499999999356,14876.607499999996,7595.499999999219,3190.9999999995052,19772.53915000031,8328.695555553748,8825.1,9025.125000003574,12598.000000000036,1880.125,18018.07880001345,15166.500000000267,9634.000000000007,7494.833333332913,10905.25,12508.417971429182,9525.110214419576,19744.333333333496,6085.551833838703,17232.776424999964,10781.666666667626,10952.161666661681,10252.000000000155,3496.1032499999656,17571.666666654794,10467.306071421815
