place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7780.0,11762.0,10085.25,6184.5,10762.0,551.5,8661.5,11625.0,9143.5,6571.0,4826.5,5285.0,5784.0,3510.5,7847.5,16585.0,6503.5,6830.0,2409.0,5489.0,8411.5,5490.0,13560.0,3170.5,12405.0,5547.5,12156.5,9956.75,2310.5,6849.5,7599.0,12512.75,9834.0,12312.0,7805.0,6893.5,5785.0,7561.0,5356.5,7623.5,10332.0,4873.5,10160.5,5934.0,2850.5,6652.5,10523.0,10588.5,2490.0
AR,7780.0,0.0,11800.0,17027.5,2348.0,8977.5,7872.5,1138.0,19270.0,4682.5,11910.0,9817.5,11800.0,10065.0,10215.0,12630.5,11468.5,11086.0,11130.0,7766.5,11130.0,15900.0,11150.0,18350.0,10034.5,19430.0,9440.5,7380.0,15920.0,8092.5,11442.0,11786.5,10317.0,3138.0,19996.0,15199.0,12234.0,9584.5,13476.0,12455.0,12225.0,15880.0,6965.0,17045.0,11914.5,9427.0,12818.0,8370.0,19215.0,8115.0
AU,11762.0,11800.0,0.0,9118.5,14100.0,16248.0,13187.5,11340.0,8965.0,14311.0,16094.0,17064.0,14391.0,17640.0,11852.0,15201.5,3266.0,16960.0,16910.0,15650.0,15314.0,10342.5,16315.0,7973.0,11952.5,8341.0,17825.0,13404.5,6485.5,14713.5,16600.0,15919.0,2326.0,12800.0,6117.5,10554.0,15600.0,18037.0,14470.0,12625.0,15615.0,6016.5,17399.5,7303.6,14418.0,11413.5,14915.0,16007.5,7745.0,10260.0
BD,10085.25,17027.5,9118.5,0.0,16197.0,12024.0,9349.0,17082.5,3025.0,16638.0,7175.5,8366.5,5691.0,8236.0,5965.0,6701.5,11587.5,7907.0,8002.5,10030.0,6263.5,1424.0,7277.75,4902.0,6898.5,3715.0,9108.0,15751.0,2630.0,8870.0,7714.0,7427.5,11736.5,17181.5,3379.0,1899.0,6844.6,8464.0,4917.0,4517.0,7159.0,2895.5,12382.5,1540.0,5457.0,6884.5,6133.0,12630.0,1863.5,8382.5
BR,6184.5,2348.0,14100.0,16197.0,0.0,6847.5,6842.5,3013.5,16895.0,3660.0,9514.5,7593.5,9790.0,7263.0,9162.5,10420.0,14053.0,8726.0,8775.0,5585.0,9499.5,14195.0,8724.5,17377.5,8315.0,18327.5,7105.0,6847.5,16180.0,6484.0,9226.5,9479.5,12100.0,3170.0,18557.5,13771.5,9860.0,7290.0,11180.0,10960.0,9905.0,16697.5,5031.5,16740.0,10270.0,8587.5,10217.0,6740.0,17300.0,7439.0
CA,10762.0,8977.5,16248.0,12024.0,6847.5,0.0,10530.5,8605.5,10520.5,4534.5,6140.0,6149.5,8690.0,5683.5,11485.0,6133.5,12542.0,5650.0,5387.5,8394.0,7627.5,11150.0,6726.5,10314.0,11896.0,10465.0,5713.0,3616.0,14797.5,8845.0,5640.5,5697.0,14440.5,6177.5,13210.0,10817.5,6530.0,5316.0,7141.5,10185.0,5953.0,14862.5,6347.5,13644.0,7883.25,12195.0,7293.5,732.0,12460.0,12890.5
CD,551.5,7872.5,13187.5,9349.0,6842.5,10530.5,0.0,9173.5,11391.5,9661.0,6168.35,4679.0,4200.0,5552.5,3025.0,7190.0,16307.5,6029.0,6377.0,2100.5,4880.0,8316.0,5415.0,13503.0,2415.0,11988.75,4853.0,12207.0,9967.5,1668.5,6231.0,7203.0,14529.25,10285.0,12047.5,7267.5,6170.0,5727.5,6930.0,4817.5,6921.0,10202.0,4839.0,9665.0,5211.0,2140.0,6112.5,10341.0,10489.25,2775.0
CL,8661.5,1138.0,11340.0,17082.5,3013.5,8605.5,9173.5,0.0,19063.5,4252.0,12495.0,10286.0,12883.0,10710.0,11967.5,13220.0,10987.5,11640.0,11645.0,8785.0,12117.5,16349.0,11883.0,17240.0,11508.5,18415.0,10108.0,6590.0,16317.5,8870.5,11895.0,12177.5,9346.5,2465.0,17112.5,16352.5,12676.5,9877.0,14115.0,14115.0,12310.0,16316.5,8444.0,17105.5,13068.5,10794.75,13050.0,8049.0,18745.0,8697.5
CN,11625.0,19270.0,8965.0,3025.0,16895.0,10520.5,11391.5,19063.5,0.0,14945.0,7355.5,9136.0,7560.0,9215.0,8317.5,6307.0,9194.5,8215.0,8140.0,11420.0,7614.5,3790.0,8130.0,2100.0,9582.5,953.0,9795.0,12440.0,4350.0,10577.5,7824.0,6969.0,10410.0,16624.0,2850.0,3855.0,6950.0,8684.0,5796.0,6194.0,6712.0,4480.0,11785.0,3292.0,7487.5,9582.75,6450.0,11158.0,2330.0,11715.0
CO,9143.5,4682.5,14311.0,16638.0,3660.0,4534.5,9661.0,4252.0,14945.0,0.0,9404.2,8473.0,11520.5,8030.0,11899.0,9671.5,13545.0,8625.0,8500.0,8256.5,10212.5,14781.5,9347.5,14312.0,11609.0,14867.5,7637.5,3160.0,19760.0,8565.0,8823.5,8911.0,12485.5,1880.0,17498.5,15133.5,9711.0,7493.0,10904.0,12462.5,9528.5,19738.0,6820.0,17627.5,10810.0,11511.5,10277.0,3501.0,17327.5,10799.5
DE,6571.0,11910.0,16094.0,7175.5,9514.5,6140.0,6168.35,12495.0,7355.5,9404.2,0.0,1925.0,2890.0,1870.0,5350.0,1101.0,16209.0,878.0,932.0,5230.0,1801.0,5782.0,1184.0,8918.0,6340.0,8130.0,2626.0,9550.0,9595.0,4871.0,577.5,839.0,18145.5,11130.0,9742.0,5230.0,517.0,2311.0,1609.0,4261.5,810.0,9910.0,5027.0,8602.5,2033.0,6910.0,1122.5,6715.0,8314.0,8733.0
DZ,4826.5,9817.5,17064.0,8366.5,7593.5,6149.5,4679.0,10286.0,9136.0,8473.0,1925.0,0.0,2716.0,715.5,4811.5,3106.5,17727.5,1348.0,1660.0,2741.5,1670.5,6739.5,995.0,10420.0,5386.5,9961.0,915.0,9498.0,10338.0,2837.5,1733.0,2853.0,19330.0,9835.5,11578.0,6390.75,2221.5,1116.5,3480.0,3945.0,2895.0,10410.0,3168.5,9637.0,2638.5,5257.5,2746.0,6478.5,9440.5,7465.0
EG,5285.0,11800.0,14391.0,5691.0,9790.0,8690.0,4200.0,12883.0,7560.0,11520.5,2890.0,2716.0,0.0,3350.5,2470.0,3399.5,16405.0,3210.0,3510.0,4270.0,1110.0,4400.0,2130.0,9560.0,3515.0,8480.0,3434.0,12461.0,7926.0,3435.0,3289.0,3670.5,16475.0,12450.0,8356.5,3440.5,2620.0,3801.5,2900.5,1611.0,3430.0,8285.5,5361.0,7269.5,1104.5,3695.0,2273.5,9417.5,7830.5,6275.5
ES,5784.0,10065.0,17640.0,8236.0,7263.0,5683.5,5552.5,10710.0,9215.0,8030.0,1870.0,715.5,3350.5,0.0,5431.5,2948.0,17300.0,1053.0,1263.0,3894.5,2228.0,7281.0,1363.0,10765.0,5790.0,9991.0,562.5,9064.0,11065.0,3736.5,1481.0,2593.5,19855.0,9508.0,11640.0,6548.25,2290.0,502.5,3440.0,4786.5,2590.0,11365.5,2943.0,10189.0,2995.0,6210.0,2865.0,6112.5,10087.5,8002.5
ET,3510.5,10215.0,11852.0,5965.0,9162.5,11485.0,3025.0,11967.5,8317.5,11899.0,5350.0,4811.5,2470.0,5431.5,0.0,5782.5,15960.0,5590.0,5900.0,4247.5,3524.5,5216.5,4482.0,9714.5,1162.0,9250.0,5378.0,14192.5,7314.0,3470.0,5476.0,5898.5,14134.0,12585.0,8942.5,4399.0,5383.5,5749.5,5140.5,1948.5,5847.5,7362.5,6180.0,7160.0,3360.0,1665.25,4752.5,11561.0,7390.5,4424.5
FI,7847.5,12630.5,15201.5,6701.5,10420.0,6133.5,7190.0,13220.0,6307.0,9671.5,1101.0,3106.5,3399.5,2948.0,5782.5,0.0,15285.0,1910.0,1820.0,6212.5,2464.0,5229.0,2202.0,7823.0,7246.5,7041.0,3814.0,9481.5,8375.5,5842.5,1502.0,785.0,16842.0,11657.0,8295.0,4811.0,940.0,3365.0,893.0,4248.5,396.0,9265.0,6079.5,7900.0,2466.5,7406.5,1144.0,6930.0,7289.0,9660.5
