place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7779.25,11778.875,9999.25,6191.875,10773.375,552.0,8689.875,11627.5,9108.125,6562.375,4823.75,5284.875,5855.875,3656.375,7884.875,16528.375,6503.075,6830.375,2409.0,5484.25,8392.0,5586.125,13574.125,3175.0,12421.125,5540.25,12162.5,9912.5,2322.875,6853.375,7566.0,12449.037499999999,9900.5,12291.0,7798.25,6868.25,5784.25,7518.0,5364.0,7642.625,10384.8125,4848.875,10171.15,5979.5,2880.375,6685.25,10504.75,10617.375,2490.5
AR,7779.25,0.0,11808.0,17052.625,2347.75,8980.125,7915.125,1138.0,19270.25,4679.625,11913.125,9819.0,11803.75,10066.25,10260.375,12632.625,11470.25,11088.25,11131.25,7687.75,11119.875,15900.0,11147.5,18350.0,9928.875,19430.0,9429.375,7382.5,15916.875,8104.375,11442.125,11761.75,10317.375,3138.375,19988.875,15178.125,12249.0,9584.625,13476.0,12673.875,12228.75,15880.875,6966.0,17039.0,11974.75,9374.875,12818.375,8372.5,18892.666666666668,8117.625
AU,11778.875,11808.0,0.0,9105.75,14153.125,16242.875,13149.5,11342.5,8965.625,14303.625,16097.375,17031.25,14392.75,17639.25,11841.5,15202.375,3270.0,16960.0,16915.25,15701.875,15316.5,10320.25,16314.875,7973.5,11925.75,8341.0,17819.5,13364.25,6463.0,14777.125,16600.0,15925.125,2326.375,12796.625,6063.875,10556.875,15601.375,17975.0,14469.0,12678.375,15611.5,6024.0,17348.25,7297.775,14407.25,11396.25,14914.0,16012.875,7742.375,10272.375
BD,9999.25,17052.625,9105.75,0.0,16357.5,12009.4375,9322.4,17082.125,3025.25,16665.5,7177.1875,8402.162499999999,5697.625,8225.625,5969.125,6683.75,11572.0,7907.4375,7999.0625,9993.625,6245.625,1423.625,7276.6875,4864.875,6896.125,3715.375,9102.875,15417.5,2631.125,8878.25,7723.0,7422.0625,11706.075,17176.25,3391.375,1899.0,6837.4,8527.5,4921.375,4573.25,7160.625,2895.5,12338.525,1540.0,5464.75,6922.625,6099.3125,12632.25,1865.25,8400.125
BR,6191.875,2347.75,14153.125,16357.5,0.0,6841.5625,6885.25,2944.375,16916.875,3660.25,9517.3125,7649.125,9746.0,7283.375,9163.25,10376.0,13998.875,8726.0,8775.125,5592.75,9497.0,14188.375,8723.125,17377.375,8278.0,18318.75,7110.1375,6847.5,16205.625,6532.625,9225.125,9450.375,12088.25,3170.375,18729.375,13736.875,9879.25,7290.375,11180.0,10931.5,9920.625,16544.375,5045.5,16765.0,10192.625,8590.625,10204.625,6739.625,17298.375,7411.875
CA,10773.375,8980.125,16242.875,12009.4375,6841.5625,0.0,10610.75,8602.5,10499.375,4531.125,6140.0,6188.25,8666.5,5684.0,11481.375,6127.375,12562.125,5651.5,5386.375,8382.5,7626.875,11155.0,6737.0,10313.875,11878.75,10463.5,5702.875,3615.25,14804.375,8854.75,5642.75,5707.375,14453.875,6179.5,13216.625,10819.0,6526.35375,5313.375,7136.5,10192.625,5966.125,14863.5,6315.375,13650.375,7880.4375,12265.925,7292.625,732.75,12502.5,12878.875
CD,552.0,7915.125,13149.5,9322.4,6885.25,10610.75,0.0,9207.125,11414.875,9676.75,6151.5875,4676.75,4195.75,5566.625,3028.75,7191.75,16423.75,6028.5,6376.875,2106.25,4864.125,8321.8125,5410.375,13434.0,2415.0,12033.0625,4853.625,12287.375,9977.375,1671.4375,6239.75,7196.625,14422.0,10273.5,12059.75,7298.0,6169.875,5715.75,6921.5,4725.25,6912.125,10263.5625,4703.375,9643.8375,5210.25,2123.125,6090.546249999999,10354.75,10514.375,2776.0
CL,8689.875,1138.0,11342.5,17082.125,2944.375,8602.5,9207.125,0.0,19063.125,4251.25,12495.5,10266.75,12920.125,10711.25,12027.5,13312.875,10969.625,11640.0,11644.375,8812.75,12137.875,16516.625,11884.125,17240.0,11524.75,18383.75,10061.625,6590.625,16359.125,8877.625,11889.25,12173.0,9347.25,2465.0,17176.0,16394.875,12662.25,9874.875,14115.25,14037.375,12331.125,16322.625,8405.75,16964.625,13016.25,10800.625,13135.525,8046.5,18453.1875,8714.875
CN,11627.5,19270.25,8965.625,3025.25,16916.875,10499.375,11414.875,19063.125,0.0,14940.625,7353.75,9113.375,7553.875,9215.0,8317.375,6307.25,9195.25,8215.0,8140.0,11354.375,7614.25,3788.25,8130.0,2100.0,9584.875,952.625,9886.875,12438.125,4348.25,10600.375,7824.75,6936.0,10388.75,16618.125,2850.625,3858.375,6950.0,8684.375,5795.25,6192.0,6712.625,4480.0,11802.125,3292.375,7336.875,9568.1875,6450.0,11158.5,2330.375,11715.0
CO,9108.125,4679.625,14303.625,16665.5,3660.25,4531.125,9676.75,4251.25,14940.625,0.0,9400.475,8469.1875,11515.875,8030.0,11851.75,9691.75,13571.875,8626.25,8499.875,8231.125,10201.0,14785.75,9346.375,14309.0,11634.75,14868.125,7635.5,3160.0,19756.875,8523.875,8821.75,8894.375,12451.625,1880.375,17495.125,15093.375,9743.0,7494.375,10904.0,12457.25,9543.625,19566.625,6787.375,17582.125,10817.25,11490.75,10288.0625,3560.125,17319.75,10753.5
DE,6562.375,11913.125,16097.375,7177.1875,9517.3125,6140.0,6151.5875,12495.5,7353.75,9400.475,0.0,1916.5,2890.75,1870.0,5350.625,1101.25,16220.25,878.0,932.0,5232.875,1801.0,5780.875,1183.0,8917.5,6339.5,8130.0,2623.375,9594.125,9596.125,4871.125,577.5,839.0,18141.875,11130.5,9741.5,5225.0,517.25,2311.125,1609.0,4233.0,810.0,9910.625,5026.625,8602.625,2032.75,6906.25,1134.125,6715.0,8315.375,8723.375
DZ,4823.75,9819.0,17031.25,8402.162499999999,7649.125,6188.25,4676.75,10266.75,9113.375,8469.1875,1916.5,0.0,2715.125,715.5,4815.875,3094.5,17825.75,1348.25,1660.0,2747.75,1669.625,6763.375,988.625,10416.125,5387.75,9963.125,915.375,9503.5,10333.3125,2843.875,1732.625,2849.275,19358.75,9781.875,11645.625,6331.6875,2223.875,1115.875,3444.0,3964.25,2912.75,10402.975,3167.0,9621.75,2629.875,5256.5875,2733.75,6476.45,9450.5,7461.5
EG,5284.875,11803.75,14392.75,5697.625,9746.0,8666.5,4195.75,12920.125,7553.875,11515.875,2890.75,2715.125,0.0,3434.0,2470.0,3399.75,16421.625,3210.0,3510.0,4268.75,1110.25,4400.0,2130.0,9561.0,3515.375,8477.875,3433.875,12428.5,7847.3125,3433.625,3287.125,3669.75,16409.25,12453.75,8622.5,3441.25,2619.75,3800.125,2900.5,1570.75,3427.5,8280.0,5357.25,7272.25,1105.8125,3702.75,2274.25,9420.5,7745.625,6277.5
ES,5855.875,10066.25,17639.25,8225.625,7283.375,5684.0,5566.625,10711.25,9215.0,8030.0,1870.0,715.5,3434.0,0.0,5427.25,2948.25,17318.75,1053.0,1263.25,3894.0,2281.375,7272.25,1362.625,10765.0,5792.5,9991.5,564.5,9064.125,11064.125,3721.75,1481.0,2593.375,19855.0,9507.625,11640.0,6524.6875,2290.0,502.5,3440.0,4785.375,2590.0,11373.125,2994.25,10188.25,3011.25,6181.875,2865.0,6109.25,9975.125,7995.125
