id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7778.5,7780.0,7779.25,7778.833333333234,9.119576013536301,83.16666666666666,7760.0,7791.0,7775.75,7780.0,4.25,3.5,0.0011724080495643507,3,0,7772.7,7783.4,1.2572807255946827,-1.2572807255946827,-0.00016160924823575213,-0.0001616223084173908
AO--AU,AO,AU,13288.474497523322,10,11779.0,11762.0,11778.875,11778.874999737238,103.98611018357745,10813.11111111111,11603.0,11956.0,11740.0,11850.0,110.0,83.0,0.008828093232326806,0,0,11720.8975,11841.4175,1509.4744975233225,-1509.4744975233225,-0.1135927602378027,-0.12057879542071552
AO--BD,AO,BD,9121.283483960526,10,9991.2,10085.25,9999.25,10015.356677346,325.20883888493694,105760.78888888887,9483.0,10435.0,9802.625,10177.75,375.125,251.25,0.03254952747266964,0,0,9800.5975,10173.226250000002,869.916516039475,869.916516039475,0.0953721608991974,0.091094178492034
AO--BR,AO,BR,6675.278533941141,10,6226.0,6184.5,6191.875,6185.837819987975,114.93379736951954,13209.777777777776,6175.0,6550.0,6184.0,6196.75,12.75,3.5,0.018460295112354568,2,0,6183.5,6301.4275,449.2785339411412,-449.2785339411412,-0.06730483704263997,-0.06967685932756804
AO--CA,AO,CA,10620.756402433968,10,10775.7,10762.0,10773.375,10768.274642067618,238.51673596067286,56890.23333333334,10385.0,11185.0,10621.75,10915.5,293.75,162.5,0.022134686002827923,0,0,10632.855,10900.5025,154.94359756603262,154.94359756603262,0.014588753540239757,0.014483361464771463
AO--CD,AO,CD,549.1026827702303,10,551.5,551.5,552.0,551.9950285812486,3.719318934070233,13.833333333333334,543.0,556.0,550.0,554.0,4.0,2.0,0.0067440053201636135,1,0,549.0975,553.3,2.397317229769669,2.397317229769669,0.0043658814735254466,0.004356378661732115
AO--CL,AO,CL,8913.64308220524,10,8696.7,8661.5,8689.875,8690.40549999153,327.8316132813714,107473.56666666665,8118.0,9330.0,8562.5,8888.5,326.0,177.5,0.03769609314813336,0,0,8517.585000000001,8885.625,216.94308220524,-216.94308220524,-0.024338318261624643,-0.02463939022487203
AO--CN,AO,CN,11758.580047473492,10,11628.5,11625.0,11627.5,11628.499999999709,40.48662330531736,1639.1666666666667,11585.0,11680.0,11590.0,11668.75,78.75,37.5,0.0034816720389833048,0,0,11604.9875,11653.5,130.0800474734915,-130.0800474734915,-0.011062564267820856,-0.011124209489673789
AO--CO,AO,CO,9801.95415219586,10,9126.4,9143.5,9108.125,9106.940714276983,291.27352551625194,84840.26666666666,8737.0,9662.0,8895.25,9266.0,370.75,225.0,0.03191548973486281,0,0,8961.5425,9301.225,675.5541521958603,-675.5541521958603,-0.06892035421778839,-0.07141045672589516
AO--DE,AO,DE,6798.792115651933,10,6587.4,6571.0,6562.375,6562.374999998791,114.10735685699187,13020.488888888889,6490.0,6885.0,6517.5,6607.5,90.0,44.0,0.0173220628559055,1,0,6533.597500000001,6663.3225,211.39211565193364,-211.39211565193364,-0.03109259881108504,-0.03158623286618413
AO--DZ,AO,DZ,5158.666122203358,10,4824.7,4826.5,4823.75,4823.927044444445,11.076000080253602,122.67777777777779,4812.0,4845.0,4814.0,4830.0,16.0,9.0,0.0022956867950864514,0,0,4818.5,4831.5025,333.9661222033583,-333.9661222033583,-0.06473885192258098,-0.06692948593460582
