place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7777.0,12041.0,10017.0,6642.5,10806.0,547.0,8440.5,11662.5,9253.0,6499.9,4821.0,5283.5,6491.5,3502.9,8021.7,15932.5,6500.5,6830.0,2412.5,5707.5,9165.0,5866.5,13717.5,3171.0,12550.0,5623.5,11870.0,9857.5,2693.0,6840.3,7474.3,12793.0,10097.0,12600.0,7879.5,6780.5,5830.5,8239.2,5701.5,7852.4,10255.0,3551.9,10263.5,6134.5,2581.0,6659.0,10573.0,10716.5,2489.5
AR,7777.0,0.0,11639.0,17072.5,2342.3,8971.5,8109.5,1137.8,19270.7,4659.0,11916.0,9798.5,11800.0,10037.5,10524.5,12646.5,11419.0,11068.0,11104.5,7260.5,11496.0,15893.0,11150.0,18352.0,10389.0,19430.0,9560.0,7386.0,15874.0,8015.5,11444.5,11855.0,10318.0,3140.0,19931.5,15473.0,12323.5,9591.0,13475.8,11628.0,12080.0,15864.0,6951.0,17148.5,11939.5,9429.0,12814.0,8387.0,17515.0,8125.5
AU,12041.0,11639.0,0.0,8903.5,13927.5,15831.0,12707.5,11340.0,8961.0,14369.0,16090.0,17352.5,14421.5,17643.0,11854.0,15200.5,3331.5,16944.0,17009.5,15670.5,15308.5,10393.5,16322.0,7964.5,11779.5,8334.0,18062.5,13882.0,6378.0,15005.5,16606.0,15819.5,2328.0,13043.5,6168.5,10671.5,15598.5,18111.5,14467.5,12572.5,15598.3,6006.0,17702.5,7133.5,14415.5,11083.5,14925.0,15920.0,7736.5,10483.5
BD,10017.0,17072.5,8903.5,0.0,15771.5,12468.0,9085.5,17101.5,3027.5,16519.5,7087.0,8692.2,5375.5,8256.0,6313.0,6719.0,11717.0,7903.7,8001.5,10391.0,6172.0,1423.4,7267.9,4660.0,6773.5,3711.5,9596.0,15907.0,2630.0,9117.0,7732.0,7290.5,11407.0,18135.5,3368.5,1933.5,6784.8,9251.5,5591.5,4352.5,7050.0,2895.6,12293.0,1540.0,5341.5,6633.0,6324.5,12661.5,1827.5,8596.5
BR,6642.5,2342.3,13927.5,15771.5,0.0,7314.5,6751.0,2950.5,17304.0,3660.8,9500.0,8245.5,9613.5,7433.7,9478.0,10862.0,13525.5,8730.0,8770.0,5592.0,9512.5,14430.5,9202.0,17650.0,9132.5,18325.5,7262.0,6840.0,15709.0,6527.5,9243.5,9750.0,12067.5,3170.5,18683.0,13922.0,10095.5,7293.2,11170.0,11111.0,10392.0,16585.0,4936.5,16849.0,10559.0,9200.5,10680.0,6735.8,17441.5,7775.0
CA,10806.0,8971.5,15831.0,12468.0,7314.5,0.0,10268.5,8769.5,10552.0,4536.0,6127.1,6421.5,9011.0,5680.5,11453.5,6065.0,12621.0,5650.0,5340.1,8654.0,7633.0,11236.0,6722.0,10314.5,11844.0,10550.5,5667.0,3538.5,14800.0,9009.5,5638.0,5560.0,14431.5,6270.3,13206.5,10682.5,6631.9,5277.0,7115.4,10379.5,5902.5,14830.5,6433.5,13621.5,8120.0,12377.5,7278.0,731.3,12750.5,12970.0
CD,547.0,8109.5,12707.5,9085.5,6751.0,10268.5,0.0,9596.0,11476.5,9552.0,6061.0,4522.5,4200.5,5481.5,3026.0,6838.0,16515.5,6034.5,6376.5,1935.0,4878.5,8526.0,5386.0,13542.0,2408.5,12286.0,4858.0,12184.0,9817.5,1838.0,6400.5,6954.0,14592.0,10099.0,12254.0,7214.0,6099.0,5740.5,6642.0,4661.0,6898.0,10370.5,4199.5,9838.0,5089.5,1970.4,6023.0,10293.5,10511.0,2777.5
CL,8440.5,1137.8,11340.0,17101.5,2950.5,8769.5,9596.0,0.0,19056.0,4250.0,12390.0,10483.5,13253.0,10702.0,11916.5,13405.0,9670.5,11648.0,11646.5,8685.5,12466.0,16334.0,11888.0,17240.0,11394.5,18359.0,9940.5,6596.0,16991.5,8999.0,11862.3,12399.5,9365.0,2465.0,17293.5,15833.5,12703.0,10206.0,14115.5,13903.0,12464.0,16345.3,8437.0,17600.0,13138.0,10669.5,13034.0,8048.5,18272.5,9222.8
CN,11662.5,19270.7,8961.0,3027.5,17304.0,10552.0,11476.5,19056.0,0.0,14964.5,7351.0,9172.5,7550.0,9230.0,8323.5,6304.7,9390.0,8215.0,8140.0,11607.0,7604.0,3789.0,8130.0,2100.0,9551.0,950.5,10369.0,12453.0,4347.0,10768.0,7826.4,6863.0,10537.0,16629.4,2850.0,3850.5,6950.0,9528.5,5790.0,6153.0,6707.8,4480.0,11828.5,2995.7,6616.5,9728.0,6450.0,11150.8,2330.0,11839.5
CO,9253.0,4659.0,14369.0,16519.5,3660.8,4536.0,9552.0,4250.0,14964.5,0.0,9357.5,8559.0,11817.0,8029.0,11903.0,9813.5,13544.0,8630.0,8498.0,8077.5,10265.5,15165.5,9347.1,14304.2,11890.0,14859.0,7651.5,3160.0,19436.5,8774.5,8827.5,9177.0,12465.0,1880.2,17551.0,14998.5,9811.5,7550.5,10903.0,12613.5,9492.5,19766.0,6501.5,17489.5,11054.0,11608.5,10410.0,3815.5,18010.5,10685.0
DE,6499.9,11916.0,16090.0,7087.0,9500.0,6127.1,6061.0,12390.0,7351.0,9357.5,0.0,1745.3,2890.0,1870.0,5349.5,1100.9,16150.5,878.0,931.8,5214.5,1800.9,5918.1,1184.6,8918.2,6356.5,8130.0,2598.7,9724.6,9597.0,4807.2,577.0,840.0,18177.0,11193.0,9732.5,5293.2,517.2,2314.5,1608.0,4285.0,810.0,9911.0,5028.0,8920.5,2029.0,6745.5,1204.2,6715.0,8296.3,8768.5
DZ,4821.0,9798.5,17352.5,8692.2,8245.5,6421.5,4522.5,10483.5,9172.5,8559.0,1745.3,0.0,2708.5,715.0,4657.5,3143.4,18314.0,1299.2,1408.2,2762.0,1886.0,6969.0,997.5,10392.5,5103.0,10183.0,915.7,9379.0,10588.5,2810.0,1733.7,2880.0,19164.0,9719.5,12146.0,6554.5,2321.0,1130.5,3393.0,3833.5,2975.5,10941.5,3170.0,10163.5,2730.5,5212.3,2766.0,6334.5,10245.5,7478.5
EG,5283.5,11800.0,14421.5,5375.5,9613.5,9011.0,4200.5,13253.0,7550.0,11817.0,2890.0,2708.5,0.0,3350.0,2470.8,3391.0,16433.0,3210.0,3510.0,4230.5,1109.5,4416.5,2130.0,9559.0,3514.0,8493.0,3476.0,12367.0,7957.0,3446.5,3285.6,3663.4,16512.5,12304.0,9237.0,3890.5,2873.5,3766.5,2900.0,1482.5,3429.0,8267.0,5209.5,7259.5,1098.0,3697.5,2271.3,9429.0,8032.0,6263.5
ES,6491.5,10037.5,17643.0,8256.0,7433.7,5680.5,5481.5,10702.0,9230.0,8029.0,1870.0,715.0,3350.0,0.0,5585.0,2950.0,17574.5,1052.8,1263.6,3891.5,2363.6,7261.5,1364.2,10768.0,6425.0,9988.0,762.9,9064.5,11063.5,3738.0,1480.1,2593.4,19855.0,9502.6,11648.5,6801.0,2290.5,502.8,3440.0,4878.1,2590.0,11381.0,3150.7,10187.5,2595.5,6417.5,2865.0,6110.5,10087.4,8047.5
