place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7776.875,12028.75,9986.875,6643.125,10826.25,547.5,8439.375,11611.875,9240.625,6499.875,4821.875,5284.375,6491.875,3503.0,8013.375,15905.0,6500.0,6830.0,2408.125,5717.5,9201.25,5861.875,13715.625,3170.625,12541.875,5638.125,11848.125,9861.875,2715.0,6841.0,7486.625,12774.375,10133.75,12623.75,7863.75,6770.625,5834.375,8220.25,5705.625,7858.0,10224.375,3468.0,10261.875,6148.75,2575.0,6653.75,10571.25,10664.375,2490.0
AR,7776.875,0.0,11618.75,17071.875,2341.625,8971.875,8126.25,1137.875,19270.25,4660.0,11916.25,9799.375,11800.0,10036.875,10543.75,12646.875,11493.125,11068.75,11102.5,7219.375,11500.0,15897.5,11150.0,18350.0,10388.75,19431.25,9563.75,7385.0,15873.75,8028.125,11444.375,11873.75,10318.75,3140.0,19928.125,15537.5,12322.5,9591.25,13475.875,11613.125,12087.5,15863.75,6950.0,17148.125,11911.875,9434.375,12814.375,8387.5,17439.375,8125.625
AU,12028.75,11618.75,0.0,8895.0,13887.5,15797.5,12710.0,11340.0,8960.625,14364.375,16090.0,17342.5,14420.625,17643.75,11855.0,15200.0,3331.875,16947.5,17015.0,15653.75,15308.125,10395.0,16320.625,7965.0,11780.625,8332.5,18065.625,13880.0,6375.625,15006.875,16603.75,15823.75,2328.125,13016.875,6168.125,10684.375,15598.75,18113.125,14468.125,12571.875,15598.5,6005.625,17653.125,7123.125,14419.375,11072.5,14925.0,15919.375,7736.25,10488.125
BD,9986.875,17071.875,8895.0,0.0,15764.375,12471.875,9073.75,17089.375,3027.5,16499.375,7090.0,8680.875,5331.875,8238.75,6320.625,6713.75,11705.625,7903.375,8000.625,10390.625,6176.25,1423.625,7269.25,4660.0,6771.875,3711.875,9595.625,15865.625,2630.0,9139.375,7733.125,7303.125,11404.375,18144.375,3367.5,1925.625,6781.875,9255.0,5591.25,4366.875,7055.625,2895.125,12351.25,1540.0,5349.375,6634.375,6320.0,12661.875,1847.5,8590.0
BR,6643.125,2341.625,13887.5,15764.375,0.0,7314.375,6713.125,3015.0,17302.5,3660.375,9500.0,8264.375,9565.625,7417.125,9450.0,10863.75,13516.25,8730.0,8770.0,5575.0,9514.375,14463.125,9203.75,17650.0,9135.625,18323.75,7253.125,6840.0,15705.0,6501.25,9243.75,9727.5,12085.625,3170.5,18637.5,13902.5,10106.25,7293.375,11171.875,11083.125,10390.625,16638.125,4941.25,16837.5,10559.375,9215.625,10668.125,6736.0,17439.375,7770.625
CA,10826.25,8971.875,15797.5,12471.875,7314.375,0.0,10271.25,8760.625,10555.0,4536.25,6127.0,6435.625,9010.625,5681.875,11461.25,6061.25,12653.125,5650.0,5340.0,8672.5,7633.125,11220.0,6722.5,10314.375,11821.875,10549.375,5656.875,3561.25,14800.0,9019.375,5637.5,5570.625,14433.125,6276.625,13210.625,10670.625,6644.875,5273.75,7124.25,10376.875,5911.25,14831.875,6400.625,13626.875,8133.75,12393.125,7283.125,731.25,12750.625,12962.5
CD,547.5,8126.25,12710.0,9073.75,6713.125,10271.25,0.0,9593.75,11476.875,9555.625,6049.375,4529.375,4200.0,5495.625,3027.5,6815.0,16519.375,6033.75,6376.25,1935.0,4875.0,8503.75,5413.75,13545.0,2406.875,12283.75,4858.75,12167.5,9801.875,1836.25,6400.0,6968.125,14586.25,10111.875,12256.875,7204.375,6109.375,5747.5,6629.375,4660.625,6894.375,10355.0,4198.125,9830.0,5096.875,1976.75,6032.5,10290.625,10521.875,2777.5
CL,8439.375,1137.875,11340.0,17089.375,3015.0,8760.625,9593.75,0.0,19056.25,4250.0,12385.0,10493.75,13272.5,10701.25,11910.625,13406.25,9551.875,11648.75,11646.875,8694.375,12463.75,16333.125,11888.125,17240.0,11414.375,18355.0,9936.875,6596.25,17005.0,9001.25,11869.375,12406.875,9362.5,2465.0,17291.875,15830.625,12706.25,10208.75,14115.0,13937.5,12480.0,16344.125,8440.625,17580.0,13147.5,10613.125,13036.25,8049.375,18284.375,9203.5
CN,11611.875,19270.25,8960.625,3027.5,17302.5,10555.0,11476.875,19056.25,0.0,14947.5,7350.625,9172.5,7550.0,9230.0,8324.375,6304.625,9400.0,8215.0,8140.0,11590.0,7603.125,3789.375,8130.0,2100.0,9557.5,950.0,10356.25,12451.25,4348.75,10756.25,7826.25,6868.75,10456.25,16631.75,2850.0,3850.0,6950.0,9551.25,5790.0,6185.0,6707.875,4480.0,11823.125,3045.875,6570.625,9702.5,6450.0,11150.0,2330.0,11720.0
CO,9240.625,4660.0,14364.375,16499.375,3660.375,4536.25,9555.625,4250.0,14947.5,0.0,9386.25,8550.625,11817.5,8030.0,11893.125,9773.125,13547.5,8630.0,8500.0,8059.375,10258.75,15119.375,9348.25,14303.75,11896.25,14857.5,7661.25,3160.0,19439.375,8775.625,8827.5,9171.25,12489.375,1880.0,17551.25,14995.0,9789.375,7545.0,10903.125,12585.625,9493.125,19766.25,6508.75,17496.875,11051.25,11636.875,10396.875,3815.625,18046.25,10681.25
DE,6499.875,11916.25,16090.0,7090.0,9500.0,6127.0,6049.375,12385.0,7350.625,9386.25,0.0,1745.0,2890.0,1870.0,5350.0,1100.5,16151.875,878.0,932.0,5214.375,1801.0,5918.25,1184.625,8918.375,6356.875,8130.0,2601.5,9723.875,9597.5,4800.625,577.0,840.0,18161.25,11193.75,9763.625,5293.375,517.125,2315.0,1608.0,4283.75,810.0,9910.0,5028.75,8920.0,2029.375,6733.125,1204.125,6715.0,8295.375,8768.125
DZ,4821.875,9799.375,17342.5,8680.875,8264.375,6435.625,4529.375,10493.75,9172.5,8550.625,1745.0,0.0,2708.75,715.0,4666.875,3132.375,18303.75,1306.5,1424.0,2751.25,1888.75,6972.5,997.5,10394.375,5066.25,10186.875,915.625,9382.5,10610.625,2810.625,1733.75,2881.25,19161.25,9736.875,12147.5,6557.5,2311.25,1127.5,3390.0,3833.75,2973.125,10940.0,3170.0,10182.5,2725.625,5218.5,2772.5,6330.625,10250.625,7478.125
EG,5284.375,11800.0,14420.625,5331.875,9565.625,9010.625,4200.0,13272.5,7550.0,11817.5,2890.0,2708.75,0.0,3350.0,2470.375,3390.625,16435.0,3210.0,3510.0,4251.25,1109.75,4417.5,2130.0,9560.0,3515.0,8495.0,3476.25,12366.25,7956.25,3448.125,3285.75,3663.625,16515.625,12292.5,9215.0,3938.125,2874.375,3765.625,2900.0,1490.125,3429.375,8267.5,5225.625,7260.0,1098.125,3687.5,2271.0,9430.0,8037.5,6264.375
ES,6491.875,10036.875,17643.75,8238.75,7417.125,5681.875,5495.625,10701.25,9230.0,8030.0,1870.0,715.0,3350.0,0.0,5583.75,2950.0,17593.125,1052.875,1263.625,3891.25,2372.5,7261.875,1364.25,10768.125,6488.75,9988.75,762.375,9065.0,11064.375,3736.25,1480.0,2593.625,19855.0,9502.0,11649.375,6795.625,2290.0,502.875,3440.0,4882.625,2590.0,11382.5,3150.375,10187.5,2595.0,6414.375,2865.0,6105.0,10083.375,8048.125
ET,3503.0,10543.75,11855.0,6320.625,9450.0,11461.25,3027.5,11910.625,8324.375,11893.125,5350.0,4666.875,2470.375,5583.75,0.0,6110.625,15808.75,5587.5,5894.375,3941.875,3567.5,5236.875,4485.375,10162.5,1159.0,9237.5,5483.75,14091.875,7756.875,3469.375,5667.5,6133.125,14161.25,12879.375,9328.75,4228.125,5325.0,5759.375,5153.125,1510.0,5882.5,7288.75,5413.125,7821.875,3690.625,1286.5,4870.625,11556.25,7844.375,4653.125
FI,8013.375,12646.875,15200.0,6713.75,10863.75,6061.25,6815.0,13406.25,6304.625,9773.125,1100.5,3132.375,3390.625,2950.0,6110.625,0.0,15254.375,1910.0,1820.0,6254.375,2478.75,5230.625,1975.625,7827.0,7411.25,7045.0,3798.75,9473.75,8996.25,6056.25,1501.75,785.0,16680.0,12493.125,8974.75,5054.875,944.375,3361.75,893.0,4435.625,395.625,9261.875,6166.875,7899.625,2480.0,7529.75,1159.0,6956.25,7817.125,9737.5
FJ,15905.0,11493.125,3331.875,11705.625,13516.25,12653.125,16519.375,9551.875,9400.0,13547.5,16151.875,18303.75,16435.0,17593.125,15808.75,15254.375,0.0,16548.75,16296.25,19006.25,16831.125,11675.0,16911.875,7148.75,15478.75,8172.5,18684.375,10637.5,8781.875,18677.5,16246.875,15578.75,2587.5,10935.0,7110.0,13155.625,15809.375,17723.125,14740.625,15005.0,15534.375,8298.125,18900.0,9441.875,16242.5,15515.625,15680.0,11946.25,8470.625,14340.0
FR,6500.0,11068.75,16947.5,7903.375,8730.0,5650.0,6033.75,11648.75,8215.0,8630.0,878.0,1306.5,3210.0,1052.875,5587.5,1910.0,16548.75,0.0,344.0,4822.125,2097.25,6582.5,1105.0,9710.25,6480.625,8965.0,1820.25,9199.375,10416.25,4473.125,430.0,1343.0,18986.25,10261.25,10740.0,5913.125,1367.0,1451.75,2485.0,4667.5,1544.0,10735.0,4200.0,9440.125,2599.5,6872.5,2024.75,6165.375,9206.25,8696.25
GB,6830.0,11102.5,17015.0,8000.625,8770.0,5340.0,6376.25,11646.875,8140.0,8500.0,932.0,1424.0,3510.0,1263.625,5894.375,1820.0,16296.25,344.0,0.0,5100.0,2391.0,6710.0,1435.0,9559.375,6819.375,8858.75,2042.75,8930.0,10567.5,4773.25,357.625,1153.0,18800.0,10155.625,10736.25,6045.625,1450.0,1585.0,2500.0,4941.25,1433.0,10854.375,4384.375,9535.875,2833.25,7396.875,2134.375,5918.0,9230.0,9113.75
GH,2408.125,7219.375,15653.75,10390.625,5575.0,8672.5,1935.0,8694.375,11590.0,8059.375,5214.375,2751.25,4251.25,3891.25,3941.875,6254.375,19006.25,4822.125,5100.0,0.0,4236.875,9073.75,4229.375,13625.625,4205.0,12715.625,3145.0,10648.125,11519.375,912.5,5220.875,5966.25,16214.375,9124.375,13477.5,7476.25,5236.25,3811.25,6329.375,5293.75,6111.875,11561.875,2107.5,11659.375,4976.875,4146.25,5674.75,8507.5,11530.625,4676.25
