id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7777.0,7777.5,7776.875,7775.833333333343,14.944341180973263,223.33333333333334,7755.0,7800.0,7767.5,7780.0,12.5,7.5,0.0019216074554421066,2,0,7768.4875,7786.0,2.7572807255946827,-2.7572807255946827,-0.00035441731998835823,-0.00035448014065025545
AO--AU,AO,AU,13288.474497523322,10,12041.0,11910.0,12028.75,11932.405333386732,389.8418482752546,151976.66666666666,11550.0,12630.0,11778.75,12392.5,613.75,160.0,0.0323762019994398,0,0,11821.4875,12293.525,1247.4744975233225,-1247.4744975233225,-0.09387642635396742,-0.09857958748728096
AO--BD,AO,BD,9121.283483960526,10,10017.0,9960.0,9986.875,9977.829000000114,308.52876689216515,95189.99999999999,9590.0,10685.0,9845.0,10131.25,286.25,155.0,0.030800515812335543,1,0,9850.475,10214.0625,895.7165160394743,895.7165160394743,0.09820071019769992,0.09367312255492274
AO--BR,AO,BR,6675.278533941141,10,6642.5,6635.0,6643.125,6639.912999999974,26.900020652614955,723.6111111111111,6600.0,6680.0,6626.25,6668.75,42.5,15.0,0.004049683199490396,0,0,6626.5,6657.5125,32.77853394114118,-32.77853394114118,-0.004910436886562163,-0.004922532695152865
AO--CA,AO,CA,10620.756402433968,10,10806.0,10850.0,10826.25,10847.500000000344,160.7758964798172,25848.888888888894,10425.0,11025.0,10841.25,10850.0,8.75,7.5,0.01487839130851538,4,0,10702.9875,10886.5,185.2435975660319,185.2435975660319,0.01744165768867267,0.01729129780976515
AO--CD,AO,CD,549.1026827702303,10,547.0,550.0,547.5,549.3333333333334,4.216370213557839,17.77777777777778,540.0,550.0,545.0,550.0,5.0,0.0,0.007708172236851626,0,0,544.5,549.0,2.102682770230331,-2.102682770230331,-0.003829307042577662,-0.0038366576098438567
AO--CL,AO,CL,8913.64308220524,10,8440.5,8480.0,8439.375,8440.500000013128,312.20942045720244,97474.72222222222,8040.0,8850.0,8138.75,8666.25,527.5,295.0,0.036989446177027714,0,0,8258.975,8625.0,473.1430822052407,-473.1430822052407,-0.05308077492465458,-0.05454148502491091
AO--CN,AO,CN,11758.580047473492,10,11662.5,11665.0,11611.875,11617.775222212911,247.35545723153598,61184.722222222226,11450.0,12280.0,11470.0,11706.25,236.25,145.0,0.02120947114525496,1,0,11535.975,11826.5375,96.0800474734915,-96.0800474734915,-0.008171058672525324,-0.008204624744385146
AO--CO,AO,CO,9801.95415219586,10,9253.0,9237.5,9240.625,9245.833333324217,222.53838620187156,49523.333333333336,8945.0,9660.0,9165.0,9357.5,192.5,112.5,0.024050403782759276,1,0,9124.4875,9378.625,548.9541521958599,-548.9541521958599,-0.0560045623221857,-0.057633945816732195
AO--DE,AO,DE,6798.792115651933,10,6499.9,6500.0,6499.875,6500.38448567611,15.701733803769713,246.5444444444445,6475.0,6525.0,6491.0,6511.0,20.0,11.0,0.0024156885188648617,0,0,6490.6,6508.4,298.89211565193364,-298.89211565193364,-0.043962531956792006,-0.044958174184926376
AO--DZ,AO,DZ,5158.666122203358,10,4821.0,4820.0,4821.875,4820.74129999109,9.66091783079296,93.33333333333334,4800.0,4835.0,4820.0,4827.5,7.5,2.5,0.002003924047042721,1,0,4815.0,4826.0,337.6661222033581,-337.6661222033581,-0.06545609159507591,-0.06769666720324878
AO--EG,AO,EG,4715.419795274749,10,5283.5,5290.0,5284.375,5286.322500000274,21.35025370653317,455.83333333333337,5250.0,5310.0,5263.75,5300.0,36.25,12.5,0.004040930009753605,0,0,5271.0,5296.5,568.080204725251,568.080204725251,0.12047288033496308,0.1137508107842946
AO--ES,AO,ES,5722.316302190526,10,6491.5,6492.5,6491.875,6491.666666666847,25.061036601775985,628.0555555555557,6450.0,6530.0,6481.25,6500.0,18.75,10.0,0.003860592559774472,2,0,6477.5,6506.5,769.1836978094743,769.1836978094743,0.1344182420526156,0.12611995746034507
AO--ET,AO,ET,3446.282530254973,10,3502.9,3504.5,3503.0,3503.166666666826,12.278707858185513,150.76666666666665,3485.0,3520.0,3496.25,3508.75,12.5,7.5,0.003505297855544124,0,0,3495.6949999999997,3510.5,56.61746974502694,56.61746974502694,0.01642856302348435,0.016295074217267034
AO--FI,AO,FI,7720.979613051022,10,8021.7,8030.0,8013.375,8018.141966662407,347.93647249015,121059.7888888889,7590.0,8520.0,7680.75,8264.5,583.75,314.5,0.043374405985034344,0,0,7814.257500000001,8221.210000000001,300.72038694897765,300.72038694897765,0.038948475714229346,0.03820912062203315
AO--FJ,AO,FJ,16614.26463120842,10,15932.5,15735.0,15905.0,15801.194999980005,554.0820737439936,307006.94444444444,15200.0,16885.0,15590.0,16250.0,660.0,225.0,0.03477684442140239,0,0,15620.3875,16266.025,681.7646312084216,-681.7646312084216,-0.04103489659890136,-0.041900593289350245
AO--FR,AO,FR,6480.8047195500585,10,6500.5,6500.0,6500.0,6500.111111111111,1.5811388300841898,2.5000000000000004,6500.0,6505.0,6500.0,6500.0,0.0,0.0,0.00024323341744237977,1,0,6500.0,6501.5,19.695280449941492,19.695280449941492,0.003039017730395196,0.0030344092504863644
AO--GB,AO,GB,6807.150235507682,10,6830.0,6830.0,6830.0,6830.0,0.0,0.0,6830.0,6830.0,6830.0,6830.0,0.0,0.0,0.0,0,0,6830.0,6830.0,22.849764492318172,22.849764492318172,0.0033567298651833006,0.0033511086233039096
AO--GH,AO,GH,2181.7570144061915,10,2412.5,2405.0,2408.125,2407.3027857141287,26.692695630078276,712.4999999999999,2380.0,2480.0,2400.0,2415.0,15.0,7.5,0.0110643297948511,1,0,2399.5,2431.0,230.7429855938085,230.7429855938085,0.1057601667235202,0.10053303213824748
AO--GR,AO,GR,5296.817859625665,10,5707.5,5775.0,5717.5,5765.750166662925,160.64539969897814,25806.944444444445,5465.0,5870.0,5563.75,5806.25,242.5,57.5,0.02814636876022394,0,0,5607.0,5791.0125,410.6821403743352,410.6821403743352,0.07753374785731423,0.07467486302251755
AO--IN,AO,IN,8015.072192343541,10,9165.0,9267.5,9201.25,9265.920333334268,207.89954839350233,43222.22222222222,8740.0,9300.0,9177.5,9280.0,102.5,15.0,0.02268407511112955,2,0,9038.4625,9278.0,1149.9278076564588,1149.9278076564588,0.14347067375823963,0.1340680881161883
AO--IT,AO,IT,5617.9698794223505,10,5866.5,5865.0,5861.875,5862.32727777755,27.187619731537122,739.1666666666666,5840.0,5930.0,5846.25,5873.75,27.5,17.5,0.004634385021995589,1,0,5851.5,5883.5,248.53012057764954,248.53012057764954,0.04423842169178804,0.04328783665523785
AO--JP,AO,JP,13857.461409152482,10,13717.5,13740.0,13715.625,13735.587000000074,81.4878995788809,6640.277777777778,13600.0,13850.0,13645.0,13750.0,105.0,25.0,0.0059404337218065175,0,0,13669.975,13761.5125,139.9614091524818,-139.9614091524818,-0.010100075693520678,-0.01015142752220379
AO--KE,AO,KE,2743.2396541926637,10,3171.0,3170.0,3170.625,3170.249999997861,2.1081851067789197,4.444444444444445,3170.0,3175.0,3170.0,3170.0,0.0,0.0,0.0006648328939700157,2,0,3170.0,3172.5,427.7603458073363,427.7603458073363,0.15593254681688623,0.1449074180433051
AO--KR,AO,KR,12699.236686021166,10,12550.0,12517.5,12541.875,12529.616357142595,138.3032095714983,19127.777777777774,12385.0,12780.0,12450.0,12632.5,182.5,82.5,0.011020176061473968,0,0,12467.9875,12632.5,149.23668602116595,-149.23668602116595,-0.01175162647259264,-0.011821222617566882
AO--MA,AO,MA,5195.819618732341,10,5623.5,5645.0,5638.125,5636.968857139227,115.18222277957847,13266.944444444445,5370.0,5760.0,5572.5,5683.75,111.25,70.0,0.020482301552339016,1,0,5553.4875,5688.5125,427.68038126765896,427.68038126765896,0.08231239970797967,0.07909986306566029
AO--MX,AO,MX,12679.078203838877,10,11870.0,11827.5,11848.125,11836.450142847802,237.74402668042413,56522.22222222222,11565.0,12350.0,11703.75,11950.0,246.25,135.0,0.020028982871139352,1,0,11744.4875,12014.5125,809.078203838877,-809.078203838877,-0.06381206826170616,-0.06593904088682581
AO--MY,AO,MY,9903.39358541899,10,9857.5,9875.0,9861.875,9857.499999999418,290.1556095921252,84190.27777777777,9450.0,10230.0,9638.75,10072.5,433.75,285.0,0.029435009849568875,0,0,9676.4875,10023.0625,45.89358541898946,-45.89358541898946,-0.00463412718308598,-0.004644898039020165
AO--NG,AO,NG,2080.1823760601865,10,2693.0,2805.0,2715.0,2794.2088002295145,234.5823712236043,55028.88888888889,2305.0,2905.0,2483.75,2843.75,360.0,60.0,0.08710819577556787,0,0,2548.4875,2818.5625,612.8176239398135,612.8176239398135,0.2945980270732198,0.2582002431618052
AO--NL,AO,NL,6826.04260195697,10,6840.3,6842.0,6841.0,6842.333333333315,10.781156400559883,116.23333333333333,6820.0,6855.0,6840.0,6845.0,5.0,3.0,0.0015761233280060644,3,0,6833.297500000001,6846.4,14.257398043029752,14.257398043029752,0.002088676979388068,0.0020864987262100253
AO--NO,AO,NO,7625.360370993152,10,7474.3,7509.0,7486.625,7499.34537499247,174.5133232736114,30454.9,7175.0,7675.0,7403.75,7612.5,208.75,122.5,0.023348450460057985,0,0,7356.7675,7574.8175,151.060370993152,-151.060370993152,-0.01981025992788291,-0.020009113739478643
AO--NZ,AO,NZ,14143.139009143959,10,12793.0,12732.5,12774.375,12767.299500740095,287.61664300477,82723.33333333333,12360.0,13375.0,12628.75,12951.25,322.5,152.5,0.022482345267315722,0,0,12630.4875,12968.55,1350.139009143959,-1350.139009143959,-0.09546247182263103,-0.10033148448525192
AO--PE,AO,PE,9845.778856925126,10,10097.0,10142.5,10133.75,10130.580000027356,403.8371508967995,163084.44444444444,9350.0,10550.0,9853.75,10425.0,571.25,300.0,0.039995756254015996,0,0,9863.4625,10322.0375,251.2211430748739,251.2211430748739,0.025515619101903253,0.025195529132891508
AO--PH,AO,PH,12162.128893919244,10,12600.0,12600.0,12623.75,12638.798428563334,331.93038092012273,110177.77777777778,11960.0,13050.0,12530.0,12837.5,307.5,235.0,0.026343681025406566,1,0,12397.925,12790.025,437.87110608075636,437.87110608075636,0.03600283387061297,0.035369879229894596
AO--PK,AO,PK,7881.321787923071,10,7879.5,7860.0,7863.75,7858.728071411664,226.67218130546541,51380.27777777779,7570.0,8315.0,7700.0,7960.0,260.0,152.5,0.028767330580045106,0,0,7747.0,8012.0125,1.8217879230705876,-1.8217879230705876,-0.00023115258735688233,-0.00023117930723382142
AO--PL,AO,PL,6809.113037552695,10,6780.5,6782.5,6770.625,6772.7717857166845,87.47856880402193,7652.499999999999,6660.0,6980.0,6726.25,6811.25,85.0,37.5,0.012901492338916295,1,0,6732.0,6831.025,28.61303755269455,-28.61303755269455,-0.004202168093684422,-0.004211022014509297
AO--PT,AO,PT,5753.282352388308,10,5830.5,5840.0,5834.375,5839.666666666667,22.167293224227645,491.38888888888886,5780.0,5850.0,5836.25,5840.0,3.75,0.0,0.0038019540732746153,3,0,5816.0,5841.5,77.21764761169197,77.21764761169197,0.01342149452818656,0.01333222414476899
AO--RU,AO,RU,7506.107188793741,10,8239.2,8220.0,8220.25,8220.0,84.72019305402408,7177.51111111111,8160.0,8470.0,8210.0,8232.5,22.5,12.5,0.010282575135210224,2,0,8199.7,8296.7,733.0928112062593,733.0928112062593,0.09766617938799645,0.09318627080375647
AO--SA,AO,SA,5193.3979905841725,10,5701.5,5667.5,5705.625,5698.72160000758,132.70790816258423,17611.38888888889,5470.0,5900.0,5650.0,5807.5,157.5,80.0,0.023275963897673283,0,0,5620.475,5773.525,508.1020094158275,508.1020094158275,0.09783613933248246,0.09334109636998456
AO--SE,AO,SE,7571.629355004058,10,7852.4,7925.0,7858.0,7903.855333354032,315.34432679920604,99442.04444444446,7250.0,8410.0,7683.75,8002.5,318.75,90.0,0.04015897391870079,0,0,7666.1975,8036.0125,280.77064499594144,280.77064499594144,0.03708193201643994,0.036410934821102504
AO--SG,AO,SG,10108.617908587756,10,10255.0,10175.0,10224.375,10203.358500004897,180.09256878986798,32433.333333333332,10085.0,10670.0,10138.75,10346.25,207.5,67.5,0.017561440155033445,1,0,10163.5,10365.0375,146.38209141224434,146.38209141224434,0.01448092041226385,0.014377073219018438
AO--SN,AO,SN,4274.775841417532,10,3551.9,3334.5,3468.0,3334.5572333340565,428.5109748367661,183621.65555555557,3325.0,4450.0,3330.0,3451.25,121.25,4.5,0.12064274749761143,2,0,3345.195,3831.01,722.8758414175322,-722.8758414175322,-0.16910263092949074,-0.18524899467737782
AO--TH,AO,TH,9957.692589929997,10,10263.5,10252.5,10261.875,10256.009285714426,52.601753244967455,2766.9444444444443,10185.0,10355.0,10235.0,10285.0,50.0,25.0,0.005125128196518483,0,0,10233.0,10294.5125,305.80741007000324,305.80741007000324,0.030710669897488076,0.030248535095402547
