place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5707.7,13601.1,4240.66,11979.65,3701.9,5147.62,5553.95,422.8,13451.87,12057.6,6244.219999999999,10817.0,5299.3,4748.4800000000005,6215.41,14251.5,4620.85,5941.6,13637.4,14188.1,12389.6,4462.9400000000005,4651.18,2039.4099999999999,4823.2,4905.0,14263.9,2357.8,5642.0,2401.3,4714.6,14148.0,5245.0,5470.0,5945.39,3266.6,14140.75,4017.7400000000002,5931.35,2295.6,1388.95,1280.3,6340.4,4318.8,1975.2400000000002,8115.8,3538.3,5840.8,6864.7,852.5600000000001,5859.1900000000005,2136.6,5677.8,5068.45,5435.7,6837.0,14319.84,5587.8,6028.5,6552.35,4977.2,5170.4,5201.9,3316.85,14234.7,400.5,13755.7,14593.9,11101.9,6915.3,2030.0,4122.0199999999995,6113.9,300.7,3402.25,3809.53,3667.6,3914.53,790.55,12536.9,4827.35,5891.4,7514.2,4966.1,4274.7,14757.65,2625.1,3974.6,3345.1,3677.5,11330.6,12876.55,2238.1,5413.5,14051.15,14717.8,6293.4,5275.9,5486.75
AO,5707.7,0.0,7778.7,6453.7,12097.25,9812.14,6712.8,2917.3,5936.2699999999995,8425.35,6181.4,2214.6,10859.8,524.1,6218.74,2683.75,9068.4,1465.5,11585.2,9764.0,10156.3,10770.9,6478.5,6495.9,4265.86,7236.4,4822.4,9879.35,5285.7,6285.1,3501.6,7963.94,16890.65,6500.5,6828.4,2403.9,5677.9,11140.55,6221.6,7529.8,8243.1,5846.6,6195.8,8527.1,5694.2,5402.6,13882.0,3137.8,10663.4,12502.9,5870.7,10418.97,5717.4,5731.4,3530.5,11334.3,4166.1,12243.7,10083.57,2784.59,1584.8,2068.0,6832.0,7721.1,8613.95,12921.6,6087.13,9643.4,9987.2,15064.2,12848.7,7761.1,6915.8,5775.7,5681.9,6192.5,6200.45,7490.3,2037.7780000000002,5043.1,17407.6,8100.4,10230.45,4522.25,10176.32,4856.7,17589.0,5969.9400000000005,2822.19,6815.75,2670.1,10428.2,7430.35,7879.9,10501.4,17027.5,17680.7,2490.25,1784.2,2166.1
AR,13601.1,7778.7,0.0,11816.3,11756.0,17018.2,11314.8,8157.05,13486.0,1832.5,2340.1,8074.25,8983.23,7890.0,11184.8,7621.4,937.8,8576.65,19262.8,4666.0,5673.8,6854.1,11715.1,11909.8,11598.55,11837.28,9704.45,4351.7,11811.1,10036.2,10480.2,12619.6,11360.2,11080.8,11134.1,7948.4,11157.0,5987.9,11692.1,11035.4,15968.2,12243.0,13764.7,11768.6,11145.6,12201.0,18371.0,9966.0,16810.0,19430.0,12733.7,18878.7,11707.2,9426.15,9565.02,19636.7,7689.7300000000005,7381.2,15908.7,8054.7,7936.3,8008.95,11442.5,11809.1,17129.9,10317.1,13622.3,5293.9,3140.1,14322.8,18261.55,15299.0,12272.5,9583.6,13312.6,11858.65,11817.4,13476.0,9788.2,12421.3,12678.25,12271.1,15897.6,6489.5,17211.8,10170.0,10277.8,11878.45,9641.15,12818.6,9908.75,8383.3,203.0,16033.5,17521.4,12183.4,10612.2,8122.8,8182.3,8177.6
AT,4240.66,6453.7,11816.3,0.0,16079.4,7037.660000000001,915.2819999999999,4269.360000000001,3957.16,10564.6,9455.2,7859.3,6478.303,5731.3,669.85,5100.870000000001,12490.75,4914.25,7455.5,9397.23,9710.25,8621.3,252.01,524.24,4926.7,870.4189999999999,1688.6299999999999,10176.84,2386.579,1809.4,4819.3,1437.17,16301.0,1033.35,1235.55,5081.16,1281.7,9875.5,214.24,1695.95,5561.7,2864.5099999999998,3163.5299999999997,2921.05,765.22,2476.8,9124.05,5602.9,8557.35,8272.9,3457.78,8344.95,2263.0,2497.85,8148.1,6052.597,4255.8099999999995,10129.689999999999,9550.210000000001,8139.7,8035.56,4486.3,937.0469999999999,1385.253,6228.6,18155.7,4412.85,9521.6,11210.55,13740.9,9750.6,4907.87,556.3399999999999,2300.75,3977.9,855.86,491.35,1670.1,5869.4,3625.3,15106.060000000001,1256.04,9707.970000000001,4799.3,8452.1,1360.5,16797.8,1595.95,6223.38,1054.9,5397.4,7031.37,11288.8,4096.75,8316.1,16002.7,16226.35,8511.6,7368.35,7587.6
AU,11979.65,12097.25,11756.0,16079.4,0.0,8914.3,16541.9,14921.039999999999,12246.1,13150.6,13918.65,10961.5,16232.9,12734.75,16579.9,15738.1,11346.3,13804.9,8965.1,14302.1,13830.8,15963.2,16086.9,16097.5,12142.9,16053.4,17212.5,13541.95,14401.3,17631.3,11865.25,15212.0,3410.2,16955.65,16965.0,15096.1,15315.5,13862.5,15803.0,17193.6,10181.75,13006.55,12876.3,16957.5,16314.4,13210.6,7971.1,12153.5,6874.75,8337.1,12525.35,6773.219999999999,14124.5,17865.3,9863.17,9455.95,17251.6,13635.1,6230.1,10963.3,10795.9,15064.5,16627.8,15974.6,9703.95,2327.0,11583.7,14278.1,12785.7,3100.3,5803.4,10874.3,15599.7,18069.7,11986.4,15636.0,15912.0,14473.3,12006.1,13055.5,3138.4,15606.7,6011.1,17773.5,7402.4,16274.5,3596.3,14634.7,11253.5,14919.3,12379.8,16129.5,11658.7,11803.15,7741.0,2685.3,4485.6,10275.6,11407.9,11200.1
BD,3701.9,9812.14,17018.2,7037.660000000001,8914.3,0.0,7641.06,9711.61,4043.53,16902.2,16041.1,8604.01,12475.6,8492.609999999999,7590.06,10226.460000000001,17131.6,8984.68,3026.1,16723.5,16730.5,14469.7,7334.07,7175.110000000001,5380.05,7390.210000000001,8503.689999999999,16778.0,5705.9,8291.48,6033.2300000000005,6831.75,11526.1,7906.67,8003.55,10356.15,6095.1,15962.8,6965.8,8055.229000000001,1424.0,4387.2,4196.55,8591.18,7267.18,5103.5,4872.9,6686.4,2092.1,3792.7,4267.36,1582.55,5214.3,9480.7,6946.4800000000005,3078.1799999999994,10529.8,15760.3,2630.1,7939.92,9549.34,8949.3,7713.95,7376.42,663.04,11858.75,3269.4,16398.9,17694.5,7245.68,3530.6,2111.6,6837.87,8742.28,3905.44,6279.33,7046.325,5578.24,7309.889999999999,4810.5,8469.6,7219.25,2894.92,12181.3,1540.2,7696.55,11928.2,5438.6,6789.8,6225.08,7265.879999999999,12630.3,16494.45,2917.09,1882.2,10595.3,11915.1,8562.55,8094.0,8092.56
BE,5147.62,6712.8,11314.8,915.2819999999999,16541.9,7641.06,0.0,4546.95,4678.21,10064.34,9287.1,8372.5,5650.63,6228.4,489.3,5188.5,11774.6,5105.76,7969.7,8502.27,8996.310000000001,7702.6,711.1200000000001,651.339,5591.9,764.75,1635.0,9578.5,3211.25,1315.5,5638.1,1648.125,16323.6,264.05,320.0,5041.95,2088.8,9014.380000000001,1129.8829999999998,774.0,6362.0,3771.5800000000004,4073.7,2131.9,1173.473,3378.25,9438.0,6527.1,9682.6,8676.95,4359.650000000001,9074.7,3141.6,1920.0,8785.05,6858.839999999999,3801.97,9236.05,9990.33,8847.55,8372.83,4832.9,173.05,1083.25,7218.2,18814.5,5364.18,8534.8,10239.15,14366.9,10429.65,5780.55,1159.871,1712.9,4895.67,1764.31,1324.48,2253.0,6355.5,4513.41,15424.85,1281.176,10461.75,4470.2,9268.75,1626.0,16576.65,2595.3,6954.7,1947.148,6241.05,6247.38,10923.6,4856.8,8395.9,16270.0,15801.0,8872.6,7632.9,7990.0
BF,5553.95,2917.3,8157.05,4269.360000000001,14921.039999999999,9711.61,4546.95,0.0,5336.65,8349.73,6105.75,4840.5,8040.43,2886.2,4031.3900000000003,715.38,9214.05,1735.22,11358.5,8168.75,8810.85,8098.9,4522.4,4729.4,4803.3,5040.25,2712.5,8764.5,3937.7,3181.7,4384.2,5961.0,19148.25,4063.2,4773.7,759.85,3583.8,9343.65,4307.15,4630.15,8367.0,5032.09,5984.6,6066.5,3484.2,4449.3,13101.75,4747.5,11637.0,11802.8,5083.05,11592.8,4424.7,2401.46,6230.0,10815.74,1612.44,10314.0,11868.5,5789.7,4796.95,878.2,4630.4,5501.65,8910.35,18541.45,6236.3,8491.5,8961.9,17959.61,12958.5,7523.45,4920.2,3142.5,5520.7,4727.0,4369.4,6015.6,3586.0,5180.6,18886.31,5484.8,11678.6,1741.6800000000003,10622.5,2833.2200000000003,19220.98,4620.0,4537.33,5219.95,3961.85,8242.97,8069.19,7481.5,11228.2,19141.870000000003,18921.07,5448.6,4817.6,5085.2
BH,422.8,5936.2699999999995,13486.0,3957.16,12246.1,4043.53,4678.21,5336.65,0.0,13767.2,11624.1,6162.15,10246.2,5002.87,4457.0,6023.363,14391.179999999998,4724.7300000000005,6237.18,12549.7,13898.1,11951.4,4134.0199999999995,4395.4,1954.3,4790.57,4641.5,13961.1,1932.0,4834.0,2534.63,4451.64,14638.3,4826.24,4897.6,5976.38,2873.25,13228.4,3699.09,5776.7,2863.87,1000.3299999999999,1042.5,6592.76,4020.0199999999995,1583.3,8263.710000000001,3541.8199999999997,6367.5,7225.35,420.4,5975.910000000001,1577.05,5306.8,5476.55,5507.77,6443.85,14112.779999999999,6254.45,6220.5199999999995,6856.014999999999,5096.2,4793.8,4927.5,3904.6,15000.3,836.8,13193.9,14571.7,10744.65,7390.5,2417.2,3972.96,5686.9,141.0,3122.58,3492.8799999999997,3438.75,3995.15,421.2,13005.869999999999,4679.0,6379.55,7477.25,5381.5,3929.3,15137.8,2239.2,4173.780000000001,3109.8599999999997,3788.9,10513.4,12397.4,2921.37,6039.7,13937.2,14839.2,6548.3,5163.7,5710.6
BO,13451.87,8425.35,1832.5,10564.6,13150.6,16902.2,10064.34,8349.73,13767.2,0.0,1929.9,9118.59,6785.6,9083.74,10036.4,7698.95,1684.05,8964.92,17695.35,2913.2,3993.0,4859.7,10586.55,10383.8,11730.95,10651.4,9248.060000000001,2492.27,10958.6,9184.539999999999,11049.85,11460.8,11678.35,9958.7,9923.1,7943.575,10740.1,4721.5,10951.2,9744.7,15786.9,12725.45,13908.8,9872.5,10110.3,12083.45,17040.3,10766.7,18588.5,18232.5,13329.55,18608.1,11675.8,8793.79,10361.17,16959.829999999998,7776.45,5514.8,18265.75,9363.75,8475.99,8454.9,10132.63,10395.2,16882.75,10382.05,14040.2,3549.9,1496.95,14816.12,18821.0,15566.65,11027.75,8750.859999999999,13607.89,11268.45,10976.65,12268.85,9988.210000000001,12809.3,13644.5,10959.05,18770.9,7259.160000000001,17639.2,9538.45,10942.9,11862.59,10160.49,11658.6,10185.1,6456.1,1930.1349999999998,14907.85,18989.1,12989.4,11245.8,9149.75,9261.28,9335.289999999999
