place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5699.666666668402,13605.586342857148,4240.622222222222,12042.522371428915,3642.833333334945,5147.687500009974,5556.765221444576,423.0,13544.783333326415,12106.641759999084,6249.321589120611,10867.689925001054,5339.64731429925,4746.959807142477,6209.777761119775,14259.079999997495,4621.437500508669,5952.962000000067,13637.00000029082,14191.993288889147,12389.1195,4463.670218571426,4652.761974999933,2033.9663500007646,4824.115842857131,4923.14412514982,14203.776471428002,2384.7072666663116,5641.120649999999,2399.5514333330843,4798.901380052921,14148.124999999924,5245.142857142857,5473.166666666681,5906.461802865657,3266.6,14063.05724999623,4017.2924599999683,5932.18750000001,2296.189757142864,1388.9499999999996,1280.4705000086867,6339.5071107656495,4318.166666666668,2024.731320018289,8123.925366666707,3544.6666666672504,5856.404466666921,6864.749999999996,852.6250000021392,5878.687500003296,2136.39658571429,5663.0170714024425,5045.681871457656,5422.383449999174,6831.491699999998,14317.779120000003,5587.714285714285,5999.2902143027795,6544.629957128398,4955.186033330782,5169.598442844984,5225.834866667444,3290.4862570703986,14236.408685675277,400.50000000105223,13769.065471429945,14605.49999999621,11074.833333332197,6910.985085714274,2030.125000000003,4144.275602857621,6112.155066666615,300.75,3403.0394428571412,3809.3629677777726,3733.5956999984087,3929.6246142829023,794.0920333333481,12497.25683332591,4827.350000000256,5891.333333333339,7498.185628570783,4965.5,4228.887060395617,14779.312499992553,2627.755219999989,3954.31162000785,3406.0802397047933,3693.2826666668884,11326.694133333682,12873.613450001438,2244.269866620615,5395.049899726181,14083.411357145207,14661.486449981394,6291.737433317372,5300.580528578486,5480.08333333237
AO,5699.666666668402,0.0,7780.877028532413,6432.993714286153,12107.881633333851,9811.40849999913,6786.408540189175,2927.3903499940134,5912.4771875047745,8435.779355521976,6179.094550000036,2239.1326333336224,10854.600041501044,514.6666666666486,6201.559392854768,2691.4999999966176,9147.900586548163,1464.1868000113266,11596.140350001126,9748.074411094649,10161.250000004577,10684.413371388877,6517.999999999481,6492.999999999784,4269.446999967753,7220.94184262624,4822.374999999992,9847.083333333136,5285.327533333334,6485.129914381963,3500.1679249857125,7977.8564148485675,16855.44852504989,6500.375,6828.931057142859,2407.6467499998694,5826.267566666432,11163.531700021995,6227.833333333637,7505.3413438932275,8220.464214285505,5854.255042857272,6181.6666666670835,8506.158566665106,5812.768550001175,5401.20335713791,13880.658571426164,3136.5,10688.133057146266,12474.46611111226,5862.729013769966,10412.200000008464,5734.934233335979,5719.497699994622,3488.1443201008524,11312.749999503994,4171.333333333489,12238.375000000307,10104.49939999998,2784.8166666666666,1581.9825999999873,2068.52214446582,6822.735671428385,7746.175533333534,8626.312500014423,12893.139266663537,6088.420655557293,9647.420414279126,9994.520466666816,15113.416666661728,12821.128819962978,7742.437500000221,6903.3333333341025,5775.8841571428575,5689.302450002087,6191.832285714473,6196.653533330399,7478.072375087302,2010.9633333323532,5036.114100009937,17386.245122239794,8085.300500000003,10190.02072857217,4514.5082000710845,10167.026983335067,4853.723900000057,17650.798714318465,5968.300000440151,2864.7643933329978,6839.936599995569,2666.8750001071744,10437.993274991084,7460.223722225265,7904.791412483463,10490.116028570692,16996.537857188217,17747.66666667527,2490.375000002139,1784.3333333333333,2163.004314285722
AR,13605.586342857148,7780.877028532413,0.0,11815.366757142901,11766.619749999947,17029.1666666665,11315.249999999956,8137.395271429548,13510.666666667654,1893.5932779869213,2340.1,8151.2845833315005,8983.376756666674,7880.664571428936,11181.499999999289,7586.317375014282,853.2447800000806,8593.935400001325,19264.5174,4664.547822222229,5674.749999968368,6895.11087142868,11813.166666666979,11908.465200037137,11599.749999998574,11822.153400000341,9765.438349996539,4351.7,11814.57142857143,10036.149266666667,10457.39827073764,12619.798533333305,11385.319850414986,11081.75,11130.494200003886,7911.041800004307,11154.500000000078,6049.840071429051,11866.216466654894,11040.88049999998,15970.569344444453,12242.833333333601,13765.275771428569,11808.226966667016,11149.333333333334,12203.499999998749,18374.75,10144.05028566645,16756.657799998095,19430.0,12755.815644444785,18865.333333333332,11676.625000000002,9444.371800000023,9566.083333333348,19621.66566001596,7688.527151101641,7378.017071428559,15903.74842851945,8083.945833335926,7898.839049884988,8010.08333333328,11442.494199996116,11833.0975574678,17073.83956666771,10318.051871428535,13610.779600001903,5292.5565142857195,3140.073914280838,14322.79999999856,18132.31424999725,15364.698300007834,12277.477442857664,9581.98840000006,13312.6,11813.537819999852,11816.833333333088,13476.0,9797.972042857462,12291.409933321036,12622.726800007438,12253.333333341425,15891.000000000135,6484.148933324163,17248.493199999946,10149.81904000197,10277.249999748921,11824.781133333454,9633.015699999529,12818.111111111111,9905.35428473659,8384.398555555566,203.0,16068.975875005919,17538.379733333437,12183.869800007922,10612.199999981332,8120.376699977441,8183.358066666102,8179.375000034794
AT,4240.622222222222,6432.993714286153,11815.366757142901,0.0,16079.258699991116,7028.53403333311,915.282,4278.094049999943,3943.0999999998403,10564.499999999338,9455.200000003324,7864.999999998516,6482.008384555115,5761.745899992848,683.9833333333333,5109.650000000808,12492.419370015068,4912.583333333809,7455.555555557211,9379.636514284426,9685.101678571566,8646.848720000411,252.01,524.24,4924.0833333330775,870.419,1684.595600001039,10168.99999999995,2386.0499999999897,1809.25,4817.280742847394,1437.1888888888889,16300.076071489524,1033.35,1235.357142857143,5079.639191110316,1281.741300000019,9874.786042857388,214.24,1695.907966666653,5561.830128571419,2861.433333333174,3163.444393333341,2921.2838333332766,765.22,2445.5765749989127,9122.111950000004,5606.125000000006,8550.249999999995,8272.926085714285,3442.810066664965,8347.083333333432,2265.556550040834,2495.620266666526,8147.7359000020315,6023.57094333103,4240.562500004934,10143.166666666766,9682.346683334992,8115.341866668121,8043.965256667119,4478.925511101747,937.047,1385.7332888888818,6228.201959999859,18165.999999999873,4402.763499998459,9504.480300000247,11282.756733336631,13763.940814653484,9745.27544285714,4899.342677779588,556.34,2300.75,3978.546983340084,855.86,491.35,1670.1111111127668,5875.304285714286,3623.6250000000528,15141.337307136704,1244.4857142833714,9710.45371,4802.808742857793,8452.283333333351,1360.9445642893804,16793.881816676603,1595.0,6210.107833330814,1054.9,5404.622566664064,7034.83979000002,11223.636133333895,4121.535329592084,8330.384593333183,15999.666666666633,16223.31249999985,8517.278400000168,7384.916666666562,7622.343214288981
AU,12042.522371428915,12107.881633333851,11766.619749999947,16079.258699991116,0.0,8914.300000000461,16568.93193333383,14884.21198333342,12266.864378099614,12960.233740008554,13891.08333333512,10992.009757126776,16247.701466666462,12804.562983337966,16582.0,15783.229257144258,11346.3,13831.166666673427,8965.147828571427,14326.726385714286,13863.543666663305,16101.252985703624,16089.357471478934,16094.428571426228,12185.410625012728,16047.2829000001,17212.49999999724,13551.713107142681,14404.241875,17634.833333333176,11865.249999980022,15220.379924928151,3430.029000000081,16960.0625,16982.333333333314,15118.994433301143,15309.609433333346,13893.836400004056,15796.403700000074,17187.833333333314,10202.916666664873,12993.520586592507,12887.097177777006,16959.75,16314.4,13243.499999989257,7970.985085714276,12154.142857142857,6899.516350001411,8337.147828571431,12540.08333330136,6788.115657142902,14127.43590000011,17929.381620002197,9854.73924287968,9465.916666669631,17290.87215713039,13910.82479999963,6195.202475012984,10975.450142380236,10798.000000002812,15061.862300004748,16623.010833333334,15960.312071587296,9694.611950018303,2327.0,11586.48607155918,14282.1708,12783.992214285636,3168.9063333266654,5803.39999999647,10831.831000011744,15599.503611111093,18060.422192904713,11962.899375000452,15639.666666665922,15930.647324999814,14473.299999999992,12006.10000000024,13054.827314285725,3139.332566667071,15605.900525000021,6060.000000001145,17768.587066651427,7414.742066666821,16253.641933332457,3585.4285714285716,14628.093614283656,11242.792399999751,14917.921114285724,12373.651999996582,16125.657528056801,11658.699999998817,11838.404278571794,7740.170277777801,2691.2883428427385,4471.124999999943,10274.409644444442,11413.311011111056,11222.325022170784
BD,3642.833333334945,9811.40849999913,17029.1666666665,7028.53403333311,8914.300000000461,0.0,7678.084100000282,9663.50741142829,4011.8477138746684,16893.209542843277,15962.26963336842,8609.568007142858,12471.137666666591,8497.012500002284,7590.966666666672,10227.574999999999,17054.617671308475,8978.999999996644,3026.1428571428573,16754.995313913412,16766.429200000035,14429.749700631979,7357.836285377984,7164.106660627974,5371.65916668197,7393.128333332561,8523.12177142841,16782.666666663372,5712.217243306086,8282.764092856884,6023.542675001336,6835.562888888013,11552.333333336346,7906.555555555556,8004.25,10415.178399999993,6104.563386666972,16006.092366672192,6966.187499999998,8015.6589038568845,1424.0,4388.616810255461,4272.257190032973,8578.54244285344,7267.821922529603,5098.125000346924,4887.609433333171,6703.426875004488,2112.4834932969334,3739.8333333332607,4262.825000000053,1594.366766649269,5233.47792499607,9495.25000044179,6943.600000460116,3064.037500001744,10497.999999989768,15787.828628348541,2630.25000000464,7934.406535707443,9571.977220710278,8936.895228589803,7712.975000065015,7376.5833333340015,663.024877777783,11844.58333332913,3268.477628571273,16402.21432856479,17800.51459999236,7249.14416428572,3574.5400999007393,2031.7869333313076,6837.962400001616,8764.147783326904,3904.355066666673,6287.06431110982,7055.968749997497,5583.496903333315,7304.400000003345,4863.788466663374,8463.752372193083,7216.173566651587,2894.92,12300.566271415966,1540.2,7685.658494442776,11977.04675919026,5468.370433335841,6798.0041282133525,6233.871185719453,7275.633333330402,12634.333333333334,16494.450000000026,2918.836599997318,1884.375575000063,10530.813275016439,11982.99999997543,8527.879371428593,8138.89073333555,8098.9863257141715
BE,5147.687500009974,6786.408540189175,11315.249999999956,915.282,16568.93193333383,7678.084100000282,0.0,4558.525000003649,4694.552350005799,10085.030370004006,9284.092299998301,8372.500000000005,5652.083333333311,6227.56828571433,489.2697088888753,5178.803675003849,11771.724414287217,5081.950787500293,7969.50347999367,8467.28182147129,8980.510833333388,7700.899728417643,711.4111111111112,651.3389999999999,5601.921099999201,764.625,1632.0630333332515,9584.000000001193,3211.222222222222,1315.5,5637.9999999998045,1648.1666666666847,16323.477675000096,264.05,320.0,5035.894,2088.8,9017.608019970254,1129.8144444444445,774.0,6364.172466666664,3769.74004278176,4074.4285714262282,2131.6666666666665,1173.473,3381.3241777776298,9438.0,6536.4540857141565,9695.298285714325,8677.25,4359.933333333931,9031.890566666405,3143.8391333333566,1881.6257550001362,8793.083333333881,6975.814079799725,3801.942557172389,9240.155285714281,10218.39730000482,8840.253499999522,8376.893744421848,4829.478707219166,173.05,1083.25,7221.07034999994,18815.0,5407.114752377236,8491.862900002185,10212.865433333498,14350.859737495006,10443.962292856844,5855.825485713356,1159.871,1712.9,4895.670000000003,1763.6600600000163,1371.8053580069422,2253.0,6355.500000000198,4521.711777759788,15423.63159999815,1281.176,10445.29723989721,4476.347528571202,9267.8899375,1626.0,16565.925200000755,2595.3333333333335,6936.333333333477,2019.7188380015423,6241.289377748322,6247.300000000014,10924.164242856828,4821.499999999632,8399.293499999812,16265.66061111115,15851.176157417747,8882.855679899305,7625.863614284096,7972.296685520505
BF,5556.765221444576,2927.3903499940134,8137.395271429548,4278.094049999943,14884.21198333342,9663.50741142829,4558.525000003649,0.0,5332.492738900215,8316.77727120386,6135.749999980849,4836.673856923912,8031.166666659185,2856.1666666667293,4034.7375000005245,719.8625000593746,9232.249999969034,1743.3333333446196,11356.666666666657,8166.397571647731,8827.567678580413,8109.280699997434,4533.5300642845195,4736.555922228324,4813.902249999657,5033.926600008926,2712.027014285689,8790.770285712531,3920.7605285714244,3181.8103888888913,4394.125000000004,5974.8750000122345,19201.028235713475,4063.678266666693,4820.928433317427,760.1293500000215,3587.9077496997947,9343.726199995808,4302.937499997641,4648.74999999689,8360.656377775325,5038.450850004992,6013.333333326308,6071.749999663736,3470.0235428618034,4447.933244440955,13143.411775008639,4747.931899999095,11639.898885715653,11830.057520259703,5064.687499435957,11570.862000011455,4430.412157015439,2401.5995333331475,6229.875000012739,10802.940261104051,1612.3428571428572,10375.58930000898,11853.489257136958,5744.323699998196,4814.784214285159,879.1864749962494,4634.157749996867,5506.7492249891475,8920.49999999985,18644.022666740086,6222.413433329346,8495.223714724076,8959.33333335463,18001.40250118827,12970.83333334803,7527.187499533634,4906.999999999855,3157.009250000212,5518.941471425765,4725.182605555244,4356.573678569826,6016.5189333343615,3559.625300002128,5201.999999998465,18942.911013886045,5489.749999997881,11698.157460348091,1741.230344285698,10619.620671961495,2838.0231300023765,19242.799999999384,4620.24999999986,4507.306930021395,5209.940083333332,3954.749999997042,8235.837499999945,8086.316666671289,7465.3469250029275,11255.00000000431,19125.51482857273,18920.63262777477,5458.758135718202,4832.616766669158,5085.199999993343
BH,423.0,5912.4771875047745,13510.666666667654,3943.0999999998403,12266.864378099614,4011.8477138746684,4694.552350005799,5332.492738900215,0.0,13806.876185715006,11644.85067142726,6188.10322821565,10254.12499999129,4995.814516420577,4457.000000000021,6049.300257499798,14368.672701428572,4761.415783338824,6233.427585712521,12528.139385713073,13909.236888897289,11920.333333333052,4144.732435714118,4391.983333332383,1958.0624999982174,4815.058792034167,4658.974066662743,13961.099999999964,1932.1108714285754,4839.874999999954,2536.195987499108,4437.608460141706,14637.756686171833,4827.077178571408,4844.7152000004,5997.412499987187,2902.023357145403,13207.907633324934,3691.7500000001924,5789.066428096788,2895.875366666569,1000.2336743128045,1038.404875000638,6566.835166667272,4017.8833333354273,1589.7500000000005,8263.583307777779,3528.775000000291,6356.124999999735,7188.3998666643165,420.50435,5952.183333333646,1577.6666666666667,5298.578371421996,5479.687499988888,5503.2375000019065,6428.249999997574,14166.086453333326,6255.833333333137,6190.1225203228805,6871.550085715297,5114.828760126077,4791.833333333224,4923.487633333049,3933.655679897849,15021.50000000589,836.4405777777685,13204.66666667133,14581.409866667711,10755.124999987545,7389.976799999995,2378.260749996405,3973.4350814285954,5702.83552499088,141.0,3136.2072666666777,3468.034817130951,3439.0182388944118,3965.7673285688356,421.05362222223516,13000.342127771344,4685.639199999942,6380.75,7469.676107142889,5377.039833333276,3912.2794285756318,15146.508014274852,2237.865585718847,4163.66451428479,3109.925428570686,3802.16666665917,10625.793499999432,12401.917457144586,2934.7463285727895,5986.925800001678,13953.749999999674,14803.20204285195,6529.327224967812,5182.468157148964,5713.483477782266
BO,13544.783333326415,8435.779355521976,1893.5932779869213,10564.499999999338,12960.233740008554,16893.209542843277,10085.030370004006,8316.77727120386,13806.876185715006,0.0,1929.7499999974984,9130.70210712934,6789.50000000156,9086.424999999814,10056.646000000612,7650.18300074543,1676.9374997245732,8920.188771618754,17614.072878581388,2928.615999999242,3950.988743150354,4873.166666673884,10583.339178571072,10393.475235713333,11744.51253334024,10646.298966677768,9237.727228848802,2477.6132714408764,10912.000000006252,9151.833333333332,11066.666666666379,11466.357285705055,11573.490210529366,9947.913421431294,9931.247914036932,8013.750220445528,10733.000000000768,4726.609544438334,10927.043428570154,9753.412675000072,15764.15878333177,12694.695375007648,13886.250000401014,9850.617857130896,10119.415628571323,12067.570072224153,17038.714888889026,10739.791488874263,18588.499999998403,18232.500000062686,13392.499999996238,18600.28242927535,11716.439078564972,8856.293929993468,10420.277136476,16966.216666670316,7707.937183340126,5531.274928573636,18390.6850000018,9319.52340002482,8477.641321424207,8458.937500000191,10130.582957036711,10400.707999793181,16905.334540387525,10441.56857143831,13989.429633333602,3522.9084000159155,1496.2828833386043,14842.174713585384,18829.406342338,15527.879183331577,11042.187499997575,8745.88333333316,13599.036390672813,11232.739985717328,10965.66494922701,12292.163214285982,10005.831584284742,12811.667857148825,13490.913866680838,10960.699657921159,18770.900000000012,7278.6364089099725,17650.66666665221,9540.663932502825,10930.961071855432,11854.472628452664,10176.900000007416,11688.430543166842,10206.649999994426,6467.324199990428,1920.9812499997201,14944.07573334169,18984.929272338028,12966.03634285323,11270.999999999998,9190.71259484361,9276.616971421958,9341.907270008069
