place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5704.875,13603.875,4240.575,12005.875,3679.25,5147.6875,5554.0625,423.0,13494.5875,12073.875,6249.875,10839.75,5308.5,4746.25,6207.6875,14253.0,4621.4375,5949.125,13637.0,14193.0,12390.75,4463.5125,4652.7875,2031.575,4823.5,4916.25,14249.0,2362.5,5641.25,2401.0,4740.5,14148.125,5245.25,5473.375,5929.1125,3266.625,14127.0625,4017.55,5932.1875,2296.0,1388.875,1280.375,6339.375,4318.5,2011.925,8118.875,3542.375,5854.625,6864.75,852.6,5878.6875,2136.375,5665.25,5050.625,5425.625,6828.375,14319.3,5587.75,6015.75,6550.6875,4976.5,5169.625,5214.0,3300.9375,14237.125,400.375,13771.25,14605.5,11091.125,6913.5,2030.125,4143.65,6113.75,300.75,3402.875,3809.35,3672.0,3922.1,791.4375,12521.375,4827.25,5891.375,7501.25,4965.5,4269.25,14779.3125,2625.625,3971.0,3356.875,3690.5,11329.75,12874.0625,2239.5,5403.375,14084.3125,14670.375,6291.625,5292.625,5475.6875
AO,5704.875,0.0,7779.125,6442.75,12108.25,9810.25,6717.125,2919.125,5922.3125,8432.75,6179.125,2236.125,10852.375,523.0,6206.425,2691.5,9086.875,1478.875,11590.25,9746.875,10161.25,10705.125,6513.5,6495.5,4271.25,7224.125,4822.375,9855.0625,5287.0,6318.875,3500.875,7963.425,16862.875,6500.375,6828.75,2407.5,5705.375,11164.6875,6217.25,7502.25,8241.0,5854.125,6185.875,8525.125,5778.0,5408.5,13880.0,3138.125,10670.8125,12473.0,5861.875,10412.2125,5716.75,5732.75,3514.375,11312.75,4174.0,12238.375,10090.5875,2784.6125,1583.875,2072.0,6827.25,7728.0,8626.3125,12883.8125,6091.7875,9645.75,9995.875,15074.75,12850.375,7742.4375,6902.5,5776.125,5689.0,6192.0,6206.5,7482.125,2025.285,5027.875,17379.75,8101.25,10208.5,4523.0625,10170.15,4855.25,17602.9375,5968.3,2830.8,6830.1875,2666.875,10441.625,7471.9375,7904.5,10496.875,16995.625,17698.125,2490.375,1784.375,2164.25
AR,13603.875,7779.125,0.0,11815.625,11764.375,17026.875,11315.25,8139.0625,13491.875,1836.7125,2340.0,8089.0625,8984.0375,7883.75,11183.25,7591.125,923.625,8596.9375,19263.5,4664.375,5674.75,6869.75,11754.25,11908.25,11598.5625,11830.725,9717.9375,4351.75,11811.875,10035.875,10460.875,12620.125,11387.125,11081.375,11132.75,7924.875,11154.5,6043.75,11705.625,11039.0,15971.125,12243.75,13766.125,11793.125,11146.25,12202.75,18373.125,10018.75,16777.5,19430.0,12756.875,18873.375,11676.625,9436.3125,9567.9,19635.25,7681.1,7380.25,15906.75,8068.5,7920.75,8010.1875,11442.5,11821.25,17121.125,10317.625,13608.25,5293.625,3140.0,14317.875,18155.6875,15311.125,12275.625,9583.125,13312.625,11849.6875,11816.625,13476.0,9799.0,12315.375,12637.375,12247.875,15893.25,6493.125,17225.375,10154.25,10277.25,11858.8125,9647.5625,12818.0,9898.625,8384.625,203.0,16058.0,17529.125,12188.875,10603.375,8121.0,8177.25,8179.375
AT,4240.575,6442.75,11815.625,0.0,16079.125,7029.5,915.28375,4275.4125,3947.325,10564.5,9457.0,7861.75,6482.9662499999995,5740.875,676.1,5103.7125,12490.625,4913.4375,7455.625,9388.975,9697.8125,8641.875,251.975,524.2375,4926.5,870.3475,1687.7875,10173.05,2386.34875,1809.25,4817.875,1437.2125,16300.625,1033.3125,1235.475,5078.7,1281.75,9874.0,214.2625,1696.3125,5561.625,2861.7625,3163.3375,2921.375,765.2125000000001,2461.75,9123.5,5606.125,8553.0,8273.0,3447.85,8344.9375,2264.5,2497.125,8147.375,6042.90875,4240.5625,10143.1875,9683.1375,8125.75,8042.2,4475.5,937.05625,1385.7462500000001,6228.5625,18164.0,4402.9375,9519.625,11226.3125,13753.5,9749.0625,4896.0875,556.35,2300.75,3978.625,855.8875,491.375,1670.2125,5875.375,3623.625,15134.875,1253.925,9708.7125,4801.25,8452.0875,1361.0625,16783.75,1595.5625,6227.2875,1055.0,5393.625,7032.2625,11251.375,4100.875,8320.1,16001.75,16223.3125,8508.5,7375.1875,7600.875
AU,12005.875,12108.25,11764.375,16079.125,0.0,8917.625,16565.0,14883.2375,12269.25,13128.25,13887.0625,10969.5,16231.0,12770.3125,16580.375,15770.125,11346.375,13808.625,8965.125,14328.125,13829.875,16023.375,16086.75,16096.5,12162.75,16051.5,17208.0,13551.8125,14402.625,17635.375,11866.3125,15215.875,3417.75,16960.0625,16968.875,15087.875,15305.875,13843.75,15794.625,17190.25,10203.5625,13003.375,12889.125,16959.375,16314.375,13223.875,7971.0,12153.75,6884.8125,8337.125,12531.8125,6785.5,14126.0,17882.875,9858.9625,9464.3125,17286.875,13681.375,6211.0,10984.125,10798.0,15067.375,16628.25,15968.625,9699.4375,2327.0,11581.125,14281.75,12784.625,3108.625,5803.375,10833.5,15599.0,18066.25,11974.625,15643.25,15922.375,14473.5,12007.625,13056.5,3139.75,15606.125,6029.875,17766.125,7404.875,16263.625,3592.25,14625.0,11250.5,14918.875,12374.75,16126.375,11658.375,11804.8125,7739.75,2688.375,4471.125,10273.875,11418.625,11243.875
BD,3679.25,9810.25,17026.875,7029.5,8917.625,0.0,7651.4375,9692.6375,4029.0,16902.75,15999.0,8603.8125,12471.5,8497.0125,7590.075,10227.575,17096.25,8999.5,3026.125,16739.375,16739.125,14451.75,7342.9625,7165.200000000001,5378.0625,7392.762500000001,8510.675,16788.875,5707.375,8283.3125,6029.5375,6836.125,11536.875,7906.5375,8004.3125,10393.0625,6100.0,15974.625,6966.1875,8046.498750000001,1424.0,4388.0,4239.5625,8586.0625,7267.975,5098.125,4876.125,6698.125,2099.625,3739.875,4262.825000000001,1569.0,5224.75,9495.25,6943.6,3064.0375,10498.0,15771.0,2630.25,7937.4,9572.55,8929.375,7712.975,7376.6875,663.0,11858.0625,3268.875,16406.625,17722.5,7239.725,3550.5,2047.25,6837.987499999999,8755.0375,3905.15,6288.1375,7055.96875,5580.3,7310.05,4829.75,8463.375,7220.275,2894.9,12229.5,1540.125,7684.875,11945.5,5457.75,6795.625,6232.8625,7278.6,12631.875,16486.375,2920.1875,1883.625,10529.5,11938.75,8543.875,8115.125,8097.7
BE,5147.6875,6717.125,11315.25,915.28375,16565.0,7651.4375,0.0,4558.525,4687.6875,10076.9875,9282.125,8373.625,5651.125,6227.875,489.23749999999995,5179.0625,11772.125,5088.775,7969.375,8468.3375,8984.8875,7700.125,711.45,651.31125,5592.25,764.625,1633.25,9583.375,3211.125,1315.5,5638.0,1648.125,16322.875,264.05,320.0,5039.0625,2088.875,9017.6,1129.79125,774.0625,6363.0,3770.4,4074.375,2131.875,1173.5,3381.4375,9438.0,6535.625,9689.8125,8677.25,4358.1875,9066.8125,3142.375,1905.5,8793.8125,6868.175,3801.775,9239.0625,10005.125,8845.6875,8373.9125,4832.875,173.0,1083.1875,7218.8125,18815.0,5372.375,8519.0,10211.4375,14352.875,10443.5625,5808.5625,1159.8975,1712.9375,4895.7125,1764.1375,1327.4375,2253.0,6354.75,4526.7625,15431.9375,1281.1575,10459.75,4474.25,9267.875,1626.0,16568.5625,2595.375,6949.875,1951.6475,6241.3125,6247.35,10924.5,4823.75,8397.5,16265.0,15823.375,8872.125,7628.125,7980.0
BF,5554.0625,2919.125,8139.0625,4275.4125,14883.2375,9692.6375,4558.525,0.0,5330.6875,8320.8125,6119.0625,4841.0,8038.4125,2872.5,4034.7375,719.8625,9217.3125,1741.25,11357.5,8164.5625,8818.1875,8103.125,4529.8125,4741.375,4812.875,5035.6875,2713.0,8787.375,3939.875,3181.875,4394.125,5974.875,19180.9375,4063.375,4798.25,759.9375,3588.125,9333.875,4302.9375,4641.0625,8358.5,5037.75,6008.25,6071.75,3479.25,4447.5,13133.0,4748.0,11637.125,11809.75,5064.6875,11594.0,4429.375,2401.825,6229.875,10797.425,1612.3625000000002,10351.75,11861.875,5782.125,4805.9375,879.0,4633.625,5506.4375,8915.9375,18592.6875,6228.5,8493.125,8970.375,17975.7625,12974.0,7527.1875,4907.0,3144.375,5517.75,4724.5625,4364.25,6016.875,3572.875,5188.25,18915.6375,5489.75,11694.75,1740.925,10627.5,2838.2125,19231.975,4620.25,4530.4125,5211.1875,3956.0625,8235.8375,8084.2375,7463.375,11255.0,19141.275,18914.875,5461.125,4820.875,5080.25
BH,423.0,5922.3125,13491.875,3947.325,12269.25,4029.0,4687.6875,5330.6875,0.0,13795.25,11642.375,6175.4375,10254.125,4993.9625,4455.7,6042.85375,14386.225,4732.85,6235.0375,12536.375,13910.0,11940.25,4144.75,4393.1125,1958.0625,4805.15,4652.0,13963.625,1932.0,4839.875,2535.9125,4447.175,14635.125,4826.549999999999,4872.5,5997.4125,2886.8125,13226.5,3693.0875,5792.4375,2884.8375,1000.15,1039.125,6591.075,4021.4625,1589.75,8263.5125,3528.775,6356.125,7197.25,420.5,5962.4875,1577.6875,5297.75,5479.6875,5503.2375,6422.1875,14125.6,6254.9375,6210.375,6869.64375,5097.875,4794.25,4925.625,3921.375,15000.125,836.375,13200.375,14586.375,10755.125,7390.375,2398.5,3972.45,5700.5,141.0,3128.1,3476.9,3439.0625,3980.4375,421.0,12996.3375,4681.125,6379.9375,7475.5625,5378.875,3913.75,15149.75,2237.375,4171.85,3110.0,3798.375,10542.125,12401.5,2927.9875,6018.875,13953.75,14825.25,6533.5,5170.625,5715.875
BO,13494.5875,8432.75,1836.7125,10564.5,13128.25,16902.75,10076.9875,8320.8125,13795.25,0.0,1927.0,9135.675,6789.5,9086.425,10040.25,7682.487499999999,1676.9375,8960.65,17638.5625,2916.875,3975.0,4862.125,10585.5625,10393.75,11729.5625,10648.0,9243.75,2480.8375,10924.875,9174.0,11066.25,11461.25,11636.8125,9952.6875,9926.875,7960.38125,10733.0,4728.25,10939.0,9749.5,15775.875,12692.5,13886.25,9860.5,10114.0625,12066.4375,17037.75,10731.875,18592.25,18223.625,13369.0625,18605.125,11691.5625,8818.375,10386.6875,16964.4125,7769.9375,5520.125,18302.1875,9354.75,8477.15,8458.9375,10128.0375,10406.25,16899.1875,10411.875,14023.75,3548.375,1498.0625,14826.025,18823.5,15542.25,11042.1875,8742.825,13603.1375,11248.75,10960.5625,12277.875,9998.1375,12805.5,13586.875,10953.9375,18772.375,7280.762500000001,17640.125,9541.6875,10955.25,11861.925,10173.9875,11672.0625,10206.65,6461.25,1920.98125,14928.5,18986.375,12986.9375,11271.0,9196.0625,9272.35,9343.7125
