id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AE--AO,AE,AO,5789.562333902342,10,5707.7,5701.5,5704.875,5699.666666668402,98.19147960320522,9641.566666666668,5562.0,5876.0,5667.75,5732.5,64.75,34.5,0.01720333577504165,3,0,5653.7,5767.6025,81.86233390234247,-81.86233390234247,-0.01413964116475187,-0.01424055830845569
AE--AR,AE,AR,13529.214746619495,10,13601.1,13606.0,13603.875,13605.586342857148,15.744134710354132,247.8777777777778,13565.0,13615.0,13600.0,13612.0,12.0,6.0,0.0011575633375502077,1,0,13591.287499999999,13609.6,71.88525338050567,71.88525338050567,0.005313335232443364,0.00529926926958212
AE--AT,AE,AT,4240.533433479227,10,4240.66,4240.5,4240.575,4240.622222222222,0.7604092465391897,0.5782222222222982,4240.0,4242.0,4240.0,4241.0,1.0,0.5,0.0001793138913610593,0,0,4240.2,4241.12,0.12656652077293984,0.12656652077293984,2.9846839497524233e-05,2.9846394089420245e-05
AE--AU,AE,AU,11949.361743211797,10,11979.65,12046.5,12005.875,12042.522371428915,151.6076899984518,22984.891666666663,11656.0,12093.5,12031.75,12048.0,16.25,9.0,0.012655435676205215,3,0,11876.0,12054.5,30.28825678820249,30.28825678820249,0.002534717538818227,0.0025315105603639387
AE--BD,AE,BD,3654.894106864547,10,3701.9,3645.0,3679.25,3642.833333334945,137.38708495019142,18875.211111111115,3617.0,3968.0,3628.5,3650.75,22.25,13.5,0.037112586766306875,2,0,3633.8,3801.6025,47.00589313545288,47.00589313545288,0.01286108208912739,0.012779080708788994
AE--BE,AE,BE,5158.218793556635,10,5147.62,5148.0,5147.6875,5147.687500009974,2.827955680935119,7.997333333333214,5143.0,5151.7,5145.25,5149.8,4.550000000000182,2.150000000000091,0.0005493714922498396,0,0,5145.92975,5149.210499999999,10.598793556635428,-10.598793556635428,-0.0020547390447793455,-0.002056852917184248
AE--BF,AE,BF,6015.546401624032,10,5553.95,5553.0,5554.0625,5556.765221444576,155.96766937057464,24325.91388888889,5342.0,5765.0,5454.0,5684.625,230.625,128.25,0.02808229627032556,0,0,5459.8637499999995,5642.161249999999,461.5964016240323,-461.5964016240323,-0.07673391090448807,-0.07983779881531931
AE--BH,AE,BH,428.3040518422248,10,422.8,423.0,423.0,423.0,2.394437999475729,5.7333333333333325,418.0,426.0,421.25,424.75,3.5,2.0,0.005663287605193305,0,0,421.5,424.1,5.504051842224783,-5.504051842224783,-0.012850804979665056,-0.012934090870535991
AE--BO,AE,BO,13804.61066665081,10,13451.87,13532.0,13494.5875,13544.783333326415,344.6594971852654,118790.16899999998,12756.5,13805.5,13435.55,13670.875,235.32500000000073,129.75,0.02562167915578023,2,0,13233.050000000001,13628.17,352.74066665080863,-352.74066665080863,-0.02555238066242316,-0.02588451280028708
AE--BR,AE,BR,11946.46205222579,10,12057.6,12110.0,12073.875,12106.641759999084,97.6367417181326,9532.933333333334,11855.0,12130.0,11993.0,12114.25,121.25,12.0,0.008097527013512854,0,0,12004.09,12113.205,111.13794777421026,111.13794777421026,0.00930300094608376,0.009259994552701907
AE--BW,AE,BW,6240.139957666417,10,6244.219999999999,6264.0,6249.875,6249.321589120611,103.83274799192961,10781.239555555561,6058.2,6385.0,6166.75,6304.5,137.75,94.5,0.01662861782447281,0,0,6183.2305,6302.224499999999,4.0800423335822416,4.0800423335822416,0.000653838273061431,0.0006536246139450303
AE--CA,AE,CA,10769.92523802494,10,10817.0,10851.0,10839.75,10867.689925001054,215.12683597253866,46279.555555555555,10427.0,11025.0,10799.0,10986.5,187.5,115.5,0.019887846535318356,2,0,10676.244999999999,10930.2,47.07476197506003,47.07476197506003,0.0043709460311623215,0.004361421191512511
AE--CD,AE,CD,5293.834780620477,10,5299.3,5346.5,5308.5,5339.64731429925,200.07667974498622,40030.67777777778,4955.0,5570.0,5264.75,5407.0,142.25,88.0,0.03775530348253283,2,0,5171.9,5405.905,5.46521937952275,5.46521937952275,0.0010323743762328346,0.001031841844289848
AE--CH,AE,CH,4824.29363438197,10,4748.4800000000005,4748.5,4746.25,4746.959807142477,31.789299387617117,1010.559555555554,4705.8,4809.0,4727.375,4764.125,36.75,19.75,0.006694626362039455,0,0,4731.157500000001,4767.807,75.81363438196968,-75.81363438196968,-0.015714970963139147,-0.015839760218954165
AE--CI,AE,CI,6633.529439211588,10,6215.41,6219.5,6207.6875,6209.777761119775,166.61663549064423,27761.103222222206,6015.6,6477.0,6057.125,6313.0,255.875,142.25,0.026807022463625766,0,0,6116.6539999999995,6314.3665,418.11943921158854,-418.11943921158854,-0.06303121785214887,-0.06510531410999024
AE--CL,AE,CL,14639.057097417122,10,14251.5,14267.5,14253.0,14259.079999997495,138.40781127603393,19156.722222222223,14050.0,14441.0,14121.0,14363.25,242.25,100.0,0.009711806566048059,0,0,14168.4775,14330.710000000001,387.55709741712235,-387.55709741712235,-0.02647418442581947,-0.026830936212107782
AE--CM,AE,CM,5123.937544147606,10,4620.85,4656.0,4621.4375,4621.437500508669,125.17899406671854,15669.780555555557,4446.0,4791.0,4502.25,4691.625,189.375,110.0,0.0270900362631807,0,0,4546.9775,4690.8025,503.0875441476055,-503.0875441476055,-0.09818377757594171,-0.10334452421920735
AE--CN,AE,CN,5970.945542251472,10,5941.6,5952.5,5949.125,5952.962000000067,43.818311747994635,1920.0444444444447,5843.0,5980.0,5935.0,5969.5,34.5,20.0,0.007374833672410568,1,0,5913.9925,5963.4,29.34554225147167,-29.34554225147167,-0.004914722809614892,-0.004926839777089592
AE--CO,AE,CO,13588.353397547735,10,13637.4,13626.5,13637.0,13637.00000029082,104.8863935673048,11001.155555555557,13495.0,13783.0,13546.25,13736.25,190.0,91.5,0.007691084339192573,0,0,13578.3925,13701.3275,49.04660245226478,49.04660245226478,0.0036094588518073224,0.0036029603878037675
AE--CR,AE,CR,14119.144537017517,10,14188.1,14182.5,14193.0,14191.993288889147,63.03517536529373,3973.433333333334,14073.0,14264.0,14155.25,14237.25,82.0,54.0,0.0044428200650752205,0,0,14151.69,14224.9,68.95546298248337,68.95546298248337,0.004883827260334095,0.004871940063612609
AE--CU,AE,CU,12976.823855763972,10,12389.6,12368.0,12390.75,12389.1195,126.94110620458783,16114.044444444446,12140.0,12630.0,12341.0,12454.5,113.5,52.5,0.010245779218424149,2,0,12316.295,12464.612500000001,587.2238557639721,-587.2238557639721,-0.04525173973931551,-0.046307575071746425
AE--CZ,AE,CZ,4453.994092626804,10,4462.9400000000005,4464.0,4463.5125,4463.670218571426,2.713423421927874,7.362666666666774,4456.0,4465.3,4463.025,4464.0,0.9750000000003638,0.9499999999998181,0.0006079901190533312,2,0,4461.22925,4464.26,8.94590737319686,8.94590737319686,0.00200851352452533,0.002006499158040169
AE--DE,AE,DE,4637.390140635866,10,4651.18,4654.5,4652.7875,4652.761974999933,12.653572178989185,160.1128888888891,4624.5,4665.0,4644.25,4659.825,15.574999999999818,8.5,0.00272050795260325,0,0,4643.15,4658.1007500000005,13.789859364133918,13.789859364133918,0.002973625023113343,0.002969212545429521
AE--DJ,AE,DJ,1852.7294237590422,10,2039.4099999999999,2043.0,2031.575,2033.9663500007646,55.04950196565512,3030.4476666666665,1966.5,2175.0,2009.1999999999998,2045.5,36.30000000000018,15.75,0.02699285674075106,1,0,2011.2577499999998,2077.6687500000003,186.68057624095763,186.68057624095763,0.10075976224428791,0.09600063433507879
