place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5651.2,13579.5,4236.5,12044.9,3699.0,5148.8,5520.8,428.3,13801.0,12062.3,6280.0,10952.9,5065.7,4813.5,6270.1,14739.5,4833.4,5911.0,13617.9,14266.0,12529.3,4455.5,4651.1,1992.2,4823.1,5044.1,14200.3,2297.2,5641.3,2405.1,4795.1,14160.0,5248.8,5473.0,5888.0,3271.1,14072.939999999999,4014.4,5943.5,2297.8,1383.8,1275.1,6597.7,4321.0,1935.5,8035.2,3560.5,5499.0,6861.2,852.9,5208.9,1983.5,5802.7,4957.1,5255.3,6635.0,14314.8,5586.4,6323.1,6562.3,5086.6,5171.6,5162.8,3320.6,14233.9,412.6,13867.7,14804.0,10359.3,7047.6,2029.2,4156.9,6127.8,300.5,3404.7,3810.1,3741.8,3786.8,788.5,12091.0,4812.2,5889.5,7472.0,4967.3,4245.5,14810.9,2598.8,3883.5,3445.5,3720.8,11325.2,12647.5,2430.9,5289.6,13942.8,14687.5,6295.5,4972.8,5475.5
AO,5651.2,0.0,7782.6,6130.9,12056.8,9740.0,6577.8,2941.8,5992.7,7765.7,6438.2,2111.7,10837.9,551.1,6194.4,2740.5,8188.0,1439.6,11538.5,9412.3,9742.8,10075.9,6605.0,6566.0,4596.8,7171.1,4826.5,9651.1,5039.5,5829.0,3498.5,7815.4,15852.0,6501.8,6828.9,2402.2,5561.3,10442.4,6139.5,7339.0,8625.6,5808.5,6161.8,9072.0,5756.0,5371.0,13564.8,3165.4,10410.8,12396.0,5955.8,10178.5,5491.8,5548.8,3982.1,11324.0,4167.5,12056.6,9430.1,2784.7,1581.5,2198.3,6827.6,7511.8,8814.8,12456.7,6088.3,9638.7,9892.0,14805.0,12294.1,7439.2,6691.3,5780.0,5843.6,6160.3,6246.0,7345.2,2038.6,5472.1,16357.1,7637.7,10126.2,4491.0,10114.7,5060.4,16183.0,5965.8,2775.6,6722.6,2625.2,10418.3,6965.6,8185.5,10642.4,15804.6,16693.9,2491.0,1892.7,2164.3
AR,13579.5,7782.6,0.0,11813.2,11766.0,17057.3,11322.9,8053.0,13441.6,1821.2,2342.4,7968.5,8975.5,7865.5,11209.2,7326.6,850.3,8206.0,19266.8,4682.5,5667.0,6895.0,11825.7,11912.3,11158.2,11856.3,9811.8,4357.8,11800.0,10034.5,10160.3,12618.9,11507.0,11081.0,11118.0,7266.9,10478.8,6019.9,11889.1,11042.4,15894.7,12235.7,13785.8,11342.8,11141.0,12034.5,18375.0,10076.5,17243.5,19460.0,12615.0,18609.0,11830.6,9029.5,9681.0,19168.1,7546.6,7376.0,15910.4,8118.5,7596.5,8006.0,11445.3,11708.5,17133.0,10328.5,13648.9,5292.0,3138.8,14079.5,19996.0,15109.1,12229.4,9579.6,13313.0,11812.7,11808.8,13476.0,9474.2,11977.1,12613.8,12085.5,15872.9,6951.2,17237.0,10189.5,10330.0,11800.1,9350.0,12816.6,9609.4,8374.8,203.0,15913.2,18739.666666666668,12210.8,10318.2,8122.7,8216.0,8175.5
AT,4236.5,6130.9,11813.2,0.0,16085.8,6927.9,915.0,4220.6,3930.9,10573.2,9615.3,7817.1,6770.9,5599.5,682.4,5018.8,12461.6,4871.7,7455.6,9601.7,9790.0,8691.7,251.9,524.0,4853.7,870.0,1638.7,10184.4,2384.7,1809.7,4823.0,1442.3,16307.3,1033.7,1234.9,5034.5,1280.0,9836.7,214.0,1696.9,5560.5,2824.7,3168.0,3045.3,765.0,2457.4,9129.5,5680.2,8730.9,8272.9,3418.1,8330.2,2240.6,2378.7,8179.5,6248.1,4262.8,10000.5,9618.6,8211.5,7616.1,4294.5,937.0,1402.1,6228.5,18183.5,4475.7,9604.5,11239.7,13511.05,9714.9,4899.0,556.0,2300.2,3942.3,855.1,490.4,1670.0,5865.4,3666.2,15202.8,1244.0,9701.2,4756.4,8453.1,1360.5,16885.3,1597.6,5943.2,1003.8,5268.0,7037.5,11241.3,4183.4,8330.4,15967.4,16184.4,8366.5,7206.7,7455.5
AU,12044.9,12056.8,11766.0,16085.8,0.0,9044.7,16464.0,15612.6,12322.0,12822.3,14093.5,10715.7,16233.9,12363.5,16539.9,15345.38,11341.0,13998.0,8964.0,14306.0,13927.3,16172.8,16088.8,16092.1,11994.0,16040.6,17189.7,14273.6,14402.5,17622.8,11719.6,15220.9,3295.1,16945.2,16939.0,15697.2,15301.3,14259.2,15731.5,17220.5,10245.5,13004.6,12851.7,16900.2,16315.0,13220.5,7974.4,12051.3,6957.6,8343.1,12298.7,7137.0,14092.3,17941.8,9763.3,9555.9,17696.3,13679.2,6389.6,10421.5,10761.1,14759.5,16605.8,15946.0,9697.6,2325.2,11362.5,14325.7,12771.5,2626.4,6277.9,10613.0,15605.3,18061.2,11944.0,15470.6,15932.8,14471.8,11684.0,12707.2,3012.1,15600.3,6092.9,17221.9,7303.1,16261.5,3833.5,14373.6,11204.5,14918.9,12029.5,16000.2,11741.5,11541.9,7586.2,2503.3,4411.1,10283.8,11763.5,10797.0
BD,3699.0,9740.0,17057.3,6927.9,9044.7,0.0,7642.4,9434.4,3944.4,16919.3,15878.8,8368.3,11853.8,8989.6,7548.3,10725.9,17131.4,8557.4,3026.6,16390.7,16391.6,15336.8,7125.1,7109.8,5263.8,7331.4,8376.7,16425.8,5278.0,8267.369999999999,6039.6,6575.5,11441.0,7908.1,7995.7,10025.4,6084.4,15849.7,6738.4,8165.6,1423.7,4410.2,4028.4,8336.4,7264.2,5030.8,4829.0,6827.4,1869.0,3726.6,4259.5,1353.6,5125.3,9196.5,6860.0,3118.2,10796.75,15673.8,2630.3,7726.55,9436.4,8680.5,7707.1,7347.7,663.0,11073.5,3280.8,16318.8,17498.0,6829.5,3328.1,1999.1,6688.8,8623.0,3941.6,6290.2,6753.5,5073.5,7331.2,4632.5,8717.6,6917.1,2895.6,11853.8,1540.0,7562.55,11528.5,5240.7,6672.7,5955.7,7264.9,12803.2,16297.9,2919.1,1861.4,9982.4,11039.3,8339.8,8243.189999999999,7977.5
BE,5148.8,6577.8,11322.9,915.0,16464.0,7642.4,0.0,4464.0,4759.6,10077.7,9181.1,8176.7,5641.0,6231.5,488.4,5135.4,11763.7,5269.1,7970.0,8784.4,8954.6,7707.5,717.1,651.0,5541.4,764.9,1604.0,9482.8,3211.6,1315.5,5633.9,1647.5,16341.2,264.0,320.0,5039.8,2090.4,9045.7,1129.7,774.0,6364.1,3721.0,4076.4,2131.3,1173.0,3308.4,9441.7,6515.5,9553.4,8671.4,4365.8,8993.5,3141.8,1897.9,8765.4,6866.1,3829.0,9241.3,10120.3,8763.6,8253.8,4750.3,173.0,1027.3,7103.8,18799.0,5478.5,8730.5,10404.8,14229.1,10445.0,5745.2,1160.0,1712.0,4895.1,1763.2,1373.4,2253.0,6277.3,4645.7,15182.7,1281.0,10539.1,4489.1,9265.8,1625.6,16651.7,2592.0,6759.6,1859.5,6212.9,6246.6,10869.5,4946.6,8365.6,16262.5,15677.5,8855.6,7543.2,7877.0
BF,5520.8,2941.8,8053.0,4220.6,15612.6,9434.4,4464.0,0.0,5356.2,8263.4,5929.3,4989.6,7988.5,2810.9,3983.2,671.3,8963.1,1807.6,10918.8,7931.9,8813.5,8021.3,4469.6,4704.05,4717.1,4919.5,2712.7,8456.4,3669.9,3177.5,4198.0,5633.8,18342.5,4070.2,4496.7,759.6,3591.5,9109.0,4250.2,4608.4,8054.9,4885.7,5423.6,5782.8,3555.6,4391.8,12506.7,4460.9,11045.0,11873.0,5394.0,10699.3,4286.0,2422.2,6373.5,9854.84,1614.2,10113.0,11037.5,5825.0,4654.8,833.3,4554.4,5338.0,8615.95,17512.5,5792.5,8313.5,8811.0,16465.0,12593.6,7388.2,4844.5,3100.3,5412.9,4490.3,4200.0,5822.5,3583.9,4844.2,18330.5,5411.4,11478.6,1699.1,10513.1,2748.1,19074.0,4469.4,4544.5,5023.6,3596.0,8186.7,8027.9,6861.7,10674.2,18316.0,18093.0,5294.5,4553.5,4859.8
BH,428.3,5992.7,13441.6,3930.9,12322.0,3944.4,4759.6,5356.2,0.0,13439.6,11519.0,6241.6,10149.9,5031.2,4499.3,6081.8,13941.0,4823.4,6161.5,13138.5,13699.7,12138.5,4198.4,4333.5,1949.2,4765.3,4707.4,13791.4,1928.2,4838.5,2219.5,4315.0,14380.1,4808.8,5119.2,5940.7,2658.4,13372.8,3544.4,5565.6,2652.2,986.7,1035.8,6303.3,3995.9,1534.2,8261.3,3516.9,6007.3,7076.1,419.7,5499.3,1580.7,5417.0,5331.1,5532.2,6228.5,14317.5,6280.6,6170.0,6574.9,4951.9,4806.9,4866.1,3587.7,14663.0,832.4,13532.9,14263.3,10608.3,7395.9,2267.4,3869.6,5637.6,140.8,3071.1,3392.3,3438.0,4157.0,420.7,12647.5,4659.1,6325.6,7130.2,5367.5,3845.1,14709.5,2002.5,4144.8,3094.5,3747.5,10520.6,11913.3,2809.8,6038.5,13959.9,14757.4,6299.9,5074.5,5622.4
BO,13801.0,7765.7,1821.2,10573.2,12822.3,16919.3,10077.7,8263.4,13439.6,0.0,1970.4,9093.3,6735.7,8906.5,10065.7,7750.25,1641.1,8341.9,17842.4,2877.5,3815.5,4946.6,10755.3,10259.3,11958.14,10457.3,9102.4,2432.1,10692.0,9145.1,11101.5,11600.8,12069.8,9982.5,9811.6,7845.4,10501.5,4613.9,11077.8,9632.5,16103.2,12767.6,13612.0,9712.2,10129.8,12290.0,16991.6,10461.25,18248.0,17845.5,12879.7,18632.0,11560.5,8492.7,10109.2,16469.6,7723.610000000001,5387.4,18192.0,9193.8,7907.9,7970.3,10114.8,10548.3,17190.9,10523.8,13776.1,3376.2,1445.2,15145.7,18851.0,15404.8,11111.1,8686.3,13588.35,10960.5,10984.8,12358.8,9914.6,12755.1,13297.5,10972.6,17822.8,7117.0,17571.4,9634.05,11030.5,11688.1,10112.3,11651.8,10166.0,6424.5,1914.2,14741.7,19173.1,13042.5,11267.0,8916.2,9032.84,8918.4
