place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5680.0,13594.5,4236.5,12046.5,3610.0,5150.0,5555.0,424.0,13875.0,12120.0,6275.0,10985.0,5054.5,4815.0,6217.5,14710.0,4835.5,5940.0,13615.0,14210.0,12495.0,4456.5,4652.5,1991.5,4825.0,5040.5,14195.0,2289.0,5640.0,2404.0,4795.0,14165.0,5250.0,5475.0,5910.0,3270.0,14018.5,4015.0,5945.0,2298.0,1385.0,1274.5,6545.5,4320.0,1982.5,8019.5,3560.0,5551.5,6860.0,852.5,5185.0,1982.5,5836.0,4990.5,5261.0,6642.5,14316.0,5587.0,6362.0,6538.5,5115.0,5171.0,5164.0,3327.0,14244.0,420.0,13826.0,14800.0,10357.5,6963.5,2031.0,4157.5,6125.0,300.0,3405.0,3811.0,3740.0,3737.5,791.0,12045.0,4813.0,5890.0,7487.5,4966.5,4230.0,14850.0,2624.0,3894.5,3467.5,3720.0,11322.0,12620.0,2431.0,5279.0,14022.5,14732.5,6292.5,4975.0,5477.5
AO,5680.0,0.0,7785.0,6130.0,11909.0,9699.0,6499.0,2910.5,5937.5,7715.0,6307.5,2070.0,10767.0,554.0,6227.0,2724.5,8205.0,1416.0,11540.0,9522.5,9837.5,10125.0,6615.0,6530.0,4587.5,7182.5,4830.0,9647.5,4917.5,5775.0,3501.5,7744.0,15682.5,6501.5,6830.0,2403.5,5557.5,10415.0,6141.5,7382.5,8602.5,5839.0,6190.0,9232.5,5797.5,5381.0,13561.0,3165.0,10407.5,12382.5,5927.5,10160.0,5489.0,5592.5,3917.5,11309.5,4165.0,12034.0,9444.0,2785.0,1580.0,2241.5,6825.0,7502.5,8805.0,12541.0,6067.0,9601.0,9870.0,14825.0,12305.0,7396.0,6680.0,5780.0,5839.5,6180.0,6257.5,7420.0,2029.0,5447.5,16332.0,7600.0,10097.0,4449.5,10115.0,5052.5,16105.0,5942.5,2793.5,6746.0,2623.5,10471.5,6878.0,8122.5,10681.5,15767.5,16657.5,2490.0,1876.5,2163.5
AR,13594.5,7785.0,0.0,11815.0,11792.5,17066.5,11325.0,8055.0,13470.0,1807.5,2340.0,7950.0,8977.5,7857.5,11192.5,7302.5,850.0,8182.5,19270.0,4685.0,5670.0,6895.0,11817.5,11911.5,11180.0,11820.0,9796.5,4353.0,11800.0,10030.0,10224.5,12627.5,11515.0,11082.0,11122.5,7167.0,10480.0,6048.5,11883.0,11040.0,15900.0,12234.0,13785.0,11355.0,11140.0,12022.5,18375.0,10172.5,17257.5,19430.0,12602.5,18655.0,11837.5,8957.5,9562.5,19226.5,7537.5,7375.0,15917.0,8122.5,7595.0,7962.5,11445.0,11675.0,17240.0,10340.0,13617.5,5290.0,3139.0,14050.0,19996.0,15072.5,12234.5,9580.0,13315.0,11813.0,11808.5,13476.0,9535.0,11947.5,12570.0,12177.5,15869.0,6952.5,17250.0,10189.5,10340.0,11803.5,9312.5,12816.5,9590.0,8375.0,203.0,15945.0,18742.0,12245.0,10320.0,8115.0,8160.0,8175.0
AT,4236.5,6130.0,11815.0,0.0,16082.0,6952.5,915.0,4220.0,3940.0,10578.5,9614.0,7850.0,6800.0,5577.5,682.5,5023.5,12480.0,4886.0,7455.0,9646.5,9807.0,8689.0,252.0,524.0,4852.5,870.0,1636.5,10182.5,2384.5,1809.0,4821.5,1437.5,16305.0,1034.0,1235.0,5051.0,1280.0,9835.0,214.0,1696.0,5562.5,2839.5,3165.0,2984.0,765.0,2458.5,9130.0,5680.0,8772.5,8272.0,3419.0,8345.0,2241.5,2367.0,8165.0,6243.0,4284.0,9924.0,9657.5,8190.0,7632.5,4317.5,937.0,1391.5,6250.0,18181.0,4482.5,9632.5,11275.0,13509.75,9720.5,4890.0,556.0,2300.0,3958.0,855.0,490.0,1670.0,5872.5,3662.5,15301.5,1244.0,9701.0,4780.0,8455.0,1360.0,16944.0,1595.0,5947.5,1004.0,5267.5,7040.5,11221.5,4184.5,8340.0,15948.0,16175.5,8357.5,7218.5,7460.0
AU,12046.5,11909.0,11792.5,16082.0,0.0,9085.0,16579.0,15627.5,12320.0,12847.5,14070.0,10552.5,16250.0,12480.0,16566.0,15281.5,11340.0,14005.0,8965.0,14317.5,13945.0,16267.5,16089.5,16092.0,11947.5,16043.0,17162.5,14335.0,14400.0,17630.0,11621.0,15220.0,3276.0,16960.0,16960.0,15675.0,15308.0,14252.5,15747.5,17222.5,10214.0,13066.5,12835.0,16951.0,16315.0,13207.5,7973.5,12167.5,6946.0,8340.0,12306.0,7120.0,14127.5,17909.5,9827.5,9561.5,17667.5,13857.5,6332.5,10412.5,10752.0,14705.0,16592.5,15924.0,9690.0,2325.0,11415.0,14320.0,12775.0,2626.0,6275.0,10577.5,15605.0,18050.0,11950.0,15530.0,15935.0,14470.0,11700.0,12715.0,3032.0,15600.0,6135.5,17192.5,7331.0,16242.5,3827.5,14407.5,11202.5,14915.0,11972.5,16005.0,11760.0,11580.0,7741.0,2505.0,4415.0,10281.5,11755.0,10855.0
BD,3610.0,9699.0,17066.5,6952.5,9085.0,0.0,7665.0,9418.0,3937.5,16772.5,15830.0,8343.0,11835.0,9027.5,7554.5,10602.5,17120.0,8462.5,3026.5,16400.0,16347.5,15349.0,7135.0,7133.0,5252.5,7334.5,8397.0,16502.5,5258.0,8264.5,6051.5,6585.0,11430.0,7910.0,7993.0,9995.0,6060.5,15897.5,6733.5,8186.0,1424.0,4402.5,4239.5,8361.0,7275.0,5007.5,4820.0,6825.0,1864.5,3725.0,4263.5,1350.5,5130.0,9177.5,6882.5,3111.0,10780.0,15860.0,2630.0,7759.0,9440.0,8645.0,7693.0,7354.0,665.0,11080.0,3282.5,16305.0,17412.5,6827.5,3327.5,2024.5,6703.5,8612.5,3936.0,6270.0,6757.5,4980.5,7295.0,4667.5,8725.0,6910.5,2895.0,11867.5,1540.0,7544.0,11632.5,5215.0,6710.0,5956.0,7244.5,12690.0,16268.0,2893.5,1860.0,10025.5,11061.5,8350.0,8260.0,7947.5
BE,5150.0,6499.0,11325.0,915.0,16579.0,7665.0,0.0,4416.5,4769.5,10071.5,9181.0,8146.0,5637.5,6230.0,488.0,5133.5,11732.0,5259.5,7970.0,8817.5,8966.0,7706.0,717.0,651.0,5562.5,765.0,1644.0,9456.5,3210.5,1315.5,5632.5,1647.5,16345.0,264.0,320.0,5031.0,2089.0,9032.0,1130.0,774.0,6363.0,3755.5,4075.0,2131.5,1173.0,3333.0,9438.5,6517.5,9528.5,8672.0,4356.0,9004.5,3143.0,1879.0,8766.5,6982.5,3810.5,9224.0,10255.0,8759.5,8249.5,4755.0,173.0,1024.5,7196.0,18815.0,5480.0,8801.5,10525.0,14250.5,10444.0,5833.5,1160.0,1713.0,4895.0,1763.0,1373.0,2253.0,6247.5,4688.5,15164.5,1281.0,10539.5,4490.0,9264.5,1626.0,16647.5,2595.0,6737.5,1850.0,6230.0,6240.0,10880.0,4923.0,8363.5,16270.0,15690.0,8872.5,7592.0,7865.0
BF,5555.0,2910.5,8055.0,4220.0,15627.5,9418.0,4416.5,0.0,5332.5,8300.0,5905.0,4977.5,8016.0,2796.0,3997.0,678.5,9002.5,1804.5,10921.0,7848.0,8852.5,7965.5,4455.0,4672.5,4700.0,4905.5,2713.5,8369.0,3645.0,3182.5,4152.5,5632.5,18360.0,4070.0,4437.5,760.0,3601.5,9110.0,4224.0,4617.0,8060.5,4885.0,5392.5,5759.0,3557.5,4413.0,12527.3,4495.0,11040.0,11840.0,5399.0,10570.0,4302.5,2433.5,6350.0,9888.75,1612.0,10110.0,10982.5,5845.0,4644.0,825.0,4593.5,5365.0,8622.5,17452.5,5737.5,8317.5,8720.0,16230.0,12617.5,7366.0,4841.5,3120.0,5412.5,4484.5,4190.0,5850.0,3567.0,4853.0,18292.5,5414.0,11452.5,1687.5,10535.0,2730.0,19077.5,4487.5,4540.0,5022.5,3557.5,8141.0,8080.0,6841.0,10712.5,18352.5,18165.0,5280.0,4570.0,4875.0
BH,424.0,5937.5,13470.0,3940.0,12320.0,3937.5,4769.5,5332.5,0.0,13425.0,11529.5,6182.5,10125.0,5016.0,4479.5,6084.5,13930.0,4850.0,6151.0,13219.5,13734.0,12152.5,4195.5,4341.5,1952.5,4781.0,4722.5,13832.5,1927.5,4846.0,2202.0,4283.0,14340.0,4822.5,5090.0,6016.0,2622.0,13341.5,3550.0,5584.0,2626.5,988.0,1036.5,6297.5,4003.5,1533.0,8261.0,3518.5,5960.5,7059.0,420.0,5490.0,1580.0,5452.5,5315.0,5512.0,6222.5,14316.0,6275.5,6100.0,6538.5,4915.0,4806.5,4876.5,3595.5,14700.0,834.0,13585.0,14249.5,10763.5,7397.5,2238.0,3867.5,5660.0,141.0,3075.5,3397.5,3440.0,4143.0,421.0,12567.5,4684.0,6333.0,7155.0,5360.0,3861.0,14800.0,2012.5,4165.0,3114.5,3752.0,10479.5,11864.5,2812.5,6012.5,13992.5,14776.0,6278.5,5085.0,5660.0
BO,13875.0,7715.0,1807.5,10578.5,12847.5,16772.5,10071.5,8300.0,13425.0,0.0,1960.0,9105.0,6724.0,8880.0,10066.5,7798.5,1636.0,8317.0,17732.5,2879.0,3816.5,4910.0,10790.0,10235.0,11939.0,10438.5,9132.5,2422.5,10646.0,9159.0,11094.0,11638.5,11930.0,9990.5,9792.5,7855.0,10522.5,4610.0,11090.0,9648.5,16070.0,12822.0,13617.5,9681.5,10100.0,12315.0,16988.0,10450.0,18345.0,18033.5,12894.5,18595.0,11578.0,8475.0,10095.0,16390.0,7762.0,5399.5,18357.5,9207.5,7873.5,7952.5,10114.0,10559.0,17230.0,10535.0,13799.5,3367.0,1448.0,15140.0,18930.0,15393.5,11041.0,8680.0,13585.0,10942.5,10935.0,12405.0,9887.5,12794.0,13442.0,10961.0,17877.5,7101.5,17523.5,9591.0,11132.5,11662.5,10130.0,11646.0,10170.0,6450.0,1911.5,14708.5,19207.5,12935.0,11230.0,8937.5,9081.7,8922.5
BR,12120.0,6307.5,2340.0,9614.0,14070.0,15830.0,9181.0,5905.0,11529.5,1960.0,0.0,7445.0,6935.0,6815.0,9102.5,5635.0,3017.5,6927.5,16977.5,3660.0,4861.5,5282.5,9549.0,9510.0,9600.0,9469.0,7722.5,3420.0,9490.0,7268.5,9155.0,10507.5,14032.5,8725.0,8776.5,5590.0,9495.0,5437.5,9635.0,8758.0,14230.0,11105.0,12022.5,8862.5,8725.0,10390.0,17370.5,8114.5,17180.0,18130.0,11372.5,17685.0,10057.5,6974.5,9337.5,16262.5,5168.5,6845.0,16400.0,7663.0,6668.5,6150.0,9193.0,9599.0,14932.5,11875.0,11980.0,4607.5,3170.0,16815.0,18410.0,13667.5,9995.0,7290.0,11651.0,9877.5,9510.0,11180.0,8070.0,10710.0,15371.0,10066.0,16684.0,5018.0,16740.0,8175.0,12802.5,10296.0,8475.0,10167.5,7660.0,6735.5,2280.0,13920.0,17112.5,14679.5,13712.5,7441.5,7677.5,7482.5
BW,6275.0,2070.0,7950.0,7850.0,10552.5,8343.0,8146.0,4977.5,6182.5,9105.0,7445.0,0.0,12770.0,2212.5,8220.0,4952.0,8997.5,3116.5,11337.5,10210.0,11720.5,11866.0,8317.5,8555.0,4585.0,8964.0,6890.0,10445.0,5404.0,7937.5,3937.5,9212.5,15322.0,8415.0,8530.0,4440.0,6925.0,12467.5,8095.0,9189.0,7950.0,6492.5,6862.5,10117.5,7472.5,6467.5,12877.5,2908.0,9741.0,12262.5,6487.5,9725.0,6622.5,7375.0,2472.5,11768.5,6205.0,14325.0,8835.5,581.5,908.0,4127.5,8778.0,9257.5,8491.0,11890.0,6292.5,11386.5,10362.5,13107.5,11400.0,7887.5,8460.0,7942.5,6886.0,7670.0,7832.5,8796.5,2498.0,6121.5,14379.0,9310.0,9222.0,6007.5,9575.0,7122.5,15460.0,7427.5,2340.0,8255.0,2921.5,12516.5,7984.0,8367.5,10050.0,14387.5,15917.5,258.0,1004.0,913.5
CA,10985.0,10767.0,8977.5,6800.0,16250.0,11835.0,5637.5,8016.0,10125.0,6724.0,6935.0,12770.0,0.0,10340.0,6000.0,8128.5,8590.0,9335.0,10525.0,4535.0,3760.0,2617.0,6370.0,6137.0,10788.5,5652.5,6137.5,5050.0,8553.0,5682.0,11341.0,6108.5,12185.0,5655.0,5380.0,8155.0,7627.5,3742.5,6837.5,4804.0,11157.5,9188.5,9555.5,4036.0,6722.5,8880.0,10315.0,11764.5,13610.0,10467.5,9777.5,12647.5,8577.5,5680.0,14045.0,9327.0,6101.0,3622.5,14800.0,12680.0,11470.0,8550.0,5642.5,5561.0,11585.0,14418.0,10875.0,3872.5,6201.5,14125.0,13205.0,10696.5,6575.0,5274.5,10430.0,7318.0,7310.0,7141.0,11306.0,9936.0,12594.0,5975.0,14826.5,6208.5,13640.0,7000.0,11702.5,7943.0,12160.0,7262.0,11165.0,732.0,9012.5,9572.5,12538.0,13160.0,11610.0,12815.0,11970.0,12277.5
CD,5054.5,554.0,7857.5,5577.5,12480.0,9027.5,6230.0,2796.0,5016.0,8880.0,6815.0,2212.5,10340.0,0.0,5757.5,2710.0,9282.5,973.5,11327.5,9672.5,10400.0,10257.5,5990.0,6157.5,3412.5,6462.5,4847.5,9924.0,4186.0,5772.5,3020.0,6931.5,16655.0,6045.0,6374.5,1942.0,4865.0,11003.5,5625.0,6371.0,8130.0,5031.5,5727.5,7929.0,5417.5,4775.0,12950.0,2415.0,10462.5,11875.0,5084.0,10145.0,4915.0,4848.5,3885.0,10667.5,4421.0,12575.0,9687.5,2781.0,1903.0,1722.5,6202.5,6987.5,8542.5,14107.5,5125.0,9830.0,10077.5,14975.0,11643.0,7180.0,6170.0,5780.0,5107.5,5820.0,5507.5,6917.5,1670.0,4755.0,15835.0,6952.5,10157.5,4200.0,9814.0,4777.5,16380.0,5149.5,2042.5,6117.5,1950.0,10165.0,7877.5,7495.0,10410.0,16095.0,16755.0,2778.0,1680.0,2233.5
CH,4815.0,6227.0,11192.5,682.5,16566.0,7554.5,488.0,3997.0,4479.5,10066.5,9102.5,8220.0,6000.0,5757.5,0.0,4582.5,11859.0,4882.5,7964.0,9009.5,9373.5,8133.0,617.0,753.0,5165.0,963.0,1046.0,9735.0,2710.5,1149.5,5107.5,1733.5,16540.0,435.0,746.0,4658.0,1631.0,9398.0,807.5,1224.5,6359.0,3383.0,3924.0,2623.5,684.0,2953.0,9588.5,6075.0,9356.0,8744.5,3984.5,8874.5,2752.5,1729.0,8171.5,6887.5,3815.0,9547.0,9990.5,8238.5,7955.0,4062.5,596.5,1472.5,6831.0,18820.0,5129.0,8815.0,10341.0,14125.0,10828.5,5529.5,1136.0,1651.5,4607.5,1450.5,955.5,2188.0,5932.5,4222.0,15432.0,1501.5,10292.0,4230.0,9055.0,1128.0,16862.5,2160.0,6130.0,1651.5,5650.0,6472.5,11105.0,4881.5,8778.0,16257.5,16420.0,8515.0,7285.0,7569.0
