place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5658.75,13582.5,4236.75,12048.0,3681.75,5148.875,5529.625,426.625,13820.625,12082.5,6268.125,10958.875,5060.875,4814.125,6260.0,14724.375,4836.875,5913.75,13618.25,14245.0,12519.75,4456.625,4650.75,1994.375,4823.375,5045.125,14186.25,2289.5,5641.0,2405.625,4799.5,14155.0,5249.125,5474.0,5881.875,3271.0,14054.05,4014.125,5943.25,2297.875,1383.75,1274.25,6588.625,4320.625,1966.875,8032.625,3559.375,5510.625,6860.875,852.75,5200.5,1983.375,5803.375,4972.0,5252.5,6631.25,14315.0,5586.5,6336.75,6560.125,5096.0,5171.25,5165.0,3314.625,14237.0,415.125,13862.125,14803.75,10360.125,7020.0,2029.125,4157.375,6127.25,300.375,3405.125,3810.125,3741.625,3782.25,789.75,12095.0,4811.5,5890.0,7488.125,4967.25,4239.375,14818.0,2614.75,3879.5,3454.375,3722.875,11322.75,12642.5,2432.0,5293.25,13941.625,14688.75,6293.75,4976.875,5476.875
AO,5658.75,0.0,7790.0,6126.125,12036.625,9712.5,6563.625,2937.0,5976.875,7766.5,6422.375,2107.625,10838.625,552.125,6199.875,2736.75,8187.5,1429.5,11538.125,9419.75,9751.875,10117.0,6610.625,6543.125,4601.25,7183.0,4826.25,9660.75,5038.75,5774.375,3499.375,7804.0,15826.875,6501.625,6829.875,2402.25,5567.875,10410.625,6137.875,7354.75,8603.25,5818.375,6166.5,9114.375,5768.75,5371.5,13563.0,3167.375,10420.375,12391.25,5954.0,10162.75,5482.25,5576.875,3953.0,11338.75,4170.125,12053.875,9415.125,2785.0,1581.375,2207.75,6828.125,7513.125,8801.0,12480.875,6083.5,9636.75,9890.625,14802.5,12304.5,7433.75,6691.25,5780.0,5825.375,6177.25,6242.5,7349.625,2026.25,5457.75,16335.75,7627.125,10107.0,4490.0,10114.0,5047.375,16186.25,5948.5,2780.125,6718.875,2635.375,10431.375,6890.75,8181.875,10629.25,15815.125,16678.625,2490.625,1890.875,2164.375
AR,13582.5,7790.0,0.0,11812.375,11777.0,17062.875,11323.5,8076.25,13452.625,1818.5,2342.125,7966.875,8976.25,7862.5,11208.0,7324.5,850.0,8193.125,19268.5,4685.0,5673.125,6896.25,11823.75,11912.25,11167.125,11846.625,9806.25,4356.375,11800.0,10033.75,10180.375,12621.75,11520.0,11082.5,11118.75,7237.375,10479.0,6043.375,11886.875,11044.875,15894.625,12228.375,13786.625,11338.5,11141.25,12039.375,18375.0,10099.375,17249.375,19447.5,12615.625,18615.625,11838.25,8993.125,9650.0,19208.875,7551.875,7375.625,15913.0,8117.125,7591.875,7987.5,11445.125,11704.375,17154.375,10330.0,13647.375,5291.25,3138.875,14061.875,19996.0,15103.375,12230.75,9580.125,13313.125,11812.75,11807.25,13476.0,9495.25,11965.125,12582.5,12094.375,15872.25,6953.125,17254.375,10191.25,10331.875,11802.25,9345.625,12816.75,9608.625,8374.125,203.0,15939.625,18739.666666666668,12221.0,10298.375,8121.125,8193.125,8174.375
AT,4236.75,6126.125,11812.375,0.0,16085.375,6932.125,915.0,4226.25,3935.625,10573.375,9613.375,7814.5,6778.5,5609.375,682.5,5019.875,12471.875,4872.75,7455.75,9619.0,9789.125,8690.25,251.875,524.0,4859.0,870.0,1637.625,10181.625,2384.375,1809.5,4822.5,1440.5,16306.0,1033.75,1235.0,5043.125,1280.0,9835.0,214.0,1696.5,5561.25,2830.625,3166.875,3034.625,765.0,2457.375,9130.0,5685.625,8733.625,8272.875,3418.625,8337.375,2242.375,2377.75,8179.5,6241.75,4283.25,9996.875,9664.125,8206.25,7603.25,4287.875,937.0,1398.625,6234.875,18181.875,4475.0,9624.375,11262.125,13507.5625,9719.625,4897.5,556.0,2300.125,3953.125,855.0,490.375,1670.0,5874.0,3672.75,15209.75,1244.0,9702.625,4762.375,8453.625,1360.375,16892.875,1597.5,5929.625,1004.0,5261.25,7038.625,11241.0,4185.0,8332.5,15973.625,16184.875,8359.375,7212.125,7463.75
AU,12048.0,12036.625,11777.0,16085.375,0.0,9059.625,16473.25,15616.75,12311.875,12817.5,14079.375,10708.125,16231.75,12391.875,16561.5,15325.475,11340.0,14029.375,8964.375,14309.375,13939.375,16214.75,16087.875,16092.0,11991.875,16045.125,17183.375,14317.0,14403.75,17623.125,11700.75,15220.5,3285.125,16947.75,16941.25,15668.75,15309.75,14282.5,15739.375,17221.625,10233.5,13029.75,12838.75,16921.5,16315.0,13215.0,7974.25,12078.5,6945.375,8342.5,12288.375,7143.125,14099.75,17932.875,9760.0,9566.125,17707.25,13730.25,6383.75,10422.5,10760.5,14752.5,16603.0,15938.0,9697.0,2325.125,11361.875,14320.875,12772.5,2621.75,6277.375,10586.25,15605.375,18059.0,11970.0,15496.875,15934.125,14471.375,11696.25,12702.0,3013.375,15598.875,6096.625,17221.875,7307.0,16261.25,3824.25,14378.25,11201.875,14918.0,12012.5,15996.375,11748.125,11561.875,7612.125,2496.5,4413.25,10282.25,11765.625,10816.875
BD,3681.75,9712.5,17062.875,6932.125,9059.625,0.0,7653.625,9419.875,3937.375,16883.75,15858.0,8383.5,11841.5,8996.0,7549.75,10706.5,17114.875,8510.875,3026.25,16386.75,16367.0,15382.25,7126.75,7114.25,5257.625,7331.0,8377.75,16428.125,5277.5,8267.2125,6049.0,6576.875,11435.625,7908.25,7995.375,10015.0,6078.0,15862.125,6737.75,8182.625,1423.75,4409.375,4045.5,8338.125,7266.875,5014.125,4828.125,6827.0,1866.625,3726.25,4257.875,1352.125,5129.5,9196.25,6867.25,3106.5,10806.8125,15748.375,2630.125,7733.8125,9455.875,8673.75,7705.125,7348.0,663.125,11079.375,3282.5,16310.375,17483.75,6816.875,3324.625,2013.625,6704.0,8630.625,3940.75,6277.0,6766.625,5025.625,7326.25,4643.625,8701.5,6916.0,2895.5,11856.0,1540.0,7551.125,11539.375,5239.375,6685.25,5939.0,7258.875,12747.375,16281.125,2903.875,1860.5,9988.625,11062.25,8349.125,8262.9875,7976.875
BE,5148.875,6563.625,11323.5,915.0,16473.25,7653.625,0.0,4452.75,4765.75,10076.875,9188.125,8165.0,5641.25,6231.875,488.375,5131.75,11754.5,5267.625,7970.0,8803.75,8964.5,7704.75,717.0,651.0,5549.875,764.875,1643.25,9479.125,3211.375,1315.5,5634.0,1647.375,16340.25,264.0,320.0,5039.625,2090.25,9042.375,1129.75,774.0,6363.875,3730.625,4076.75,2131.5,1173.0,3306.0,9441.25,6520.0,9550.375,8671.625,4361.125,9005.875,3142.375,1878.625,8770.375,6880.125,3821.0,9227.25,10169.5,8769.875,8253.5,4752.25,173.0,1024.125,7122.875,18805.625,5481.875,8751.875,10413.875,14251.25,10447.5,5765.25,1160.0,1712.125,4895.0,1763.375,1373.375,2253.0,6268.125,4657.25,15172.375,1281.0,10538.875,4489.25,9265.25,1625.625,16635.25,2592.125,6755.875,1858.125,6216.75,6245.125,10873.125,4938.25,8362.125,16266.25,15691.25,8861.875,7565.25,7874.375
BF,5529.625,2937.0,8076.25,4226.25,15616.75,9419.875,4452.75,0.0,5352.0,8261.0,5913.25,4984.5,7997.125,2804.875,3991.125,673.0,8976.25,1808.0,10917.875,7922.625,8809.0,8016.625,4462.0,4706.8125,4709.5,4899.375,2712.125,8426.5,3658.0,3180.0,4182.5,5627.875,18340.0,4070.5,4488.125,759.75,3596.25,9113.125,4242.625,4611.625,8037.375,4886.25,5409.5,5776.25,3552.125,4392.25,12536.825,4476.75,11030.0,11879.375,5399.625,10652.25,4292.125,2420.875,6356.875,9872.3,1613.25,10105.0,11021.875,5829.375,4663.5,825.375,4566.75,5340.0,8610.625,17572.5,5777.375,8318.125,8805.0,16470.0,12586.375,7392.625,4849.375,3104.75,5417.375,4488.5,4202.5,5832.5,3581.125,4848.375,18296.875,5411.75,11467.875,1695.0,10525.375,2755.75,19060.0,4478.625,4546.25,5024.125,3594.375,8186.125,8030.5,6845.875,10674.625,18301.875,18156.875,5289.375,4550.625,4867.5
BH,426.625,5976.875,13452.625,3935.625,12311.875,3937.375,4765.75,5352.0,0.0,13444.5,11531.0,6224.75,10150.625,5027.5,4499.5,6090.125,13949.375,4823.625,6159.375,13158.125,13712.5,12153.125,4197.25,4338.375,1952.625,4771.625,4720.0,13805.625,1927.875,4842.625,2213.375,4312.125,14362.625,4818.375,5117.125,5962.375,2642.375,13379.5,3544.375,5566.875,2626.375,986.875,1032.25,6302.25,3999.25,1532.625,8261.25,3519.5,5997.875,7073.0,419.75,5503.25,1579.5,5435.625,5310.375,5530.75,6225.0,14317.875,6279.375,6138.125,6567.5,4942.125,4805.875,4871.125,3592.125,14665.0,832.5,13556.125,14257.5,10646.625,7396.0,2257.125,3867.0,5641.375,140.875,3079.625,3399.125,3439.625,4147.5,420.625,12592.75,4663.625,6328.625,7155.625,5365.875,3850.5,14721.875,2006.25,4148.5,3098.75,3750.0,10479.625,11906.5,2810.125,6041.25,13966.25,14748.625,6295.875,5066.875,5638.0
BO,13820.625,7766.5,1818.5,10573.375,12817.5,16883.75,10076.875,8261.0,13444.5,0.0,1971.375,9091.125,6740.875,8893.125,10064.5,7750.75,1637.875,8338.625,17823.625,2875.0,3813.375,4933.5,10763.5,10251.5,11947.3,10454.375,9127.0,2429.5,10682.5,9147.0,11090.625,11618.0,12048.75,9986.625,9807.875,7854.5,10497.875,4608.625,11084.75,9639.625,16098.375,12781.375,13612.5,9714.0,10125.625,12288.75,16997.625,10457.1875,18260.0,17843.125,12872.625,18611.875,11565.375,8485.375,10099.0,16428.375,7728.8875,5384.375,18244.375,9216.0,7913.25,7978.0,10116.0,10551.0,17221.25,10529.375,13793.625,3368.25,1436.625,15125.875,18867.25,15409.25,11108.0,8678.25,13571.5625,10949.375,10979.75,12364.375,9920.125,12760.75,13323.625,10974.5,17805.125,7118.75,17567.0,9624.3125,11036.875,11686.5,10124.375,11648.0,10183.5,6423.75,1914.125,14735.25,19187.625,13009.0,11263.75,8912.75,9044.8,8925.0
BR,12082.5,6422.375,2342.125,9613.375,14079.375,15858.0,9188.125,5913.25,11531.0,1971.375,0.0,7400.625,7023.125,6838.125,9062.5,5631.625,3017.125,6896.875,16956.875,3660.0,4844.625,5177.5,9543.5,9509.75,9623.125,9476.0,7804.75,3422.0,9575.5,7271.25,9169.25,10431.375,14066.25,8725.875,8775.5,5589.625,9502.25,5390.0,9651.625,8718.125,14319.375,11092.5,12022.5,8908.75,8725.375,10410.625,17374.375,8097.375,17172.125,18175.375,11387.5,17711.875,10076.25,6973.625,9334.375,16325.625,5186.875,6845.0,16378.125,7710.125,6658.625,6151.875,9202.0,9578.375,14954.375,11898.75,12038.5,4563.375,3170.0,16736.25,18426.25,13730.25,9970.625,7288.5,11660.875,9860.0,9497.125,11175.625,8104.375,10681.25,15266.375,10042.75,16612.0,4987.375,16741.25,8158.75,12782.5,10287.75,8469.375,10165.375,7650.625,6736.0,2279.75,13920.375,17050.625,14650.375,13776.875,7497.25,7582.5,7490.25
BW,6268.125,2107.625,7966.875,7814.5,10708.125,8383.5,8165.0,4984.5,6224.75,9091.125,7400.625,0.0,12715.0,2222.625,8186.875,4967.5,9056.25,3099.5,11374.625,10208.75,11725.875,11837.875,8326.0,8570.875,4568.875,8973.875,6881.25,10443.125,5400.75,7922.25,3926.25,9212.5,15338.5,8401.25,8530.875,4425.625,6934.375,12471.0,8087.5,9180.125,8022.25,6492.125,6882.125,10083.875,7478.5,6458.125,12872.625,2909.5,9707.75,12271.25,6509.125,9763.3125,6563.125,7378.75,2486.875,11756.75,6210.0,14336.75,8814.0,580.5,912.0,4113.75,8784.75,9242.25,8500.5,11880.375,6290.625,11291.25,10363.375,13086.875,11365.625,7859.75,8438.5,7975.0,6883.0,7700.625,7793.75,8802.0,2484.75,6112.625,14410.375,9338.375,9281.125,6014.375,9518.0,7063.125,15375.0,7378.75,2373.125,8249.375,2920.375,12509.25,8004.875,8365.375,10072.25,14442.875,16011.125,258.0,1007.375,912.875
