place_id,AR,AU,BR,CA,CN,DE,EG,FJ,FR,GB,IN,JP,KE,MX,NG,NZ,SA,TH,US,ZA
AR,0.0,11812.5,1590.0,9448.5,12150.0,11200.0,12500.0,12435.0,11100.0,11000.0,12150.0,11773.5,11750.0,8095.0,10082.5,11767.0,12180.0,12189.0,10325.0,11665.0
AU,11812.5,0.0,17625.0,16675.0,10575.0,16327.5,12750.0,3169.5,16943.5,17100.0,9437.5,7800.0,12750.0,12900.0,14800.0,2543.5,11550.0,6921.0,16451.5,11727.5
BR,1590.0,17625.0,0.0,6875.0,17650.0,9300.0,8750.0,16649.0,9335.0,9150.0,13014.0,17700.0,9250.0,3200.0,7900.0,16408.0,10550.0,14648.5,7024.5,8548.0
CA,9448.5,16675.0,6875.0,0.0,7635.0,6317.5,7793.0,15140.0,5600.0,5525.0,9780.0,9750.0,9775.0,3492.5,8215.0,17650.0,8320.0,9850.0,880.0,10750.0
CN,12150.0,10575.0,17650.0,7635.0,0.0,6450.0,6160.0,10859.0,6850.0,7150.0,3680.0,2100.0,6793.5,11450.0,8158.5,10500.0,5535.0,3755.0,11100.0,12600.0
DE,11200.0,16327.5,9300.0,6317.5,6450.0,0.0,1712.0,16258.0,876.5,930.0,5800.0,8900.0,6190.0,9200.0,4373.5,17675.0,4095.0,8125.0,6475.0,9725.0
EG,12500.0,12750.0,8750.0,7793.0,6160.0,1712.0,0.0,14850.0,3225.0,3225.0,3400.0,9650.0,3355.0,9825.0,4075.0,16637.5,1405.0,7490.0,9127.0,7125.0
FJ,12435.0,3169.5,16649.0,15140.0,10859.0,16258.0,14850.0,0.0,16823.5,17150.0,10595.5,7408.5,15839.5,13889.0,16383.0,2194.5,16697.5,7076.0,16550.0,16500.0
FR,11100.0,16943.5,9335.0,5600.0,6850.0,876.5,3225.0,16823.5,0.0,344.0,6339.5,9700.0,6080.0,9200.0,4292.0,18600.0,4175.0,9200.0,6150.0,9860.0
GB,11000.0,17100.0,9150.0,5525.0,7150.0,930.0,3225.0,17150.0,344.0,0.0,6100.0,9500.0,5725.0,9300.0,4910.0,18245.0,4900.0,9550.0,5570.0,9560.0
IN,12150.0,9437.5,13014.0,9780.0,3680.0,5800.0,3400.0,10595.5,6339.5,6100.0,0.0,5940.5,6137.5,14000.0,6730.5,12685.0,3722.0,2407.5,12050.0,9467.5
JP,11773.5,7800.0,17700.0,9750.0,2100.0,8900.0,9650.0,7408.5,9700.0,9500.0,5940.5,0.0,9840.0,10800.0,9944.0,9200.0,7642.5,4050.0,10825.0,13384.0
KE,11750.0,12750.0,9250.0,9775.0,6793.5,6190.0,3355.0,15839.5,6080.0,5725.0,6137.5,9840.0,0.0,12350.0,4095.5,13635.0,4224.0,7871.0,11500.0,4858.0
MX,8095.0,12900.0,3200.0,3492.5,11450.0,9200.0,9825.0,13889.0,9200.0,9300.0,14000.0,10800.0,12350.0,0.0,9502.5,14000.0,11750.0,14100.0,3600.0,12790.0
NG,10082.5,14800.0,7900.0,8215.0,8158.5,4373.5,4075.0,16383.0,4292.0,4910.0,6730.5,9944.0,4095.5,9502.5,0.0,16050.0,4246.5,8736.5,8400.0,6575.0
NZ,11767.0,2543.5,16408.0,17650.0,10500.0,17675.0,16637.5,2194.5,18600.0,18245.0,12685.0,9200.0,13635.0,14000.0,16050.0,0.0,14575.0,9650.0,19600.0,16700.0
SA,12180.0,11550.0,10550.0,8320.0,5535.0,4095.0,1405.0,16697.5,4175.0,4900.0,3722.0,7642.5,4224.0,11750.0,4246.5,14575.0,0.0,5886.5,9795.0,7966.0
TH,12189.0,6921.0,14648.5,9850.0,3755.0,8125.0,7490.0,7076.0,9200.0,9550.0,2407.5,4050.0,7871.0,14100.0,8736.5,9650.0,5886.5,0.0,13325.0,9940.0
US,10325.0,16451.5,7024.5,880.0,11100.0,6475.0,9127.0,16550.0,6150.0,5570.0,12050.0,10825.0,11500.0,3600.0,8400.0,19600.0,9795.0,13325.0,0.0,12630.0
ZA,11665.0,11727.5,8548.0,10750.0,12600.0,9725.0,7125.0,16500.0,9860.0,9560.0,9467.5,13384.0,4858.0,12790.0,6575.0,16700.0,7966.0,9940.0,12630.0,0.0
