place_id,AR,AU,BR,CA,CN,DE,EG,FJ,FR,GB,IN,JP,KE,MX,NG,NZ,SA,TH,US,ZA
AR,0.0,11815.625,1543.375,9334.625,14800.0,11142.5,12389.375,12490.625,11100.0,11022.5,12148.375,11758.375,11660.5,7788.75,10083.75,11826.625,12218.75,12252.5,10381.25,11701.875
AU,11815.625,0.0,17736.875,16681.25,10549.125,16306.875,13106.25,3122.375,16960.875,17062.5,9589.0,8000.0,12650.125,13162.5,14700.0,2562.25,11345.625,7114.625,16435.375,11700.625
BR,1543.375,17736.875,0.0,7032.875,17661.625,9286.875,8817.25,16458.75,9150.0,9100.0,13157.125,17697.5,9185.5,3336.5,7955.625,16364.0,10474.75,14563.375,7142.625,8853.75
CA,9334.625,16681.25,7032.875,0.0,7633.75,6238.125,7743.25,15192.75,5650.0,5528.75,9682.5,9792.5,9675.625,3396.25,8116.5,17466.25,8304.25,9798.875,877.375,10768.75
CN,14800.0,10549.125,17661.625,7633.75,0.0,6440.0,6184.5,11011.875,7012.5,7150.0,3611.5,2100.0,6715.875,11435.125,8194.5,10462.5,5656.0,3756.375,10821.5,12547.5
DE,11142.5,16306.875,9286.875,6238.125,6440.0,0.0,1720.5,16311.375,927.25,930.0,5826.0,8812.5,6183.5,9237.5,4459.375,17381.25,4145.625,8205.0,6490.0,9701.25
EG,12389.375,13106.25,8817.25,7743.25,6184.5,1720.5,0.0,15362.5,3222.875,3233.75,3538.375,9646.25,3513.25,9812.5,3842.0,16420.625,1471.5,7462.625,9126.75,7082.625
FJ,12490.625,3122.375,16458.75,15192.75,11011.875,16311.375,15362.5,0.0,16815.25,17252.0,10551.625,7520.875,15921.375,13663.25,16479.75,2219.5,16571.625,7990.625,16525.0,16480.75
FR,11100.0,16960.875,9150.0,5650.0,7012.5,927.25,3222.875,16815.25,0.0,343.875,6336.75,9704.0,6070.0,9205.0,4276.75,18712.5,4210.625,8962.5,6117.25,9808.5
GB,11022.5,17062.5,9100.0,5528.75,7150.0,930.0,3233.75,17252.0,343.875,0.0,6140.0,9503.75,5720.375,9293.75,4944.25,18186.25,4838.75,9556.625,5565.0,9667.0
IN,12148.375,9589.0,13157.125,9682.5,3611.5,5826.0,3538.375,10551.625,6336.75,6140.0,0.0,5953.5,6130.125,14028.375,6867.625,12821.25,3723.0,2327.5,12060.0,9549.75
JP,11758.375,8000.0,17697.5,9792.5,2100.0,8812.5,9646.25,7520.875,9704.0,9503.75,5953.5,0.0,10072.5,10707.5,10114.75,8850.0,7690.25,4053.75,10828.75,13294.125
KE,11660.5,12650.125,9185.5,9675.625,6715.875,6183.5,3513.25,15921.375,6070.0,5720.375,6130.125,10072.5,0.0,12222.75,4057.375,13671.125,4140.125,7680.125,11457.5,4749.5
MX,7788.75,13162.5,3336.5,3396.25,11435.125,9237.5,9812.5,13663.25,9205.0,9293.75,14028.375,10707.5,12222.75,0.0,9439.25,13950.0,11777.5,14127.5,3606.25,12990.0
NG,10083.75,14700.0,7955.625,8116.5,8194.5,4459.375,3842.0,16479.75,4276.75,4944.25,6867.625,10114.75,4057.375,9439.25,0.0,16012.5,4289.5,8661.375,8418.5,6501.25
NZ,11826.625,2562.25,16364.0,17466.25,10462.5,17381.25,16420.625,2219.5,18712.5,18186.25,12821.25,8850.0,13671.125,13950.0,16012.5,0.0,14002.875,9644.5,19550.0,16768.875
SA,12218.75,11345.625,10474.75,8304.25,5656.0,4145.625,1471.5,16571.625,4210.625,4838.75,3723.0,7690.25,4140.125,11777.5,4289.5,14002.875,0.0,5893.75,10078.125,7942.125
TH,12252.5,7114.625,14563.375,9798.875,3756.375,8205.0,7462.625,7990.625,8962.5,9556.625,2327.5,4053.75,7680.125,14127.5,8661.375,9644.5,5893.75,0.0,13298.75,9897.375
US,10381.25,16435.375,7142.625,877.375,10821.5,6490.0,9126.75,16525.0,6117.25,5565.0,12060.0,10828.75,11457.5,3606.25,8418.5,19550.0,10078.125,13298.75,0.0,12602.5
ZA,11701.875,11700.625,8853.75,10768.75,12547.5,9701.25,7082.625,16480.75,9808.5,9667.0,9549.75,13294.125,4749.5,12990.0,6501.25,16768.875,7942.125,9897.375,12602.5,0.0
