id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AR--AU,AR,AU,11758.30968994146,10,11812.5,11812.5,11815.625,11820.833333326918,179.21510973005473,32118.05555555556,11500.0,12100.0,11725.0,11900.0,175.0,100.0,0.015171649500957014,0,0,11699.9375,11915.0,54.19031005854049,54.19031005854049,0.0046086819863995505,0.004598094528595128
AR--BR,AR,BR,2333.5144810867555,10,1542.2,1590.0,1543.375,1552.7868334928996,275.73167310912174,76027.95555555557,1150.0,1925.0,1304.5,1761.0,456.5,207.5,0.1787911250869678,0,0,1379.89,1698.6125,791.3144810867554,-791.3144810867554,-0.33910845100829523,-0.4141655237085257
AR--CA,AR,CA,9031.715831568095,10,9298.7,9448.5,9334.625,9350.900774448708,798.7171728604701,637949.122222222,7960.0,10350.0,8826.25,9887.5,1061.25,621.0,0.08589557388242121,0,0,8846.112500000001,9741.97,266.98416843190535,266.98416843190535,0.029560736122667765,0.029132241493625206
AR--CN,AR,CN,19261.112952664003,10,15000.0,12150.0,14800.0,12214.926666405036,3788.286038713433,14351111.111111112,12000.0,19600.0,12025.0,19300.0,7275.0,150.0,0.2525524025808955,0,0,12800.0,17230.0,4261.112952664003,-4261.112952664003,-0.22122880246515814,-0.2500379893024976
AR--DE,AR,DE,11887.678205229642,10,11054.0,11200.0,11142.5,11167.24666667188,441.64339561334873,195048.88888888885,9900.0,11500.0,10987.5,11275.0,287.5,100.0,0.0399532653893024,1,0,10743.975,11250.0,833.6782052296421,-833.6782052296421,-0.07012960738312124,-0.07271006532427936
AR--EG,AR,EG,11806.270501311932,10,12361.5,12500.0,12389.375,12441.160000014119,379.38583409388275,143933.61111111112,11700.0,12800.0,12056.25,12660.0,603.75,200.0,0.030690922144875843,0,0,12107.4375,12574.0,555.2294986880679,555.2294986880679,0.047028356552255,0.0459560151436651
AR--FJ,AR,FJ,11642.45746949547,10,12512.5,12435.0,12490.625,12498.578600127472,695.9917384567148,484404.50000000006,11600.0,13600.0,11907.75,13073.75,1166.0,649.0,0.055623715361176,0,0,12103.7775,12921.8575,870.0425305045301,870.0425305045301,0.07473014462660808,0.07206960181244187
AR--FR,AR,FR,11025.630755006467,10,11090.0,11100.0,11100.0,11099.888888890544,31.622776601683793,1000.0,11000.0,11100.0,11100.0,11100.0,0.0,0.0,0.002851467682748764,1,0,11070.0,11100.0,64.36924499353336,64.36924499353336,0.005838146263360477,0.005821170327417226
AR--GB,AR,GB,11102.268069921352,10,11018.0,11000.0,11022.5,11012.413000000011,57.88878225624643,3351.1111111111113,10900.0,11100.0,11000.0,11045.0,45.0,15.0,0.005254019082977531,1,0,10984.95,11048.0,84.26806992135243,-84.26806992135243,-0.0075901671073547936,-0.007619119018650336
AR--IN,AR,IN,15794.7526620095,10,12150.5,12150.0,12148.375,12148.375000003613,156.47026696610587,24482.94444444444,11886.0,12432.0,12075.0,12245.25,170.25,103.5,0.012877681327196895,0,0,12053.2,12248.1175,3644.2526620094995,-3644.2526620094995,-0.23072552891409803,-0.2623074536695824
AR--JP,AR,JP,18370.21725262342,10,12541.7,11773.5,11758.375,11761.398666651314,2533.586393062433,6419060.01111111,11600.0,19750.0,11710.0,11795.0,85.0,40.0,0.20201299609003828,1,0,11707.0,14158.4075,5828.51725262342,-5828.51725262342,-0.3172808014445806,-0.3816716334425102
AR--KE,AR,KE,10410.808770079677,10,11628.4,11750.0,11660.5,11714.47200006113,549.4725147306682,301920.04444444436,10700.0,12300.0,11158.75,11995.0,836.25,340.0,0.04725263275520865,0,0,11290.5725,11936.44,1217.5912299203228,1217.5912299203228,0.1169545283954922,0.110605810570432
AR--MX,AR,MX,7372.308131811268,10,7678.6,8095.0,7788.75,7956.526429897896,942.0012031131737,887366.2666666667,5900.0,8576.0,6937.5,8367.5,1430.0,425.0,0.12267876997280411,0,0,7032.085,8191.015,306.2918681887322,306.2918681887322,0.04154626511975169,0.04070640235469989
AR--NG,AR,NG,8446.362395848217,10,10085.3,10082.5,10083.75,10067.18599902841,541.8616162002169,293614.01111111115,9083.0,11100.0,9836.25,10300.0,463.75,270.0,0.05372786294906616,2,0,9779.9975,10423.1175,1638.9376041517826,1638.9376041517826,0.19404064463980344,0.17734305512789147
AR--NZ,AR,NZ,10003.231625456845,10,11798.9,11767.0,11826.625,11805.666666670948,582.9694960573266,339853.43333333335,10500.0,12876.0,11750.0,11900.0,150.0,133.0,0.04940880048625945,3,0,11433.6175,12148.1175,1795.6683745431546,1795.6683745431546,0.1795088269248336,0.16509810345338835
AR--SA,AR,SA,12854.981363911493,10,12260.0,12180.0,12218.75,12211.84750000062,264.61712382652456,70022.22222222223,12000.0,12850.0,12092.5,12375.0,282.5,150.0,0.021583778452408203,1,0,12119.975,12426.05,594.9813639114927,-594.9813639114927,-0.046284109410054626,-0.04738946049356692
AR--TH,AR,TH,16880.505738924476,10,12362.0,12189.0,12252.5,12226.111881084682,604.328644953316,365213.1111111111,11700.0,13900.0,12111.25,12476.75,365.5,169.0,0.04888599295852743,1,0,12086.095000000001,12779.210000000001,4518.505738924476,-4518.505738924476,-0.26767596947675143,-0.3115321983186706
