id,country_id,country_name,capital_name,latitude,longitude,continent,region,iso_code,alternative_spellings,localized_names,decision,source_id
AR,AR,Argentina,Buenos Aires,-34.600556,-58.399477,South America,South America,AR,,"{""en"": ""Buenos Aires"", ""de"": ""Buenos Aires"", ""es"": ""Buenos Aires"", ""fr"": ""Buenos Aires"", ""pt"": ""Buenos Aires"", ""ru"": ""Буэнос-Айрес"", ""zh"": ""布宜诺斯艾利斯"", ""ar"": ""بوينس آيرس"", ""bn"": ""বুয়েনোস আইরেস"", ""el"": ""Μπουένος Άιρες"", ""hi"": ""ब्यूनस आयर्स"", ""hu"": ""Buenos Aires"", ""id"": ""Buenos Aires"", ""it"": ""Buenos Aires"", ""ja"": ""ブエノスアイレス"", ""ko"": ""부에노스아이레스"", ""nl"": ""Buenos Aires"", ""pl"": ""Buenos Aires"", ""sv"": ""Buenos Aires"", ""tr"": ""Buenos Aires"", ""vi"": ""Buenos Aires"", ""fa"": ""بوئنوس آیرس"", ""he"": ""בואנוס איירס"", ""uk"": ""Буенос-Айрес"", ""ur"": ""بیونس آئرس"", ""zht"": ""布宜諾斯艾利斯""}",One national capital selected for pilot,1159151559
AU,AU,Australia,Canberra,-35.283029,149.129026,Oceania,Australia and New Zealand,AU,,"{""en"": ""Canberra"", ""de"": ""Canberra"", ""es"": ""Canberra"", ""fr"": ""Canberra"", ""pt"": ""Camberra"", ""ru"": ""Канберра"", ""zh"": ""堪培拉"", ""ar"": ""كانبرا"", ""bn"": ""ক্যানবেরা"", ""el"": ""Καμπέρα"", ""hi"": ""कैनबरा"", ""hu"": ""Canberra"", ""id"": ""Canberra"", ""it"": ""Canberra"", ""ja"": ""キャンベラ"", ""ko"": ""캔버라"", ""nl"": ""Canberra"", ""pl"": ""Canberra"", ""sv"": ""Canberra"", ""tr"": ""Canberra"", ""vi"": ""Canberra"", ""fa"": ""کانبرا"", ""he"": ""קנברה"", ""uk"": ""Канберра"", ""ur"": ""کینبرا"", ""zht"": ""坎培拉""}",One national capital selected for pilot,1159151161
BR,BR,Brazil,Brasília,-15.781394,-47.917998,South America,South America,BR,Brasilia,"{""en"": ""Brasília"", ""de"": ""Brasília"", ""es"": ""Brasilia"", ""fr"": ""Brasilia"", ""pt"": ""Brasília"", ""ru"": ""Бразилиа"", ""zh"": ""巴西利亚"", ""ar"": ""برازيليا"", ""bn"": ""ব্রাসিলিয়া"", ""el"": ""Μπραζίλια"", ""hi"": ""ब्रासीलिया"", ""hu"": ""Brazíliaváros"", ""id"": ""Brasília"", ""it"": ""Brasilia"", ""ja"": ""ブラジリア"", ""ko"": ""브라질리아"", ""nl"": ""Brasilia"", ""pl"": ""Brasília"", ""sv"": ""Brasília"", ""tr"": ""Brasília"", ""vi"": ""Brasilia"", ""fa"": ""برازیلیا"", ""he"": ""ברזיליה"", ""uk"": ""Бразиліа"", ""ur"": ""براسیلیا"", ""zht"": ""巴西利亞""}",One national capital selected for pilot,1159151443
CA,CA,Canada,Ottawa,45.418643,-75.701961,North America,Northern America,CA,Ottawa-Gatineau,"{""en"": ""Ottawa"", ""de"": ""Ottawa"", ""es"": ""Ottawa"", ""fr"": ""Ottawa"", ""pt"": ""Ottawa"", ""ru"": ""Оттава"", ""zh"": ""渥太华"", ""ar"": ""أوتاوا"", ""bn"": ""অটোয়া"", ""el"": ""Οττάβα"", ""hi"": ""ओटावा"", ""hu"": ""Ottawa"", ""id"": ""Ottawa"", ""it"": ""Ottawa"", ""ja"": ""オタワ"", ""ko"": ""오타와"", ""nl"": ""Ottawa"", ""pl"": ""Ottawa"", ""sv"": ""Ottawa"", ""tr"": ""Ottawa"", ""vi"": ""Ottawa"", ""fa"": ""اتاوا"", ""he"": ""אוטווה"", ""uk"": ""Оттава"", ""ur"": ""اوٹاوا"", ""zht"": ""渥太華""}",One national capital selected for pilot,1159151059
CN,CN,China,Beijing,39.930838,116.38634,Asia,Eastern Asia,CN,,"{""en"": ""Beijing"", ""de"": ""Peking"", ""es"": ""Pekín"", ""fr"": ""Pékin"", ""pt"": ""Pequim"", ""ru"": ""Пекин"", ""zh"": ""北京"", ""ar"": ""بكين"", ""bn"": ""বেইজিং"", ""el"": ""Πεκίνο"", ""hi"": ""बीजिंग"", ""hu"": ""Peking"", ""id"": ""Beijing"", ""it"": ""Pechino"", ""ja"": ""北京市"", ""ko"": ""베이징시"", ""nl"": ""Peking"", ""pl"": ""Pekin"", ""sv"": ""Peking"", ""tr"": ""Pekin"", ""vi"": ""Bắc Kinh"", ""fa"": ""پکن"", ""he"": ""בייג'ינג"", ""uk"": ""Пекін"", ""ur"": ""بیجنگ"", ""zht"": ""北京市""}",One national capital selected for pilot,1159151595
DE,DE,Germany,Berlin,52.523765,13.399603,Europe,Western Europe,DE,,"{""en"": ""Berlin"", ""de"": ""Berlin"", ""es"": ""Berlín"", ""fr"": ""Berlin"", ""pt"": ""Berlim"", ""ru"": ""Берлин"", ""zh"": ""柏林"", ""ar"": ""برلين"", ""bn"": ""বার্লিন"", ""el"": ""Βερολίνο"", ""hi"": ""बर्लिन"", ""hu"": ""Berlin"", ""id"": ""Berlin"", ""it"": ""Berlino"", ""ja"": ""ベルリン"", ""ko"": ""베를린"", ""nl"": ""Berlijn"", ""pl"": ""Berlin"", ""sv"": ""Berlin"", ""tr"": ""Berlin"", ""vi"": ""Berlin"", ""fa"": ""برلین"", ""he"": ""ברלין"", ""uk"": ""Берлін"", ""ur"": ""برلن"", ""zht"": ""柏林""}",One national capital selected for pilot,1159151529
EG,EG,Egypt,Cairo,30.051906,31.248022,Africa,Northern Africa,EG,Al-Qahirah,"{""en"": ""Cairo"", ""de"": ""Kairo"", ""es"": ""El Cairo"", ""fr"": ""Le Caire"", ""pt"": ""Cairo"", ""ru"": ""Каир"", ""zh"": ""开罗"", ""ar"": ""القاهرة"", ""bn"": ""কায়রো"", ""el"": ""Κάιρο"", ""hi"": ""काहिरा"", ""hu"": ""Kairó"", ""id"": ""Kairo"", ""it"": ""Il Cairo"", ""ja"": ""カイロ"", ""ko"": ""카이로"", ""nl"": ""Caïro"", ""pl"": ""Kair"", ""sv"": ""Kairo"", ""tr"": ""Kahire"", ""vi"": ""Cairo"", ""fa"": ""قاهره"", ""he"": ""קהיר"", ""uk"": ""Каїр"", ""ur"": ""قاہرہ"", ""zht"": ""開羅""}",One national capital selected for pilot,1159151603
FJ,FJ,Fiji,Suva,-18.133016,178.441707,Oceania,Melanesia,FJ,,"{""en"": ""Suva"", ""de"": ""Suva"", ""es"": ""Suva"", ""fr"": ""Suva"", ""pt"": ""Suva"", ""ru"": ""Сува"", ""zh"": ""苏瓦"", ""ar"": ""سوفا"", ""bn"": ""সুভা"", ""el"": ""Σούβα"", ""hi"": ""सुवा"", ""hu"": ""Suva"", ""id"": ""Suva"", ""it"": ""Suva"", ""ja"": ""スバ"", ""ko"": ""수바"", ""nl"": ""Suva"", ""pl"": ""Suva"", ""sv"": ""Suva"", ""tr"": ""Suva"", ""vi"": ""Suva"", ""fa"": ""سووا"", ""he"": ""סובה"", ""uk"": ""Сува"", ""ur"": ""سووا"", ""zht"": ""蘇瓦""}",One national capital selected for pilot,1159150917
FR,FR,France,Paris,48.868639,2.33139,Europe,Western Europe,FR,,"{""en"": ""Paris"", ""de"": ""Paris"", ""es"": ""París"", ""fr"": ""Paris"", ""pt"": ""Paris"", ""ru"": ""Париж"", ""zh"": ""巴黎"", ""ar"": ""باريس"", ""bn"": ""প্যারিস"", ""el"": ""Παρίσι"", ""hi"": ""पैरिस"", ""hu"": ""Párizs"", ""id"": ""Paris"", ""it"": ""Parigi"", ""ja"": ""パリ"", ""ko"": ""파리"", ""nl"": ""Parijs"", ""pl"": ""Paryż"", ""sv"": ""Paris"", ""tr"": ""Paris"", ""vi"": ""Paris"", ""fa"": ""پاریس"", ""he"": ""פריז"", ""uk"": ""Париж"", ""ur"": ""پیرس"", ""zht"": ""巴黎""}",One national capital selected for pilot,1159151613
GB,GB,United Kingdom,London,51.501941,-0.118668,Europe,Northern Europe,GB,,"{""en"": ""London"", ""de"": ""London"", ""es"": ""Londres"", ""fr"": ""Londres"", ""pt"": ""Londres"", ""ru"": ""Лондон"", ""zh"": ""伦敦"", ""ar"": ""لندن"", ""bn"": ""লন্ডন"", ""el"": ""Λονδίνο"", ""hi"": ""लंदन"", ""hu"": ""London"", ""id"": ""London"", ""it"": ""Londra"", ""ja"": ""ロンドン"", ""ko"": ""런던"", ""nl"": ""Londen"", ""pl"": ""Londyn"", ""sv"": ""London"", ""tr"": ""Londra"", ""vi"": ""Luân Đôn"", ""fa"": ""لندن"", ""he"": ""לונדון"", ""uk"": ""Лондон"", ""ur"": ""لندن"", ""zht"": ""倫敦""}",One national capital selected for pilot,1159151577
