place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7783.786933333131,12022.632587493319,9690.027485086708,6182.47873333336,10919.954700004924,514.8888888888889,8873.360000054006,11631.389774999874,9845.496260353393,6509.750000000078,4821.3749999999745,5286.216666666568,6467.2534500039,3496.865660000076,7920.824600005536,16776.166666665507,6500.5625,6829.166666666685,2409.707075000044,5817.176907143188,8273.465057133171,5795.597899724768,13880.134066662351,3138.1666666665824,12443.828814286377,5606.227400000894,12002.410699998549,10081.128300026587,2021.28605517768,6846.500000000038,7706.000000004427,13037.052428571567,9827.857733333594,13002.350357116975,7715.821570959616,6903.11021428494,5775.66666666673,7216.401456075626,5137.242775002268,8037.294699997852,10167.470779817018,4503.749999967466,10125.616403333332,5883.144357145587,2731.471655551927,6785.500000000034,10516.317042857145,10600.824685727996,2489.6666666666665
AR,7783.786933333131,0.0,11830.23123333205,17029.35653333339,2340.222222222222,8975.522433333468,7872.83333333394,853.9343399907473,19268.678266666666,4660.428571426229,11924.333333333334,9832.833333332746,11801.24999999998,10044.258699999995,10552.239185704999,12630.0,11305.814025011268,11079.624999985701,11130.666666666652,7829.7165666696765,11143.790357203812,15969.023542935016,11149.57142857143,18374.75,9929.83022856894,19430.11111111111,9440.410842781837,7385.124388888902,15903.999999999924,8142.87500000194,11441.333333333334,11941.276866667153,10321.406288888898,3139.7034800000033,17735.813349990465,15435.833333337592,12310.722071343249,9584.172275000004,13476.0,12192.87500001107,12495.200000006871,15889.849966666357,6564.223099998334,17229.31831999978,11961.051533327538,9771.403136441757,12818.142857142857,8381.030859980448,17529.34066666709,8115.844780009498
AU,12022.632587493319,11830.23123333205,0.0,8939.057029011183,13963.751713650241,16254.666666666648,12699.833333345245,11340.42857142857,8966.125000000002,14309.63108559726,16094.111111111111,17331.700000002147,14403.699999999993,17627.47261997687,12197.724607137221,15196.67866,3426.5273428956752,16959.110439999997,16953.856788888956,15884.85216663524,15314.050666667104,10192.272600002367,16314.9,7971.009942837631,12152.433542857147,8339.333333333332,17876.500000000207,13955.673014156722,6225.944180397778,14988.49422908015,16599.96022857157,16078.006566666912,2326.5714285714284,12786.749999999998,5656.228166669716,10991.107775026336,15613.41351111108,18023.750000000146,14471.191914300347,13092.250000000708,15595.666666666666,5978.459439005753,17571.304571418546,7379.601071428865,14619.166666666655,11311.383600651907,14916.063971428575,16147.654620725001,7726.32173333331,10262.447800000098
BD,9690.027485086708,17029.35653333339,8939.057029011183,0.0,16194.499999997148,12474.017071428563,8536.485788570719,17095.52058571379,3026.49652,16801.789699999634,7209.537500005088,8391.578377781145,5758.337071752122,8254.68570444803,6120.137499986848,6736.189720000116,11338.86867143693,7906.528571426228,8001.140578000008,10599.856949978792,6148.468338888498,1423.6666666666667,7277.263971428569,4892.228871428551,6705.410000001746,3726.081042856969,9585.958257138456,15865.44151428508,2630.2,8894.333333333212,7705.372657181069,7390.909671428973,11732.324214246268,18108.72502016219,3536.9792714312257,2025.0838571254885,6858.092113334597,8788.851052496633,5584.062742857116,4895.333333333288,7222.000000004076,2895.4440250000034,12389.250000000971,1540.1,5457.6666666666415,6793.599999997206,6211.031760000489,12638.749999999984,1880.547849999736,8657.302859982581
BR,6182.47873333336,2340.222222222222,13963.751713650241,16194.499999997148,0.0,7123.504457447412,6756.501380152793,2584.746271428571,16888.302785688233,3660.2,9505.038952500001,8125.700000005663,9476.76373333297,7269.5,9220.438933325346,10517.019374248492,13814.166666672983,8728.8472,8773.124999988899,6122.095339851252,9572.402214126696,14285.169028573262,9174.886300001746,17371.0,8821.274185712437,18262.7327666645,7149.16939999599,6843.682299999998,16600.665875000155,6171.300628542165,9228.271749999949,9569.232766664496,12039.42490021371,3170.8888888888887,18417.06303333341,13865.499999999967,10116.732342859174,7291.166666666667,11179.57142857143,11022.644215066164,10202.833333339431,16735.787699999986,5027.058700000015,16733.83333333295,10470.400000000182,8859.301850000054,10337.643033343371,6745.37951431697,16597.645342852265,7441.068833333283
CA,10919.954700004924,8975.522433333468,16254.666666666648,12474.017071428563,7123.504457447412,0.0,10499.399999996824,8604.596285714397,10486.172685714075,4535.333333333362,6132.999999999997,6337.185888628598,8751.575000234921,5689.792842857272,11322.148014287344,6026.435688888314,12359.142166609488,5649.023449999997,5379.6304285713795,8289.800000000547,7621.692242857133,11158.443450000046,6727.153878571423,10315.494199999996,11807.524343329043,10467.310133333307,5686.034142805192,3615.367169999989,14797.70347999367,8671.240000006,5648.16666666683,5611.5000002520455,14392.166666666257,6171.347666667193,13213.334771428572,10851.166666661433,6555.578899999642,5315.874064999865,7196.227700235271,10157.229066668317,5943.9624999999805,14861.213957142938,6350.473044447323,13693.583512310523,7808.751335712612,12205.465014288582,7283.818778571438,731.95,12642.191074331731,12902.550150219588
CD,514.8888888888889,7872.83333333394,12699.833333345245,8536.485788570719,6756.501380152793,10499.399999996824,0.0,9586.295906667052,11439.25000000008,10188.666666663394,6195.468435714568,4821.6666666667425,4188.12490005279,5787.500000000146,2960.7456142886545,7359.70569999988,16577.04611110774,6013.55001111111,6375.862114285717,1927.5000000015175,4893.148485714185,8049.356400442819,5415.4965199936705,13557.21634999907,2414.6666666666847,12370.12256666554,4844.189099999768,12511.833333337876,10408.337266666695,1710.7000000055361,6281.9792714330715,7115.999999999973,14131.925714285784,10268.559514289434,11830.60611111305,7552.416666669751,6170.01509999813,5793.75521999053,7023.062499790362,4641.744622213767,7071.90000000313,10333.94794239729,4201.8026555555525,9786.104843363553,5216.5111145436085,2236.7500000000823,6190.895599999588,10075.568614285983,10444.73506998993,2775.5714285714284
CL,8873.360000054006,853.9343399907473,11340.42857142857,17095.52058571379,2584.746271428571,8604.596285714397,9586.295906667052,0.0,19034.389200000183,4251.428571430914,12491.019067999983,10237.375,13348.333333348863,10711.189866666675,12030.728257107667,13145.207671430562,9539.387899417818,11646.100000000017,11644.857142857143,8968.8801666689,12334.713512000286,16323.99999999998,11884.25,17240.0,12662.824785744448,18374.799999998973,9903.159829121932,6294.333333333333,16385.301266666593,9007.457493401653,12032.12336666676,12302.833333333308,9341.982599999965,2463.5,17291.390114285732,16378.791856873788,12509.571899997298,10017.698125001274,14112.25,14115.805928571708,12349.519742485436,16320.86642845004,8685.62500000587,17250.875,13319.814742858658,10890.459892858597,13069.122519939403,8049.630428571427,17296.485000014625,9666.946160049714
CN,11631.389774999874,19268.678266666666,8966.125000000002,3026.49652,16888.302785688233,10486.172685714075,11439.25000000008,19034.389200000183,0.0,14959.717400000245,7353.799999999993,9134.490385714327,8342.840071454657,9216.089559999999,8316.733333333275,6307.0,8827.111626789596,8215.333333333334,8140.0,11246.249999993715,7611.714285714285,3783.9922666568477,8129.75,2099.9,9586.79711111117,953.2222222222222,10301.422850034818,12442.199999999992,4347.25483333333,10747.34011427634,7824.15,6979.500000000016,10168.965199964367,17005.181314237147,2850.6340555555626,3937.184066666721,6951.860133332919,9680.250000000031,5795.750000002139,6191.931166666656,6711.5,4477.611949999992,11891.61419999716,3293.4285714285716,5986.912157154884,9440.826842842009,6450.1,11171.888888888889,2320.848900027841,11715.0
CO,9845.496260353393,4660.428571426229,14309.63108559726,16801.789699999634,3660.2,4535.333333333362,10188.666666663394,4251.428571430914,14959.717400000245,0.0,9401.88199999995,8505.500000000156,11496.501149997011,8012.216771428573,12120.53848015075,9771.720020007835,13017.72591476797,8629.065659999997,8490.348799999998,8178.666666665387,10248.034799999732,15791.325200013347,9351.103633333427,14313.0,11735.890443131562,14874.334771397283,7728.332192858215,3163.158240000127,19764.786700050314,8775.010999998716,8828.750000000005,9140.527587501218,12434.052528571396,1880.2857142857142,17532.499999999876,15281.709666664578,9700.050666665455,7468.472750000067,10902.57142857143,13505.017728497887,9529.083333333263,19059.453839949485,7236.692057145514,17342.12500037426,10779.99072500031,11527.892785996022,10292.624999999603,3493.1608666666666,17530.01557125805,11212.093649992894
