place_id,AE,AO,AR,AT,AU,BD,BE,BF,BH,BO,BR,BW,CA,CD,CH,CI,CL,CM,CN,CO,CR,CU,CZ,DE,DJ,DK,DZ,EC,EG,ES,ET,FI,FJ,FR,GB,GH,GR,GT,HU,IE,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KW,LA,LB,MA,MG,MN,MR,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,QA,RO,RS,RU,RW,SA,SB,SE,SG,SN,TH,TN,TO,TR,TZ,UA,UG,US,UY,UZ,VN,VU,WS,ZA,ZM,ZW
AE,0.0,5789.562333902342,13529.214746619495,4240.533433479227,11949.361743211797,3654.894106864547,5158.218793556635,6015.546401624032,428.3040518422248,13804.61066665081,11946.46205222579,6240.139957666417,10769.92523802494,5293.834780620477,4824.29363438197,6633.529439211588,14639.057097417122,5123.937544147606,5970.945542251472,13588.353397547735,14119.144537017517,12976.823855763972,4453.994092626804,4637.390140635866,1852.7294237590422,4846.553325017207,5043.323060823943,14287.912014876967,2366.759275546905,5631.525649969257,2384.299141419422,4569.694904016727,14223.767159243713,5247.246193643851,5478.1261216819585,6185.81623346826,3259.934078702464,14251.682942181737,4023.61962227001,5923.8961123455565,2317.3974246380553,1381.865116430876,1274.193940957199,6923.539333178569,4302.817747838561,1987.0819620999594,8073.544801878438,3421.780492767156,5508.639725446627,6917.798948475765,835.2946650186637,5034.687814921841,2104.9694589383944,5956.886854094676,4856.413755905821,5264.383638324573,7259.418679889248,14368.22803756993,5593.706838704347,6051.049936842217,6581.868236949095,5245.328758553293,5166.5667810755085,5170.2750948772,3108.7945625465486,14263.06769834562,440.187661932778,13801.249808949733,14741.890386756126,10729.98816098116,7014.299387195103,2091.9306741687183,4175.80094245249,6108.881907285131,300.3882333660697,3382.95729193191,3796.836503980071,3733.9329972644805,3929.798346105407,769.6859679637856,12017.217442653653,4791.235402152243,5904.634458949135,7537.403993030437,4974.601270607319,4407.980195094561,14953.467095168042,2642.457862506669,3946.5457195169315,3538.96641658904,3556.9335449636924,11363.596937151551,13333.110231179631,2325.1862869888337,5271.604580089139,13189.369369342909,15064.831509101372,6223.671305419624,5243.709204476563,5318.665016610215
AO,5789.562333902342,0.0,7779.757280725595,6325.55455796121,13288.474497523322,9121.283483960526,6666.629051804995,2857.797278781874,5600.47863545524,8496.811942964296,6675.278533941141,2207.745531644112,10620.756402433968,549.1026827702303,6201.600383747608,2685.883664430021,8913.64308220524,1417.8055883165898,11758.580047473492,9801.95415219586,10979.972960235385,10966.617189838344,6528.579511344841,6798.792115651933,4008.8572807936744,7150.412086943095,5158.666122203358,10205.55344277804,4715.419795274749,5722.316302190526,3446.282530254973,7720.979613051022,16614.26463120842,6480.8047195500585,6807.150235507682,2181.7570144061915,5296.817859625665,11734.280709609455,6266.9544162808825,7131.738721974246,8015.072192343541,5715.380435612689,6349.174258445464,8615.41079562491,5617.9698794223505,5119.138849786292,13857.461409152482,2743.2396541926637,10393.553164672203,12699.236686021166,5634.509033844583,10249.988783406647,5280.659490507894,5195.819618732341,3861.1712397392785,11006.666818925813,4378.466955534732,12679.078203838877,9903.39358541899,2788.2828410723064,1574.5135840058651,2080.1823760601865,6826.04260195697,7625.360370993152,8739.386510066946,14143.139009143959,6101.5062471645315,10470.26967782858,9845.778856925126,14542.889044501804,12162.128893919244,7881.321787923071,6809.113037552695,5753.282352388308,5610.658950562518,6040.007598311865,5986.483745617269,7506.107188793741,2013.1458878347667,5193.3979905841725,15823.005087901669,7571.629355004058,10108.617908587756,4274.775841417532,9957.692589929997,5061.845758279122,16564.188399607207,5765.533175593958,2502.0333905971356,6776.4600893004845,2372.4747738040833,10643.935912153609,7578.065346058743,7969.075478081077,10634.256207680037,16001.306621363734,17438.00950511526,2450.091998989052,1791.3507353131547,2167.8949590945194
AR,13529.214746619495,7779.757280725595,0.0,11789.40869148443,11758.30968994146,16776.827494420908,11279.247417399754,7937.77201738348,13276.65620429598,1852.6582818109166,2333.5144810867555,8007.5573248991495,9031.715831568095,8250.16360355336,11169.072537156911,7217.227633619542,1139.660312749686,8438.06312363739,19261.112952664003,4640.374060415398,5624.934574255529,6873.786733250523,11793.422632706492,11887.678205229642,11788.599419143606,12043.353782604738,10143.842601055805,4343.948474865368,11806.270501311932,10020.91071488952,11225.784843590129,12925.656160584465,11642.45746949547,11025.630755006467,11102.268069921352,7539.559525025004,11672.738469495696,6420.755192023765,11916.724441089356,10963.902616052796,15794.7526620095,13077.344736827099,13772.581302050645,11405.220392491123,11131.20670997276,12299.105021673502,18370.21725262342,10410.808770079677,16950.39440207739,19431.621304450513,13198.57392686179,17381.59126769774,12365.167464485112,9305.417619305188,10211.246550506274,18094.04755873193,7358.557192307605,7372.308131811268,15967.59980860726,8507.109900667885,7339.197877510938,8446.362395848217,11420.79314209203,12224.016263540156,16503.735410471145,10003.231625456845,13870.747694558586,5312.112813868624,3130.6695211171427,14437.074373161806,17788.20333536327,15601.725953155386,12308.20746555706,9574.20669056964,13314.558254796191,12209.371751217523,11847.212493850298,13459.503231297233,9749.70189692784,12854.981363911493,13684.696446273821,12541.33572639846,15887.309757265864,6965.255742849274,16880.505738924476,10623.494014303918,10930.933570500318,12466.927062320188,10004.640819282862,12807.053139985803,10123.29584632071,8360.953336333787,205.87717932578263,15435.623626112392,17861.954046251605,12403.055756117166,11180.967562534875,8148.626185145644,8757.023257452158,8858.982294766762
AT,4240.533433479227,6325.55455796121,11789.40869148443,0.0,15910.678729826639,6917.648777621979,917.9742357366615,4305.656483883642,3840.9339750029626,10964.81894463177,9511.187874256615,8124.031301397001,6586.265229902963,5820.339136152571,684.2860556704534,5022.864996192302,12489.122073892648,4934.924551007155,7477.895232237133,9664.49967605625,9956.11159982113,8740.884439783422,251.17669373332066,524.8847671476991,4761.167035014676,871.9021789739552,1672.1967238960672,10388.500151551767,2381.4349069461905,1811.9003234935124,4821.42059276915,1442.7249427344427,16298.338062499066,1037.5263746075443,1237.8300544281058,4982.696054117392,1282.3029356001082,10015.335446880184,217.68611965306766,1685.9026579816245,5575.814615047639,2858.767708713758,3186.5297799748423,2896.8182594820273,764.2094696794076,2443.61659236762,9154.186786120847,5829.050398230648,8954.330281028117,8297.53365185639,3411.1980063765554,8266.069855538797,2251.254175977635,2487.879122185696,8054.310354369553,6323.466152383236,4438.634933449269,10166.359991737414,9401.865294019592,8371.156062152919,7838.132899304869,4414.973244125714,936.1554147942668,1353.7936301633047,6242.139134758255,18152.820617805537,4599.909495521342,9706.17311078121,11249.921062252488,13739.735588245278,9859.186538202646,4921.963314510675,558.5513685060813,2302.4863004695203,3982.860179726976,857.71599634613,490.1162436235553,1674.6398549289854,5713.315724552479,3732.1309937121287,14530.972696391858,1246.2000152481296,9716.232350301232,4838.175739379106,8450.730274737502,1363.3563038153743,16829.84226064634,1604.5471746938647,6316.389994377805,1056.5338962447777,5531.42045828927,7140.396669967852,11674.710221965981,4174.723996559015,8257.368579329235,15783.186324957527,16121.884081890948,8270.52871217582,7144.564521104254,7456.192378747464
AU,11949.361743211797,13288.474497523322,11758.30968994146,15910.678729826639,0.0,8995.963141163435,16714.12913984884,16126.470710971096,12376.948582717569,12987.977613189501,14075.358195321549,11086.847970480729,16104.729525959248,13504.360503430844,16590.869415527504,15918.492181857635,11345.088282272682,14446.816942544116,8980.130816239809,14436.399681031653,13965.910611241634,14900.091149711146,16030.559434607703,16060.205223180863,12195.648196353799,16028.468287566559,16979.37379367375,13713.729505262763,14263.93286552806,17574.421466877073,12442.084906893078,15202.304817605685,3459.5502950524574,16917.63537856836,16976.59127449891,15466.274445812925,15201.661293550262,13683.162924244902,15709.405547813738,17231.518863056976,10338.502325503718,13270.524214316316,12800.169118666774,16737.083922213937,16216.420011411574,13934.272713134189,7916.886601720884,11938.438068840167,6966.018406407136,8383.398878278069,12769.49913014862,7671.251136834923,14051.623338771447,17823.98557196807,9820.610827065939,10127.211128503954,17605.946831363086,13179.187255642872,6520.550088731684,10506.36445784873,11855.921287403067,15163.69563184826,16620.528265072542,15966.082912956443,9670.844258688961,2331.7654440152487,11534.640487530218,14297.529795682576,12870.966935523227,2866.113530656194,6269.920053818219,10988.77817833369,15552.021357649579,18058.241733092265,12241.781809354121,15142.38095017895,15591.22133597959,14468.762247285287,12479.614190123317,12623.318465753277,3066.3352384853865,15597.07886628645,6204.591664762586,17367.8662451382,7462.848367041455,16350.29377534376,3807.6328218107633,14491.126052008547,11694.349880853746,14887.737081531282,12418.786352772115,15945.723803950415,11808.861444947597,11752.921013730906,7727.631084944442,2717.060032653611,4576.563833367762,10839.833274898414,11633.75337412122,11237.09816369107
BD,3654.894106864547,9121.283483960526,16776.827494420908,6917.648777621979,8995.963141163435,0.0,7731.868586575987,9663.079471664661,4014.9198248245402,17458.951170585602,15592.505750516311,8777.096173970342,12219.959997048985,8699.546891941973,7600.778750865897,10288.402882283262,17886.203807894904,8712.44984923059,3026.7986717227063,16454.083310734804,16233.07363753065,14761.83388619922,7035.545636925333,7083.361209694893,5165.583561328696,7108.218444960303,8249.865357774017,17145.365199045387,5856.065710330734,8668.474277763522,5724.1496250866285,6394.878508271938,10616.636231096905,7923.795839306774,8015.217428089591,9833.431322059829,6434.574552380038,15760.611850172598,6721.140358053836,8350.315861302937,1425.4260591415405,4589.887812687067,3968.0941627326647,8672.229473964459,7320.0470436892765,5387.961598701306,4901.783530903048,6417.460535353122,2042.729941560404,3797.612686267932,4251.197646391472,1419.2283144649443,5412.9727276481635,9196.660288262383,6628.508180230895,3056.3212896300965,10793.20276654314,15118.666153073525,2578.596726870454,8304.401239123861,9439.496042437622,8893.098615055616,7656.49679159308,7181.762061567684,675.7528161493473,11267.899459200993,3238.4128398914418,16227.84013054298,18167.538095071344,7183.243281654223,3362.196759695326,2010.504192418624,6568.012073729416,9173.202508931836,3929.9559271229564,6191.008379105033,6635.510050062666,5553.2737926347245,7114.216323686234,4415.912406616781,8400.160302782504,6768.471024295255,2874.5622395689315,11109.021139047307,1533.2161452123528,7637.482766316187,11357.457932883142,5633.079801631459,6793.0341997186615,5893.685382507589,6749.444916698336,12949.493713794654,16571.76898217963,2767.309789944438,1616.977559772685,9622.603656215046,11410.433528599424,8645.990655579606,8023.36365801334,7918.155210212984
BE,5158.218793556635,6666.629051804995,11279.247417399754,917.9742357366615,16714.12913984884,7731.868586575987,0.0,4298.603875854842,4757.138838699851,10277.319409208942,8957.314989872522,8625.944811897602,5690.557438329869,6202.005898544328,492.6390791758399,4960.438755638164,11867.727334187019,5249.245141828486,7981.866825996097,8800.23334571362,9048.549659827606,7823.081293470346,723.7479868910689,654.2432279686858,5595.716852208025,768.7439010997178,1566.6662108868215,9522.853951267027,3211.9717903533165,1315.596454233931,5603.418465376374,1654.130979625959,16338.868734843943,261.76794515586585,319.9080946549366,5037.691979387918,2091.9969504647274,9097.448320110629,1135.3920932099727,775.9648932516885,6426.974099842887,3776.3732742522907,4092.8101316811853,2134.961511615991,1173.2365012235457,3330.4857433473035,9476.221662775797,6543.9347880429905,9752.045280789587,8730.563569365251,4328.048071264474,9042.973501196231,3146.9626699032938,2075.7465027764333,8803.579336545832,6814.871806440438,4054.1817267500614,9258.834302317056,10254.209183657,8948.038994422886,8226.771635453277,4638.436089918479,173.51476561305708,1088.7762086732355,7059.572674287555,18719.4487429819,5517.391387509949,8810.654860559776,10441.056690072153,14304.696673760016,10522.476509146825,5760.264363871195,1164.2804551704378,1711.6666137067239,4899.080515531124,1775.2662279171332,1376.614895780641,2261.8623806089986,6339.6435529552045,4637.500416240855,14902.450372966698,1287.8663177660935,10565.956627415253,4459.743314249824,9262.59091898247,1627.2641958686988,16708.35456229095,2519.5596119904703,6999.016039776448,1843.1953897047028,6201.034878444699,6230.189826559773,11186.673545105432,4967.260782432383,8994.270247700535,16068.68818406317,15885.804442189463,8797.88990427807,7701.673158570102,8040.798362224156
BF,6015.546401624032,2857.797278781874,7937.77201738348,4305.656483883642,16126.470710971096,9663.079471664661,4298.603875854842,0.0,5648.235481161693,7805.271812603254,5983.120696609721,5065.352730826962,7806.3176200391645,2623.444998791875,3921.552732193304,739.2950930690619,8900.074326892673,1716.437371438635,11390.395688600704,8015.084774180132,8984.729589018381,8558.605586826046,4430.143678789312,4649.256427333226,4860.5593979936375,4957.643566865124,2740.6537959512757,8607.23765605708,3903.0712337258537,3113.097204218244,4411.895656003994,5733.163749417173,19366.48442080912,4062.430624207533,4341.528172186457,767.9145934121246,3785.9832070110488,9569.982091029093,4343.340599874998,4562.988507102027,8274.657113128376,5198.677218161767,5887.153946458835,5963.9059666848825,3543.3535523337277,4396.598624024931,13315.136089078009,4498.151890629254,11486.889405667811,12312.162088617546,5437.822189582187,11049.999522740643,4440.3260140385655,2457.9121572263484,6397.009989750773,10325.895359447359,1675.1334414437247,10343.5478004047,11376.553162251932,5624.397714537037,4366.009554864845,1055.2543548210106,4471.699890142641,5373.330022819544,9077.385462712675,16778.500899967596,6443.77059012332,8513.994834411584,8768.043684457189,16603.261617751927,13025.225265707179,7850.568860034789,4861.617682278764,3015.494551937982,5734.586974323674,4422.644891079087,4160.878635658201,5875.436975026548,3834.387328560939,5249.355057310497,17985.110788088634,5462.763426094735,11657.49969130274,1745.2562848041252,10961.315973488794,2948.628033408301,18833.655132527594,4547.164425575751,4607.235592932074,5127.466678994985,3994.8177753773875,7906.051518732256,7777.658400123085,7513.313996748137,11274.83356971083,18785.50474851815,18961.332342406185,5305.378723712318,4497.812323291578,4894.502098320222
BH,428.3040518422248,5600.47863545524,13276.65620429598,3840.9339750029626,12376.948582717569,4014.9198248245402,4757.138838699851,5648.235481161693,0.0,13450.972543994616,11606.02937446926,6223.778931557546,10395.83358592863,5087.6205763863345,4412.231801025879,6283.751883459985,14367.078355972493,4842.480535947835,6188.293969750657,13161.600042730268,13694.27473789467,12567.262742312107,4059.7255332650557,4252.364456558877,1798.7702860739937,4475.106061294236,4615.023277342056,13862.680221207795,1943.1883780751475,5205.023102531657,2280.186431852586,4249.2580787615825,14614.198887749497,4838.511478335737,5076.851712464496,5854.440308902591,2834.927572784527,13841.622504533721,3624.9863110176466,5526.5356492300725,2639.6073872425604,988.7109163295127,1049.4171514130699,6567.908775986332,3880.462097955954,1558.8284878052457,8291.489613454438,3385.301516882441,5906.224749737362,7142.95395323478,432.0643733038779,5410.440430395027,1679.5578578978455,5529.097345106535,5006.227528447487,5411.577707162017,6853.899512264291,13992.111771365862,6014.836125584849,6089.303395334645,6496.014038792396,4916.268009823547,4771.600892243813,4817.139769660382,3440.545536991267,14688.665376902705,859.4886298592833,13373.512149207654,14342.455710328884,11130.440798433927,7376.993492955646,2325.1125967531184,3803.3801262597153,5681.30213547512,141.94170447503188,2983.5404141454487,3389.2834027096005,3442.032678990014,3821.0107209942407,422.11090899611224,12401.874233671706,4448.961328836227,6326.6341501546185,7139.394473059447,5370.8185583688355,3979.7148267907583,15348.612278769133,2237.729412518129,3928.2533412578027,3185.778748250803,3457.1303648765092,10975.990131441733,13084.888615730599,2398.192045613503,5627.424384497258,13589.450094931683,15418.377842367201,6228.489370650743,5202.17010241161,5312.316592554209
BO,13804.61066665081,8496.811942964296,1852.6582818109166,10964.81894463177,12987.977613189501,17458.951170585602,10277.319409208942,7805.271812603254,13450.972543994616,0.0,1876.596460908183,9265.07507214058,7215.606863803615,8870.159163628125,10290.767198267919,7171.263442118952,1684.447925657136,8771.06790323389,17683.023375068547,2787.9233076533956,3813.421892905876,5022.3841462525315,10903.050985339254,10926.42557615919,12348.748214133828,10997.582195645904,9456.594595413266,2535.5998531327027,11657.17914717685,9154.4910744505,11800.609450943937,11833.685108478221,11941.628869911345,10047.33974237732,10041.302122950217,7626.938449221417,11204.796376928234,4640.727657425348,11134.576749140466,9803.989497148528,16078.53522691398,12946.343770237669,13606.712027167396,9944.103937272424,10433.852524316877,12138.761055370242,16950.315481826994,11239.53951181834,18681.873610357474,17636.07067631779,13237.374259596,18746.566255388105,12138.912002289915,8530.942341815597,11570.52517184126,16724.275695765722,6774.610803095771,5639.38775677616,17758.428673632912,9852.298034580022,8466.252155247985,8566.91342320532,10390.174788507562,11065.49463544492,16880.50847468143,10915.282420203946,14220.767283019666,3471.787277198624,1482.0785920529122,15265.622846235166,19196.93564712891,15606.52844624537,11410.709840328795,8662.672975191843,13532.009808775243,11573.238430972839,11151.574144692177,12539.124996249864,10505.905457745863,13045.900484220143,14150.854164577571,11438.918549142025,17718.04347419666,6431.571840014289,18403.149468769603,10031.409461168721,11198.407784700506,12023.938760298883,10942.988175818187,12021.348318215385,10853.602638646738,6529.887960519966,1968.6453930827172,15071.96012342263,19075.876773781274,12893.30999797113,11190.41640756105,9449.828639216768,9827.160113151796,10015.248637974773
BR,11946.46205222579,6675.278533941141,2333.5144810867555,9511.187874256615,14075.358195321549,15592.505750516311,8957.314989872522,5983.120696609721,11606.02937446926,1876.596460908183,0.0,7692.723167197254,7334.346869539842,7021.609682135122,8871.59854013545,5323.501677295529,3009.3551850238605,6894.518875940983,16930.472630910997,3659.609825431805,4897.202501725991,5709.653622725256,9496.874259329501,9575.611395967344,10474.557745912618,9718.114205280945,7899.280557882734,3775.416548885363,9874.469524339542,7719.290067297386,9928.94838833383,10597.841046061912,13707.79297949407,8706.397888002059,8772.672472521588,5761.1782251059785,9543.526478721476,5768.326054598091,9653.076814942617,8630.555919875567,14244.967094288088,11171.59378402501,11851.642690062912,9136.914609385123,8891.366226296563,10364.50678529308,17673.237812688087,9414.754147935433,17060.866366810507,17539.5016131441,11418.72813141898,16886.755777255083,10387.026988201602,7024.002442289389,10008.810132791667,15765.25396201863,5128.459546403109,6827.142656438756,16422.814195799372,8332.123210691752,6828.16195862927,6701.782316617511,9095.395184382438,9890.673869295977,15046.568108631249,12315.070951453863,12356.150322922898,4431.9028156485865,3172.9910685849954,16761.181546660533,18834.978421995093,13831.892357763147,10013.245328845951,7260.226545104273,11680.438438525704,10004.746485000767,9614.480145801288,11166.929191609152,8670.88961458125,11195.014360359984,15872.530745887494,10211.465310360685,16541.57994188363,4752.903773023973,16631.97836274269,8422.884033888413,12968.686171125333,10359.803932064284,9156.612898830454,10549.919782043095,9009.527041172929,6769.014727737269,2268.356609818471,13419.084157977391,17204.186662884276,14586.233830975762,13033.16049580921,7905.896338955261,8120.13320552669,8352.372415709577
BW,6240.139957666417,2207.745531644112,8007.5573248991495,8124.031301397001,11086.847970480729,8777.096173970342,8625.944811897602,5065.352730826962,6223.778931557546,9265.07507214058,7692.723167197254,0.0,12799.758320311543,2518.695585190719,8139.4131108695265,4853.366869942001,9110.214435454502,3518.5909623027514,11763.442176541039,11238.308603613688,12486.103975399845,12813.806832814877,8354.25183076879,8634.793416153778,4425.023475813226,8989.879749414076,7208.439841089195,11462.105518830815,6079.520685339298,7826.852669032464,3976.336273860457,9401.15166001258,14420.286498952897,8473.509643382216,8811.482738861661,4379.427346967634,6936.488185012915,13328.044100578263,8019.287630007482,9180.720769777421,8053.867126276382,6709.672323086053,7196.386746099786,10680.84407260626,7496.048092664477,6353.41965849352,13653.33429478932,2838.9902895598434,9457.659816034819,12574.4634824962,6426.300469489082,9555.663768916682,6555.722664884827,7359.529399478092,2319.45128786308,11368.893383202101,6556.629480870978,14365.288423912965,8730.403703552773,687.5487184203506,929.6728027693109,4231.83604795722,8771.094108352774,9474.007097347607,8610.287488584752,12031.748594798402,6399.3336819828055,11983.993488085127,10739.133696106184,12623.264357336613,11182.39462283582,8167.260396898393,8531.722709525993,7909.601674349582,6175.450437690442,7649.093165607991,7711.81315866809,8977.160593534298,2550.3486775670553,5898.761321929343,13770.749016144939,9336.594165538883,8857.461926143746,6415.955780927037,9141.918842315095,6999.059401894024,14451.479512350386,7184.892740155944,2297.289131317293,8328.53876656118,2854.2245805470634,12764.750097626984,7804.477544149531,8564.746110390448,10013.338910059523,13803.334375684057,15339.580092166345,261.2166454426611,1051.5488918156748,924.734682562297
CA,10769.92523802494,10620.756402433968,9031.715831568095,6586.265229902963,16104.729525959248,12219.959997048985,5690.557438329869,7806.3176200391645,10395.83358592863,7215.606863803615,7334.346869539842,12799.758320311543,0.0,10429.733240251062,6104.611833971566,7947.50610858277,8748.678780930806,9488.448699867035,10474.241950070254,4525.731196671247,4013.5335952109467,2544.853638043534,6353.910514772466,6146.549872089064,11230.035108300332,5923.516048375747,6419.275105731327,5062.545067639777,8876.40462189037,5707.581780771725,11136.890454729448,6289.502387773958,12653.111746459324,5663.62568366498,5378.074759985251,8439.561227154014,7764.7115554242955,3687.735421199343,6796.472047013574,4915.196201182496,11362.94782650969,9407.34760036553,9576.188813079867,3870.9616915339425,6746.931142314486,9020.984848909657,10343.49118277986,11852.842570511928,13694.634790029932,10536.510102087088,9963.889572203941,12983.077365418272,8835.199318547497,5854.797692873017,14064.268709972383,9659.945248271877,6245.623674027655,3598.308798337808,14615.980355359012,13409.025150559444,11972.26862877857,8769.14706891505,5650.389098226851,5615.364370869781,11681.246053001407,14472.518850835871,11076.106252941312,4056.260713036291,6365.101501579229,14308.417166717092,13148.893379643874,10699.32409267107,6594.700288950723,5399.63090845621,10536.439663821655,7432.908010970043,7063.586644907697,7180.055639081386,11391.584664995573,10317.222965793204,13402.363297274336,6012.504954934798,14829.085234720038,6388.706012444591,13440.553542475436,6928.649281203894,12382.247944863291,8182.193922543159,12166.73278626256,7237.438903984254,11402.621094811511,731.9154882007512,9105.228592126427,9788.102061183803,12643.813172484095,13414.728983374085,11561.577925898891,13053.851270111287,12302.254550995054,12698.961870869929
CD,5293.834780620477,549.1026827702303,8250.16360355336,5820.339136152571,13504.360503430844,8699.546891941973,6202.005898544328,2623.444998791875,5087.6205763863345,8870.159163628125,7021.609682135122,2518.695585190719,10429.733240251062,0.0,5728.825859287853,2598.6401253769604,9377.485624065612,999.9549776414716,11264.131510520167,9990.17825849726,11129.251734816473,10989.189130840768,6029.4372140520945,6302.7657179686175,3549.7045183720343,6656.340365566579,4724.24554729379,10440.361050160944,4166.513540836489,5319.383374111961,2986.3101212320603,7201.843348896968,16916.81804347587,6026.854910819904,6358.423890884738,2043.3208669383591,4764.590999785643,11843.173312319313,5753.479844112075,6702.1189088860565,7547.89499645099,5173.186994313452,5812.686562332389,8196.385708231097,5126.896411493344,4570.489228979248,13367.324967431796,2414.0111493842605,10070.102646933641,12211.448901968513,5105.9479344896845,9877.61377849357,4731.574420354681,4841.287191069289,3853.164237368031,10483.62753638158,4235.610027640013,12740.378395838092,9644.319780377728,3020.306483356336,2027.3653325027924,1716.2920067157297,6357.542309053761,7134.842377574261,8288.432568352613,14541.358911281312,5621.0899926077,10624.477913150193,10175.188038895794,14483.129365681863,11824.345636785823,7384.78330799907,6292.977025299909,5390.912322607045,5103.88139988815,5507.281165086514,5467.767347209264,6966.165532290185,1659.8175119323976,4676.260309873395,15824.79574953873,7064.796550280582,9867.490584125751,4185.9629702863585,9613.840894279354,4584.333650787498,16965.860223615844,5219.37025970274,2274.6043678822007,6240.732681787017,1988.134074385802,10513.299742462244,8050.620589827492,7442.616558679761,10243.1517893653,16183.24444312056,17853.067562623186,2738.097820784533,1876.1600005715138,2272.4651436635604
