id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AE--AO,AE,AO,5789.562333902342,10,5446.9,5425.0,5436.625,5431.183025272125,90.80559209407511,8245.655555555555,5358.0,5618.0,5373.75,5487.5,113.75,58.5,0.016671059151824912,0,0,5396.6925,5502.6125,342.66233390234265,-342.66233390234265,-0.05918622412885876,-0.06101005922480253
AE--AR,AE,AR,13529.214746619495,10,13589.7,13590.0,13588.75,13589.31057146327,15.734251385644844,247.56666666666672,13570.0,13617.0,13580.0,13600.0,20.0,10.0,0.0011578071175702806,0,0,13581.0,13599.4,60.48525338050604,60.48525338050604,0.004470714266370804,0.0044607503096430875
AE--AT,AE,AT,4240.533433479227,10,4237.5,4237.0,4237.375,4236.995028561689,3.719318934070233,13.833333333333334,4232.0,4244.0,4235.0,4238.75,3.75,2.0,0.0008777153826714415,0,0,4235.5,4239.8,3.0334334792269146,-3.0334334792269146,-0.0007153424272705418,-0.0007155984067472867
AE--AU,AE,AU,11949.361743211797,10,12076.8,12079.0,12076.875,12077.333333333116,31.98888695920646,1023.2888888888891,12025.0,12128.0,12057.25,12097.25,40.0,22.0,0.00264878833459248,0,0,12058.7,12095.4075,127.43825678820212,127.43825678820212,0.01066485888759685,0.010608390410808449
AE--BD,AE,BD,3654.894106864547,10,3599.2,3594.0,3597.125,3596.0108333333155,24.453129770145082,597.9555555555557,3565.0,3650.0,3585.75,3612.75,27.0,12.5,0.006794045835225907,0,0,3585.895,3613.8,55.69410686454739,-55.69410686454739,-0.015238227219755523,-0.015355522107133304
AE--BE,AE,BE,5158.218793556635,10,5149.3,5150.0,5149.75,5149.75,1.6363916944844772,2.6777777777777785,5145.0,5150.0,5150.0,5150.0,0.0,0.0,0.0003177891547364646,2,0,5148.297500000001,5150.0,8.918793556635137,-8.918793556635137,-0.0017290452215357763,-0.0017305417455120932
AE--BF,AE,BF,6015.546401624032,10,5602.7,5571.5,5590.25,5586.851228277513,124.91067919828863,15602.677777777777,5475.0,5830.0,5503.0,5694.75,191.75,87.0,0.022294729183837906,0,0,5535.265,5679.429999999999,412.8464016240323,-412.8464016240323,-0.06862990891610031,-0.07109856073397289
AE--BH,AE,BH,428.3040518422248,10,441.7,450.0,443.25,449.6666666666667,13.65487296006651,186.45555555555555,420.0,451.0,431.25,450.0,18.75,0.0,0.03091436033521963,0,0,433.1,447.85499999999996,13.395948157775194,13.395948157775194,0.031276725261310125,0.030797573735862244
AE--BO,AE,BO,13804.61066665081,10,14178.2,14176.0,14179.0,14178.199999998576,212.7156683358223,45247.955555555556,13880.0,14470.0,13988.25,14363.5,375.25,219.5,0.01500300943249653,0,0,14054.3675,14299.01,373.5893333491913,373.5893333491913,0.027062649021439535,0.026702931054172416
AE--BR,AE,BR,11946.46205222579,10,12113.7,12129.0,12119.375,12126.164149999986,28.647474195429126,820.6777777777777,12048.0,12134.0,12112.0,12130.0,18.0,4.5,0.0023648822569016176,2,0,12095.5975,12128.0025,167.23794777421062,167.23794777421062,0.01399895191087573,0.013901871549991392
AE--BW,AE,BW,6240.139957666417,10,6289.9,6327.5,6290.875,6290.08054444345,127.0209519025197,16134.322222222223,6120.0,6452.0,6170.0,6387.0,217.0,113.5,0.020194431056538214,0,0,6217.095,6359.8075,49.76004233358253,49.76004233358253,0.00797418690464612,0.007942561091762838
AE--CA,AE,CA,10769.92523802494,10,10940.0,10989.0,10951.875,10980.845700171167,102.69912906695515,10547.111111111113,10760.0,11025.0,10906.25,11001.75,95.5,27.5,0.009387488945791148,2,0,10875.5975,10999.215,170.07476197506003,170.07476197506003,0.015791638123409057,0.015668247537195232
AE--CD,AE,CD,5293.834780620477,10,5059.4,5011.0,5049.125,5033.0328285702,156.58593664679967,24519.15555555556,4845.0,5356.0,4965.0,5124.0,159.0,73.0,0.03094950718401385,0,0,4974.5625,5156.8025,234.4347806204778,-234.4347806204778,-0.0442844913631778,-0.04529499532589693
AE--CH,AE,CH,4824.29363438197,10,4777.7,4775.0,4779.5,4777.7919666661355,36.49977168878366,1332.2333333333331,4710.0,4831.0,4761.75,4807.5,45.75,21.5,0.007639611463420404,0,0,4755.5,4797.6075,46.59363438197033,-46.59363438197033,-0.009658125709825154,-0.009705067899508786
AE--CI,AE,CI,6633.529439211588,10,6425.6,6367.5,6412.0,6395.683143192288,139.66801908653088,19507.155555555553,6270.0,6690.0,6341.25,6479.5,138.25,70.0,0.021736183249273355,1,0,6349.96,6519.0325,207.92943921158803,-207.92943921158803,-0.031345219934126194,-0.03184699469041523
AE--CL,AE,CL,14639.057097417122,10,14810.5,14805.0,14805.625,14802.994500000277,47.04902880093394,2213.6111111111113,14760.0,14900.0,14773.75,14827.5,53.75,30.0,0.003176734668035106,0,0,14786.5,14842.5,171.44290258287765,171.44290258287765,0.01171133505675899,0.011643288137250091
AE--CM,AE,CM,5123.937544147606,10,4569.9,4555.0,4554.875,4541.176950006373,155.55809918555258,24198.322222222214,4410.0,4850.0,4447.0,4589.5,142.5,103.0,0.034039716226953017,2,0,4482.355,4661.3025,554.0375441476062,-554.0375441476062,-0.10812730236737757,-0.11443187224547131
AE--CN,AE,CN,5970.945542251472,10,5964.4,5964.0,5964.25,5964.833333333256,9.500877152487904,90.26666666666667,5950.0,5980.0,5962.25,5969.0,6.75,4.0,0.0015929309155133635,3,0,5958.3949999999995,5969.8,6.545542251472398,-6.545542251472398,-0.001096232113516189,-0.0010968334154239988
AE--CO,AE,CO,13588.353397547735,10,13620.7,13620.5,13619.25,13619.633242893635,16.09727375123571,259.1222222222222,13600.0,13653.0,13609.5,13626.25,16.75,10.5,0.0011818242638950796,1,0,13611.295,13629.9025,32.34660245226587,32.34660245226587,0.002380465204717402,0.0023776363858026093
AE--CR,AE,CR,14119.144537017517,10,14602.7,14490.0,14599.25,14582.500866676683,296.5247038612466,87926.90000000001,14238.0,14995.0,14369.25,14916.25,547.0,201.0,0.020306155975350217,0,0,14430.475,14777.375,483.55546298248373,483.55546298248373,0.034248212539697426,0.033674798090737805
AE--CU,AE,CU,12976.823855763972,10,12630.8,12655.0,12629.125,12629.125000006488,200.24640376851272,40098.62222222223,12335.0,12940.0,12461.25,12791.0,329.75,169.0,0.015853817950447536,0,0,12509.255,12748.205,346.0238557639732,-346.0238557639732,-0.026664757078464794,-0.027026710484157026
AE--CZ,AE,CZ,4453.994092626804,10,4456.6,4455.5,4456.125,4455.66666666667,5.621387729022079,31.6,4450.0,4467.0,4454.0,4457.75,3.75,2.0,0.0012613624128308752,2,0,4453.5,4459.8,2.6059073731967146,2.6059073731967146,0.0005850720317547267,0.0005849009438426969
AE--DE,AE,DE,4637.390140635866,10,4653.2,4656.5,4654.0,4655.373933333427,7.800284895082003,60.84444444444445,4640.0,4660.0,4646.25,4660.0,13.75,3.5,0.001676327021207342,0,0,4648.3,4657.4,15.809859364133445,15.809859364133445,0.0034092148567783946,0.003403416658274362
AE--DJ,AE,DJ,1852.7294237590422,10,2002.3,2004.0,2002.875,2002.9999999997813,12.52597301609739,156.89999999999995,1980.0,2020.0,1996.25,2007.75,11.5,6.5,0.0062557923468498184,0,0,1994.6975,2009.4025000000001,149.57057624095773,149.57057624095773,0.08072985419397659,0.07763660381261721
AE--DK,AE,DK,4846.553325017207,10,4826.5,4828.0,4827.0,4827.086425000027,7.5901983578238,57.61111111111111,4814.0,4835.0,4820.25,4832.0,11.75,5.5,0.0015726092111931628,0,0,4822.097500000001,4830.9,20.05332501720659,-20.05332501720659,-0.004137646626870735,-0.004146230372528261
AE--DZ,AE,DZ,5043.323060823943,10,5110.7,5127.5,5114.625,5126.69566666668,27.394443881114938,750.4555555555556,5060.0,5130.0,5090.25,5130.0,39.75,2.5,0.00536021364609837,0,0,5093.4,5125.2,67.37693917605702,67.37693917605702,0.013359631806939897,0.013271178854321074
AE--EC,AE,EC,14287.912014876967,10,14495.7,14440.0,14485.875,14477.795874999849,198.25463424596157,39304.899999999994,14275.0,14795.0,14330.0,14653.75,323.75,147.5,0.013676789271712408,0,0,14393.695000000002,14606.705,207.78798512303365,207.78798512303365,0.0145429216603993,0.014438187580386971
AE--EG,AE,EG,2366.759275546905,10,2384.5,2385.5,2384.625,2384.500000000013,6.346477588219924,40.27777777777778,2377.0,2391.0,2378.5,2390.0,11.5,5.5,0.0026615548702956272,0,0,2380.8,2388.0,17.740724453095027,17.740724453095027,0.00749578744082266,0.007467833629783651
AE--ES,AE,ES,5631.525649969257,10,5644.3,5644.5,5643.625,5643.963522222215,4.738729318662922,22.455555555555563,5640.0,5654.0,5640.0,5645.0,5.0,4.5,0.0008395601436250593,1,0,5641.9,5647.3,12.774350030743335,12.774350030743335,0.00226836399667523,0.0022657951430610653
AE--ET,AE,ET,2384.299141419422,10,2401.8,2405.0,2401.625,2401.651200000069,8.350648677398262,69.73333333333333,2390.0,2415.0,2395.0,2405.0,10.0,8.0,0.0034768293269207516,0,0,2397.1875,2406.7,17.500858580578097,17.500858580578097,0.007340043150021636,0.007313236129832083
AE--FI,AE,FI,4569.694904016727,10,4760.6,4775.0,4769.25,4767.351499998823,68.38485862300871,4676.488888888889,4622.0,4830.0,4714.0,4819.5,105.5,52.5,0.014364756254045437,0,0,4718.9975,4798.81,190.905095983273,190.905095983273,0.041776332992268,0.040927268651316635
AE--FJ,AE,FJ,14223.767159243713,10,14187.6,14176.5,14172.0,14174.494966667242,73.7250146000513,5435.377777777777,14115.0,14385.0,14149.75,14190.0,40.25,13.5,0.005196440173112527,1,0,14154.797499999999,14235.0075,36.167159243712376,-36.167159243712376,-0.002542727171979059,-0.002545965393154608
AE--FR,AE,FR,5247.246193643851,10,5247.0,5245.5,5247.0,5246.089560006331,2.6246692913372702,6.888888888888888,5244.0,5250.0,5245.0,5250.0,5.0,1.0,0.0005002228495020526,0,0,5245.5,5248.6,0.24619364385125664,-0.24619364385125664,-4.691863784654863e-05,-4.69197385602784e-05
AE--GB,AE,GB,5478.1261216819585,10,5461.1,5470.0,5466.625,5470.936028571495,25.092938360334678,629.6555555555556,5400.0,5478.0,5470.0,5474.0,4.0,3.0,0.004594850553978992,2,0,5444.592500000001,5473.1,17.026121681958102,-17.026121681958102,-0.0031080192941469816,-0.003112859217097631
AE--GH,AE,GH,6185.81623346826,10,5793.3,5809.0,5802.875,5802.905357363291,109.01585001987351,11884.455555555556,5560.0,5950.0,5745.0,5861.25,116.25,62.5,0.018817573752416328,1,0,5727.8,5853.52,392.51623346826,-392.51623346826,-0.06345423443789959,-0.06555688956581604
AE--GR,AE,GR,3259.934078702464,10,3269.7,3270.0,3269.625,3269.7142857166286,1.1595018087284057,1.3444444444444443,3268.0,3272.0,3269.25,3270.0,0.75,0.0,0.00035462024305850864,3,0,3269.0,3270.4,9.765921297535897,9.765921297535897,0.002995741957280001,0.002991263663987456
