place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7780.0,12150.0,10200.0,6502.5,10700.0,557.5,8165.0,11650.0,9010.0,6585.0,4830.0,5280.0,6125.0,3500.0,7765.0,15680.0,6500.0,6830.0,2400.0,5415.0,8500.0,5655.0,13585.0,3160.0,12440.0,5710.0,11915.0,9560.0,2192.5,6847.5,7450.0,12830.0,9895.0,12515.0,7682.5,6760.0,5780.0,7450.0,5665.0,7465.0,10142.5,4610.0,10065.0,5965.0,2842.5,6860.0,10550.0,10825.0,2490.0
AR,7780.0,0.0,11800.0,16950.0,2340.0,8980.0,8000.0,850.0,19259.0,4685.0,11900.0,9760.0,11800.0,10030.0,10317.5,12630.0,11525.0,11080.0,11100.0,7275.0,11175.0,15900.0,11150.0,18375.0,9850.0,19420.0,9415.0,7400.0,15875.0,8050.0,11445.0,11825.0,10300.0,3140.0,19945.0,15550.0,12260.0,9580.0,13475.0,12150.0,12060.0,15850.0,6950.0,17250.0,11800.0,9455.0,12820.0,8375.0,17300.0,8130.0
AU,12150.0,11800.0,0.0,9107.5,14050.0,16250.0,12500.0,11340.0,8960.0,14325.0,16100.0,17155.0,14400.0,17630.0,11625.0,15210.0,3305.0,16900.0,16910.0,15800.0,15320.0,10167.5,16315.0,7970.0,12150.0,8340.0,17900.0,13900.0,6325.0,14900.0,16600.0,15907.5,2330.0,12815.0,6260.0,10387.5,15600.0,18045.0,14460.0,12750.0,15600.0,6150.0,17725.0,7420.0,14450.0,11325.0,14915.0,16010.0,7750.0,10307.5
BD,10200.0,16950.0,9107.5,0.0,16000.0,11700.0,8950.0,17100.0,3027.5,16625.0,7132.5,8350.0,5300.0,8250.0,6155.0,6680.0,11700.0,7910.0,8000.0,10385.0,6140.0,1424.0,7282.5,4727.5,6945.0,3722.5,9565.0,15070.0,2630.0,8875.0,7695.0,7330.0,11295.0,17600.0,3312.5,2025.0,6775.0,8720.0,5555.0,4795.0,6922.5,2896.0,11560.0,1540.0,5250.0,6845.0,6040.0,12637.5,1860.0,8450.0
BR,6502.5,2340.0,14050.0,16000.0,0.0,7100.0,6777.5,3017.5,16900.0,3660.0,9500.0,7645.0,9500.0,7275.0,9530.0,10360.0,14300.0,8730.0,8780.0,6097.5,9525.0,14300.0,8730.0,17600.0,8510.0,18130.0,7065.0,6850.0,16115.0,6150.0,9245.0,9615.0,12140.0,3170.0,18400.0,14025.0,10055.0,7290.0,11175.0,10850.0,9815.0,16700.0,5030.0,16740.0,10300.0,8725.0,10130.0,6740.0,17140.0,7467.5
CA,10700.0,8980.0,16250.0,11700.0,7100.0,0.0,10245.0,8627.5,10510.0,4535.0,6140.0,6185.0,8575.0,5675.0,11265.0,6077.5,12800.0,5650.0,5380.0,8242.5,7620.0,11150.0,6730.0,10310.0,11680.0,10500.0,5717.5,3610.0,14800.0,8750.0,5650.0,5595.0,14400.0,6250.0,13222.5,10655.0,6530.0,5277.5,7140.0,9860.0,5945.0,14800.0,6295.0,13635.0,8075.0,12150.0,7177.5,735.0,12300.0,12925.0
CD,557.5,8000.0,12500.0,8950.0,6777.5,10245.0,0.0,9600.0,11335.0,9850.0,6120.0,4845.0,4197.5,5775.0,3035.0,6995.0,16450.0,6030.0,6380.0,1960.0,4850.0,8147.5,5420.0,13520.0,2415.0,11955.0,4850.0,12900.0,9680.0,1680.0,6405.0,7070.0,14050.0,10140.0,11700.0,7260.0,6160.0,5772.5,6920.0,4850.0,6930.0,10150.0,4200.0,9660.0,5050.0,2050.0,6070.0,10150.0,10365.0,2777.5
CL,8165.0,850.0,11340.0,17100.0,3017.5,8627.5,9600.0,0.0,19025.0,4250.0,12500.0,10442.5,13150.0,10700.0,11930.0,13090.0,10887.5,11640.0,11640.0,8650.0,12250.0,16300.0,11885.0,17240.0,11305.0,18400.0,9870.0,6585.0,16380.0,8850.0,11970.0,12140.0,9350.0,2465.0,17250.0,16360.0,12560.0,10107.5,14110.0,13475.0,12250.0,16300.0,8140.0,17100.0,13100.0,10450.0,13050.0,8047.5,17975.0,8625.0
CN,11650.0,19259.0,8960.0,3027.5,16900.0,10510.0,11335.0,19025.0,0.0,15275.0,7350.0,9130.0,7550.0,9215.0,8312.5,6300.0,9390.0,8215.0,8140.0,11850.0,7615.0,3787.5,8130.0,2100.0,9600.0,950.0,10300.0,12445.0,4350.0,10625.0,7824.5,6970.0,10390.0,16600.0,2850.0,3850.0,6950.0,9592.5,5790.0,6180.0,6711.0,4480.0,11825.0,3295.0,7000.0,9650.0,6450.0,11155.0,2330.0,11707.5
CO,9010.0,4685.0,14325.0,16625.0,3660.0,4535.0,9850.0,4250.0,15275.0,0.0,9400.0,8360.0,10845.0,8030.0,11650.0,9645.0,13775.0,8630.0,8500.0,8050.0,9945.0,15750.0,9345.0,14300.0,11637.5,14850.0,7507.5,3200.0,19750.0,8245.0,8827.5,8955.0,12400.0,1880.0,18050.0,15225.0,9655.0,7500.0,10900.0,12475.0,9550.0,19750.0,6335.0,17512.5,10780.0,11195.0,10280.0,3805.0,17460.0,10407.5
DE,6585.0,11900.0,16100.0,7132.5,9500.0,6140.0,6120.0,12500.0,7350.0,9400.0,0.0,1835.0,2890.0,1870.0,5350.0,1100.0,16175.0,878.0,932.0,5250.0,1801.0,5787.5,1184.0,8918.0,6350.0,8130.0,2615.0,9725.0,9600.0,4855.0,577.0,840.0,18175.0,11025.0,9737.5,5275.0,517.0,2310.0,1608.0,4215.0,810.0,9910.0,5030.0,8600.0,2030.0,6715.0,1120.0,6715.0,8290.0,8695.0
DZ,4830.0,9760.0,17155.0,8350.0,7645.0,6185.0,4845.0,10442.5,9130.0,8360.0,1835.0,0.0,2710.0,715.0,4820.0,3120.0,18185.0,1350.0,1660.0,2720.0,1700.0,6847.5,995.0,10405.0,5450.0,9995.0,930.0,9427.5,10445.0,2717.5,1730.0,2895.0,19330.0,9840.0,11485.0,6155.0,2285.0,980.0,3480.0,4105.0,2982.5,10435.0,3170.0,9642.5,2680.0,5395.0,2805.0,6465.0,9647.5,7455.0
EG,5280.0,11800.0,14400.0,5300.0,9500.0,8575.0,4197.5,13150.0,7550.0,10845.0,2890.0,2710.0,0.0,3350.0,2470.0,3400.0,16335.0,3210.0,3510.0,4250.0,1110.0,4400.0,2130.0,9560.0,3500.0,8465.0,3430.0,12480.0,7575.0,3427.5,3290.0,3670.0,16500.0,12402.5,9240.0,3500.0,2650.0,3742.5,2900.0,1290.0,3430.0,8280.0,5160.0,7265.0,1100.0,3825.0,2270.0,9450.0,7850.0,6265.0
ES,6125.0,10030.0,17630.0,8250.0,7275.0,5675.0,5775.0,10700.0,9215.0,8030.0,1870.0,715.0,3350.0,0.0,5460.0,2950.0,17370.0,1050.0,1263.0,3900.0,2225.0,6785.0,1360.0,10765.0,5790.0,9975.0,567.5,9065.0,11055.0,3765.0,1480.0,2590.0,19855.0,9500.0,11640.0,6345.0,2290.0,502.0,3440.0,4795.0,2590.0,11375.0,3150.0,10190.0,3137.5,6187.5,2865.0,6115.0,10070.0,8050.0
ET,3500.0,10317.5,11625.0,6155.0,9530.0,11265.0,3035.0,11930.0,8312.5,11650.0,5350.0,4820.0,2470.0,5460.0,0.0,5860.0,15900.0,5590.0,5900.0,4365.0,3552.5,4560.0,4470.0,9740.0,1160.0,9180.0,5565.0,14032.5,7362.5,3460.0,5670.0,6015.0,14390.0,12900.0,9110.0,4335.0,5315.0,5705.0,5145.0,1965.0,5760.0,7360.0,6200.0,6917.5,3425.0,1767.5,4817.5,11560.0,7450.0,4640.0
FI,7765.0,12630.0,15210.0,6680.0,10360.0,6077.5,6995.0,13090.0,6300.0,9645.0,1100.0,3120.0,3400.0,2950.0,5860.0,0.0,15280.0,1910.0,1820.0,6380.0,2470.0,5230.0,2200.0,7820.0,7385.0,7042.0,3805.0,9530.0,8442.5,6065.0,1500.0,782.5,16780.0,11730.0,8287.5,4820.0,940.0,3360.0,895.0,4260.0,400.0,9262.5,5830.0,7900.0,2465.0,7345.0,1150.0,6985.0,7815.0,9535.0
FJ,15680.0,11525.0,3305.0,11700.0,14300.0,12800.0,16450.0,10887.5,9390.0,13775.0,16175.0,18185.0,16335.0,17370.0,15900.0,15280.0,0.0,16900.0,16272.5,18975.0,16435.0,11650.0,16300.0,7255.0,15000.0,8150.0,18575.0,9615.0,8450.0,18675.0,16250.0,15640.0,2620.0,11075.0,7230.0,12375.0,15940.0,17350.0,14685.0,14520.0,15595.0,8260.0,18950.0,9050.0,15890.0,15920.0,15675.0,11980.0,8080.0,13800.0
FR,6500.0,11080.0,16900.0,7910.0,8730.0,5650.0,6030.0,11640.0,8215.0,8630.0,878.0,1350.0,3210.0,1050.0,5590.0,1910.0,16900.0,0.0,344.0,4820.0,2100.0,6580.0,1105.0,9710.0,6480.0,8965.0,1815.0,9200.0,10400.0,4450.0,430.0,1345.0,18980.0,10260.0,10740.0,5900.0,1367.0,1450.0,2485.0,4675.0,1545.0,10740.0,4200.0,9440.0,2600.0,6757.5,2025.0,6164.0,9190.0,8695.0
GB,6830.0,11100.0,16910.0,8000.0,8780.0,5380.0,6380.0,11640.0,8140.0,8500.0,932.0,1660.0,3510.0,1263.0,5900.0,1820.0,16272.5,344.0,0.0,5100.0,2391.0,6710.0,1435.0,9560.0,6820.0,8860.0,2080.0,8930.0,10560.0,4900.0,358.0,1150.0,18800.0,10155.0,10740.0,6050.0,1450.0,1585.0,2500.0,4945.0,1432.0,10850.0,4385.0,9535.0,2825.0,7435.0,2133.5,5900.0,9232.5,9047.5
GH,2400.0,7275.0,15800.0,10385.0,6097.5,8242.5,1960.0,8650.0,11850.0,8050.0,5250.0,2720.0,4250.0,3900.0,4365.0,6380.0,18975.0,4820.0,5100.0,0.0,4100.0,8305.0,4107.5,13580.0,4217.5,12435.0,3175.0,9677.5,11000.0,915.0,5210.0,6030.0,16450.0,9310.0,12940.0,7150.0,5312.5,3810.0,6140.0,5255.0,6145.0,11305.0,2100.0,11100.0,4850.0,4390.0,5540.0,8270.0,11150.0,4680.0
GR,5415.0,11175.0,15320.0,6140.0,9525.0,7620.0,4850.0,12250.0,7615.0,9945.0,1801.0,1700.0,1110.0,2225.0,3552.5,2470.0,16435.0,2100.0,2391.0,4100.0,0.0,4987.5,1050.0,9500.0,4360.0,8500.0,2855.0,10767.5,8390.0,3465.0,2160.0,2615.0,17650.0,11170.0,9585.0,4290.0,1598.0,2850.0,2230.0,2410.0,2630.0,9050.0,4730.0,7920.0,815.0,4735.0,1490.0,7900.0,7912.5,7060.0
