place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7778.333333333331,12123.720000005791,10230.624999991034,6497.713944459014,10744.627142852929,556.6956666666374,8180.00000000167,11646.133571306662,8996.874999985997,6586.666666666514,4829.666666666667,5280.333333333333,6141.666666672546,3503.916142857222,7770.8333333333085,15709.99999999411,6500.0,6829.888888888889,2393.7935000002667,5394.974833328717,8493.333333337152,5658.521555084902,13582.0,3159.9751428569207,12437.55219994673,5733.445500000001,11910.83333333208,9556.474999994045,2203.2583745116713,6842.706499999898,7458.763714627063,12848.75000000316,9884.166666664338,12496.666666667908,7666.874999992292,6779.4067146268935,5780.333333333315,7502.729571404349,5671.666666666808,7450.625000007076,10162.500000004111,4618.749999148807,10084.134600000385,5967.108499991869,2838.333333335646,6864.925428468362,10536.656600052755,10818.33333334101,2490.0
AR,7778.333333333331,0.0,11799.666666666666,16966.086666664873,2340.0,8982.587000063575,7994.999999993265,850.0,19259.8,4684.571428571428,11900.0,9768.895600000307,11800.0,10029.888888888889,10330.80292857376,12625.999999999995,11545.39833334107,11079.333333333352,11100.428571426228,7348.329600026626,11183.043333328162,15900.25,11150.0,18374.88888888889,9856.80400000005,19421.9999999999,9412.067555557474,7399.888888888889,15878.016249999982,8056.999999999538,11445.0,11805.994750001875,10300.42857142857,3140.0,19946.299999999996,15569.362000001698,12251.999999999181,9580.142857142857,13475.0,12125.870000009478,12067.000000001864,15850.25,6953.750000000001,17253.706499999596,11800.25,9459.999999999696,12819.75,8380.000000000004,17312.63690020571,8128.041928562731
AU,12123.720000005791,11799.666666666666,0.0,9090.634166663276,14080.265555555112,16249.857142857143,12531.250000018741,11340.142857140514,8963.620777777773,14284.402499998883,16099.75,17145.273428573182,14400.0,17630.057999999968,11650.195571111175,15211.608666666667,3301.6666666665815,16900.666666666668,16910.639714285713,15816.666666672965,15320.99999999998,10163.105166664434,16315.0,7970.0,12150.111111111111,8338.517400017732,17880.550999999254,13886.558333309064,6328.333333333593,14949.546944444919,16600.24999999786,15909.912999999951,2329.5714285714284,12817.412999999038,6261.403714251045,10381.612499995397,15600.0,18051.636900000864,14459.195666666687,12738.322857146673,15600.0,6149.888888888889,17688.05928649559,7414.034800035669,14454.999999696443,11318.33333333749,14911.647333333334,16012.50000000048,7749.750000002139,10310.775333333138
BD,10230.624999991034,16966.086666664873,9090.634166663276,0.0,16031.08666667447,11670.000000000542,8923.820000000089,17137.064999998183,3027.5,16642.465999366632,7144.999999999929,8361.94400000003,5289.520214285822,8250.0,6167.288714283098,6690.628928702675,11649.99999999636,7913.73135714284,8000.25,10368.540888892749,6138.333333333334,1423.5058000038505,7288.131611271339,4727.9021666665885,6943.391333333445,3722.902166666636,9560.248571433556,15173.118003344722,2630.0,8861.497777795159,7699.9420000002365,7330.775333332874,11276.113666666539,17601.435141471247,3293.8843333097316,2024.258700000001,6775.8333333329965,8719.785375000243,5550.833333332598,4759.493333308678,6923.521714285009,2896.2068285714313,11495.000000000467,1540.0,5244.398666669423,6839.328299856644,6078.3228571436275,12643.154300173674,1864.1376666666417,8446.784071431657
BR,6497.713944459014,2340.0,14080.265555555112,16031.08666667447,0.0,7104.499999995601,6780.135071429416,3017.0978333337066,16901.482600017698,3660.0,9500.666666666666,7652.500000009159,9506.37820022319,7273.391333333511,9543.333333349985,10371.77000000045,14282.02149999728,8730.111111111111,8780.0,6075.609000010304,9520.788857142115,14282.818999999889,8730.0,17577.420666666887,8503.11811111114,18135.304499675793,7043.1057142848,6849.888888888889,16138.239000000023,6150.428571428572,9236.445611111722,9598.739333334412,12125.978333332645,3170.0,18400.11111111111,13995.000000008456,10045.71022241759,7289.75,11175.02175,10857.927333329873,9857.276749359467,16693.475285708617,5025.862333332894,16741.25,10295.000000004431,8663.634284748094,10128.517400017736,6740.666666666667,17163.33333333297,7495.84278621101
CA,10744.627142852929,8982.587000063575,16249.857142857143,11670.000000000542,7104.499999995601,0.0,10246.666666674217,8622.499999999003,10506.872714117386,4533.333333333451,6137.931166666736,6189.999999996121,8599.374999999818,5673.706500000018,11302.624750002107,6085.190777666764,12760.624998978288,5650.0,5381.595124999957,8250.404624999264,7621.595125000091,11150.142857140514,6729.888888888889,10307.528999981607,11678.745428570513,10490.08572235722,5711.725625000393,3601.656600000415,14801.608666666667,8762.82599981878,5648.124999999931,5586.332428574543,14418.10242879111,6228.5073333359105,13220.833333334587,10633.125000001832,6530.0,5284.912999999777,7140.666666666667,9844.369666665754,5940.229444444548,14801.48260001783,6287.804499996663,13633.251571480678,8077.500000002934,12179.651999661128,7195.6250000020855,734.8888888888889,12299.374999999021,12901.874999999887
CD,556.6956666666374,7994.999999993265,12531.250000018741,8923.820000000089,6780.135071429416,10246.666666674217,0.0,9591.724666666905,11317.208800000037,9855.000000000327,6125.36477777873,4843.546571393449,4192.9601666683,5774.195666666924,3033.3333333331057,7007.374072022205,16457.41300008841,6029.258699999997,6379.571428571428,1957.4999999957445,4853.499999998528,8133.333333333369,5422.482600017767,13503.855333337146,2414.5714285714284,11950.000000001533,4850.0580000001955,12889.540857061986,9681.666666666753,1695.4549285682717,6399.655833332868,7092.5251666716285,14098.9133333268,10136.322500000764,11709.06872192149,7253.333333333062,6160.689428536768,5770.579214285958,6907.739249997454,4851.666666662288,6926.3042857150485,10164.825999999248,4200.111111111111,9664.796999997832,5059.751428560047,2058.4478000005697,6085.934714281241,10146.724666666283,10417.903571425713,2777.5
CL,8180.00000000167,850.0,11340.142857140514,17137.064999998183,3017.0978333337066,8622.499999999003,9591.724666666905,0.0,19025.999999999996,4250.0,12500.0,10447.238999999903,13168.195999990927,10700.0,11949.065000416922,13098.333333336885,10741.395833288585,11640.0,11640.111111111111,8621.666666638672,12249.410000000476,16300.42857142857,11885.0,17240.11111111111,11311.666666677645,18383.27642857134,9865.173999997052,6585.306777777738,16417.25833333017,8816.6415,11967.499999999995,12145.833333331531,9350.24999999786,2465.0,17253.69571428572,16387.582399999974,12580.016777779965,10080.624999397854,14110.0,13495.139285725103,12267.500000138927,16300.111111111111,8134.253666667465,17125.273799999937,13092.761000001306,10416.5545,13020.405999997069,8045.833333333448,17870.105780330683,8694.634750000914
CN,11646.133571306662,19259.8,8963.620777777773,3027.5,16901.482600017698,10506.872714117386,11317.208800000037,19025.999999999996,0.0,15266.956666668066,7350.0,9130.0,7549.8571428548,9220.431166666665,8311.517400000048,6300.111111111111,9384.000000001875,8215.0,8140.0,11816.26833333495,7614.333333333351,3787.198374999994,8130.0,2100.0,9599.333333333334,950.0,10299.75,12445.0,4349.888888888889,10678.441666660634,7824.428571428572,6968.517400000326,10363.750000001099,16600.428571428572,2850.0,3849.3333333333335,6950.428571428572,9593.304333333353,5790.249999997861,6184.108666666379,6710.458700008875,4480.0,11829.021666666,3295.0,6861.999999999819,9610.838571425656,6450.0,11155.0,2330.0,11708.404874999984
CO,8996.874999985997,4684.571428571428,14284.402499998883,16642.465999366632,3660.0,4533.333333333451,9855.000000000327,4250.0,15266.956666668066,0.0,9400.0,8344.3749999997,10860.021571651478,8029.333333333333,11649.883999999076,9645.833333333334,13749.999999996993,8630.0,8500.0,8020.7488888892185,9994.422555568763,15708.500142289724,9345.0,14300.0,11632.217428572003,14850.0,7512.942499998671,3198.0999999989094,19753.27533333333,8230.037749575942,8827.5,8968.22800000397,12433.50000003965,1880.0,18019.232333336244,15206.155142858599,9652.53728566218,7500.624999999877,10900.0,12470.97833333306,9543.749999883958,19740.000000000306,6338.333333333375,17483.439642064375,10779.666666666666,11190.00000000048,10284.211142857055,3787.3132001083186,17445.522000007622,10445.941666638733
