place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7776.25,12131.25,10230.625,6500.0,10746.25,555.625,8203.75,11645.0,8996.875,6607.5,4826.25,5281.25,6154.375,3504.375,7777.5,15713.75,6500.0,6830.0,2379.375,5383.75,8496.25,5650.625,13582.5,3160.625,12427.5,5733.75,11923.125,9561.25,2191.25,6842.875,7482.5,12848.75,9881.875,12493.75,7666.875,6783.125,5782.5,7503.75,5673.75,7450.625,10160.0,4618.75,10105.625,5972.5,2829.375,6867.5,10508.125,10820.0,2490.0
AR,7776.25,0.0,11768.75,17060.0,2340.0,8982.5,7997.5,850.0,19259.75,4680.0,11900.0,9775.0,11800.0,10030.0,10328.125,12626.25,11568.75,11078.125,11103.75,7443.75,11287.5,15906.25,11150.0,18375.0,9860.0,19421.25,9411.25,7400.0,15878.75,8058.75,11445.0,11796.25,10312.5,3140.0,19945.875,15662.5,12252.5,9581.25,13475.0,12125.0,12065.0,15853.75,6953.75,17231.875,11801.875,9460.0,12819.75,8380.0,17326.875,8126.875
AU,12131.25,11768.75,0.0,9055.625,14075.0,16243.75,12531.25,11341.25,8963.75,14267.5,16098.75,17141.25,14400.0,17625.0,11691.25,15212.5,3301.875,16922.5,16918.75,15837.5,15320.0,10081.875,16315.0,7970.0,12150.0,8338.75,17876.875,13704.375,6328.125,14947.5,16606.25,15915.625,2328.75,12828.75,6262.5,10333.125,15600.0,18038.75,14457.5,12752.5,15600.0,6150.0,17618.75,7401.875,14455.0,11301.25,14911.25,16007.5,7748.75,10314.375
BD,10230.625,17060.0,9055.625,0.0,16048.75,11668.125,8923.75,17148.75,3027.5,16617.5,7145.625,8370.625,5276.25,8252.5,6171.875,6683.75,11650.0,7914.375,8000.625,10365.0,6132.5,1422.75,7286.875,4750.0,6931.25,3722.5,9552.5,15162.5,2630.0,8862.5,7701.875,7339.375,11281.25,17600.0,3212.5,2023.75,6775.625,8716.875,5550.625,4638.75,6930.625,2896.75,11495.0,1540.0,5236.875,6836.875,6078.75,12649.375,1866.25,8447.5
BR,6500.0,2340.0,14075.0,16048.75,0.0,7104.375,6794.375,2996.25,16913.75,3660.0,9506.25,7664.375,9535.0,7270.0,9541.25,10376.25,14282.5,8730.0,8780.0,5935.625,9520.0,14282.5,8730.0,17540.0,8502.5,18136.25,7037.5,6850.0,16141.25,6152.5,9235.625,9561.25,12103.75,3170.0,18400.0,13996.25,10047.5,7288.75,11173.125,10873.75,9851.25,16533.75,5022.5,16741.25,10293.75,8645.0,10123.125,6743.75,17158.75,7516.875
CA,10746.25,8982.5,16243.75,11668.125,7104.375,0.0,10253.75,8630.625,10406.25,4533.75,6136.875,6183.75,8599.375,5678.75,11310.0,6084.375,12760.625,5650.0,5381.875,8248.75,7618.75,11151.25,6730.0,10307.5,11673.125,10488.75,5710.625,3596.875,14803.75,8780.0,5648.125,5581.875,14420.0,6223.125,13215.625,10633.125,6528.75,5286.25,7143.125,9831.875,5939.375,14810.0,6282.5,13631.875,8068.125,12175.0,7195.625,735.0,12299.375,12901.875
CD,555.625,7997.5,12531.25,8923.75,6794.375,10253.75,0.0,9586.25,11311.25,9841.25,6126.25,4855.0,4192.5,5733.75,3032.5,7030.0,16473.75,6029.375,6378.75,1999.375,4851.25,8136.25,5422.5,13126.25,2413.75,11950.0,4848.75,12888.125,9680.0,1700.625,6396.25,7101.875,14104.375,10119.375,11704.375,7248.75,6172.5,5768.75,6908.75,4851.25,6932.5,10171.25,4200.0,9673.125,5068.75,2068.125,6087.5,10116.25,10423.75,2777.5
CL,8203.75,850.0,11341.25,17148.75,2996.25,8630.625,9586.25,0.0,19025.0,4250.0,12500.0,10456.25,13115.0,10700.0,12037.5,13100.0,10596.875,11640.0,11640.0,8622.5,12240.0,16306.25,11885.0,17240.0,11306.25,18377.5,9858.75,6586.25,16415.0,8812.5,11967.5,12146.875,9351.25,2465.0,17250.0,16397.5,12575.0,10080.625,14110.0,13551.25,12267.5,16300.0,8110.0,17141.25,13078.75,10396.25,12983.75,8046.25,17870.0,8703.75
CN,11645.0,19259.75,8963.75,3027.5,16913.75,10406.25,11311.25,19025.0,0.0,15250.0,7350.0,9130.0,7548.75,9220.625,8310.625,6300.0,9385.0,8215.0,8140.0,11746.25,7610.625,3786.875,8130.0,2100.0,9590.0,950.0,10297.5,12445.0,4350.0,10687.5,7824.0,6967.5,10363.75,16651.25,2850.0,3823.75,7050.0,9594.375,5791.25,6184.375,6708.875,4480.0,11837.5,3295.0,6872.5,9600.0,6450.0,11155.0,2330.0,11708.125
CO,8996.875,4680.0,14267.5,16617.5,3660.0,4533.75,9841.25,4250.0,15250.0,0.0,9400.0,8344.375,10926.25,8024.375,11692.5,9650.625,13756.25,8630.0,8500.0,8023.125,9992.5,15622.5,9345.0,14300.0,11628.75,14850.0,7521.25,3198.875,19756.25,8230.0,8827.5,8968.75,12431.875,1880.0,17955.625,15212.5,9651.25,7500.625,10900.0,12453.75,9543.75,19655.0,6347.5,17482.5,10776.25,11186.875,10299.375,3736.875,17436.25,10529.375
DE,6607.5,11900.0,16098.75,7145.625,9506.25,6136.875,6126.25,12500.0,7350.0,9400.0,0.0,1843.125,2893.75,1870.0,5349.375,1101.25,16180.0,878.0,931.5,5253.125,1800.625,5817.5,1184.0,8917.375,6353.75,8130.0,2616.875,9703.125,9600.0,4856.875,576.5,839.875,18226.25,10979.375,9736.25,5259.375,517.0,2310.0,1608.375,4212.5,810.0,9910.0,5028.75,8599.75,2030.0,6751.25,1139.625,6715.0,8295.0,8695.0
DZ,4826.25,9775.0,17141.25,8370.625,7664.375,6183.75,4855.0,10456.25,9130.0,8344.375,1843.125,0.0,2711.875,715.0,4808.125,3119.375,18157.5,1350.0,1660.0,2781.25,1702.5,6849.375,995.0,10410.0,5455.625,9998.75,925.625,9413.125,10452.5,2775.0,1730.0,2889.375,19326.25,9806.875,11566.875,6178.125,2279.375,988.125,3480.0,4109.375,2973.125,10436.875,3168.75,9665.625,2690.0,5395.625,2776.875,6457.5,9655.625,7451.25
EG,5281.25,11800.0,14400.0,5276.25,9535.0,8599.375,4192.5,13115.0,7548.75,10926.25,2893.75,2711.875,0.0,3350.0,2470.0,3400.0,16340.625,3210.0,3510.0,4253.75,1110.0,4400.0,2130.0,9560.0,3506.875,8466.875,3422.5,12460.625,7666.25,3423.125,3288.75,3669.375,16386.25,12399.375,9250.625,3504.375,2675.0,3740.625,2900.0,1370.0,3426.25,8280.625,5173.125,7263.125,1100.0,3823.75,2270.0,9447.5,7766.25,6261.25
ES,6154.375,10030.0,17625.0,8252.5,7270.0,5678.75,5733.75,10700.0,9220.625,8024.375,1870.0,715.0,3350.0,0.0,5465.625,2950.0,17400.0,1050.75,1263.125,3896.25,2243.75,6843.125,1360.0,10765.0,5787.5,9976.25,566.375,9065.0,11051.25,3736.875,1480.0,2546.875,19855.0,9501.0,11641.875,6431.875,2290.0,502.125,3440.0,4795.0,2590.0,11373.125,3150.0,10190.0,3126.25,6186.25,2865.0,6112.5,9858.75,8030.0
ET,3504.375,10328.125,11691.25,6171.875,9541.25,11310.0,3032.5,12037.5,8310.625,11692.5,5349.375,4808.125,2470.0,5465.625,0.0,5868.75,15943.75,5588.125,5900.0,4338.125,3533.75,4676.875,4468.75,9820.0,1160.0,9193.125,5563.75,13973.75,7390.0,3462.5,5640.625,6026.25,14356.25,13006.25,9080.625,4343.125,5280.0,5710.625,5141.25,1965.0,5778.75,7367.5,6181.25,6905.0,3400.625,1768.75,4824.375,11560.0,7453.125,4538.125
