id,country_id,country_name,capital_name,latitude,longitude,continent,region,iso_code,alternative_spellings,localized_names,decision,source_id
AO,AO,Angola,Luanda,-8.83634,13.232481,Africa,Middle Africa,AO,,"{""en"": ""Luanda"", ""de"": ""Luanda"", ""es"": ""Luanda"", ""fr"": ""Luanda"", ""pt"": ""Luanda"", ""ru"": ""Луанда"", ""zh"": ""罗安达"", ""ar"": ""لواندا"", ""bn"": ""লুয়ান্ডা"", ""el"": ""Λουάντα"", ""hi"": ""लुआण्डा"", ""hu"": ""Luanda"", ""id"": ""Luanda"", ""it"": ""Luanda"", ""ja"": ""ルアンダ"", ""ko"": ""루안다"", ""nl"": ""Luanda"", ""pl"": ""Luanda"", ""sv"": ""Luanda"", ""tr"": ""Luanda"", ""vi"": ""Luanda"", ""fa"": ""لوآندا"", ""he"": ""לואנדה"", ""uk"": ""Луанда"", ""ur"": ""لواندا"", ""zht"": ""羅安達""}",One national capital selected for expanded purposive sample.,1159151469
AR,AR,Argentina,Buenos Aires,-34.600556,-58.399477,South America,South America,AR,,"{""en"": ""Buenos Aires"", ""de"": ""Buenos Aires"", ""es"": ""Buenos Aires"", ""fr"": ""Buenos Aires"", ""pt"": ""Buenos Aires"", ""ru"": ""Буэнос-Айрес"", ""zh"": ""布宜诺斯艾利斯"", ""ar"": ""بوينس آيرس"", ""bn"": ""বুয়েনোস আইরেস"", ""el"": ""Μπουένος Άιρες"", ""hi"": ""ब्यूनस आयर्स"", ""hu"": ""Buenos Aires"", ""id"": ""Buenos Aires"", ""it"": ""Buenos Aires"", ""ja"": ""ブエノスアイレス"", ""ko"": ""부에노스아이레스"", ""nl"": ""Buenos Aires"", ""pl"": ""Buenos Aires"", ""sv"": ""Buenos Aires"", ""tr"": ""Buenos Aires"", ""vi"": ""Buenos Aires"", ""fa"": ""بوئنوس آیرس"", ""he"": ""בואנוס איירס"", ""uk"": ""Буенос-Айрес"", ""ur"": ""بیونس آئرس"", ""zht"": ""布宜諾斯艾利斯""}",One national capital selected for pilot,1159151559
AU,AU,Australia,Canberra,-35.283029,149.129026,Oceania,Australia and New Zealand,AU,,"{""en"": ""Canberra"", ""de"": ""Canberra"", ""es"": ""Canberra"", ""fr"": ""Canberra"", ""pt"": ""Camberra"", ""ru"": ""Канберра"", ""zh"": ""堪培拉"", ""ar"": ""كانبرا"", ""bn"": ""ক্যানবেরা"", ""el"": ""Καμπέρα"", ""hi"": ""कैनबरा"", ""hu"": ""Canberra"", ""id"": ""Canberra"", ""it"": ""Canberra"", ""ja"": ""キャンベラ"", ""ko"": ""캔버라"", ""nl"": ""Canberra"", ""pl"": ""Canberra"", ""sv"": ""Canberra"", ""tr"": ""Canberra"", ""vi"": ""Canberra"", ""fa"": ""کانبرا"", ""he"": ""קנברה"", ""uk"": ""Канберра"", ""ur"": ""کینبرا"", ""zht"": ""坎培拉""}",One national capital selected for pilot,1159151161
BD,BD,Bangladesh,Dhaka,23.725006,90.406634,Asia,Southern Asia,BD,,"{""en"": ""Dhaka"", ""de"": ""Dhaka"", ""es"": ""Dacca"", ""fr"": ""Dacca"", ""pt"": ""Daca"", ""ru"": ""Дакка"", ""zh"": ""达卡"", ""ar"": ""دكا"", ""bn"": ""ঢাকা"", ""el"": ""Ντάκα"", ""hi"": ""ढाका"", ""hu"": ""Dakka"", ""id"": ""Dhaka"", ""it"": ""Dacca"", ""ja"": ""ダッカ"", ""ko"": ""다카"", ""nl"": ""Dhaka"", ""pl"": ""Dhaka"", ""sv"": ""Dhaka"", ""tr"": ""Dakka"", ""vi"": ""Dhaka"", ""fa"": ""داکا"", ""he"": ""דאקה"", ""uk"": ""Дакка"", ""ur"": ""ڈھاکہ"", ""zht"": ""達卡""}",One national capital selected for expanded purposive sample.,1159151467
BR,BR,Brazil,Brasília,-15.781394,-47.917998,South America,South America,BR,Brasilia,"{""en"": ""Brasília"", ""de"": ""Brasília"", ""es"": ""Brasilia"", ""fr"": ""Brasilia"", ""pt"": ""Brasília"", ""ru"": ""Бразилиа"", ""zh"": ""巴西利亚"", ""ar"": ""برازيليا"", ""bn"": ""ব্রাসিলিয়া"", ""el"": ""Μπραζίλια"", ""hi"": ""ब्रासीलिया"", ""hu"": ""Brazíliaváros"", ""id"": ""Brasília"", ""it"": ""Brasilia"", ""ja"": ""ブラジリア"", ""ko"": ""브라질리아"", ""nl"": ""Brasilia"", ""pl"": ""Brasília"", ""sv"": ""Brasília"", ""tr"": ""Brasília"", ""vi"": ""Brasilia"", ""fa"": ""برازیلیا"", ""he"": ""ברזיליה"", ""uk"": ""Бразиліа"", ""ur"": ""براسیلیا"", ""zht"": ""巴西利亞""}",One national capital selected for pilot,1159151443
CA,CA,Canada,Ottawa,45.418643,-75.701961,North America,Northern America,CA,Ottawa-Gatineau,"{""en"": ""Ottawa"", ""de"": ""Ottawa"", ""es"": ""Ottawa"", ""fr"": ""Ottawa"", ""pt"": ""Ottawa"", ""ru"": ""Оттава"", ""zh"": ""渥太华"", ""ar"": ""أوتاوا"", ""bn"": ""অটোয়া"", ""el"": ""Οττάβα"", ""hi"": ""ओटावा"", ""hu"": ""Ottawa"", ""id"": ""Ottawa"", ""it"": ""Ottawa"", ""ja"": ""オタワ"", ""ko"": ""오타와"", ""nl"": ""Ottawa"", ""pl"": ""Ottawa"", ""sv"": ""Ottawa"", ""tr"": ""Ottawa"", ""vi"": ""Ottawa"", ""fa"": ""اتاوا"", ""he"": ""אוטווה"", ""uk"": ""Оттава"", ""ur"": ""اوٹاوا"", ""zht"": ""渥太華""}",One national capital selected for pilot,1159151059
CD,CD,Democratic Republic of the Congo,Kinshasa,-4.327778,15.313026,Africa,Middle Africa,CD,,"{""en"": ""Kinshasa"", ""de"": ""Kinshasa"", ""es"": ""Kinsasa"", ""fr"": ""Kinshasa"", ""pt"": ""Kinshasa"", ""ru"": ""Киншаса"", ""zh"": ""金沙萨"", ""ar"": ""كينشاسا"", ""bn"": ""কিনশাসা"", ""el"": ""Κινσασά"", ""hi"": ""किन्शासा"", ""hu"": ""Kinshasa"", ""id"": ""Kinshasa"", ""it"": ""Kinshasa"", ""ja"": ""キンシャサ"", ""ko"": ""킨샤사"", ""nl"": ""Kinshasa"", ""pl"": ""Kinszasa"", ""sv"": ""Kinshasa"", ""tr"": ""Kinşasa"", ""vi"": ""Kinshasa"", ""fa"": ""کینشاسا"", ""he"": ""קינשאסה"", ""uk"": ""Кіншаса"", ""ur"": ""کنشاسا"", ""zht"": ""金夏沙""}",One national capital selected for expanded purposive sample.,1159151539
CL,CL,Chile,Santiago,-33.448068,-70.668987,South America,South America,CL,,"{""en"": ""Santiago"", ""de"": ""Santiago de Chile"", ""es"": ""Santiago de Chile"", ""fr"": ""Santiago"", ""pt"": ""Santiago"", ""ru"": ""Сантьяго"", ""zh"": ""圣地亚哥"", ""ar"": ""سانتياغو"", ""bn"": ""সান্তিয়াগো"", ""el"": ""Σαντιάγο"", ""hi"": ""सेण्टियागो"", ""hu"": ""Santiago de Chile"", ""id"": ""Santiago de Chile"", ""it"": ""Santiago del Cile"", ""ja"": ""サンティアゴ"", ""ko"": ""산티아고"", ""nl"": ""Santiago"", ""pl"": ""Santiago"", ""sv"": ""Santiago de Chile"", ""tr"": ""Santiago"", ""vi"": ""Santiago de Chile"", ""fa"": ""سانتیاگو"", ""he"": ""סנטיאגו דה צ'ילה"", ""uk"": ""Сантьяго"", ""ur"": ""سینٹیاگو"", ""zht"": ""聖地亞哥""}",One national capital selected for expanded purposive sample.,1159151615
CN,CN,China,Beijing,39.930838,116.38634,Asia,Eastern Asia,CN,,"{""en"": ""Beijing"", ""de"": ""Peking"", ""es"": ""Pekín"", ""fr"": ""Pékin"", ""pt"": ""Pequim"", ""ru"": ""Пекин"", ""zh"": ""北京"", ""ar"": ""بكين"", ""bn"": ""বেইজিং"", ""el"": ""Πεκίνο"", ""hi"": ""बीजिंग"", ""hu"": ""Peking"", ""id"": ""Beijing"", ""it"": ""Pechino"", ""ja"": ""北京市"", ""ko"": ""베이징시"", ""nl"": ""Peking"", ""pl"": ""Pekin"", ""sv"": ""Peking"", ""tr"": ""Pekin"", ""vi"": ""Bắc Kinh"", ""fa"": ""پکن"", ""he"": ""בייג'ינג"", ""uk"": ""Пекін"", ""ur"": ""بیجنگ"", ""zht"": ""北京市""}",One national capital selected for pilot,1159151595
CO,CO,Colombia,Bogotá,4.598369,-74.08529,South America,South America,CO,Bogota,"{""en"": ""Bogotá"", ""de"": ""Bogotá"", ""es"": ""Bogotá"", ""fr"": ""Bogota"", ""pt"": ""Bogotá"", ""ru"": ""Богота"", ""zh"": ""波哥大"", ""ar"": ""بوغوتا"", ""bn"": ""বোগোতা"", ""el"": ""Μπογκοτά"", ""hi"": ""बोगोटा"", ""hu"": ""Bogotá"", ""id"": ""Bogotá"", ""it"": ""Bogotà"", ""ja"": ""ボゴタ"", ""ko"": ""보고타"", ""nl"": ""Bogota"", ""pl"": ""Bogota"", ""sv"": ""Bogotá"", ""tr"": ""Bogotá"", ""vi"": ""Bogotá"", ""fa"": ""بوگوتا"", ""he"": ""בוגוטה"", ""uk"": ""Богота"", ""ur"": ""بوگوتا"", ""zht"": ""波哥大""}",One national capital selected for expanded purposive sample.,1159151601
