response_id,experiment_id,pair_id,sample_number,attempt,timestamp,prompt,raw_response,parsed_distance_km,quality,terminal,retryable,latency_ms,input_tokens,output_tokens,estimated_cost_usd,reserved_cost_usd,model_version,finish_reason,provider_payload
e5447e82261c847a978bd04c9e85da16a11b11e1d21f0d6d4665445646d51f34,b3af559d2572ec18386cc012,AO--AR,1,1,2026-09-08T16:24:19.886971+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7780,7780.0,valid,True,False,1059.780249983305,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7780"", ""thoughtSignature"": ""EmgKZgERTTIPInemxAeWSRb8Pb2rj4/LeumFnDxV7q/3godb/RvEBXuMdy3P5Q22zQnyWPXBx1vQvrKTaHcWaNqUZzqk6pSOA25o/xFQoNxZm+6WHM1+G5pOWKGblhImbdCGvMgy9Ad8rQ==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""tDagav76C5SE7M8Pm6fY0A4""}"
98e5ce6828fbb404457c7c2c4c437c6fe44d3ecf3a96117a4bd4e0ef3db5b667,b3af559d2572ec18386cc012,AO--AR,3,1,2026-09-08T16:24:20.023245+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7745,7745.0,valid,True,False,986.4444580161944,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7745"", ""thoughtSignature"": ""EmgKZgERTTIP4WwKAg3/OJqC0YWBuqPL06EjCbp1ntwew2JJZMhgbQBdxwxExZYel6xR+Az0ziTMIpY36JTvKPYbiMo7tmirWZOwJYHSzjalDLk5hIdI0+2Wp53I5pvf/9haZFScjKRPrg==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""tDagapCWCtqhxN8P6O6r2AQ""}"
4f0f8ebf74c4e1418b6408343930519abff3e630c75ceb7d4570c83373316d4f,b3af559d2572ec18386cc012,AO--AR,2,1,2026-09-08T16:24:19.955897+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7780,7780.0,valid,True,False,1239.917916012928,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7780"", ""thoughtSignature"": ""EmgKZgERTTIPjuRaD6d38ZN2PuUJcnMGsOic7JG14KN1qe9lA5mGeD9l0sxtR2XOQxgc8ESZvCMEFEGxV/pLFAjEmNUe+8behU9KMms0TMWQQhrLORY0fz9C0n3Vj9ZNYXKPeOzugLaPOQ==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""tDagauO2BcSRvdIPx_WF0QQ""}"
a2f1ee8e4aa2d39e765de311e2df19705789bb03265dcf6851276fbe4d9a2f74,b3af559d2572ec18386cc012,AO--AR,0,1,2026-09-08T16:24:19.807975+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",,,http_503,False,True,,,,0,0.0018375,,,
649ed4f1d17fcb8ceb3017ae1e67d5e0dcc1fb218dab4010799173f345d6e36a,b3af559d2572ec18386cc012,AO--AR,0,2,2026-09-08T16:24:24.590026+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7790,7790.0,valid,True,False,1059.638290986186,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7790"", ""thoughtSignature"": ""EmgKZgERTTIP374YiqNlZ+oldrOOL6rpYnTJ3KQ+IngoP1cbwWrV610NG3jdgXLgK30gZb5IKNlLoSvsJDMmoWIAb2X6UlNxAyx+BD2r+9nnsjCWAr64Vsj7YlJWX0ehBaxbsyosKh1yvw==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""uDagapK6KYaZ3boP15rP-Q4""}"
88cbc4ae06e0b02d836409caf588e8ce5071686bcf0fff1cb4d6836ad2e725e9,b3af559d2572ec18386cc012,AO--AR,4,1,2026-09-08T16:24:56.032154+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7775,7775.0,valid,True,False,1021.6496669745538,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7775"", ""thoughtSignature"": ""EmgKZgERTTIPtf6NgQSEKx/NS9aVSD5ZD2X8z2vHf03X0PRwdHv6mvH8bCjElQ2RDiWOlCYfX+eI6MUv9aTlPFgwXPRmcRqTCPdPOiiUI6zBw22xF2U/SjIb0+ReIOrVWvQWe5LhLlW3fA==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""2Dagau2rDfyqxN8P4O-nCA""}"
1b8c4f454171603d43f9d9460219250789f8c7aae048959d8d17f21ee039e99a,b3af559d2572ec18386cc012,AO--AR,5,1,2026-09-08T16:24:56.099030+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7775,7775.0,valid,True,False,1007.2087500011548,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7775"", ""thoughtSignature"": ""EmgKZgERTTIPiJS4fqXABUaWrnVl0V8tA7vN5ynbf9TTRzuljCkF3tf60xFO5R0gxfl2aK9Mo8gT9p9jopCKLemjWdnES3PoN7Uff2zmlJvm2XgtiOlz8cogV/hNg4FPG5zM39tz2iRpXw==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""2DagapD-DbzRnsEPsqO30AE""}"
b31502117010c04ae562c362d12ca9863dc0972bb8f28cc82f99c402f8a11336,b3af559d2572ec18386cc012,AO--AR,6,1,2026-09-08T16:24:56.166220+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7800,7800.0,valid,True,False,949.4656669849064,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7800"", ""thoughtSignature"": ""EmgKZgERTTIPz149gTm6q9V7eiF/Cl5EKxyk2OmSCaycC+/uqDxNI7RWGqV2sBA7YtU+GJ6DlMwnZD2mIfoBm+PyBfp3yjGXKXUuCzXp5iEpaC7B2kZkrbcfbc+p+0M4KOcWGM+BeNelmw==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""2Dagau3UEsyE3boP2dbNsAo""}"
d4c85ba0b3f28cf0eeeda17c7398e173bcedcb054c2ac456332e2a9359dc7648,b3af559d2572ec18386cc012,AO--AR,8,1,2026-09-08T16:24:56.299975+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7780,7780.0,valid,True,False,872.5786250142846,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7780"", ""thoughtSignature"": ""EmgKZgERTTIPDx8tuBDuZoV5MUH7OS9Zp/P122Ku6akoLGA1qV6m+e+3gPPwZMYpVSlnYmuwD2SV5fVzI6H2oK6wcSMZPSKfMIRKpW+aImXXSHCu/wEp52AUQaBEiumky/gRgxRLNcCTvQ==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""2DagavO3G66a3boPh5D3yAo""}"
07d498af4a2c1ed46703b7394220fd72051caac8b53005d7e16c31c6a8d266f6,b3af559d2572ec18386cc012,AO--AR,7,1,2026-09-08T16:24:56.232932+00:00,"Estimate the straight-line great-circle distance in kilometres between Luanda, Angola and Buenos Aires, Argentina. Return only your best numerical estimate in kilometres. Do not explain your reasoning.",7780,7780.0,valid,True,False,1014.578292000806,38,4,9.3e-05,9.3e-05,gemini-3.5-flash,STOP,"{""candidates"": [{""content"": {""parts"": [{""text"": ""7780"", ""thoughtSignature"": ""EmgKZgERTTIPPw4VecURRjJ1JOzSG6R0sRGyFFhSR7eWjA1GfM68UVtzlfZQlsRtxuQdkZ1m5VJWUz/8G8XozlkEp3k39DufETT47fMIEAFWdStWxIkDPKL9v7kh2pZ7G44est042IpdsA==""}], ""role"": ""model""}, ""finishReason"": ""STOP"", ""index"": 0}], ""usageMetadata"": {""promptTokenCount"": 38, ""candidatesTokenCount"": 4, ""totalTokenCount"": 42, ""promptTokensDetails"": [{""modality"": ""TEXT"", ""tokenCount"": 38}], ""serviceTier"": ""standard""}, ""modelVersion"": ""gemini-3.5-flash"", ""responseId"": ""2DagauasFunnxN8PpO7c8Q8""}"
