place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,10354.833333355491,11354.624999872889,7643.955466627164,8007.751142853945,8441.801133377345,1129.7699999752906,9804.926166382764,10947.736998503353,8243.618785482337,6136.912857098796,4115.628025295797,4397.707033136081,5598.464666608525,3789.772157145353,6979.37912497031,12114.359799836466,5997.118842870566,6064.124750028086,2752.5000002582183,5882.346858475889,7297.702422138489,5831.250000009256,12568.560000089956,3642.5521001346124,12003.862857184204,3983.9999999796864,10572.730666577478,10166.5857141941,2574.4999997217783,7802.9697145178925,7125.125000017269,11795.416249969085,10030.209000189823,11285.489444229152,6736.335924932951,6329.9064800405395,6277.662499996915,7172.205100017713,5246.3999998903655,7150.5066667201345,10924.295671372765,4011.774999999752,9642.798333419138,5392.882389126312,3184.500000058345,6371.864066727581,9380.490571428107,10068.235715125098,4186.32893601913
AR,10354.833333355491,0.0,11831.250000000005,19369.999999954638,1217.8510799070345,9095.750000026517,10356.219300004519,1149.1249999995136,15603.699999969018,3296.4000000052033,11189.75142856935,10441.236571525505,12609.434222306993,10010.073433332243,12179.731133309377,11159.14666682234,12316.315258210223,11085.104399999822,11020.688333333219,9972.174286756363,12450.695999329679,12023.263559701165,11095.962857141103,11756.25000020827,11447.148099932487,12190.512142860216,9775.649285713105,7941.934275036433,19585.0,10378.999999000678,10519.77966671592,11599.420000000006,11926.484999986493,2564.000000009699,19759.284633331266,12373.361711116284,12251.666666622665,9658.299999979887,12833.505714246514,12592.874999998867,11599.999999997264,19583.33333333055,9587.459999908777,12150.0,12361.501499986707,11594.628333308054,11354.965271800276,10327.405555557849,12777.319485619057,12074.926666582376
AU,11354.624999872889,11831.250000000005,0.0,7626.9999999789125,18427.07333554258,16511.04400000911,12400.000000038206,12140.620000005138,10734.34800000155,16993.779001941184,16481.521429421773,16153.137718043376,13240.165574087916,16724.50000093555,12540.589500011803,12522.29933369449,3152.931066622398,16855.031428572667,17000.66666666665,14040.381750048926,15482.392222116887,10014.662220288215,16615.796666662176,7818.619500014584,12425.833333330376,8346.666666562003,16944.93333336939,13107.500000050886,5977.25000000307,15321.114800050706,9974.419999835809,15151.957500702967,2541.833333292366,13364.559999988338,5254.166666665169,10362.50000008674,15824.411428623884,16516.441430286737,14727.96979950501,11468.34407830021,15010.500000101203,5301.66666668198,15530.197000039027,8130.125004314313,14849.333333317552,12578.188999952781,14878.00666666683,16529.651999997022,5745.000000076582,10853.33333328009
BD,7643.955466627164,19369.999999954638,7626.9999999789125,0.0,15907.672857097725,9083.985000035127,7745.186571426288,18013.209666694154,3374.62499928002,16588.199996709598,6130.526133499276,5155.000002857124,3666.061733545251,5400.698449996501,4355.353714173497,6466.77711130771,16038.258714201069,7200.289283699822,7925.5792802312435,7780.80948575369,5460.670850008244,1437.3456999999796,5362.624999999688,5156.333333298394,6361.8333332888415,3734.3749999802885,7584.614300007861,13817.789749845588,2901.6666666736496,7389.857055648105,7654.499999969167,6813.986666346172,14662.683333447556,19051.989099899783,2468.2463333322344,1704.1666666956035,6092.622271436578,7980.018666805183,4925.820240720628,3560.3329006463905,6063.116666633236,2933.7499999989295,8348.96678563645,1541.1259713491966,3593.73386668461,5486.125000001326,5143.514321766986,12738.333333316335,1558.3204222318525,9604.75658571429
BR,8007.751142853945,1217.8510799070345,18427.07333554258,15907.672857097725,0.0,7093.899999999056,8185.447328559618,2547.183757159991,17716.62499999388,2404.410744557791,9309.601666676612,8419.820456986887,9402.825555487501,8564.666666682795,7999.716749955405,9369.872999928113,16704.3812777791,9190.928000012897,9061.792500040994,7766.000000197542,9704.304656253227,13122.124999672871,9346.398371424182,17674.999999999076,8840.699999973236,17732.150357148843,7663.640000002434,3229.1666666808474,16159.131432285596,8214.625000033124,8521.989399934408,8625.621429388946,14995.499999859361,2502.124999984477,16344.208785488108,12862.833333341736,9533.77357063542,7561.3983333100205,9627.993777135976,10108.500001322456,9723.3333333484,16608.40848816231,7667.842411081283,14743.068871698817,9093.375000032924,8972.753055730882,9636.125000123295,7432.375000001291,17088.254840788766,8785.008428571502
CA,8441.801133377345,9095.750000026517,16511.04400000911,9083.985000035127,7093.899999999056,0.0,9724.99999999446,8151.278857142758,7538.499771547053,6394.05666665116,6135.419999971422,7168.499999953634,7693.396250021497,5753.731666665609,9497.09999999927,5872.644999994302,15168.524571540775,5606.25,5492.500000000947,7797.500000979781,6449.617285616374,9659.999999998594,6410.341428076548,9774.534285726302,9791.997000420966,9980.500000068845,6083.512800885544,3490.0000000007008,11454.396666688632,8359.809570505084,5827.048222209954,5868.333333335051,17410.853569583895,4757.049566615363,11645.875000016385,7910.374999983551,6105.670625078316,5785.796666646286,5482.499999763764,8364.342000011227,5882.139199855316,10366.499999952739,7281.082833392346,9724.832000785182,6685.999666661848,10313.689333259576,6644.777400046595,846.6229999995246,10110.628999169745,10756.84666674336
CD,1129.7699999752906,10356.219300004519,12400.000000038206,7745.186571426288,8185.447328559618,9724.99999999446,0.0,10452.833333427929,10918.187777692485,9501.84748460857,6154.419471432598,4192.912857052724,3938.0969249998793,5987.249999837708,3441.125000127183,6507.196298961055,15620.833333302642,6172.749999993514,6202.00000005324,3222.320985713034,6020.368636840807,7570.333333363503,5185.2088002040855,11840.999999990729,2399.120700026266,11634.14710092454,4318.707466756076,10420.977499999417,10628.734967001845,1727.6601577218808,6861.0751452178365,7316.683429185987,14126.500000429109,9893.763079175707,11829.988833329104,6559.249999969316,6684.02600029402,5891.4999995998305,7143.333333307731,5041.518198190793,7496.881428562263,10406.192221983738,4021.086666693739,9551.666666715604,5631.500000150396,2426.9940866381926,5764.1512142907595,9292.664999997569,9738.460266660213,3040.1310598966693
CL,9804.926166382764,1149.1249999995136,12140.620000005138,18013.209666694154,2547.183757159991,8151.278857142758,10452.833333427929,0.0,17812.625000006636,3091.8111110424675,9894.629000177798,9378.426800986832,9941.5933334463,9212.83333336239,11320.768143402156,10037.169779972024,11100.456400054682,11088.820000033902,9935.742332988233,10570.250000026326,10074.651438033557,16104.48073966289,9822.047898543467,17451.75000023137,11621.921549835042,16127.047392782908,9042.029999992083,4190.563457143078,18086.66666688527,10268.85869995213,9809.818333414867,9722.500000000933,10675.522000020655,2479.5224333335814,17565.7578333259,16961.04783337753,9634.079257057001,9146.015000000216,10338.804499784705,10155.388251094331,10317.063333535261,17638.87733332269,8233.144444385962,17901.66666666674,10776.400000001,11503.666666637637,10222.001222468192,8377.5,18290.309999978403,10965.50000216223
CN,10947.736998503353,15603.699999969018,10734.34800000155,3374.62499928002,17716.62499999388,7538.499771547053,10918.187777692485,17812.625000006636,0.0,12649.1464285457,6450.0,6908.682926842877,6047.499999993291,6117.115333333333,6714.396299213446,5741.666666688186,11492.81533288738,6615.5066665647955,6623.549999949998,8743.596185703329,6482.515714285658,3652.4999999993265,6634.371071298301,2099.8888888888887,6588.76416661382,1136.7994444499022,8178.660999950395,11447.034999986272,3750.319857140246,8642.844500006993,6266.666666662535,5443.749999962852,10324.378571409163,19763.13625000291,2466.246333334408,3722.1666667799896,6458.333333316406,8331.250000000566,5799.857142857143,5595.833333265407,5737.31357143625,3732.19999999883,9682.515714277193,3770.500000000253,4365.7499999998545,9037.22616748285,6504.9999999817355,10960.787929184868,1692.5,12625.999999995327
CO,8243.618785482337,3296.4000000052033,16993.779001941184,16588.199996709598,2404.410744557791,6394.05666665116,9501.84748460857,3091.8111110424675,12649.1464285457,0.0,9515.416000002077,9184.261430066606,9156.796677778031,7783.749999998659,9226.124999956633,8997.654999955132,16912.99999978255,9340.348000019287,8454.427666662637,9005.565319948235,9521.666666666666,9836.210333328941,9436.332428571352,13935.625000052052,9581.000000000005,9878.248285716203,8678.625000014094,3664.5187142858103,13459.560996712433,8791.869057129701,9522.49288888695,9444.166666657215,19555.777142804673,2158.6844999917953,14578.999999832884,10805.62500003578,9449.0000000085,8178.3376333244305,8915.841285673581,9272.050642819411,9221.666666695826,14387.918571626169,8334.481014223467,12785.613295038862,9174.706215134229,9226.432142926036,9490.166666683568,3655.1614285713104,13599.764028564337,9891.91914286286
