place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,10358.625,11354.625,7519.625,8008.125,8461.875,1133.0,9701.875,10856.25,8314.25,6162.625,4176.375,4453.375,5559.875,3825.75,6981.875,12100.625,6004.25,6084.0,2700.5,6080.375,7310.125,5831.25,12360.875,3621.375,12004.25,3980.5,10686.375,9959.875,2574.5,7742.5,7125.125,11794.25,9911.125,11274.75,6807.5,6723.375,6362.5,7147.625,5247.75,7135.625,10921.75,4068.75,9622.125,5372.25,3190.75,6438.0,9416.25,10088.375,4219.75
AR,10358.625,0.0,11831.25,19370.0,1383.25,9095.75,10349.875,1149.125,15632.125,3299.25,11197.5,10416.375,12590.625,9938.125,12086.625,11086.375,12323.125,11075.0,11031.25,9968.75,12246.25,12003.125,11082.5,11756.25,11375.375,12237.5,9736.125,7939.625,18663.625,10379.0,10513.75,11610.0,11992.5,2564.0,19775.375,12371.125,12245.0,9654.125,12781.0,12592.875,11607.5,19587.5,9502.5,12271.25,12375.25,11612.375,11278.25,10322.0,12763.375,12125.125
AU,11354.625,11831.25,0.0,7601.875,18434.75,16466.25,12425.0,12143.75,10690.0,17002.0,16483.75,16083.375,13205.625,16724.5,12524.125,12285.0,3074.0,16853.75,17037.5,14023.125,15506.25,10015.625,16650.0,8280.625,12406.875,8410.0,16954.625,13105.625,5977.25,15359.875,11406.25,14581.25,2562.75,15279.666666666666,5254.125,10362.5,15756.25,16491.75,14627.5,11299.5,14457.875,5309.75,15482.5,8130.125,14762.0,12512.75,15043.25,16525.0,5806.625,10871.25
BD,7519.625,19370.0,7601.875,0.0,15868.75,9235.625,7727.0,18004.375,3374.625,16487.5,6247.25,5155.0,3640.5,5403.875,4469.625,6447.25,15987.75,7138.5,7843.75,7803.25,5495.625,1434.125,5362.625,5171.625,6392.75,3734.375,7547.5,13515.0,2903.875,7389.125,7655.25,6726.875,14609.375,19000.25,2520.875,1761.25,6076.625,7976.5,4964.5,3550.125,6021.25,2933.75,8352.5,1546.25,3508.875,5486.125,5117.875,12741.25,1559.75,9606.125
BR,8008.125,1383.25,18434.75,15868.75,0.0,7082.5,8190.625,2538.625,17716.625,2416.125,9275.125,8425.0,9401.25,8594.0,8029.5,9335.25,16709.875,9163.25,9051.25,7750.75,9707.25,13122.125,9294.125,17675.0,8846.625,17801.25,7658.375,3221.75,16137.5,8214.625,8504.5,8560.0,14996.625,2502.125,16399.375,12832.125,9533.75,7558.625,9589.625,10210.875,9703.625,16612.875,7666.875,14828.75,9093.375,8974.625,9636.125,7432.375,17103.25,8848.125
CA,8461.875,9095.75,16466.25,9235.625,7082.5,0.0,9731.25,8173.5,7486.0,6495.75,6134.25,7098.125,7707.5,5774.75,9521.375,5832.5,15133.75,5606.25,5499.375,7797.5,6491.25,9665.0,6481.25,9758.75,9752.5,9983.75,6110.75,3492.25,11541.125,8440.75,5826.25,5847.5,17413.125,4863.625,11645.875,7910.375,6104.5,5802.5,5482.5,8351.25,5852.5,10372.75,7318.875,9789.75,6746.875,10280.125,6723.75,853.375,10503.75,10881.875
CD,1133.0,10349.875,12425.0,7727.0,8190.625,9731.25,0.0,10464.625,10912.5,9399.125,6158.625,4283.0,3936.625,5987.25,3441.125,6566.875,15590.625,6172.75,6202.0,3070.25,6005.625,7628.75,5183.25,11818.25,2459.75,11163.75,4322.25,10416.25,10631.625,1739.25,6849.625,7216.125,14090.0,10103.25,11934.5,6559.25,6677.625,5937.125,7113.75,5050.875,7497.0,10393.625,4068.25,9512.5,5631.5,2431.5,5757.125,9322.25,10061.125,2948.5
CL,9701.875,1149.125,12143.75,18004.375,2538.625,8173.5,10464.625,0.0,17812.625,3082.5,10416.25,9242.875,10202.5,9222.125,11295.375,10019.625,11099.625,10871.25,9941.25,10570.25,10320.5,16001.375,10152.5,17451.75,11276.625,15635.625,9026.75,4188.375,18086.666666666668,10489.125,10048.25,9785.625,10597.125,2509.625,17555.625,16652.5,9836.875,9065.625,10460.25,10086.25,10359.375,17615.875,8232.125,17945.0,10776.75,11503.666666666666,10195.875,8381.875,18345.125,10965.5
CN,10856.25,15632.125,10690.0,3374.625,17716.625,7486.0,10912.5,17812.625,0.0,12637.5,6462.5,6920.0,6047.5,6197.5,6751.5,5743.75,11451.25,6725.0,6962.5,8777.125,6468.75,3653.75,6635.625,2100.0,6884.875,1133.75,8195.625,11444.0,3752.25,8551.125,6262.5,5443.75,10325.0,19765.75,2470.75,3736.625,6475.0,8331.25,5795.0,5591.875,5743.75,3731.5,9631.25,3759.125,4365.75,9042.625,6497.5,10945.625,1692.5,12644.5
CO,8314.25,3299.25,17002.0,16487.5,2416.125,6495.75,9399.125,3082.5,12637.5,0.0,9516.25,9107.125,9159.125,7783.75,9226.125,9018.75,16913.0,9306.25,8407.5,9215.5,9516.25,9819.0,9435.0,13935.625,9453.25,10206.875,8678.625,3641.875,13548.75,8768.5,9526.25,9458.125,19086.666666666668,2187.875,14671.75,10805.625,9461.25,8172.5,8964.75,9273.625,9202.5,14723.0,8329.125,12560.625,9182.0,9192.625,9472.25,3664.0,13423.25,9900.0
DE,6162.625,11197.5,16483.75,6247.25,9275.125,6134.25,6158.625,10416.25,6462.5,9516.25,0.0,1775.25,1731.25,1733.75,4242.875,1528.25,16270.625,875.625,931.25,5011.25,1752.75,5636.875,1302.5,8868.75,6507.0,7912.5,2768.875,9260.0,8932.5,4387.25,753.375,885.0,17398.75,9785.0,10110.875,5055.625,690.0,1897.875,1602.5,4151.0,976.0,9413.75,4867.5,8050.0,1745.625,7693.875,1503.875,6502.5,7733.875,9659.75
DZ,4176.375,10416.375,16083.375,5155.0,8425.0,7098.125,4283.0,9242.875,6920.0,9107.125,1775.25,0.0,1998.375,1295.625,3825.75,3035.0,16552.0,1353.75,1772.5,3571.125,1504.375,5328.5,1340.0,9791.25,4466.375,8978.125,1451.25,8660.125,9390.125,3352.5,1858.75,2819.375,17512.0,9421.125,11051.125,4102.5,1796.25,1511.25,2918.5,3556.75,2978.125,7867.0,3799.25,7186.0,1882.5,4317.25,1928.125,6792.0,8560.5,6225.375
EG,4453.375,12590.625,13205.625,3640.5,9401.25,7707.5,3936.625,10202.5,6047.5,9159.125,1731.25,1998.375,0.0,2060.25,2826.125,2884.25,15427.625,3230.625,3311.875,3993.625,1206.875,3753.25,1372.125,9563.75,3472.125,8826.875,3150.625,10115.25,8714.0,4217.375,1840.25,3464.625,15882.75,10341.25,10303.75,3309.75,1738.375,2853.25,2468.5,1677.25,3176.875,9071.25,4218.25,7560.75,1255.625,3782.75,1826.25,9288.75,7921.25,7432.25
ES,5559.875,9938.125,16724.5,5403.875,8594.0,5774.75,5987.25,9222.125,6197.5,7783.75,1733.75,1295.625,2060.25,0.0,3111.25,2748.125,17422.5,1050.0,1250.0,4196.75,1751.25,5129.5,1473.75,9546.875,5124.375,9982.5,1027.375,8806.875,10028.375,3867.125,1255.625,1795.125,19826.0,9257.5,10591.25,4878.375,1715.375,585.25,2802.5,3702.375,1766.75,9745.0,3641.25,8453.375,1838.875,6011.875,1846.25,6108.75,9323.25,8913.125
ET,3825.75,12086.625,12524.125,4469.625,8029.5,9521.375,3441.125,11295.375,6751.5,9226.125,4242.875,3825.75,2826.125,3111.25,0.0,5364.375,12282.625,5979.375,6117.5,3299.375,3282.75,4356.0,4716.0,9338.625,1263.125,8923.0,4130.5,10989.5,8003.875,3290.5,6046.5,5920.75,11918.125,11287.5,9785.0,4153.625,4181.375,5255.25,4524.625,2424.0,5895.375,6333.625,4527.0,6866.375,3619.25,2135.5,4066.75,9968.75,6740.0,6569.875
FI,6981.875,11086.375,12285.0,6447.25,9335.25,5832.5,6566.875,10019.625,5743.75,9018.75,1528.25,3035.0,2884.25,2748.125,5364.375,0.0,14362.5,1588.125,1637.5,6426.625,1888.75,5124.375,1794.375,7496.25,7626.875,7206.125,3384.5,8754.25,7865.0,5688.75,1003.75,861.375,15536.25,9581.25,9130.25,4373.125,1087.125,2903.625,1385.375,4080.5,535.0,7818.25,5868.375,7580.875,1866.25,7338.5,1552.125,7112.5,7163.0,9581.875
FJ,12100.625,12323.125,3074.0,15987.75,16709.875,15133.75,15590.625,11099.625,11451.25,16913.0,16270.625,16552.0,15427.625,17422.5,12282.625,14362.5,0.0,16761.875,17243.875,16727.5,16832.0,10595.5,16720.0,7319.875,16014.5,8070.5,16909.75,14232.5,9158.75,16455.875,16750.875,16925.0,2178.875,11756.25,3443.25,13223.75,16756.25,17012.375,16165.625,16444.375,16754.25,6141.875,16592.0,8135.25,16341.125,16271.75,16664.375,16447.5,9067.125,16331.625
FR,6004.25,11075.0,16853.75,7138.5,9163.25,5606.25,6172.75,10871.25,6725.0,9306.25,875.625,1353.75,3230.625,1050.0,5979.375,1588.125,16761.875,0.0,343.875,4960.75,1723.75,6692.5,1100.0,9681.25,5915.0,8921.25,1968.875,9201.625,9615.375,4229.5,392.125,1393.75,18565.0,9531.25,10306.25,5838.75,1300.0,1635.875,2385.25,4361.875,1458.75,10675.0,4452.5,9206.25,1739.625,6497.625,1672.875,6129.375,9299.375,9650.0
GB,6084.0,11031.25,17037.5,7843.75,9051.25,5499.375,6202.0,9941.25,6962.5,8407.5,931.25,1772.5,3311.875,1250.0,6117.5,1637.5,17243.875,343.875,0.0,5375.375,2428.125,6326.875,1435.5,9510.0,5604.625,9131.25,2756.375,9331.25,9504.25,4982.625,349.0,1092.5,18175.0,9861.25,9866.0,5606.75,1411.25,1667.5,2500.0,4976.25,1460.0,10887.5,4818.75,9485.625,2036.875,6401.125,1671.75,5568.75,9105.5,9646.25
GH,2700.5,9968.75,14023.125,7803.25,7750.75,7797.5,3070.25,10570.25,8777.125,9215.5,5011.25,3571.125,3993.625,4196.75,3299.375,6426.625,16727.5,4960.75,5375.375,0.0,6252.875,8009.0,4987.125,10650.0,4201.5,9735.5,4393.625,9410.125,9954.875,1071.125,6822.5,7164.25,16550.0,9954.125,11391.625,7641.5,5733.75,4877.25,6130.75,4997.25,6449.875,9650.0,1741.625,9830.75,5688.875,5667.0,5814.375,8502.5,9643.5,7397.625
GR,6080.375,12246.25,15506.25,5495.625,9707.25,6491.25,6005.625,10320.5,6468.75,9516.25,1752.75,1504.375,1206.875,1751.25,3282.75,1888.75,16832.0,1723.75,2428.125,6252.875,0.0,4551.0,1110.625,9548.75,5926.5,8517.0,2501.125,9889.875,8720.125,4247.125,1762.5,2210.5,16512.5,10405.0,10271.625,4195.625,1619.875,2301.875,1775.0,3151.25,1762.25,9424.875,4477.625,8276.25,1112.0,4972.25,1539.0,7828.375,7812.375,9425.0
IN,7310.125,12003.125,10015.625,1434.125,13122.125,9665.0,7628.75,16001.375,3653.75,9819.0,5636.875,5328.5,3753.25,5129.5,4356.0,5124.375,10595.5,6692.5,6326.875,8009.0,4551.0,0.0,5556.125,6052.125,6258.5,4094.125,5625.125,14002.5,4120.75,7325.0,6020.875,5037.25,12971.25,17948.625,4161.75,988.75,5618.125,6932.75,4237.625,3756.625,5405.0,4106.0,7710.625,2454.5,3743.0,6147.0,4191.875,12045.75,2320.875,9625.75
IT,5831.25,11082.5,16650.0,5362.625,9294.125,6481.25,5183.25,10152.5,6635.625,9435.0,1302.5,1340.0,1372.125,1473.75,4716.0,1794.375,16720.0,1100.0,1435.5,4987.125,1110.625,5556.125,0.0,9632.5,5573.75,9665.0,1719.75,9660.0,9623.375,4563.75,1231.25,1728.75,17362.5,10017.5,10579.625,5359.375,1291.25,1864.375,1759.125,3906.75,1456.25,10170.625,4125.5,8716.25,1417.875,6005.625,1554.375,6925.0,8809.75,9832.125
JP,12360.875,11756.25,8280.625,5171.625,17675.0,9758.75,11818.25,17451.75,2100.0,13935.625,8868.75,9791.25,9563.75,9546.875,9338.625,7496.25,7319.875,9681.25,9510.0,10650.0,9548.75,6052.125,9632.5,0.0,10036.875,1151.875,9674.375,10881.375,4449.75,10490.75,8312.5,7777.5,9160.0,19695.0,2412.25,5946.875,7768.75,9650.0,6910.0,7486.25,7693.75,5717.5,10063.75,4572.0,7900.125,10310.25,7843.75,10818.75,3454.0,13234.375
KE,3621.375,11375.375,12406.875,6392.75,8846.625,9752.5,2459.75,11276.625,6884.875,9453.25,6507.0,4466.375,3472.125,5124.375,1263.125,7626.875,16014.5,5915.0,5604.625,4201.5,5926.5,6258.5,5573.75,10036.875,0.0,9639.0,5734.625,12156.25,7679.875,4142.25,6133.125,6529.375,13846.875,11529.666666666666,10475.625,5506.0,6433.25,7375.375,5765.625,4292.5,6906.25,6039.75,4849.75,7830.625,5071.125,1058.875,5563.375,11378.75,8352.125,4314.375
KR,12004.25,12237.5,8410.0,3734.375,17801.25,9983.75,11163.75,15635.625,1133.75,10206.875,7912.5,8978.125,8826.875,9982.5,8923.0,7206.125,8070.5,8921.25,9131.25,9735.5,8517.0,4094.125,9665.0,1151.875,9639.0,0.0,9625.375,11203.5,4088.5,9442.5,8225.5,6455.0,10085.75,12531.25,2453.0,4434.0,7220.0,9617.5,6173.75,6523.25,6888.75,4115.625,9868.25,3531.25,6653.375,9632.75,7083.875,11158.75,2197.375,12096.25
MA,3980.5,9736.125,16954.625,7547.5,7658.375,6110.75,4322.25,9026.75,8195.625,8678.625,2768.875,1451.25,3150.625,1027.375,4130.5,3384.5,16909.75,1968.875,2756.375,4393.625,2501.125,5625.125,1719.75,9674.375,5734.625,9625.375,0.0,9086.625,10350.0,2989.875,1869.75,2876.375,19606.25,9250.0,12100.0,5803.125,2096.625,553.0,4111.75,3704.375,3432.0,9643.875,2407.25,8400.75,2355.25,5042.625,2720.625,6176.25,9639.875,8761.0
MX,10686.375,7939.625,13105.625,13515.0,3221.75,3492.25,10416.25,4188.375,11444.0,3641.875,9260.0,8660.125,10115.25,8806.875,10989.5,8754.25,14232.5,9201.625,9331.25,9410.125,9889.875,14002.5,9660.0,10881.375,12156.25,11203.5,9086.625,0.0,14293.375,9083.25,9087.5,8221.875,13842.625,4217.75,13725.625,11995.625,8266.25,8755.625,8086.25,11422.5,8293.75,14323.625,9225.0,14154.125,9606.125,11510.125,8741.375,3554.875,14051.25,12764.5
MY,9959.875,18663.625,5977.25,2903.875,16137.5,11541.125,10631.625,18086.666666666668,3752.25,13548.75,8932.5,9390.125,8714.0,10028.375,8003.875,7865.0,9158.75,9615.375,9504.25,9954.875,8720.125,4120.75,9623.375,4449.75,7679.875,4088.5,10350.0,14293.375,0.0,9307.0,9449.0,8838.0,11037.5,18377.777777777777,2238.75,3610.125,7702.5,10256.75,6495.375,5018.875,8955.375,312.75,10129.75,1201.375,7253.625,7995.75,7991.25,14056.25,1327.625,10335.625
NG,2574.5,10379.0,15359.875,7389.125,8214.625,8440.75,1739.25,10489.125,8551.125,8768.5,4387.25,3352.5,4217.375,3867.125,3290.5,5688.75,16455.875,4229.5,4982.625,1071.125,4247.125,7325.0,4563.75,10490.75,4142.25,9442.5,2989.875,9083.25,9307.0,0.0,4787.75,5302.875,16093.375,10568.625,10609.75,5732.0,5263.125,4124.75,5260.0,4229.375,4968.625,9260.625,3086.875,7999.375,4241.5,3270.375,4388.75,8476.0,9028.75,6124.625
NL,7742.5,10513.75,11406.25,7655.25,8504.5,5826.25,6849.625,10048.25,6262.5,9526.25,753.375,1858.75,1840.25,1255.625,6046.5,1003.75,16750.875,392.125,349.0,6822.5,1762.5,6020.875,1231.25,8312.5,6133.125,8225.5,1869.75,9087.5,9449.0,4787.75,0.0,890.0,18058.75,9703.75,10134.875,5261.875,1130.0,1750.25,1665.875,4111.5,1061.25,9644.25,4726.875,8598.75,1817.875,8042.125,1559.5,6256.25,8900.25,9995.625
NO,7125.125,11610.0,14581.25,6726.875,8560.0,5847.5,7216.125,9785.625,5443.75,9458.125,885.0,2819.375,3464.625,1795.125,5920.75,861.375,16925.0,1393.75,1092.5,7164.25,2210.5,5037.25,1728.75,7777.5,6529.375,6455.0,2876.375,8221.875,8838.0,5302.875,890.0,0.0,17526.0,9506.125,9743.375,5100.625,939.5,2666.25,1640.375,4468.875,854.75,9153.5,4947.5,7894.5,1837.25,7045.5,1620.0,6347.5,7349.5,9531.25
NZ,11794.25,11992.5,2562.75,14609.375,14996.625,17413.125,14090.0,10597.125,10325.0,19086.666666666668,17398.75,17512.0,15882.75,19826.0,11918.125,15536.25,2178.875,18565.0,18175.0,16550.0,16512.5,12971.25,17362.5,9160.0,13846.875,10085.75,19606.25,13842.625,11037.5,16093.375,18058.75,17526.0,0.0,10655.555555555555,10428.875,12097.625,17447.5,9796.25,12005.0,13792.5,16263.75,6755.125,16216.25,9947.125,17584.25,15003.0,17079.875,19606.25,8865.25,16785.875
