id,place_a_id,place_b_id,true_distance_km
AO--AR,AO,AR,7779.757280725595
AO--AU,AO,AU,13288.474497523322
AO--BD,AO,BD,9121.283483960526
AO--BR,AO,BR,6675.278533941141
AO--CA,AO,CA,10620.756402433968
AO--CD,AO,CD,549.1026827702303
AO--CL,AO,CL,8913.64308220524
AO--CN,AO,CN,11758.580047473492
AO--CO,AO,CO,9801.95415219586
AO--DE,AO,DE,6798.792115651933
AO--DZ,AO,DZ,5158.666122203358
AO--EG,AO,EG,4715.419795274749
AO--ES,AO,ES,5722.316302190526
AO--ET,AO,ET,3446.282530254973
AO--FI,AO,FI,7720.979613051022
AO--FJ,AO,FJ,16614.26463120842
AO--FR,AO,FR,6480.8047195500585
AO--GB,AO,GB,6807.150235507682
AO--GH,AO,GH,2181.7570144061915
AO--GR,AO,GR,5296.817859625665
AO--IN,AO,IN,8015.072192343541
AO--IT,AO,IT,5617.9698794223505
AO--JP,AO,JP,13857.461409152482
AO--KE,AO,KE,2743.2396541926637
AO--KR,AO,KR,12699.236686021166
AO--MA,AO,MA,5195.819618732341
AO--MX,AO,MX,12679.078203838877
AO--MY,AO,MY,9903.39358541899
AO--NG,AO,NG,2080.1823760601865
AO--NL,AO,NL,6826.04260195697
AO--NO,AO,NO,7625.360370993152
AO--NZ,AO,NZ,14143.139009143959
AO--PE,AO,PE,9845.778856925126
AO--PH,AO,PH,12162.128893919244
AO--PK,AO,PK,7881.321787923071
AO--PL,AO,PL,6809.113037552695
AO--PT,AO,PT,5753.282352388308
AO--RU,AO,RU,7506.107188793741
AO--SA,AO,SA,5193.3979905841725
AO--SE,AO,SE,7571.629355004058
AO--SG,AO,SG,10108.617908587756
AO--SN,AO,SN,4274.775841417532
AO--TH,AO,TH,9957.692589929997
AO--TR,AO,TR,5765.533175593958
AO--TZ,AO,TZ,2502.0333905971356
AO--UA,AO,UA,6776.4600893004845
AO--US,AO,US,10643.935912153609
AO--VN,AO,VN,10634.256207680037
AO--ZA,AO,ZA,2450.091998989052
AR--AU,AR,AU,11758.30968994146
