place_id,AO,AR,AU,BD,BR,CA,CD,CL,CN,CO,DE,DZ,EG,ES,ET,FI,FJ,FR,GB,GH,GR,IN,IT,JP,KE,KR,MA,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RU,SA,SE,SG,SN,TH,TR,TZ,UA,US,VN,ZA
AO,0.0,7779.757280725595,13288.474497523322,9121.283483960526,6675.278533941141,10620.756402433968,549.1026827702303,8913.64308220524,11758.580047473492,9801.95415219586,6798.792115651933,5158.666122203358,4715.419795274749,5722.316302190526,3446.282530254973,7720.979613051022,16614.26463120842,6480.8047195500585,6807.150235507682,2181.7570144061915,5296.817859625665,8015.072192343541,5617.9698794223505,13857.461409152482,2743.2396541926637,12699.236686021166,5195.819618732341,12679.078203838877,9903.39358541899,2080.1823760601865,6826.04260195697,7625.360370993152,14143.139009143959,9845.778856925126,12162.128893919244,7881.321787923071,6809.113037552695,5753.282352388308,7506.107188793741,5193.3979905841725,7571.629355004058,10108.617908587756,4274.775841417532,9957.692589929997,5765.533175593958,2502.0333905971356,6776.4600893004845,10643.935912153609,10634.256207680037,2450.091998989052
AR,7779.757280725595,0.0,11758.30968994146,16776.827494420908,2333.5144810867555,9031.715831568095,8250.16360355336,1139.660312749686,19261.112952664003,4640.374060415398,11887.678205229642,10143.842601055805,11806.270501311932,10020.91071488952,11225.784843590129,12925.656160584465,11642.45746949547,11025.630755006467,11102.268069921352,7539.559525025004,11672.738469495696,15794.7526620095,11131.20670997276,18370.21725262342,10410.808770079677,19431.621304450513,9305.417619305188,7372.308131811268,15967.59980860726,8446.362395848217,11420.79314209203,12224.016263540156,10003.231625456845,3130.6695211171427,17788.20333536327,15601.725953155386,12308.20746555706,9574.20669056964,13459.503231297233,12854.981363911493,12541.33572639846,15887.309757265864,6965.255742849274,16880.505738924476,12466.927062320188,10004.640819282862,12807.053139985803,8360.953336333787,17861.954046251605,8148.626185145644
AU,13288.474497523322,11758.30968994146,0.0,8995.963141163435,14075.358195321549,16104.729525959248,13504.360503430844,11345.088282272682,8980.130816239809,14436.399681031653,16060.205223180863,16979.37379367375,14263.93286552806,17574.421466877073,12442.084906893078,15202.304817605685,3459.5502950524574,16917.63537856836,16976.59127449891,15466.274445812925,15201.661293550262,10338.502325503718,16216.420011411574,7916.886601720884,11938.438068840167,8383.398878278069,17823.98557196807,13179.187255642872,6520.550088731684,15163.69563184826,16620.528265072542,15966.082912956443,2331.7654440152487,12870.966935523227,6269.920053818219,10988.77817833369,15552.021357649579,18058.241733092265,14468.762247285287,12623.318465753277,15597.07886628645,6204.591664762586,17367.8662451382,7462.848367041455,14491.126052008547,11694.349880853746,14887.737081531282,15945.723803950415,7727.631084944442,10839.833274898414
BD,9121.283483960526,16776.827494420908,8995.963141163435,0.0,15592.505750516311,12219.959997048985,8699.546891941973,17886.203807894904,3026.7986717227063,16454.083310734804,7083.361209694893,8249.865357774017,5856.065710330734,8668.474277763522,5724.1496250866285,6394.878508271938,10616.636231096905,7923.795839306774,8015.217428089591,9833.431322059829,6434.574552380038,1425.4260591415405,7320.0470436892765,4901.783530903048,6417.460535353122,3797.612686267932,9196.660288262383,15118.666153073525,2578.596726870454,8893.098615055616,7656.49679159308,7181.762061567684,11267.899459200993,18167.538095071344,3362.196759695326,2010.504192418624,6568.012073729416,9173.202508931836,5553.2737926347245,4415.912406616781,6768.471024295255,2874.5622395689315,11109.021139047307,1533.2161452123528,5633.079801631459,6793.0341997186615,5893.685382507589,12949.493713794654,1616.977559772685,8645.990655579606
BR,6675.278533941141,2333.5144810867555,14075.358195321549,15592.505750516311,0.0,7334.346869539842,7021.609682135122,3009.3551850238605,16930.472630910997,3659.609825431805,9575.611395967344,7899.280557882734,9874.469524339542,7719.290067297386,9928.94838833383,10597.841046061912,13707.79297949407,8706.397888002059,8772.672472521588,5761.1782251059785,9543.526478721476,14244.967094288088,8891.366226296563,17673.237812688087,9414.754147935433,17539.5016131441,7024.002442289389,6827.142656438756,16422.814195799372,6701.782316617511,9095.395184382438,9890.673869295977,12315.070951453863,3172.9910685849954,18834.978421995093,13831.892357763147,10013.245328845951,7260.226545104273,11166.929191609152,11195.014360359984,10211.465310360685,16541.57994188363,4752.903773023973,16631.97836274269,10359.803932064284,9156.612898830454,10549.919782043095,6769.014727737269,17204.186662884276,7905.896338955261
CA,10620.756402433968,9031.715831568095,16104.729525959248,12219.959997048985,7334.346869539842,0.0,10429.733240251062,8748.678780930806,10474.241950070254,4525.731196671247,6146.549872089064,6419.275105731327,8876.40462189037,5707.581780771725,11136.890454729448,6289.502387773958,12653.111746459324,5663.62568366498,5378.074759985251,8439.561227154014,7764.7115554242955,11362.94782650969,6746.931142314486,10343.49118277986,11852.842570511928,10536.510102087088,5854.797692873017,3598.308798337808,14615.980355359012,8769.14706891505,5650.389098226851,5615.364370869781,14472.518850835871,6365.101501579229,13148.893379643874,10699.32409267107,6594.700288950723,5399.63090845621,7180.055639081386,10317.222965793204,6012.504954934798,14829.085234720038,6388.706012444591,13440.553542475436,8182.193922543159,12166.73278626256,7237.438903984254,731.9154882007512,12643.813172484095,13053.851270111287
CD,549.1026827702303,8250.16360355336,13504.360503430844,8699.546891941973,7021.609682135122,10429.733240251062,0.0,9377.485624065612,11264.131510520167,9990.17825849726,6302.7657179686175,4724.24554729379,4166.513540836489,5319.383374111961,2986.3101212320603,7201.843348896968,16916.81804347587,6026.854910819904,6358.423890884738,2043.3208669383591,4764.590999785643,7547.89499645099,5126.896411493344,13367.324967431796,2414.0111493842605,12211.448901968513,4841.287191069289,12740.378395838092,9644.319780377728,1716.2920067157297,6357.542309053761,7134.842377574261,14541.358911281312,10175.188038895794,11824.345636785823,7384.78330799907,6292.977025299909,5390.912322607045,6966.165532290185,4676.260309873395,7064.796550280582,9867.490584125751,4185.9629702863585,9613.840894279354,5219.37025970274,2274.6043678822007,6240.732681787017,10513.299742462244,10243.1517893653,2738.097820784533
CL,8913.64308220524,1139.660312749686,11345.088282272682,17886.203807894904,3009.3551850238605,8748.678780930806,9377.485624065612,0.0,19057.093797293513,4226.284712338569,12506.572379251478,10901.817648733382,12800.08972667518,10681.935581817292,12358.215563097187,13464.23646254886,10733.957780178063,11627.359613785839,11650.639354956376,8563.209240922586,12547.17636965568,16925.380558989717,11893.206088021416,17234.770240707647,11550.217666588273,18360.580038729033,10010.797136549785,6588.132055113714,16560.585837942457,9486.770070583298,11991.522122394139,12709.777899866678,9368.814614614528,2457.690639615083,17614.831522245775,16686.183395308064,12969.852106776598,10205.486707859607,14117.451542029348,13945.02643694258,13069.967683612713,16399.740324894206,7761.929265291671,17650.722889818095,13360.362129212648,11140.599699425393,13538.164347903667,8036.760399006705,18587.669739443674,9240.225022987668
CN,11758.580047473492,19261.112952664003,8980.130816239809,3026.7986717227063,16930.472630910997,10474.241950070254,11264.131510520167,19057.093797293513,0.0,14959.442903499128,7374.095211881501,9128.627104002482,7555.922022804329,9241.695750140318,8323.256614917631,6335.706896287733,9087.647388686939,8235.539912036413,8159.495498560135,11825.126110302292,7631.506142204527,3786.344323933427,8143.606625822012,2104.0237532057217,9214.097058911791,958.3389564502992,9959.705404692048,12474.484204037479,4332.637278888493,10936.133047329091,7840.400371133997,7040.101298011618,10759.510305075924,16647.408363779676,2841.990869314639,3879.3914083676773,6956.214835268704,9687.15424475197,5806.057705333434,6606.426919492859,6720.436278900068,4463.068886903711,12308.087610438688,3289.9112641123884,6847.206348764228,9656.25374403827,6466.108332658287,11169.116898963428,2322.1755294999916,11648.376355581766
CO,9801.95415219586,4640.374060415398,14436.399681031653,16454.083310734804,3659.609825431805,4525.731196671247,9990.17825849726,4226.284712338569,14959.442903499128,0.0,9434.723265292183,8561.364835153712,11223.931381246066,8024.515430689445,12426.953409430811,10062.532890466686,12022.37001080766,8632.37794115417,8501.996904262256,8186.029470285618,10382.81703126424,15225.968636419148,9387.891649710753,14327.518669903713,12348.95435955968,14855.470153152684,7635.020568883151,3175.5874499646543,19032.67962698383,9018.876991242843,8857.739182265888,9277.765385828061,12107.72103768077,1869.717421500606,17318.972788215247,14553.253604343023,9952.660970335612,7528.581774689585,10916.0980038675,12862.1824864371,9693.22189855851,19316.524021455647,6296.585430647009,17891.231905646808,11114.439440495353,12263.99655872549,10641.180470910898,3810.5972373090326,17168.46785762716,11470.29193218006
DE,6798.792115651933,11887.678205229642,16060.205223180863,7083.361209694893,9575.611395967344,6146.549872089064,6302.7657179686175,12506.572379251478,7374.095211881501,9434.723265292183,0.0,1929.5842635808192,2891.4189080361066,1871.7316834419983,5338.017839459692,1107.9778488106122,15973.080004981164,880.1220118488678,933.6780131656095,5355.487752609555,1803.6456298841938,5791.273241523696,1183.3475090566692,8941.116372895822,6352.944306361189,8148.703873526628,2611.9809662547964,9740.126910212532,9615.08570758263,4846.239230895395,577.0085813772484,839.4791498459016,18133.546853189033,11091.52456248637,9877.59768324053,5120.406237354785,517.9674462482383,2315.454518326916,1613.9333205348753,4176.916396262325,814.5045168029693,9925.538516503066,5002.201564734814,8612.78119439707,2040.6210846007348,6841.237574953327,1208.4684314926021,6726.290515021435,8340.425219517292,8785.190433813566
DZ,5158.666122203358,10143.842601055805,16979.37379367375,8249.865357774017,7899.280557882734,6419.275105731327,4724.24554729379,10901.817648733382,9128.627104002482,8561.364835153712,1929.5842635808192,0.0,2715.5414954485536,711.8772255887199,4726.061150528088,3033.2458162220696,17891.524863416074,1345.8479224292655,1656.5822446092477,3472.5242188720927,1833.1443937842616,6841.71964982002,992.0972539136368,10825.062201744677,5468.388996259568,9964.003557283175,947.5149821768754,9769.285470457762,10572.290569185669,3099.0147228469714,1738.248506848775,2632.9504054733866,19142.8906277313,9941.552381823174,11385.615764278304,6243.845068536664,2223.061077794254,1095.7494836242417,3341.3300109822576,4356.927852945174,2735.695299839689,10888.595168568347,3179.4676163160534,9758.062670903257,2617.4508653785942,5847.445411357088,2663.2115945563396,6808.566447806581,9710.302297086428,7401.6582042116315
EG,4715.419795274749,11806.270501311932,14263.93286552806,5856.065710330734,9874.469524339542,8876.40462189037,4166.513540836489,12800.08972667518,7555.922022804329,11223.931381246066,2891.4189080361066,2715.5414954485536,0.0,3355.0785607140415,2452.617953664222,3381.1971957220794,16456.426551141787,3214.633946258294,3513.224272125026,4270.0929109249555,1119.9840833129142,4435.964091411309,2134.7872271725983,9586.616311745503,3517.610461321371,8503.339014259222,3603.4430310091693,12386.314913876035,7957.843206792961,3387.4680508755546,3281.685911866004,3657.274374511535,16524.182617665698,12429.606272791647,9188.405775476658,3959.781346765724,2605.2551344227354,3804.4459470065553,2899.390144089835,1646.868560351307,3404.607659449505,8269.808521932006,5253.120694234128,7278.235334714449,1105.6067845732575,4038.353951938408,2264.232150700553,9366.819693047106,7437.521764642192,6178.42759423283
ES,5722.316302190526,10020.91071488952,17574.421466877073,8668.474277763522,7719.290067297386,5707.581780771725,5319.383374111961,10681.935581817292,9241.695750140318,8024.515430689445,1871.7316834419983,711.8772255887199,3355.0785607140415,0.0,5435.390315315712,2953.7168515011904,17527.210746850342,1054.2206353287124,1263.9687927349041,3875.784925520151,2374.062233299252,7287.614249142348,1365.1557413989822,10789.251153816349,6176.5987043900495,10019.900842150517,760.8123052479816,9078.13985240458,11077.974673965115,3642.923695107211,1481.542258526469,2391.208799044871,19851.726976157825,9503.708312480001,11671.011912853837,6659.012517572479,2294.1560974438808,504.8178933567692,3447.7208209357696,4976.67214260894,2599.80340123646,11394.820059047039,3146.0652951641023,10195.38770323311,3091.375943481574,6547.695065885699,2867.9152687436067,6103.59738093071,10056.382163469798,8029.9477888894835
ET,3446.282530254973,11225.784843590129,12442.084906893078,5724.1496250866285,9928.94838833383,11136.890454729448,2986.3101212320603,12358.215563097187,8323.256614917631,12426.953409430811,5338.017839459692,4726.061150528088,2452.617953664222,5435.390315315712,0.0,5790.019542298963,15572.54742661621,5564.644582105378,5886.122685458142,4312.516347158949,3541.0060008455616,4568.968215495237,4456.489579759943,10415.439814966736,1159.806608820494,9256.901270317068,5405.302959239058,14431.004638352826,6996.0854221014015,3425.380993916935,5692.490720486377,6109.632738802692,14423.0253472428,13010.580677525299,8943.42800028437,4460.31441309416,5054.603703831145,5784.177787414981,5182.912971370709,1928.2054708788808,5846.588012893221,7265.102216993072,6138.121973536205,6750.299737881846,3471.2514729888712,1714.3873971546066,4651.905379290357,11530.640207862776,7294.24449951952,4007.191456170527
FI,7720.979613051022,12925.656160584465,15202.304817605685,6394.878508271938,10597.841046061912,6289.502387773958,7201.843348896968,13464.23646254886,6335.706896287733,10062.532890466686,1107.9778488106122,3033.2458162220696,3381.1971957220794,2953.7168515011904,5790.019542298963,0.0,14881.524051042496,1913.0642944778042,1825.9330131984918,6421.808628793435,2469.446523502244,5227.813402791738,2204.4886323251985,7840.181225242526,6893.053879094669,7076.449214426985,3705.568629466575,9855.858846180436,8971.024211314423,5852.2306591964625,1506.1678883392688,789.3307636306301,17068.725016057746,11822.926389926623,8939.979930604915,4543.885658949807,915.2000736428832,3365.791975654019,895.568901558974,4292.210711697853,394.8329300638056,9269.41231436185,6097.2656329221945,7892.355050494185,2318.7683066331742,7418.969801469933,1140.0561693095046,6946.711977616074,7500.56964538643,9522.764258248177
FJ,16614.26463120842,11642.45746949547,3459.5502950524574,10616.636231096905,13707.79297949407,12653.111746459324,16916.81804347587,10733.957780178063,9087.647388686939,12022.37001080766,15973.080004981164,17891.524863416074,16456.426551141787,17527.210746850342,15572.54742661621,14881.524051042496,0.0,16576.81749979109,16299.555426240808,18604.884835041765,16718.893493199037,12028.323263938093,17055.863339691525,7219.789289468397,15310.34174379079,8184.830871623246,18168.663542293107,9915.918583166904,8728.573834583456,18616.55968810009,16165.585758358455,15261.03378993224,2591.8075392647534,11096.316981305765,7270.00795998326,12498.588968944085,15740.327157401141,17608.392189885468,14698.654341884276,14993.206576183224,15161.365121374429,8434.22672283059,18292.51736528745,9249.359232089999,15929.245910545002,15125.289672800167,15437.65678215794,12497.831524726587,9022.601376117009,14189.452435443198
