id,place_a_id,place_b_id,true_distance_km,n,mean,median,trimmed_mean,robust,std,variance,min,max,q1,q3,iqr,mad,cv,outliers,missing_samples,mean_ci_low,mean_ci_high,absolute_error_km,signed_error_km,relative_error,log_ratio_error
AO--AR,AO,AR,7779.757280725595,10,7779.9,7777.5,7779.5,7778.2238999999845,8.211780156174015,67.43333333333334,7770.0,7793.0,7774.25,7787.5,13.25,4.5,0.0010555123017229034,0,0,7775.297500000001,7784.902499999999,0.14271927440495347,0.14271927440495347,1.834495206663343e-05,1.8344783799964917e-05
AO--AU,AO,AU,13288.474497523322,10,11565.9,11496.0,11548.5,11528.631457141499,282.9520768218141,80061.87777777779,11210.0,12061.0,11355.75,11734.0,378.25,177.0,0.024464337130860037,0,0,11410.4575,11745.310000000001,1722.5744975233229,-1722.5744975233229,-0.1296292134845405,-0.1388359667301851
AO--BD,AO,BD,9121.283483960526,10,9400.6,9394.5,9405.25,9406.666666677042,225.9474865243397,51052.26666666667,9050.0,9714.0,9272.5,9555.25,282.75,156.0,0.024035432474984544,0,0,9272.58,9534.01,279.31651603947466,279.31651603947466,0.030622501376110445,0.03016298995145367
AO--BR,AO,BR,6675.278533941141,10,6204.7,6193.0,6196.125,6193.0,36.52107458562644,1333.7888888888892,6178.0,6300.0,6188.5,6198.5,10.0,6.0,0.005886033907461511,2,0,6187.8,6228.1050000000005,470.57853394114136,-470.57853394114136,-0.07049571512985359,-0.07310386196558707
AO--CA,AO,CA,10620.756402433968,10,10339.0,10336.0,10350.875,10361.819813584083,301.634068220271,90983.1111111111,9796.0,10787.0,10190.0,10539.75,349.75,200.5,0.029174394837051067,0,0,10160.869999999999,10510.025,281.7564024339681,-281.7564024339681,-0.026528845193116164,-0.02688708500755282
AO--CD,AO,CD,549.1026827702303,10,538.0,538.0,538.0,538.0,0.0,0.0,538.0,538.0,538.0,538.0,0.0,0.0,0.0,0,0,538.0,538.0,11.10268277023033,-11.10268277023033,-0.02021968407478388,-0.02042689987004068
AO--CL,AO,CL,8913.64308220524,10,8085.2,8083.0,8083.375,8083.558911111229,34.058120258692426,1159.9555555555555,8045.0,8140.0,8056.25,8109.5,53.25,27.0,0.004212402941014747,0,0,8065.295,8105.702499999999,828.4430822052409,-828.4430822052409,-0.09294102025008204,-0.09754780369351142
AO--CN,AO,CN,11758.580047473492,10,11610.3,11634.0,11622.875,11628.346850000871,86.93937862416291,7558.455555555555,11430.0,11690.0,11585.0,11676.25,91.25,51.0,0.00748812508067517,1,0,11556.8975,11655.710000000001,148.28004747349223,-148.28004747349223,-0.012610370204126172,-0.012690555748607318
AO--CO,AO,CO,9801.95415219586,10,9480.0,9578.0,9567.5,9585.833333322224,342.61445776071196,117384.66666666667,8552.0,9708.0,9529.0,9640.25,111.25,62.5,0.03614076558657299,2,0,9257.4925,9630.31,321.95415219585993,-321.95415219585993,-0.032845914926436875,-0.03339745281669498
AO--DE,AO,DE,6798.792115651933,10,6564.5,6532.5,6548.125,6541.579666665825,69.3000721500346,4802.5,6515.0,6745.0,6530.0,6571.25,41.25,15.0,0.010556793685739141,1,0,6531.5,6612.5,234.29211565193327,-234.29211565193327,-0.034460844171504294,-0.035068622960760736
AO--DZ,AO,DZ,5158.666122203358,10,4820.8,4820.0,4820.5,4820.762311111119,8.638415492567038,74.62222222222222,4811.0,4833.0,4812.75,4828.75,16.0,8.0,0.0017919049727362756,0,0,4816.097500000001,4826.2,337.8661222033579,-337.8661222033579,-0.06549486130710264,-0.06773815323283416
AO--EG,AO,EG,4715.419795274749,10,5286.4,5288.0,5287.0,5287.655285714286,8.60490816014003,74.04444444444447,5270.0,5298.0,5283.5,5292.25,8.75,5.0,0.0016277444310192248,1,0,5281.1975,5291.2,570.9802047252506,570.9802047252506,0.12108788390323619,0.11429953878981323
AO--ES,AO,ES,5722.316302190526,10,5764.1,5767.5,5765.125,5765.833333333432,13.135617398677704,172.54444444444442,5740.0,5780.0,5760.0,5770.0,10.0,7.5,0.002278867021508597,1,0,5756.6,5771.1,41.78369780947469,41.78369780947469,0.007301885390970038,0.007275355692107074
AO--ET,AO,ET,3446.282530254973,10,3503.3,3500.0,3502.875,3501.0895599999976,8.069834088890689,65.1222222222222,3494.0,3516.0,3500.0,3508.5,8.5,3.0,0.0023034950158110036,0,0,3498.6,3508.6,57.01746974502703,57.01746974502703,0.016544630117951646,0.016409258796763703
AO--FI,AO,FI,7720.979613051022,10,8081.3,8161.5,8097.0,8138.354133318294,291.2475274096284,84825.12222222224,7630.0,8407.0,7872.5,8267.0,394.5,176.0,0.036039687600958804,0,0,7912.4975,8238.8,360.320386948978,360.320386948978,0.04666770345305883,0.045611501811809084
AO--FJ,AO,FJ,16614.26463120842,10,15644.3,15487.5,15640.375,15644.300000027033,599.8253542120036,359790.4555555556,14785.0,16535.0,15393.5,16113.75,720.25,610.0,0.03834146329410735,0,0,15305.0925,16010.0125,969.9646312084224,-969.9646312084224,-0.05838143623801621,-0.06015500810510919
AO--FR,AO,FR,6480.8047195500585,10,6500.0,6500.0,6500.0,6500.0,0.0,0.0,6500.0,6500.0,6500.0,6500.0,0.0,0.0,0.0,0,0,6500.0,6500.0,19.195280449941492,19.195280449941492,0.0029618668175630755,0.0029574891319914627
AO--GB,AO,GB,6807.150235507682,10,6831.2,6830.0,6830.625,6830.833333333601,10.368756488176928,107.51111111111113,6817.0,6850.0,6826.25,6837.5,11.25,7.5,0.0015178528645299403,0,0,6825.4,6837.5025,24.04976449231799,24.04976449231799,0.0035330150885856484,0.0035267886518645865
AO--GH,AO,GH,2181.7570144061915,10,2402.2,2402.5,2403.0,2402.904355555537,10.108302418199496,102.17777777777779,2384.0,2414.0,2395.0,2410.75,15.75,8.0,0.004207935400133002,0,0,2396.1,2407.6,220.44298559380832,220.44298559380832,0.10103920103761245,0.09625446204549634
AO--GR,AO,GR,5296.817859625665,10,5051.5,4960.0,5026.875,4966.934242851775,203.6501629974523,41473.38888888889,4885.0,5415.0,4907.25,5206.25,299.0,61.5,0.040314790259814375,0,0,4944.297500000001,5174.1675000000005,245.31785962566482,-245.31785962566482,-0.046314195829833926,-0.04742100751364595
AO--IN,AO,IN,8015.072192343541,10,8156.7,8170.5,8146.5,8148.646310943106,84.02387226920163,7060.011111111111,8065.0,8330.0,8081.0,8189.5,108.5,68.0,0.010301209100396194,0,0,8108.587500000001,8208.212500000001,141.62780765645857,141.62780765645857,0.017670184903855215,0.017515882239338258
AO--IT,AO,IT,5617.9698794223505,10,5158.4,5151.5,5157.25,5158.400000000366,313.31283620900905,98164.93333333333,4850.0,5476.0,4860.0,5457.5,597.5,297.5,0.06073837550577874,0,0,4977.097500000001,5343.1025,459.5698794223508,-459.5698794223508,-0.08180354990967033,-0.08534391333618614
AO--JP,AO,JP,13857.461409152482,10,13569.6,13561.0,13565.25,13563.958240000007,19.201851762554337,368.7111111111111,13554.0,13620.0,13560.0,13570.0,10.0,4.0,0.001415063949015029,1,0,13560.4,13583.2,287.86140915248143,-287.86140915248143,-0.020773026216934415,-0.020991820847898666
AO--KE,AO,KE,2743.2396541926637,10,3161.1,3162.5,3159.375,3159.9999999995935,21.429211630648272,459.21111111111117,3132.0,3204.0,3147.5,3168.75,21.25,12.5,0.006779036294533002,1,0,3148.595,3174.3025000000002,417.8603458073362,417.8603458073362,0.15232367510023934,0.14178049077854932
AO--KR,AO,KR,12699.236686021166,10,12460.6,12465.0,12459.125,12458.833333332264,115.77487733624346,13403.822222222221,12248.0,12685.0,12420.75,12495.0,74.25,43.5,0.009291276289764816,2,0,12395.8825,12531.304999999998,238.6366860211656,-238.6366860211656,-0.018791419667281872,-0.018970221902325807
AO--MA,AO,MA,5195.819618732341,10,5406.6,5443.5,5423.625,5429.500000012855,288.1558991626273,83033.82222222222,4817.0,5860.0,5354.75,5486.25,131.5,81.0,0.053297062694230624,4,0,5234.445000000001,5566.115000000001,210.78038126765932,210.78038126765932,0.04056730154906433,0.03976604669063057
